file,index,id,en,fr,de,it,es,tr
buffs.csv,0,0x09E5A687,Stunned,Étourdi,Betäubt,Stordito,Aturdido,Sersemlemiş
buffs.csv,1,0x1AE10BA2,Enraged,Fou furieux,Erzürnt,Infuriato,Enfurecido,Öfkeli
buffs.csv,2,0x26DB4E32,Empowers minions,Renforce ses acolytes,Stärkt Diener,Fornisce forza ai seguaci,Potencia a los secuaces,Yandaşları güçlendirir
buffs.csv,3,0x2D390E80,Explodes when near,Explose à proximité,Explodiert in der Nähe,Esplode quando vicino,Explota cuando está cerca,Yaklaşınca patlar
buffs.csv,4,0x502B3BF7,Regains health,Récupère de la vie,Regeneriert Gesundheit,Recupera salute,Recupera salud,Can yeniler
buffs.csv,5,0x5A011FAC,Dies with summoner,Meurt si invocateur vaincu,Stirbt mit dem Beschwörer,Muore con l'evocatore,Muere con invocador,Çağıranı ölünce ölür
buffs.csv,6,0x5A011FBA,Can summon allies,Peut invoquer des alliés,Kann Verbündete rufen,Può evocare alleati,Puede invocar aliados,Müttefik çağırabilir
buffs.csv,7,0x5BE00AD4,Confuses target on hit,Rend la cible confuse quand touchée,Verwirrt Ziel durch Treffer,Confonde il bersaglio quando colpisce,Confunde al objetivo,Vuruşta hedefi şaşırtır
buffs.csv,8,0x66DEB2A2,Defense increased,Défense augmentée,Verteidigung verbessert,Difesa aumentata,Defensa aumentada,Savunma arttı
buffs.csv,9,0x66DEB3E6,Boosting defense of allies,Augmente la défense des alliés,Stärkt Verteidigung von Verbündeten,Potenzia la difesa degli alleati,Aumenta defensa de aliados,Müttefik savunmasını artırır
buffs.csv,10,0x79FE66C7,Steals health on hit,Vole de la vie à chaque coup,Raubt durch Treffer Gesundheit,Sottrae salute quando colpisce,Roba salud con cada golpe,Vuruşta can çalar
buffs.csv,11,0x89D87CD4,Wounded,Blessé,Verwundet,Ferito,Herido,Yaralı
buffs.csv,12,0x8E7BEA21,Casts poison clouds,Lance des nuages de poison,Wirkt giftige Wolken,Lancia nubi velenose,Lanza nubes de veneno,Zehir bulutları salar
buffs.csv,13,0x9A03FD68,Boosts speed of allies,Augmente la vitesse des alliés,Erhöht Geschw. von Verbündeten,Aumenta la velocità degli alleati,Potencia velocidad de aliados,Müttefik hızını artırır
buffs.csv,14,0x9AF5E51E,Increased damage and speed,Dégâts et vitesse augmentés,Erhöhter Schaden und Geschwindigkeit,Danno e velocità aumentati,Aumenta el daño y la velocidad,Hasar ve hız arttı
buffs.csv,15,0x9E4C3201,Sets targets on fire,Enflamme la cible,Steckt Ziel in Brand,Dà fuoco al bersaglio,Prende fuego a los objetivos,Hedefleri ateşe verir
buffs.csv,16,0x9F01A852,About to explode!!,Sur le point d'exploser !,Explodiert gleich!!,Sta per esplodere!,¡A punto de explotar!,Patlamak üzere!!
buffs.csv,17,0x9FAC96C6,Lowers attack on hit,Ses coups baissent l'attaque,Senkt Angriffswert bei Treffer,Riduce l'attacco quando colpisce,Reduce el ataque con cada golpe,Vuruşta saldırıyı düşürür
buffs.csv,18,0xA507AFCC,Slowed,Ralenti,Verlangsamt,Rallentato,Ralentizado,Yavaşlamış
buffs.csv,19,0xA54505BE,Berserks at lower health,Devient furieux si santé faible,Wir bei niedriger Gesundheit zum Berserker,Furia con salute bassa,Berserker con poca salud,Canı azalınca çılgına döner
buffs.csv,20,0xA59C2FA9,Gains attack from nearby allies,Gagne en attaque grâce à ses alliés,Erhält Angriff von nahen Verbündeten,Forza d'attacco dagli alleati vicini,Mejora el ataque por los aliados cercanos,Yakındaki müttefiklerden saldırı kazanır
buffs.csv,21,0xAAACDEA5,Returns damage from range,Renvoie des dégâts si touché à distance,Wirft Fernkampfschaden zurück,Restituisce il danno a distanza,Devuelve el daño a distancia,Uzak hasarı geri yansıtır
buffs.csv,22,0xAB2B899C,Inspires fear,Inspire la peur,Löst Angst aus,Incute timore,Inspira miedo,Korku salar
buffs.csv,23,0xB39BD929,Immune to stun,Insensible à l'étourdissement,Immun gegen Betäuben,Immune allo stordimento,Inmune al aturdimiento,Sersemlemeye bağışık
buffs.csv,24,0xBA4BC7B8,Frosts targets,Gèle la cible,Friert Ziele ein,Congela i bersagli,Congela a los objetivos,Hedefleri dondurur
buffs.csv,25,0xBA604B7F,Speed increased,Vitesse augmentée,Geschwindigkeit erhöht,Velocità aumentata,Velocidad aumentada,Hız arttı
buffs.csv,26,0xBB70BA5E,Returns damage when hit,Renvoie des dégâts quand touché,Wirft Schaden zurück,Restituisce il danno quando colpito,Devuelve el daño al ser alcanzado,Vurulunca hasarı yansıtır
buffs.csv,27,0xC5388A95,Siphoning life from $PlayerName$,Aspire la vie de $PlayerName$,Stiehlt Leben von $PlayerName$,Assorbe vita da $PlayerName$,Absorbe vida de $PlayerName$,$PlayerName$'den can emiyor
buffs.csv,28,0xD298D299,Immune to damage,Insensible aux dégâts,Immun gegen Schaden,Immune ai danni,Inmune al daño,Hasara bağışık
buffs.csv,29,0xD472A67D,Explodes at low health,Explose si santé faible,Explodiert bei geringer Gesundheit,Esplode con salute bassa,Explota con poca salud,Canı azalınca patlar
buffs.csv,30,0xD4F632F4,Inflicts wounds,Inflige Blessures,Verursacht Wunden,Infligge ferite,Inflige heridas,Yara açar
buffs.csv,31,0xDA3CF562,Lowers defense on hit,Ses coups baissent la défense,Senkt Verteidigung bei Treffer,Riduce la difesa quando colpisce,Baja la defensa con cada golpe,Vuruşta savunmayı düşürür
buffs.csv,32,0xDE796021,Inflicts poison,Inflige Poison,Verabreicht Gift,Infligge veleno,Inflige veneno,Zehirler
buffs.csv,33,0xEDCB87CE,Protected by allies,Protégé par ses alliés,Von Verbündeten beschützt,Protetto dagli alleati,Protegido por aliados,Müttefiklerce korunuyor
buffs.csv,34,0xEF85CD5F,Protects leader,Protège son chef,Beschützt Anführer,Protegge il capo,Protege al líder,Lideri korur
buffs.csv,35,0xF06B5884,Damage increased at low health,Dégâts augmentés si santé faible,Höherer Schaden bei niedriger Gesundheit,Danno aumentato con salute bassa,Daño aumentado con poca salud,Canı azalınca hasarı artar
buffs.csv,36,0xF4B8A5B6,Returns damage in melee,Renvoie des dégâts au corps à corps,Wirft Schaden im Nahkampf zurück,Restituisce il danno in mischia,Devuelve el daño cuerpo a cuerpo,Yakın dövüş hasarını yansıtır
characterparts.csv,0,0x05C9AB89,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,1,0x05C9AB8A,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,2,0x05C9AB8B,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,3,0x05C9AB8C,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,4,0x05C9AB8D,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,5,0x05C9AB8E,Long Hair,Long,Langes Haar,Capelli lunghi,Pelo largo,Uzun Saç
characterparts.csv,6,0x092B487D,Red,Rouge,Rot,Rosso,Rojo,Kırmızı
characterparts.csv,7,0x092B487E,Green,Vert,Grün,Verde,Verde,Yeşil
characterparts.csv,8,0x092B487F,Blue,Bleu,Blau,Blu,Azul,Mavi
characterparts.csv,9,0x092B4880,Gold,Or,Gold,Oro,Oro,Altın
characterparts.csv,10,0x092B4881,Purple,Violet,Violett,Viola,Morado,Mor
characterparts.csv,11,0x092B4882,Grey,Gris,Grau,Grigio,Gris,Gri
characterparts.csv,12,0x0A426E38,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,13,0x0A426E39,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,14,0x0A426E3A,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,15,0x0A426E3B,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,16,0x0A426E3C,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,17,0x0A426E3D,Mohawk,Iroquoise,Irokese,Cresta,Cresta,Mohikan
characterparts.csv,18,0x0BA06F31,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
characterparts.csv,19,0x0BA06F32,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
characterparts.csv,20,0x0BA06F33,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
characterparts.csv,21,0x0BA06F34,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
characterparts.csv,22,0x0BA06F35,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
characterparts.csv,23,0x0BA06F36,Shorn,Rasé,Geschoren,Rasati,Pelado,Kazınmış
