index,label,English,French,German,Italian,Spanish,Turkish
8,bd_bear,,,,,disfrazz de oso,ayı kostümü
13,bd_girl_suits,,ensemble jupe et chemisier,,,,bluz ve etek takımı
18,bd_cutsaw_pants,,T-shirt à manches longues,,,,uzun kollu tişört
23,bd_denim,,veste en jeans,,,,kot ceket
24,bd_border_cardigan,,ensemble T-shirt et cardigan,,,,tişört ve hırka takımı
26,bd_bukabuka_parka,,souite-shirt à capuche,,,,bol kapüşonlu sweatshirt
27,bd_cat,,,,,"disfraz de gato, 4",çizgili kedi kostümü
35,bd_used_style,,souite-shirt rétro,,,,retro sweatshirt
36,bd_shirts_in_pants,,ensemble pantalon et chemise,,,,gömlek ve pantolon takımı
37,bd_favorite_sweat,,ensemble jeans et souite à capuche,,,,kapüşonlu üst ve kot takımı
45,bd_wanpaku,,ensemble short et débardeur,,,,atlet ve şort takımı
47,bd_ribbon,,,,,vestido conn lazos,kabarık fiyonklu elbise
49,bd_leopard,,souite-shirt léopard,,,,leopar desenli sweatshirt
54,bd_shirts_G,,ensemble jeans et cardigan,,,,hırka ve ispanyol paça takımı
60,bd_ensemble,,ensemble jupe et cardigan,,,,hırka ve etek takımı
64,bd_short_shirts,,chemise à manches courtes,,,,kısa kollu gömlek
67,bd_pink_parka,,veste à capuche pour fille,,,,kız ceketi
69,bd_zire,,ensemble chemisette et gilet,,,,baklava desenli yelek
78,bd_rollup,,souite à manches courtes,,,,kısa kollu spor üst
89,bd_s_interior,,tenue du magasin d'intérieurs,,,traje de in terioris ta,mobilya mağazası üniforması
96,bd_arabia,,habit de princesse orientale,,,,Arap prensesi kıyafeti
97,bd_boy_idol,,costume de boïz-bande,,,,erkek pop grubu kıyafeti
99,bd_bow_pants,,ensemble short et nœud papillon,,,,papyon ve şort takımı
107,bd_swim_male,,maillodbain,,,,mayo
135,bd_blazer_male,,ensemble pantalon et blazer,,,,erkek blazer takımı
136,bd_blazer_female,,ensemble jupe et blazer,,,,kız blazer takımı
139,bd_jacket_Tshirts,,ensemble T-shirt et blouson,,,,ceket ve tişört takımı
151,bd_sweat_shortpants,,ensemble short et souite,,,,sweatshirt takımı
153,bd_damage,,djinn usé,,,,yırtık kot
154,bd_pop_swim,,maillodbain de plage,,,,tatil mayosu
158,bd_tennis,,tenue de tennis féminine,,,,kadın tenis kıyafeti
163,bd_black_cutsaw,,ensemble sous-pull et T-shirt,,,,çift katlı üst
167,bd_baseball_shirts,,ensemble short et T-shirt à raglan,,,,raglan üst ve şort takımı
173,bd_anime,,uniforme de jeunnfille,,,,kız elbisesi
174,bd_ethnic,,,,,camisa eétnica,etnik gömlek
178,bd_tartan,,,,,camisa tartánn,tartan gömlek
187,bd_ethnicskirt,,,,,falda eétnica,etnik etek
188,bd_chemical,,ensemble jeans et chemise,,,,gömlek ve kot takımı
194,bd_white_swim,,maillodbain uni,,,,sade mayo
196,bd_fairy,,,,,disfraz dea hada,peri kostümü
201,bd_bellbottom,,pantalon pattdef,,,,ispanyol paça pantolon
207,bd_denim_skirt,,minijupe en jeans,,,,kot mini etek
208,bd_bukabuka_cutsaw,,swite avec un logo,,,,rap tişörtü
209,bd_fleece,,,,giacca di pàil,,polar ceket
214,bd_girl_cropped,,,,,vestido conn logo,logolu elbise
225,bd_jacket_jeans,,ensemble jeans et blouson,,,,ceket ve kot takımı
