"Index","Label","StyleIndex","RegionWidth","StyleLineLimit","FontIndex","English","Dutch","French","German","Italian","Portuguese","Russian","Spanish","Turkish","SoftMaxChars","SoftMaxLineChars","MaxExistingLines","TurkishChars","TurkishMaxLineChars","LengthStatus","TranslatorNote"
"0","bt_comm_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"1","bt_comm_back","35","72","1","0","Back","Terug","Retour","Zurück","Indietro","Anterior","Назад","Atrás","Geri","8","8","1","4","4","OK",""
"2","bt_comm_next_2","41","72","1","0","Next","Volgende","Suivant","Weiter","Avanti","Seguinte","Далее","Siguiente","Sonraki","9","9","1","7","7","OK",""
"3","bt_comm_before","35","72","1","0","Previous","Vorige","Précédent","Zurück","Indietro","Anterior","Назад","Anterior","Önceki","9","9","1","6","6","OK",""
"4","bt_comm_ok","41","72","1","0","OK","Oké","OK","Okay","OK","OK","OK","Aceptar","Tamam","7","7","1","5","5","OK",""
"5","bt_comm_back_game","38","124","1","0","Return","Terug","Reprendre","Zurück","Torna al gioco","Anterior","Назад","Volver","Dön","14","14","1","3","3","OK",""
"6","base_comm","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"7","base_comm_home","104","159","1","0",": HOME Menu"," HOME-menu"," Menu HOME","HOME-Menü"," Menu HOME",": Menu HOME"," — меню HOME",": Menú HOME",": HOME Menüsü","13","13","1","14","14","OK",""
"8","base_comm_end","40","86","1","0","Menu","Menu","Menu","Verlassen","Al menu","Menu","Меню","Menú","Menü","9","9","1","4","4","OK",""
"9","base_comm_hint","36","128","1","0","Help","Uitleg","Aide","Hilfe","Consigli","Ajuda","Помощь","Ayuda","Yardım","8","8","1","6","6","OK",""
"10","base_comm_pause","180","109","1","0","PAUSED","PAUZE","PAUSE","PAUSE","PAUSA","EM PAUSA","ОСТАНОВЛЕНО","PAUSA","DURAKLATILDI","11","11","1","12","12","OK",""
"11","base_comm_a","105","203","4","0","Press the
A Button.","Druk op de
A-knop.","Appuyez sur
le bouton A.","Drücke den
A-Knopf.","Premi il
pulsante A.","Prima o 
botão A.","Нажми
кнопку A.","Pulsa el botón A","A Düğmesine
bas.","23","16","2","15","11","OK",""
"12","bar_comm_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"13","bar_comm_next","32","232","1","0","Next!","Volgende!","Niveau suivant !","Weiter geht's!","AVANTI!","Seguinte!","Еще!","¡Adelante!","Sonraki!","16","16","1","8","8","OK",""
"14","bar_comm_dragon","32","232","1","0","Beat the dragon!","Versla de draak!","Battez le dragon !","Kämpf ihn nieder!","Sconfiggi il drago!","Vença o dragão!","Победи дракона!","¡Acaba con él!","Ejderhayı yen!","19","19","1","14","14","OK",""
"15","bar_comm_clear","32","232","1","0","CLEAR!","UITSTEKEND!","TERMINÉ !","Spitze!","COMPLETATO!","SUPERADO!","ГОТОВО!","¡Fase superada!","TAMAMLANDI!","15","15","1","11","11","OK",""
"16","bar_comm_allclear","30","232","1","0","Congratulations!","Gefeliciteerd!","Félicitations !","Glückwunsch!","Ce l'hai fatta!","Parabéns!","Молодец!","¡Enhorabuena!","Tebrikler!","16","16","1","10","10","OK",""
"17","bar_comm_shot","130","174","1","0","Shoot with !","Schiet met !","Tirez avec  !","Mit  schießen!","Tira con !","Aponte com !"," — удар!","¡Dispara con !"," ile ateş et!","15","15","1","14","14","OK",""
"18","bar_comm_shot_2","28","350","1","0","Shoot with !","Schiet met !","Tirez avec  !","Mit  schießen!","Tira con !","Dispare com !"," — выстрел!","¡Golpea con !"," ile ateş et!","15","15","1","14","14","OK",""
"19","bar_comm_hint_2","28","350","1","0","That's it! Keep it up!","Goed zo!","Parfait, ne lui laissez aucun répit !","Genau so!","Bel colpo!","É isso!","Прекрасно!","¡Así se hace!","İşte bu! Devam!","37","37","1","15","15","OK",""
"20","bar_comm_rest","161","300","2","0","Take breaks to prevent fatigue.","Neem regelmatig een pauze.","Faites des pauses régulièrement.
","Lege regelmäßig Pausen ein.","Fai una pausa per non stancarti.","Faça pausas frequentes.","Делай перерывы, чтобы не устать.","Procura descansar de vez
en cuando.","Yorulmamak için ara ver.","34","32","2","24","24","OK",""
"21","bar_comm_rest_2","162","180","1","0","Dear players...","    Beste speler...","Cher joueur...","   Lieber Spieler...","Ricorda...","  Caro jogador...","  Дорогой игрок...","  Estimado jugador:","Sevgili oyuncu...","20","20","1","17","17","OK",""
"22","pause_comm_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"23","pause_comm_txt","10","256","2","0","Quit [[C:0001:0001:]]?","Wil je stoppen met [[C:0001:0001:]]?","Quitter [[C:0001:0001:]]?","[[C:0001:0001:]] beenden?","Vuoi uscire da
[[C:0001:0001:]]?","Sair de [[C:0001:0001:]]?","Выйти из игры
[[C:0001:0001:]]?","¿Quieres salir de
[[C:0001:0001:]]?","[[C:0001:0001:]] kapatılsın mı?","20","20","2","15","15","OK",""
"24","result_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"25","result_title","217","184","1","0","Results","Uitslag","Résultats","Ergebnis","Risultati","Resultado","Результаты","Resultado","Sonuçlar","10","10","1","8","8","OK",""
"26","result_cleartime","203","228","1","0","Clear Time","Tijd","Temps","Benötigte Zeit","Tempo","Tempo","Время","Tiempo empleado","Bitirme Süresi","15","15","1","14","14","OK",""
"27","result_cleartime_2","","","","","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","[[C:0001:0000:]]:[[C:0001:0000:]]","1","1","1","1","1","OK",""
"28","result_clearpoint","203","228","1","0","Total","Totaal","Total","Gesamt","Totale","Total","Всего","Total","Toplam","6","6","1","6","6","OK",""
"29","result_clearpoint_2","","","","","[[C:0001:0000:]] pts","[[C:0001:0000:]] pt.","[[C:0001:0000:]] pts","[[C:0001:0000:]] Pkte","[[C:0001:0000:]] pti","[[C:0001:0000:]] pts","[[C:0001:0000:]]","[[C:0001:0000:]] pts.","[[C:0001:0000:]] puan","5","5","1","5","5","OK",""
"30","result_clearpoint_3","212","155","1","0","[[C:0001:0000:]] pts × [[C:0001:0000:]]","[[C:0001:0000:]] pt. × [[C:0001:0000:]]","[[C:0001:0000:]] pts × [[C:0001:0000:]]","[[C:0001:0000:]] Pkte × [[C:0001:0000:]]","[[C:0001:0000:]] pti × [[C:0001:0000:]]","[[C:0001:0000:]] pts × [[C:0001:0000:]]","[[C:0001:0000:]] × [[C:0001:0000:]]","[[C:0001:0000:]] pts. x [[C:0001:0000:]]","[[C:0001:0000:]] puan × [[C:0001:0000:]]","8","8","1","8","8","OK",""
"31","result_clearpoint_4","215","200","1","0","0 pts","0 pt.","0 pt","0 Pkte","0 pti","0 pts","0","0 pts.","0 puan","6","6","1","6","6","OK",""
"32","result_clearshot","203","228","1","0","Shots to Clear","Aantal voltreffers","Nombre de tirs","Benötigte Stöße","Colpi usati","Tacadas","Ударов","Golpes totales","Vuruş Sayısı","18","18","1","12","12","OK",""
"33","result_clearshot_2","","","","","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","[[C:0001:0000:]]","0","0","1","0","0","OK",""
"34","result_ranking","217","184","1","0","Top Three","Ranglijst","Records","Bestenliste","Migliori tre","Classificação","Три лучших","Clasificación","İlk Üç","13","13","1","6","6","OK",""
"35","result_first","198","53","1","0","1st","1e","1er","1.","1°","1.º","1-й","1.°","1.","3","3","1","2","2","OK",""
"36","result_second","200","53","1","0","2nd","2e","2e","2.","2°","2.º","2-й","2.°","2.","3","3","1","2","2","OK",""
"37","result_third","202","53","1","0","3rd","3e","3e","3.","3°","3.º","3-й","3.°","3.","3","3","1","2","2","OK",""
"38","result_now","208","84","1","0","You","Jij","Score","Du","Tot:","Fez","Эта игра","Última","Sen","8","8","1","3","3","OK",""
"39","result_new","8","82","1","0","NEW","Nieuw","Nouv.","NEU","Nuovo","NOVO","Новый","Nuevo","YENİ","5","5","1","4","4","OK",""
"40","result_none","","","","","-","-","-","-","-","-","-","-","-","1","1","1","1","1","OK",""
"41","ready_","","","","","","","","","","","","","","0","0","1","0","0","BOŞ",""
"42","ready_before","50","180","1","0","Getting started...","Om te beginnen...","Préparatifs","Spielvorbereitung...","Prima di iniziare...","Antes de jogar...","Приготовься...","Antes de empezar...","Başlamadan önce...","20","20","1","18","18","OK",""
"43","ready_explain1","49","300","2","0","Take out the [[C:0000:0003:0000]]? Card[[C:0000:0003:FFFF]].","Haal de [[C:0000:0003:0000]]?-kaart[[C:0000:0003:FFFF]] uit de verpakking.","Prenez la [[C:0000:0003:0000]]carte ?[[C:0000:0003:FFFF]].","Nimm die [[C:0000:0003:0000]]?-Karte[[C:0000:0003:FFFF]] zur Hand.","Prendi la [[C:0000:0003:0000]]carta RA ?[[C:0000:0003:FFFF]].","Utilize o [[C:0000:0003:0000]]Cartão[[C:0000:0003:FFFF]] [[C:0000:0003:0000]]?[[C:0000:0003:FFFF]].","Возьми [[C:0000:0003:0000]]карту «?»[[C:0000:0003:FFFF]].","Ten a mano la [[C:0000:0003:0000]]tarjeta ?[[C:0000:0003:FFFF]].","[[C:0000:0003:0000]]? Kartını[[C:0000:0003:FFFF]] çıkar.","34","34","1","16","16","OK",""
"44","ready_explain2","45","300","2","0","Place it on a [[C:0000:0003:0000]]flat surface[[C:0000:0003:FFFF]].","Plaats hem op een
[[C:0000:0003:0000]]platte ondergrond[[C:0000:0003:FFFF]].","Posez-la sur une [[C:0000:0003:0000]]surface plane[[C:0000:0003:FFFF]].","Lege sie auf eine [[C:0000:0003:0000]]ebene Fläche[[C:0000:0003:FFFF]].","Appoggiala su una [[C:0000:0003:0000]]superficie piatta[[C:0000:0003:FFFF]].","Coloque-o numa [[C:0000:0003:0000]]superfície plana[[C:0000:0003:FFFF]].","Положи ее на [[C:0000:0003:0000]]ровную
поверхность[[C:0000:0003:FFFF]].","Colócala sobre una [[C:0000:0003:0000]]superficie plana[[C:0000:0003:FFFF]].","[[C:0000:0003:0000]]Düz bir zemine[[C:0000:0003:FFFF]] koy.","36","36","2","19","19","OK",""
"45","ready_front","47","180","1","0","Front","Voorkant","Bas","","Parte inferiore","Parte Anterior","Ближний край","Parte inferior","Ön","15","15","1","2","2","OK",""
"46","ready_back","46","140","1","0","Back","Achterkant","Haut","","Parte superiore","Parte Posterior","Дальний край","Parte superior","Arka","15","15","1","4","4","OK",""
