label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,Fantastös! Dafür verdienst du einen Prezzo!,Zing-a-rama! You deserve a prezzo for that!,"Pequeñiqui, ¡te mereces un premiurri\nde los gordos!",Bien ouéj ! T'as mérité un p'tit cadeau !,Zigzarama! È il tuo giorno fortunello!\nTi meriti un premio!,Sodeju! Daar verdien je wel een beloninkje\nvoor!,Şahane-rama! Buna bir\nödülcük yakışır!
CharaSerif_00_F,1,,,,,,,
CharaSerif_40_M,2,\u000E\u0000\u0003\u0004ﾑ＞Gourmet-Brenner\u000E\u0000\u0003\u0004\u0000＀ erhalten!,You got a \u000E\u0000\u0003\u0004ﾑ＞Searing Torch\u000E\u0000\u0003\u0004\u0000＀!,¡Has obtenido un \u000E\u0000\u0003\u0004ﾑ＞soplete\u000E\u0000\u0003\u0004\u0000＀!,Vous avez obtenu un \u000E\u0000\u0003\u0004ﾑ＞chalumeau\u000E\u0000\u0003\u0004\u0000＀ !,Hai ottenuto un \u000E\u0000\u0003\u0004ﾑ＞cannello da cucina\u000E\u0000\u0003\u0004\u0000＀!,Je hebt een \u000E\u0000\u0003\u0004ﾑ＞keukenbrander \u000E\u0000\u0003\u0004\u0000＀ontvangen!,Bir \u000E\u0000\u0003\u0004ﾑ＞Mutfak Pürmüzü\u000E\u0000\u0003\u0004\u0000＀ aldın!
CharaSerif_40_F,3,,,,,,,
CharaSerif_41_M,4,Mit diesem feschen Flämmchen kann ein\nSushi-Geist sein Suuush suuuper \u000E\u0000\u0003\u0004껿＀aufwerten\u000E\u0000\u0003\u0004\u0000＀!,"When a sushi sprite uses this, it sears some\nof your sushi for a delicious \u000E\u0000\u0003\u0004ﾑ＞quality upgrade\u000E\u0000\u0003\u0004\u0000＀!","Cuando un genio lo usa, ¡\u000E\u0000\u0003\u0004껿＀mejora \u000E\u0000\u0003\u0004\u0000＀el sushuqui\nque da gusto!",Ça permet à une sushinité de griller certains\nsushis pour les rendre \u000E\u0000\u0003\u0004껿＀plus puissants\u000E\u0000\u0003\u0004\u0000＀ !,"Uno spirito lo usa per abbrustolire un po' del\nsushame, rendendolo \u000E\u0000\u0003\u0004껿＀più potente\u000E\u0000\u0003\u0004\u0000＀!",Met deze brander kan een sushigami je\nsushi grillen en in \u000E\u0000\u0003\u0004껿＀kwaliteit verbeteren\u000E\u0000\u0003\u0004\u0000＀!,Bir ruh bunu kullanınca suşini kızartıp\n\u000E\u0000\u0003\u0004ﾑ＞kalite yükseltmesi\u000E\u0000\u0003\u0004\u0000＀ sağlar!
CharaSerif_41_F,5,,,,,,,
CharaSerif_01_M,6,Also... Wer BIST du denn nun eigentlich?\nZum Imperium gehörst du jedenfalls nicht.,"So...who are you, anyway? You're not\nwith the Empire, right?","Bueno, ya en serio... ¿quién demonios eres?\nNo serás del Imperio...","Vous êtes qui, au juste ? Vous avez pas l'air\nde vous battre pour l'Empire, en tout cas...","Insomma... si può sapere chi sei? Non sei\nuno dell'Impero, vero?",Maar wie ben je nou? Hoor je bij het\nKeizerrijk?,"Peki... sen kimsin? İmparatorluk'tan\ndeğilsin, değil mi?"
CharaSerif_01_F,7,,"So...who are you, anyway? You're not\nwith the Empire, right?",,,,,"Peki... sen kimsin? İmparatorluk'tan\ndeğilsin, değil mi?"
CharaSerif_02_M,8,"Sogar für die Imperialen ist Sushi heilig\ngenug, um es nicht Suuush zu nennen...","Even the Empire holds sushi sacred enough\nnot to stoop to calling it ""soosh.""","Hasta el Imperio respeta el sushi lo suficiente\ncomo para no llamarlo ""sushirrín""...",Même l'Empire respecte assez les sushis\npour ne pas les appeler des « shisus ».,Perfino l'Impero ha abbastanza rispetto\nper il sushi da parlarne come si deve.,Het Keizerrijk heeft te veel respect voor sushi\nom het soesj te noemen.,"İmparatorluk bile suşiyi o kadar kutsal görür ki\nona ""suş"" demeye tenezzül etmez."
CharaSerif_02_F,9,,,,,,,
CharaSerif_03_M,10,"Ihr wollt es sicher vertraut und so.\nVornamen, ja? Dann nennt mich Rio!","You wanna be on a first-name basis, huh?\nThen go ahead and call me Rio.","Ah, que quieres una presentación formal...\nPuedes llamarme Rio.",Tu veux connaître mon petit nom ?\nAppelle-moi Rio.,"Vuoi sapere come mi chiamano gli amici?\nIl nome è Rio, allora.",Jij plakt zeker graag naampjes op dingetjes!\nNoem mij dan maar Rio.,"Demek adımla konuşmak istiyorsun, ha?\nO zaman bana Rio de gitsin."
CharaSerif_03_F,11,,,,,,,
CharaSerif_04_M,12,Und beim Imperium hört es für mich nicht auf.\nMein Näschen steckt in jedem Sushi-Büffet!,And I don't limit myself to the Empire!\nI got my fingers in a lot of sushi pies!,¡Y no soy del Imperio ni de nadie!\n¡El sushi es mi hogar!,L'Empire n'est pas assez vaste pour moi. Je\nmets la main dans tous les pots à... shisus !,E non mi limito all'Impero! A spartirci la\ntorta di sushi siamo in tanti!,En ik hoor overal bij. Ik heb soesj in een\nheleboel pap.,Üstelik kendimi İmparatorluk'la da sınırlamam!\nParmağım bir sürü suşi turtasında!
CharaSerif_04_F,13,,,,,,,
CharaSerif_05_M,14,"Wie, in den Sushi drin?\nIgittigitt.",Sushi...pies? Eww.,"Ostras, pues echará un pestazo\nque no veas...","Des pots... pour les sushis ?\nJe ne vous suis pas, là...",Torta di... sushi? Bleah.,Sushi in je pap? Gadver.,Suşi... turtası mı? Iyy.
CharaSerif_05_F,15,,Sushi...pies? Eww.,,,,,Suşi... turtası mı? Iyy.
