label,index,deu,eng,esp,fra,ita,nld,tur
SushiName_None,0,(Nichts ausgewählt),None,Ninguno,Rien,Nessuno,Geen,Yok
SushiName_Kappa,1,Kappa-Sushi,Cucumber Roll,Maki de pepino,Maki concombre,Kappa maki,Komkommer,Salatalık Rulosu
SushiFavPowerName_Kappa,2,Kolossalium,Potassi-Yum,Flipotasio,Potah Cyum,Potassi-Gnam,Smikkalium,Potasyummm
SushiFavPowerName_Kappa_lc,3,Kolossalium,Potassi-Yum,flipotasio,Potah Cyum,Potassi-Gnam,smikkalium,Potasyummm
SushiName_Tamago,4,Ei,Egg,Huevo,Œuf,Tamago,Omelet,Yumurta
SushiFavPowerName_Tamago,5,Expertitin,Bio-T,Cascaroides,Byoth Ihn,Bio-T,Vitahine,Biyo-Tin
SushiFavPowerName_Tamago_lc,6,Expertitin,Bio-T,cascaroides,Byoth Ihn,Bio-T,vitahine,Biyo-Tin
SushiName_Inari,7,Inari-Sushi,Inari Sushi,Inari,Inarizushi,Inarizushi,Inari,İnari Suşi
SushiFavPowerName_Inari,8,Wohligdän,Molyb-D,Fritanol,Moh Libden,Molyb-D,Poliepdeen,Molib-Den
SushiFavPowerName_Inari_lc,9,Wohligdän,Molyb-D,fritanol,Moh Libden,Molyb-D,poliepdeen,Molib-Den
SushiName_CornWarship,10,Edamame,Edamame,Edamame,Edamame,Edamame,Edamame,Edamame
SushiFavPowerName_CornWarship,11,Brutalinolsäure,Lino-Ace,Ácido frijoleico,Acyd Lynol,Lino-Ax,Linol-1-zuur,Lino-Aş
SushiFavPowerName_CornWarship_lc,12,Brutalinolsäure,Lino-Ace,ácido frijoleico,Acyd Lynol,Lino-Ax,linol-1-zuur,Lino-Aş
SushiName_Aji,13,Makrele,Horse Mackerel,Jurel,Chinchard,Aji,Makreel,İstavrit
SushiFavPowerName_Aji,14,Multipunktat,Ino-Ace,Escabechol,Acyd Inoz,Ino-Ax,Fosvraatzuur,İno-Aş
SushiFavPowerName_Aji_lc,15,Multipunktat,Ino-Ace,escabechol,Acyd Inoz,Ino-Ax,fosvraatzuur,İno-Aş
SushiName_Ika,16,Tintenfisch,Squid,Calamar,Calamar,Ika,Inktvis,Kalamar
SushiFavPowerName_Ika,17,Physin,Ly-C,Tintina,Lyz Ihn,Ly-C,Lunsine,Li-Zin
SushiFavPowerName_Ika_lc,18,Physin,Ly-C,tintina,Lyz Ihn,Ly-C,lunsine,Li-Zin
SushiName_Salmon,19,Lachs,Salmon,Salmón,Saumon,Shake,Zalm,Somon
SushiFavPowerName_Salmon,20,Tickticktin,A-Tax,Ácido omegaguay,Asth Axant,A-Tax,A-tax,Asta-Tak
SushiFavPowerName_Salmon_lc,21,Tickticktin,A-Tax,ácido omegaguay,Asth Axant,A-Tax,A-tax,Asta-Tak
SushiName_EbimayoWarship,22,Garnele-Mayo,Creamy Shrimp,Gambas con mayonesa,Crevette mayo,Ebi-mayo gunkan,Garnalen met mayo,Kremalı Karides
SushiFavPowerName_EbimayoWarship,23,Natricksrum,Natri-Yum,Pringosina,Soh Dyum,Natri-Gnam,Nassium,Sodyummm
SushiFavPowerName_EbimayoWarship_lc,24,Natricksrum,Natri-Yum,pringosina,Soh Dyum,Natri-Gnam,nassium,Sodyummm
SushiName_Ebi,25,Garnele,Shrimp,Gamba,Crevette,Ebi,Garnaal,Karides
SushiFavPowerName_Ebi,26,Klarginin,Arg-9,Ácido crustácido,Arjinn Ihn,Arg-9,Garnine,Arji-Nin
SushiFavPowerName_Ebi_lc,27,Klarginin,Arg-9,ácido crustácido,Arjinn Ihn,Arg-9,garnine,Arji-Nin
SushiName_Tako,28,Oktopus,Octopus,Pulpo,Poulpe,Tako,Octopus,Ahtapot
SushiFavPowerName_Tako,29,Fitamin P,Cobal,Tentaculina,Kobalam Ihn,Cobal,Vitabine 12,Kobala-Min
SushiFavPowerName_Tako_lc,30,Fitamin P,Cobal,tentaculina,Kobalam Ihn,Cobal,vitabine 12,Kobala-Min
SushiName_NegitoroWarship,31,Thunfisch-Tartar,Minced Tuna,Atún picado,Tartare de thon,Negitoro gunkan,Tonijntartaar,Kıyılmış Ton Balığı
SushiFavPowerName_NegitoroWarship,32,Abwehrbinsäure,Asco-Ace,Triturol,Acyd Askor,Asco-Ax,Vitacine,Askor-Aş
SushiFavPowerName_NegitoroWarship_lc,33,Abwehrbinsäure,Asco-Ace,triturol,Acyd Askor,Asco-Ax,vitacine,Askor-Aş
SushiName_Katuo,34,Bonito,Bonito,Bonito,Bonite,Katsuo,Bonito,Palamut
SushiFavPowerName_Katuo,35,Bombonon,Iron,Ácido mojámico,Pheyr,Ferx,YZR,Demir
SushiFavPowerName_Katuo_lc,36,Bombonon,Iron,ácido mojámico,Pheyr,Ferx,YZR,Demir
SushiName_SalmonRoast,37,Grill-Lachs,Seared Salmon,Salmón soasado,Saumon flambé,Aburi shake,Gegrilde zalm,Mühürlenmiş Somon
SushiFavPowerName_SalmonRoast,38,Tickticktin Z,A-Tax Z,Ácido omegaguay +,Asth Axant Z,A-Tax Z,A-tax Z,Asta-Tak Z
SushiFavPowerName_SalmonRoast_lc,39,Tickticktin Z,A-Tax Z,ácido omegaguay +,Asth Axant Z,A-Tax Z,A-tax Z,Asta-Tak Z
SushiName_Buri,40,Seriola,Yellowtail,Buri,Sériole,Buri,Geelvinmakreel,Sarıkuyruk
SushiFavPowerName_Buri,41,Omega-Deluxe,Omega D,Rechupetoides,Acyd Dokossa,Omega D,Omega D,Omega D
SushiFavPowerName_Buri_lc,42,Omega-Deluxe,Omega D,rechupetoides,Acyd Dokossa,Omega D,omega D,Omega D
SushiName_CaliforniaRoll,43,California Roll,California Roll,California roll,California roll,California roll,California roll,Kaliforniya Rulosu
SushiFavPowerName_CaliforniaRoll,44,Allet-Jut,Io-9,Alatripina,Yod Ihn,Io-9,Jodi-mjam,İyo-T
SushiFavPowerName_CaliforniaRoll_lc,45,Allet-Jut,Io-9,alatripina,Yod Ihn,Io-9,jodi-mjam,İyo-T
SushiName_Bintoro,46,Weißer Thun,Fatty Albacore Tuna,Atún blanco,Thon blanc,Bintoro,Witte tonijn,Yağlı Albakor Ton Balığı
SushiFavPowerName_Bintoro,47,Nia-Zing,Nia-Zin,Palidol,Nyas Ihn,Nia-Zin,Vitabine 3,Niya-Sin
SushiFavPowerName_Bintoro_lc,48,Nia-Zing,Nia-Zin,palidol,Nyas Ihn,Nia-Zin,vitabine 3,Niya-Sin
SushiName_Engawa,49,Flunder,Flounder,Platija,Limande,Engawa,Bot,Pisi Balığı
SushiFavPowerName_Engawa,50,Riboflundin,Riboflavor,Panzalisina,Ryboflav Ihn,Ribox,Vitabine 2,Ribo-Lezzet
SushiFavPowerName_Engawa_lc,51,Riboflundin,Riboflavor,panzalisina,Ryboflav Ihn,Ribox,vitabine 2,Ribo-Lezzet
SushiName_EbiRoast,52,Grill-Garnele,Seared Shrimp,Gamba soasada,Crevette flambée,Aburi ebi,Gegrilde garnaal,Mühürlenmiş Karides
SushiFavPowerName_EbiRoast,53,Klarginin Z,Arg-9 Z,Ácido crustácido +,Arjinn Ihn Z,Arg-9 Z,Garnine Z,Arji-Nin Z
SushiFavPowerName_EbiRoast_lc,54,Klarginin Z,Arg-9 Z,ácido crustácido +,Arjinn Ihn Z,Arg-9 Z,garnine Z,Arji-Nin Z
SushiName_Hotate,55,Jakobsmuschel,Scallop,Vieira,Saint-Jacques,Hotate,Coquille,Deniz Tarağı
SushiFavPowerName_Hotate,56,Restaurin,Tor-9,Conchadurina,Tohr Ihn,Tor-9,Kauwrine,Tau-Rin
SushiFavPowerName_Hotate_lc,57,Restaurin,Tor-9,conchadurina,Tohr Ihn,Tor-9,kauwrine,Tau-Rin
SushiName_Amaebi,58,Süße Garnele,Sweet Shrimp,Gambas dulces,Crevette rose,Amaebi,Zoete garnaal,Tatlı Karides
SushiFavPowerName_Amaebi,59,α-Tocofair,Alpha-Toc,Caramelizol,Alfatho Koféroll,Alpha-Toc,Alfa-tofurol,Alfa-Tok
SushiFavPowerName_Amaebi_lc,60,α-Tocofair,Alpha-Toc,caramelizol,Alfatho Koféroll,Alpha-Toc,alfa-tofurol,Alfa-Tok
SushiName_Maguro,61,Thunfisch,Tuna,Atún,Thon rouge,Maguro,Tonijn,Ton Balığı
SushiFavPowerName_Maguro,62,Hautsdihin,Hist-9,Sibaritoides,Hystid Ihn,Hist-9,Diëtistidine,His-Tidin
SushiFavPowerName_Maguro_lc,63,Hautsdihin,Hist-9,sibaritoides,Hystid Ihn,Hist-9,diëtistidine,His-Tidin
SushiName_Ebitenroll,64,Garnelen-Tempura,Shrimp Tempura Roll,Maki de tempura,Crevette panée,Ebi-ten roll,Tempuragarnaal,Karides Tempura Rulosu
SushiFavPowerName_Ebitenroll,65,Seelen,Seleni-Yum,Rebozol,Céleh Nyum,Seleni-Gnam,Sel-1,Selenyummm
SushiFavPowerName_Ebitenroll_lc,66,Seelen,Seleni-Yum,rebozol,Céleh Nyum,Seleni-Gnam,sel-1,Selenyummm
SushiName_EngawaRoast,67,Grill-Flunder,Seared Flounder,Platija soasada,Limande flambée,Aburi engawa,Gegrilde bot,Mühürlenmiş Pisi Balığı
SushiFavPowerName_EngawaRoast,68,Riboflundin Z,Riboflavor Z,Panzalisina +,Ryboflav Ihn Z,Ribox Z,Vitabine 2 Z,Ribo-Lezzet Z
SushiFavPowerName_EngawaRoast_lc,69,Riboflundin Z,Riboflavor Z,panzalisina +,Ryboflav Ihn Z,Ribox Z,vitabine 2 Z,Ribo-Lezzet Z
SushiName_Anago,70,Meeraal,Saltwater Eel,Congrio,Congre,Anago,Zeepaling,Deniz Yılan Balığı
SushiFavPowerName_Anago,71,Stetinol,Retin-O,Fideína,Rhetyn Ohl,Retin-O,Zeetinol,Reti-Nol
SushiFavPowerName_Anago_lc,72,Stetinol,Retin-O,fideína,Rhetyn Ohl,Retin-O,zeetinol,Reti-Nol
SushiName_ShirasuWarship,73,Trogmuschel,Surf Clam,Almeja,Palourde hokkigai,Hokkigai,Surfmossel,Kum Midyesi
SushiFavPowerName_ShirasuWarship,74,Schmalzium,Calci-Yum,Delicalcio,Kahl Cyum,Calc-Gnam,Kokkolcium,Kalsiyummm
SushiFavPowerName_ShirasuWarship_lc,75,Schmalzium,Calci-Yum,delicalcio,Kahl Cyum,Calc-Gnam,kokkolcium,Kalsiyummm
SushiName_Torosalmon,76,Toro-Lachs,Fatty Salmon,Ventresca de salmón,Saumon gras,Shake toro,Vette zalm,Yağlı Somon
SushiFavPowerName_Torosalmon,77,Tickticktin X,Astax-X,Ácido omegaguay ++,Asth Axant X,Astax-X,A-tax X,Astax-X
SushiFavPowerName_Torosalmon_lc,78,Tickticktin X,Astax-X,ácido omegaguay ++,Asth Axant X,Astax-X,A-tax X,Astax-X
SushiName_Rainbowroll,79,Rainbow Roll,Rainbow Roll,Rainbow roll,Maki arc-en-ciel,Rainbow roll,Rainbow roll,Gökkuşağı Rulosu
SushiFavPowerName_Rainbowroll,80,Brachialsäure,Ole-Ace,Ácido coloreico,Acyd Olay,Ole-Ax,Zure olie,Ole-Aş
SushiFavPowerName_Rainbowroll_lc,81,Brachialsäure,Ole-Ace,ácido coloreico,Acyd Olay,Ole-Ax,zure olie,Ole-Aş
