label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Ein ganz besonderer Kampf steht an!\nFeine Sache, oder?",This is a special fight! Isn't that exciting?,Este combate hará historia. ¿No te tiemblan\nlas rodillas de la emoción?,Ce combat s'annonce historique !\nTu ne sens pas monter la pression ?,"Bello, questa è una battaglia speciale!\nForte, eh?",Dit wordt een speciaal gevecht. Knettergaaf!,"Bu özel bir savaş! Heyecan verici, değil mi?"
CharaSerif_00_F,1,,,,,"Bella, questa è una battaglia speciale!\nForte, eh?",,
CharaSerif_01_M,2,\u000E\u0000\u0002\u0002\u0096Ein Elektrolotto-Kaaampf!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096It's an erratic Thunder Battle!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Un combate de rayos!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096La foudre est capricieuse !\u000E\u0000\u0002\u0002d,"Uno spasso, Guerra di fulmini!",\u000E\u0000\u0002\u0002\u0096Een dondergevecht!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Bu dengesiz bir Yıldırım Savaşı!\u000E\u0000\u0002\u0002d
CharaSerif_01_F,3,,,,,,,
CharaSerif_02_M,4,"Diese Stromschläger-Kugeln hier wechseln\nimmer lustig ihre Farbe. \u000E\u0000\u0003\u0004껿＀Blau\u000E\u0000\u0003\u0004\u0000＀, \u000E\u0000\u0003\u0004껿＀rot\u000E\u0000\u0003\u0004\u0000＀, \u000E\u0000\u0003\u0004껿＀blau\u000E\u0000\u0003\u0004\u0000＀, \u000E\u0000\u0003\u0004껿＀rot\u000E\u0000\u0003\u0004\u0000＀...",This thing here is a thunder plate.\nIt'll change from \u000E\u0000\u0003\u0004껿＀blue\u000E\u0000\u0003\u0004\u0000＀ to \u000E\u0000\u0003\u0004껿＀red\u000E\u0000\u0003\u0004\u0000＀ as it sails past!,¡Este plato lleva el poder del rayo! Su color\ncambia entre \u000E\u0000\u0003\u0004껿＀azul\u000E\u0000\u0003\u0004\u0000＀ y \u000E\u0000\u0003\u0004껿＀rojo\u000E\u0000\u0003\u0004\u0000＀ al pasar.,Voici une assiette de foudre. Elle change de\ncouleur et passe du \u000E\u0000\u0003\u0004껿＀bleu \u000E\u0000\u0003\u0004\u0000＀au \u000E\u0000\u0003\u0004껿＀rouge\u000E\u0000\u0003\u0004\u0000＀ !,Questa roba qui è un piatto elettrico. Cambia\nda \u000E\u0000\u0003\u0004껿＀blu \u000E\u0000\u0003\u0004\u0000＀a \u000E\u0000\u0003\u0004껿＀rosso \u000E\u0000\u0003\u0004\u0000＀mentre ti passa davanti!,Dit dingetje is een donderbord. Het gaat van\n\u000E\u0000\u0003\u0004껿＀blauw\u000E\u0000\u0003\u0004\u0000＀ naar \u000E\u0000\u0003\u0004껿＀rood\u000E\u0000\u0003\u0004\u0000＀ terwijl het voorbij komt.,Şu gördüğün bir yıldırım tabağı.\nGeçerken \u000E\u0000\u0003\u0004껿＀mavi\u000E\u0000\u0003\u0004\u0000＀den \u000E\u0000\u0003\u0004껿＀kırmızı\u000E\u0000\u0003\u0004\u0000＀ya döner!
CharaSerif_02_F,5,,,,,,,
CharaSerif_03_M,6,"Schnapp dir das Ding, wenn es \u000E\u0000\u0003\u0004껿＀blau \u000E\u0000\u0003\u0004\u0000＀ist, um\ndeinem \u000E\u0000\u0003\u0004껿＀Gegner\u000E\u0000\u0003\u0004\u0000＀ einen \u000E\u0000\u0003\u0004껿＀Schock\u000E\u0000\u0003\u0004\u0000＀ zu verpassen!","Take it when it's \u000E\u0000\u0003\u0004껿＀blue\u000E\u0000\u0003\u0004\u0000＀, and your \u000E\u0000\u0003\u0004껿＀opponent\u000E\u0000\u0003\u0004\u0000＀\nis in for a \u000E\u0000\u0003\u0004껿＀big shock\u000E\u0000\u0003\u0004\u0000＀!","Si lo coges cuando está \u000E\u0000\u0003\u0004껿＀azul\u000E\u0000\u0003\u0004\u0000＀, ¡tu \u000E\u0000\u0003\u0004껿＀rival\u000E\u0000\u0003\u0004\u0000＀\nrecibirá una buena \u000E\u0000\u0003\u0004껿＀descarga\u000E\u0000\u0003\u0004\u0000＀!","Ramasse-la lorsqu'elle est \u000E\u0000\u0003\u0004껿＀bleue\u000E\u0000\u0003\u0004\u0000＀, et ton\n\u000E\u0000\u0003\u0004껿＀adversaire\u000E\u0000\u0003\u0004\u0000＀ le \u000E\u0000\u0003\u0004껿＀sentira passer\u000E\u0000\u0003\u0004\u0000＀ !",Piglialo quando è \u000E\u0000\u0003\u0004껿＀blu \u000E\u0000\u0003\u0004\u0000＀e l'avversario si\nbeccherà una bella \u000E\u0000\u0003\u0004껿＀scossetta\u000E\u0000\u0003\u0004\u0000＀! Zap!,"Als je het pakt als het \u000E\u0000\u0003\u0004껿＀blauw\u000E\u0000\u0003\u0004\u0000＀ is, krijgt je\n\u000E\u0000\u0003\u0004껿＀tegenstander \u000E\u0000\u0003\u0004\u0000＀me daar toch een \u000E\u0000\u0003\u0004껿＀schok\u000E\u0000\u0003\u0004\u0000＀!",\u000E\u0000\u0003\u0004껿＀mavi\u000E\u0000\u0003\u0004\u0000＀yken al; \u000E\u0000\u0003\u0004껿＀rakibin\u000E\u0000\u0003\u0004\u0000＀\nfena \u000E\u0000\u0003\u0004껿＀çarpılacak\u000E\u0000\u0003\u0004\u0000＀!
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,"Aber Vorsicht! Nimmst du die Kugel, wenn\nsie \u000E\u0000\u0003\u0004껿＀rot \u000E\u0000\u0003\u0004\u0000＀ist, steckst du die Volts selbst ein!","Then again! Take it when it's \u000E\u0000\u0003\u0004껿＀red\u000E\u0000\u0003\u0004\u0000＀, and the\nvolt's on \u000E\u0000\u0003\u0004껿＀you\u000E\u0000\u0003\u0004\u0000＀!","¡Pero ojito! Si lo coges en \u000E\u0000\u0003\u0004껿＀rojo\u000E\u0000\u0003\u0004\u0000＀, ¡serás \u000E\u0000\u0003\u0004껿＀tú\nmismo\u000E\u0000\u0003\u0004\u0000＀ el que se la lleve!","Mais si elle est \u000E\u0000\u0003\u0004껿＀rouge \u000E\u0000\u0003\u0004\u0000＀quand tu la prends,\nc'est \u000E\u0000\u0003\u0004껿＀toi \u000E\u0000\u0003\u0004\u0000＀qui seras électrocuté !","Ma se lo prendi quando è \u000E\u0000\u0003\u0004껿＀rosso\u000E\u0000\u0003\u0004\u0000＀, allora\npreparati a elettrizzarti \u000E\u0000\u0003\u0004껿＀tu\u000E\u0000\u0003\u0004\u0000＀, bello!","Maar! Als je het pakt als het \u000E\u0000\u0003\u0004껿＀rood\u000E\u0000\u0003\u0004\u0000＀ is, word \u000E\u0000\u0003\u0004껿＀je\nzelf\u000E\u0000\u0003\u0004\u0000＀ geroosterd.","Ama \u000E\u0000\u0003\u0004껿＀kırmızı\u000E\u0000\u0003\u0004\u0000＀yken alırsan,\nçarpılan \u000E\u0000\u0003\u0004껿＀sen\u000E\u0000\u0003\u0004\u0000＀ olursun!"
CharaSerif_04_F,9,,,"¡Pero ojito! Si lo coges en \u000E\u0000\u0003\u0004껿＀rojo\u000E\u0000\u0003\u0004\u0000＀, ¡serás \u000E\u0000\u0003\u0004껿＀tú\nmisma\u000E\u0000\u0003\u0004\u0000＀ quien se la lleve!","Mais si elle est \u000E\u0000\u0003\u0004껿＀rouge \u000E\u0000\u0003\u0004\u0000＀quand tu la prends,\nc'est \u000E\u0000\u0003\u0004껿＀toi \u000E\u0000\u0003\u0004\u0000＀qui seras électrocutée !","Ma se lo prendi quando è \u000E\u0000\u0003\u0004껿＀rosso\u000E\u0000\u0003\u0004\u0000＀, allora\npreparati a elettrizzarti \u000E\u0000\u0003\u0004껿＀tu\u000E\u0000\u0003\u0004\u0000＀, bella!",,
CharaSerif_05_M,10,"\u000E\u0000\u0002\u0002\u0096Schockierend schön, was?\u000E\u0000\u0002\u0002d",\u000E\u0000\u0002\u0002\u0096Now let's get charged up!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Te haré ver las estrellas!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Ça va faire des étincelles !\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096A tutta scossa!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Schokkend gewoon!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Haydi şimdi şarj olalım!\u000E\u0000\u0002\u0002d
CharaSerif_05_F,11,,,,,,,
