label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Tag auch, Musashi.","Well, well. If it isn't Musashi.",Vaya... pero si es Musashi.,"Tiens donc, regardez qui voilà.\nMusashi.",Guarda un po' chi si rivede. Musashi...,"Kijk, kijk. Als dat Musashi niet is.",Vay vay. Bakın kim gelmiş: Musashi.
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,Was trägst'n du da?,What's with the badge?,¡Kojiro! ¿Y esa insignia que llevas ahí?,"T'as un badge, maintenant ?",Cos'è quel distintivo?,Wat draag je daar nou?,Bu rozet de ne?
CharaSerif_01_F,3,,What's with the badge?,,,,,Bu rozet de ne?
CharaSerif_03_M,4,"Nett, oder? Das Zeichen hier heißt, dass ich\nnun offiziell zur imperialen Armee gehöre.","Looks good on me, doesn't it? I'm officially\nan Imperial Army recruit now.",¿A que me queda bien? Ahora soy\noficialmente miembro del ejército imperial.,"C'est la classe, pas vrai ? Tu as devant toi\nune recrue officielle de l'armée impériale.","Mi dona, eh? Ora sono ufficialmente una\nrecluta dell'esercito imperiale.","Staat me goed, hè? Ik ben nu officieel een\nrekruut van het keizerlijke leger.","Bende yakıştı, değil mi? Artık resmen\nİmparatorluk Ordusu acemisiyim."
CharaSerif_03_F,5,,,,,,,
CharaSerif_04_M,6,Du bist so dermaßen daneben...,The nerve of this guy...,No tienes vergüenza...,"Décidément, tu recules devant rien...",(Certo che ha un bel coraggio...),Wat een kneus ben je toch.,Şunun cüretine bak...
CharaSerif_04_F,7,,The nerve of this guy...,,,,,Şunun cüretine bak...
CharaSerif_05_M,8,Musst DU gerade sagen!\nBist du jetzt echt bei der Befreiungsfront?,You're one to talk. Did you seriously join\nthe SLF?,"Mira quién habla, el que se alista en el FLS.","Tu peux parler. Il paraît que tu fais joujou\navec le FLS, maintenant ?","Tu, piuttosto, fai davvero parte del FLS?","Nee, jij dan! Zit je echt bij het\nSushi-verzetsleger?",Senin konuşmana bak. Cidden\nSLF'ye mi katıldın?
CharaSerif_05_F,9,,,"Mira quién habla, la que se alista en el FLS.",,,,
CharaSerif_06_M,10,"Na, und ob! Damit alle auf der Welt\nSushi essen können!",Heck yeah I did! I'm gonna bring sushi to\nthe whole wide world!,¡Lo hago por una causa noble! ¡Quiero\nun mundo con sushi al alcance de todos!,"Oui, monsieur ! Je veux que le monde\nentier puisse se régaler de sushis !",Certo che sì! Farò conoscere il sushi\nal mondo intero!,Jazeker! Ik ga zorgen dat de hele wereld\nsushi kan eten!,Tabii ki yaptım! Suşiyi\nkoca dünyaya yayacağım!
CharaSerif_06_F,11,,Heck yeah I did! I'm gonna bring sushi to\nthe whole wide world!,,,,,Tabii ki yaptım! Suşiyi\nkoca dünyaya yayacağım!
CharaSerif_07_M,12,"Pffft. So ein Käse. Franklin hat dir\nwohl das Gehirn gewaschen, was?","What a rube. That Franklin sure got his\nhooks in you, huh?","Qué historias te montas... El tal Franklin\nte ha engatusado a base de bien, ¿eh?",Ce qu'il faut pas entendre... Ce Franklin\nt'a complètement retourné le cerveau.,"Povero illuso. Franklin ti ha incastrato, eh?","Die Franklin heeft je goed gehersenspoeld,\nhè?","Ne saf adamsın. Franklin seni fena\navlamış, ha?"
CharaSerif_07_F,13,,,,,"Povera illusa. Franklin ti ha incastrata, eh?",,
CharaSerif_08_M,14,"He, noch kannst du die Seiten wechseln!\nDas Imperium kann immer Leute brauchen.","It's not too late to change your mind, you\nknow. The Empire can always use people.","Nunca es tarde para cambiar de actitud, que\nlo sepas. El Imperio sabe agradecerlo.",Mais tu peux encore changer d'avis. On te\ntrouvera bien une place dans l'armée.,Puoi ancora cambiare idea. L'Impero ha\nsempre bisogno di nuovi alleati.,Je kunt nog van gedachten veranderen. Het\nKeizerrijk kan altijd mensen gebruiken.,Fikrini değiştirmek için geç değil.\nİmparatorluğun insana hep ihtiyacı var.
CharaSerif_08_F,15,,,,,,,
CharaSerif_09_M,16,"Und wenn ich dem Kaiser Jinrai bringe,\nmacht er mich sicher zum, äh, Mitkaiser!",I'm hoping I can be the one to nab Jinrai for\nthe Emperor. I'd be his right-hand man!,"Y si no, ¡yo me ocuparé de capturar a\nJinrai para llevarlo ante el emperador!","De mon côté, je rapporte Jinrai à l'empereur,\net je suis nommé bras droit !",Spero di riuscire a catturare Jinrai per\nl'Imperatore. Sarò il suo braccio destro!,Ik hoop dat ik de keizer Jinrai kan bezorgen.\nDan word ik meteen zijn rechterhand.,Jinrai'yi İmparator için kapan ben\nolmak istiyorum. Onun sağ kolu olurdum!
CharaSerif_09_F,17,,,,,,,
CharaSerif_11_M,18,"So was gibt's doch gar nicht, du Blödian!\nAußerdem wollen die alles Sushi für sich!","Get a grip, dumb-dumb! Why fight for the\nEmpire when they're hoarding all the sushi?!",¡El Imperio acapara el sushi! ¿Por qué estás\ncon ellos? ¿A cambio de migajas?,T'es malade ou quoi ? L'Empire accapare\ntous les sushis ! Pourquoi les aider ?,"Frena, testa di rapa! Combattere per l'Impero?\nQuelli vogliono tenersi tutto il sushi per loro!",Dank je de koekoek! Waarom zou ik voor het\nKeizerrijk vechten? Zij stelen alle sushi!,"Kendine gel, geri zekâlı! Suşinin hepsini\nistifleyen İmparatorluk için niye savaşıyorsun?!"
CharaSerif_11_F,19,,"Get a grip, dumb-dumb! Why fight for the\nEmpire when they're hoarding all the sushi?!",,,,,"Kendine gel, geri zekâlı! Suşinin hepsini\nistifleyen İmparatorluk için niye savaşıyorsun?!"
CharaSerif_12_M,20,"Mir doch recht. Ich zeig dir jetzt mal,\nwie gut wir Imperialen kämpfen können!",Have it your way. I'll show you the power\nyou get for joining up with the winning side!,No entiendes nada. ¡Te voy a enseñar el\npoder de quien lucha para el bando ganador!,Cause toujours. Tu vas découvrir la\npuissance des soldats de l'Empire.,Fai come ti pare. Ti farò vedere il potere\ndi chi sta dalla parte dei vincitori!,Wat jij wilt. Ik zal je laten zien hoe sterk je\nwordt als je de winnende kant kiest!,Nasıl istersen. Kazanan tarafa katılınca\nelde ettiğin gücü sana göstereceğim!
CharaSerif_12_F,21,,,,,,,
CharaSerif_13_M,22,"Das hier ist Hakkan, der superbesondere\nSushi-Geist, den ich bekommen habe!","Check out Hakkan, the extra-special\nsushi sprite they hooked me up with.","Te presento a Hakkan, un genio del sushi\nsuperexclusivo que me han asignado.","Je te présente Hakkan, la sushinité d'élite\nqu'on m'a tout naturellement attribuée.","Ti presento Hakkan, lo spirito del sushi\nsuper speciale che mi hanno affiancato.","Dit is Hakkan, de superspeciale sushigami\ndie ze me hebben gegeven.",Şuna bak: bana verdikleri süper özel\nsuşi ruhu Hakkan!
CharaSerif_13_F,23,,,,,,,
