label,index,deu,eng,esp,fra,ita,nld,tur
WndTxtExp,0,Erfahrung,Experience,Experiencia,Expérience,Esperienza,Ervaring,Deneyim
WndTxtNextLv,1,Level↑ in:,To Next Lv,Próx. nivel:,Niv. suivant,Nuovo livello,Volgend niv.,Sonraki Sev.
BtnForm,2,Form,Form,Forma,Forme,Forma,Vorm,Biçim
BtnAwakeLv1,3,Normal,Base,Primordial,Normale,Base,Normaal,Temel
BtnAwakeLv2,4,Erwacht,Awakened,Avanzada,Éveillée,Risvegliata,Ontwaakt,Uyanmış
BtnAwakeLv3,5,Erleuchtet,Ascendant,Definitiva,Évoluée,Evoluta,Volmaakt,Yücelmiş
BtnDecision,6,OK,OK,Aceptar,OK,OK,Oké,Tamam
MaskTxtSelectForm,7,Wähle deine gewünschte Form für diesen Geist.,Choose a preferred form for this Sushi Sprite.,Elige una forma para tu genio del sushi.,Choisissez la forme de votre sushinité.,Scegli una forma per questo spirito del sushi.,Kies je gewenste vorm voor deze sushigami.,Bu Suşi Ruhu için tercih ettiğin\nbiçimi seç.
WndTxtDiffecePower,8,Erhöht die\nEnergie (HP)\nvon Musashi!,Bonus to\nMusashi's\nHP.,Bonificación\nde PV para\nMusashi.,Nombre de\nPV bonus\npour Musashi,Bonus per\ni PV di\nMusashi.,Verhoogt\nMusashi's\nHP.,Musashi’nin\nCanına\nBonus.
TxtNotBattle,9,(Lern-Geister verdienen\n Kampf-Erfahrung mit.),These sprites will earn\nexperience outside of battle.,Genios que ganan experiencia\nfuera de los combates.,"Ils gagnent de l'expérience, mais\nne participent pas aux combats.",Questi spiriti guadagneranno\nesperienza senza partecipare.,Deze sushigami doen ervaring\nop zonder te vechten.,Bu ruhlar savaşa katılmadan\ndeneyim kazanır.
TxtNoSet,10,(Kein Geist gewählt),None set,Ninguno,Aucun,Nessuno,Geen,Ayarlanmadı
TxtSubTeam,11,Lern-Geister,Reserve Sprites,Reserva,Esprits en réserve,Spiriti di riserva,Reserveposities,Yedek Ruhlar
TxtDictionaryNo,12,%03d,#%03d,%03d,%03d,#%03d,#%03d,#%03d
TxtSkillLevel,13,Zauber-Lv.,Skill Lv,Niv. técnica,Niv. talent,Liv. abilità,Gave-niv.,Yetenek Sev.
TxtSushiDefault,14,Standard-Sushi,Standard Sushi,Sushi normal,Sushis standard,Sushi comune,Standaardsushi,Standart Suşi
TxtSushiFever,15,Festival-Sushi,Jubilee Sushi,Sushi de festival,Sushis de festival,Festival del sushi,Spektakelsushi,Şenlik Suşisi
TxtPlayerHpSelecting,16,-----,-----,-----,-----,-----,-----,-----
TxtSkillExp,17,%d%%,%d%%,%d%%,%d%%,%d%%,%d%%,%d%%
TxtGodFormation,18,Geister-Team,Sprite Order,Equipo,Ordre des esprits,Ordine spiriti,Teamindeling,Ruh Dizilimi
TxtWinRemoveFormation,19,"Dieser Sushi-Geist ist zurzeit in\neinem Geister-Team aufgestellt!\nEntferne ihn erst aus dem Team,\num ihm einen Lernplatz zuzuteilen.","This sushi sprite is the lead sprite in\nan Active Sprite group. To set it as a\nReserve Sprite, first remove it from\nits lead position elsewhere.","Este genio lidera un equipo\nde genios activos. Para pasarlo\na la reserva, quítalo de su posición\nde líder en el otro grupo.","Cette sushinité est à la tête d'un groupe\nd'esprits actifs. Pour la passer dans les\nesprits de réserve, changez d'abord sa\nposition dans les groupes actifs.","Questo spirito del sushi è il capo di\nquelli attivi. Per selezionarlo come\nriserva, rimuovilo prima dalla sua\nposizione di leader.",Deze sushigami staat aan het hoofd\nvan een team! Stel eerst een ander\nteamhoofd aan voordat je deze\nsushigami een reservepositie geeft.,Bu suşi ruhu etkin bir grubun lideri.\nYedek Ruh yapmak için önce başka yerdeki\nlider konumundan çıkar.
TxtExpMax,20,MAX,MAX,MÁX.,MAX,MAX,MAX.,MAKS
