label,index,deu,eng,esp,fra,ita,nld,tur
MovieSerifText_ED_0000_M,0,„World Goes Round“\n\nSängerin:\nMusashi (Rie Takahashi)\n\nMusik und Text:\nToshihiko Watanabe,"""World Goes Round""\nSinger: Musashi (Rie Takahashi)\nSongwriter: Toshihiko Watanabe","""World Goes Round""\nIntérprete: Musashi (Rie Takahashi)\nLetra: Toshihiro Watanabe",« World Goes Round »\nChant : Musashi (Rie Takahashi)\nAuteur : Toshihiko Watanabe,"""World Goes Round""\nVoce: Musashi (Rie Takahashi)\nAutore: Toshihiko Watanabe",'World Goes Round'\nGezongen door: Musashi (Rie Takahashi)\nGeschreven door: Toshihiko Watanabe,"""Dünya Dönüyor""\nSolist: Musashi (Rie Takahashi)\nSöz/Müzik: Toshihiko Watanabe"
MovieSerifText_ED_0000_F,1,,,,,,,
MovieSerifText_ED_0001_M,2,Heut gibt's was zu Futtern\naus den Wellen auf dem Meer.,Set the table for a feast—\nwe've got an ocean of sushi!,Se prepara un festival\ncon lo mejorcito del mar.,"Des sushis à perte de vue,\naujourd'hui, on va s'en mettre\nplein la panse !",Prepariamoci al banchetto!\nAbbiamo un mare di sushi!,"Schuif aan bij ons feestmaal,\npak nog maar een kruk!","Sofrayı kur, şölen başlasın—\nönümüzde suşi denizi!"
MovieSerifText_ED_0001_F,3,,,,,,,
MovieSerifText_ED_0002_M,4,"Es glänzt und schillert\nwie Juwelen, auf die\ndie Sommersonne scheint!","I know I wanna eat them all up\nwith you, so let's dig in now.",Tenemos sushi a raudales\nde mil colores brillantes.,"Brillants comme mille feux,\nces diamants me font de l'œil","Voglio mangiarlo insieme a te!\nDai, buttiamoci!","Het geeft niet als je veel eet,\nwant je vult je buik met geluk!",Seninle hepsini\nyemek istiyorum; hadi başlayalım.
MovieSerifText_ED_0002_F,5,,,,,,,
MovieSerifText_ED_0003_M,6,"Jeder Happen schmeckt\nso gut, und wenn der Bauch\nfast platzen tut,","Suddenly feel like a fool,\nmy belly stuffed all full of food.\n(It's all right.)",¡Quiero comer un montón\nhasta darme un atracón!\n(Qué más da...),"Je vais m'en gaver, mon ventre\nrisque d'exploser (mais pas de\nsouci)",La pancia è tutta piena di sushi!\nChe meraviglia!,"Sushi moet je delen,\nsushi eet je niet alleen!","Karnım tıka basa doldu,\nbiraz abarttım galiba!\n(Olsun!)"
MovieSerifText_ED_0003_F,7,,,,,,,
MovieSerifText_ED_0004_M,8,ist Sushi doch der\nWeg zum Glücklichsein!,Still got room for happiness!,¡Aún me cabe un poco más!\nNo me empacha la felicidad.,Parce que j'ai encore faim\nd'amitié !,C'è ancora spazio per la felicità!,Sushi eet je samen\nmet je vrienden om je heen!,Mutluluğa hâlâ yer var!
MovieSerifText_ED_0004_F,9,,,,,,,
MovieSerifText_ED_0005_M,10,"Jeder, der mal Hunger hat,\n(Ein Striker kämpft\nviel lieber satt!)","When I'm hungry I lose my cool.\n(Don't go starting fights,\nnot on party night.)","Si tienes hambre,\nnada de luchar,\n¡esta noche hay que bailar!","Le manque de sushi me fait\ntourner de l'œil (pas de combat,\nplace à la fête)",Quando ho fame non resisto!\nMa attenzione a non strafare!,"Een lege maag\nvecht niet graag,","Açken huysuz olurum ben—\n(Ama bu gece kavga yok,\nbu gece eğlence çok!)"
MovieSerifText_ED_0005_F,11,,,,,,,
MovieSerifText_ED_0006_M,12,den setzen wir ans Band!,Let's share our food with\nthe world!,¡El mundo gira\nalrededor del sushi!,"Mais ce monde qui tourne,\ntourne me remet sur pied !",Nessuno deve stare senza\nsushi!,dus eet zoveel\nje wilt vandaag!,Bu sofrayı\ndünyayla paylaşalım!
MovieSerifText_ED_0006_F,13,,,,,,,
MovieSerifText_ED_0007_M,14,"Jetzt gibt's was zu Futtern,\nalso guten Appetit!",All my friends are sitting down—\nwe're eating side by side.,"Comeremos mano a mano,\na la misma mesa sentados.","Partageons un repas entre amis,",I miei amici sono qui per\nmangiare tutti insieme!,"Denk niet aan je zorgen,\nde wereld draait wel door!",Dostlarım hep sofrada—\nyan yana yiyoruz.
MovieSerifText_ED_0007_F,15,,,,,,,
MovieSerifText_ED_0008_M,16,"Alle sind am Strahlen\nund die Bänder immer voll,",Sushi tastes so good and makes\nmy tongue begin to dance.,Y el sushi nos dará fuerzas\npara dar vueltas y vueltas,"Des sushis dans le bec, des\nsourires jusqu'aux oreilles,",Il sushi è troppo buono!\nUn tripudio di sapori!,"Denk alleen aan samen eten,\ndaar zorgen wij wel voor!",Suşi öyle güzel ki\ndilim dans etmeye başlıyor.
MovieSerifText_ED_0008_F,17,,,,,,,
MovieSerifText_ED_0009_M,18,"und wer nicht weiß, was er sich\nals Nächstes holen soll,",More delicious plates go by.\nI want to try them all!,¡Tantos platos deliciosos!\n¡Quiero probarlos todos!,"Des myriades de couleurs,\nde goûts, de saveurs,",Altri piatti in arrivo e li voglio\nassaggiare tutti!,De sushi stroomt hier rijkelijk\nin het hele smaakpalet!,Tabak tabak lezzet geçiyor;\nhepsinden tatmalıyım!
MovieSerifText_ED_0009_F,19,,,,,,,
MovieSerifText_ED_0010_M,20,"nimmt das erste Sushi,\ndas er sieht!",That's just the way\nthe world goes round.,Venid todos a disfrutar\nde este festival.,Font chavirer mon cœur !,E il sushi gira e gira come\nil mondo intorno a noi!,Er is plaats voor iedereen\naan dit koninklijk banket!,İşte dünya böyle\ndönüp durur.
MovieSerifText_ED_0010_F,21,,,,,,,
MovieSerifText_ED_0011_M,22,Und wenn auch du\nlangsam Hunger bekommst...,"Mi-les and mi-les of food\nstretches out,",¡Hay para repetir\ny tripitir!,Il y a du rab pour tout\nle monde !,"Chilometri di nastri, un flusso\ndi sushi da mangiare!",Dus schep nog een keer op\nen maak je maar niet druk!,"Ki-lo-met-re-lerce suşi\nuzanıyor önümde,"
MovieSerifText_ED_0011_F,23,,,,,,,
MovieSerifText_ED_0012_M,24,Iss von unserem\nSushi-Segen mit!\n(Haut rein!),welcoming me to\na sushi paradise.,Es un bufé libre de felicidad.,"Bienvenue dans notre paradis,\noù la nourriture est à foison !",E sono al settimo cielo con\nquesto sushi prelibato!,"Het geeft niet als je veel eet,\nwant sushi is eetbaar geluk!",beni çağırıyor\nsuşi cennetine!
MovieSerifText_ED_0012_F,25,,,,,,,
MovieSerifText_MovieCast_00_M,26,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\n\nEnglische Sprecher:,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\nVoice\n,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\nReparto,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\n\nVoix anglaises,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\nVoci inglesi\n,\u000E\u0000\u0003\u0004껿＀Sushi Striker\nThe Way of Sushido\u000E\u0000\u0003\u0004\u0000＀\nStemmen:,\u000E\u0000\u0003\u0004껿＀Suşi Vurucu\nSuşido'nun Yolu\u000E\u0000\u0003\u0004\u0000＀\nSeslendirme\n
MovieSerifText_MovieCast_00_F,27,,,,,,,
MovieSerifText_MovieCast_01_M,28,\u000E\u0000\u0003\u0004껿＀Musashi (Junge)\u000E\u0000\u0003\u0004\u0000＀    Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (Mädchen)\u000E\u0000\u0003\u0004\u0000＀ Cristina Vee,\u000E\u0000\u0003\u0004껿＀Musashi (Male)\u000E\u0000\u0003\u0004\u0000＀   Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (Female)\u000E\u0000\u0003\u0004\u0000＀ Cristina Vee,\u000E\u0000\u0003\u0004껿＀Musashi (niño)　\u000E\u0000\u0003\u0004\u0000＀Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (niña)　\u000E\u0000\u0003\u0004\u0000＀Cristina Vee  ,\u000E\u0000\u0003\u0004껿＀Musashi (garçon)\u000E\u0000\u0003\u0004\u0000＀　Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (fille)\u000E\u0000\u0003\u0004\u0000＀　　 Cristina Vee   ,\u000E\u0000\u0003\u0004껿＀Musashi (maschio)\u000E\u0000\u0003\u0004\u0000＀ Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (femmina)\u000E\u0000\u0003\u0004\u0000＀ Cristina Vee ,\u000E\u0000\u0003\u0004껿＀Musashi (jongen)\u000E\u0000\u0003\u0004\u0000＀ Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (meisje)\u000E\u0000\u0003\u0004\u0000＀ Cristina Vee  ,\u000E\u0000\u0003\u0004껿＀Musashi (Erkek)\u000E\u0000\u0003\u0004\u0000＀   Nicolas Roye\n\u000E\u0000\u0003\u0004껿＀Musashi (Kadın)\u000E\u0000\u0003\u0004\u0000＀ Cristina Vee
MovieSerifText_MovieCast_01_F,29,,,,,,,
