file	id	format	source_en	source_fr	source_de	source_es	source_it	source_nl	source_pt	source_ru	tr	source_sha1	notes
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	0	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	1	STB1.1	[b1][i1]Mantarların [f2]ana hatlarını[] siyah kalemin ucuyla hafifçe çiz.[][b1][i1]Yerleşimi ayarlarken işini kolaylaştırıyorsa [f2]ızgaradan[] yararlan.[]									9e2115c32efb	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	2	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	3	STB1.1	[b1][i1]Kalemin yassı yüzünü kullanarak mantarların altındaki [f2]gölgeleri[] kabaca yerleştir.[]									1457144db82b	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	4	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	5	STB1.1	[b1][i1][f2]Kızıl kahverengi kaleminin[] [f2]ucuyla[] mantarların üzerine biraz [f2]tarama[] ekle.[][b1][i1]Kâğıdın renginin orta ton olarak görünmesi için aralarda [f2]boşluklar[] bırakmaya çalış.[]									bc7c2f1be24e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	6	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	7	STB1.1	[b1][i1][f2]Açık kahverengi kalemin[] ucuyla [f2]daha açık tonları[] ekle.[][b1][i1]Burada da [f2]tarama[] kullan ve çizgilerin mantarların [f2]biçimini takip etmesine[] çalış.[]									4714f319323d	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	8	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	9	STB1.1	[b1][i1]Gereken yerlerde mantarların [f2]ayrıntılarını belirginleştirmek[] için yeniden [f2]siyah kaleme[] geç.[]									00306bc943c1	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	10	STB1.1	Mini Ders: Mantarlar									917d70a1662e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	11	STB1.1	[b1][i1]En parlak [f2]ışıklı bölgeler[] için [f2]beyaz kalemle[] son birkaç dokunuşu ekle.[][b1][i1]Bu son adım; istersen başka rötuşlarını da şimdi yap![]									c6d636ca3b80	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	12	STB1.1	Vince'in resim aşamaları arasında geçiş yap									7a2c460d4eed	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	13	STB1.1	Merhaba! Başlangıç Kursu'nun ilk [f2]Mini Dersine[] hoş geldin!									c6b5231fd145	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	14	STB1.1	Mini derslerde, ana derslerde öğrendiğin [f2]teknikleri yeni konular[] üzerinde [f2]geliştireceğiz[].									1e5363642fc3	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	15	STB1.1	Ana derste bir [f2]ağaç[] çizerken [f2]kalem tekniklerimiz[] üzerinde çalışmıştık.									6f2f820768a3	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	16	STB1.1	Şimdi bu becerileri biraz daha [f2]renk[] katarak yeniden uygulayacaksın!									ca5103666842	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	17	STB1.1	Bu ders için harika konu olacak birkaç [f2]mantar[] getirdim.									c13ea50fa2c9	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	18	STB1.1	Az önce Bacon'ı gezdirirken gördüğüm yabani mantarlar bana ilham verdi.									2be090bb204e	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	19	STB1.1	Yanımda yalnızca birkaç kalem ve bir kâğıt torba vardı; ama iyi bir çizim yapmak için çok şeye ihtiyacın yok!									d07edad22db7	
