Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
Dbg_StrokeLogViewer_bar_title,0,Dbg_StrokeLogViewer_bar_title,Concentratietest,Concentration Challenge,Test de concentration,Konzentrationstest,Sfida alla concentrazione,Prueba de concentración,Concentration Challenge,Test de concentration,Prueba de concentración,Odaklanma Mücadelesi
Dbg_Monitor_NBackCalc_result1,1,Dbg_Monitor_NBackCalc_result1,"Hoogste score
van vandaag",Today's Best,Résultat,Heutige Bestleistung,Risultato attuale,Lo mejor del día,Today's Best,Résultat,Lo mejor del día,Bugünün En İyisi
Dbg_Monitor_NBackCalc_result2,2,Dbg_Monitor_NBackCalc_result2,"Hoogste score
van vandaag
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-terug","Today's Best
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résulat :
[[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Heutige Bestleistung
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Zurück","Il risultato attuale è
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Indietro.","Lo mejor del día
«[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes»","Today's Best
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résultat :
[[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Lo mejor del día 
""[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes""","Bugünün En İyisi
[[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Geri"
Dbg_Monitor_NBackCalc_result2slow,3,Dbg_Monitor_NBackCalc_result2slow,"Hoogste score
van vandaag
rustig [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-terug","Today's Best
Slow [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résulat :
Lent, [[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Heutige Bestleistung
Einsteiger [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Zurück","Il risultato attuale è
piano [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Indietro.","Lo mejor del día
«[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes» lento","Today's Best
Slow [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résultat :
Lent, [[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Lo mejor del día 
""[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes"" lento","Bugünün En İyisi
Yavaş [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Geri"
Dbg_Monitor_NBackCalc_result2fast,4,Dbg_Monitor_NBackCalc_result2fast,"Hoogste score
van vandaag
snel [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-terug","Today's Best
Fast [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résulat :
Rapide, [[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Heutige Bestleistung
Tempo [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Zurück","Il risultato attuale è
turbo [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Indietro.","Lo mejor del día
«[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes» rápido","Today's Best
Fast [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Back","Résultat :
Rapide, [[U+000E]][[U+0001]][[U+0000]][[U+0000]] d'écart","Lo mejor del día 
""[[U+000E]][[U+0001]][[U+0000]][[U+0000]] antes"" rápido","Bugünün En İyisi
Hızlı [[U+000E]][[U+0001]][[U+0000]][[U+0000]]-Geri"
Dbg_Monitor_NBackCalc_result_btn,5,Dbg_Monitor_NBackCalc_result_btn,"Duivelse sommen
Gestopt","Devilish Calculations
End","Fin du calcul
infernal","Zahlenmerken
beendet",Finito!,"Cálculo infernal
Fin","Devilish Calculations
End","Fin du calcul
infernal","Cálculo infernal
Fin","Şeytani Hesaplamalar
Bitiş"
Dbg_Monitor_ConcentTest_result1,6,Dbg_Monitor_ConcentTest_result1,"Score van
vandaag",Today's Result,Résultat,Heutige Bestleistung,Risultato attuale,Resultados de hoy,Today's Result,"Record
d'aujourd'hui",Resultados de hoy,Bugünün Sonucu
Dbg_Monitor_ConcentTest_result2,7,Dbg_Monitor_ConcentTest_result2,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]]min [[U+000E]][[U+0001]][[U+0001]][[U+0000]]sec,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] Min. [[U+000E]][[U+0001]][[U+0001]][[U+0000]] Sek.,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min. [[U+000E]][[U+0001]][[U+0001]][[U+0000]] sec.,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min [[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0000]][[U+0000]]dk [[U+000E]][[U+0001]][[U+0001]][[U+0000]]sn
Dbg_Monitor_ConcentTest_result2min,8,Dbg_Monitor_ConcentTest_result2min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]]min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] Min.,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min.,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]] min,[[U+000E]][[U+0001]][[U+0000]][[U+0000]]dk
Dbg_Monitor_ConcentTest_result2sec,9,Dbg_Monitor_ConcentTest_result2sec,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]]sec,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] Sek.,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] sec.,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]] s,[[U+000E]][[U+0001]][[U+0001]][[U+0000]]sn
