Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
Nou_Jin_label_title,0,Nou_Jin_label_title,Veldslag,Block Head,Duel de cases,Erobern,Prendi posizione,El rey de la colina,Block Head,Duel de cases,El rey de la colina,Alan Kapmaca
Nou_Explain_GameName_Jintori,1,Nou_Explain_GameName_Jintori,Veldslag,Block Head,Duel de cases,Erobern,Prendi posizione,El rey de la colina,Block Head,Duel de cases,El rey de la colina,Alan Kapmaca
Nou_Jin_hint,2,Nou_Jin_hint,Advies,Advice,Astuce,Tipps,Guida,Ayuda,Advice,Astuce,Ayuda,İpucu
Nou_Jin_fusa,3,Nou_Jin_fusa,Ingesloten,Blocked,Blocus,Blockade!,In trappola,Bloqueo,Blocked,Bloqué,Bloqueo,Bloklandı
Nou_Jin_gameset,4,Nou_Jin_gameset,Einde,End,Terminé,Ende!,Fine,Fin,End,Terminé,Fin,Bitiş
Nou_Jin_gameset_win1,5,Nou_Jin_gameset_win1,"Geweldig, je hebt gewonnen!",Brilliant! You win!,Bravo ! Vous l'emportez.,"Gut gemacht!
Sie haben gewonnen!","Congratulazioni!
Hai vinto tu!","¡Brillante!
¡Has ganado!","Fantastic!
You win!",Bravo! Vous l'emportez.,"¡Brillante!
¡Has ganado!",Harika! Kazandın!
Nou_Jin_gameset_win2,6,Nou_Jin_gameset_win2,"Uitstekend, je hebt gewonnen!",Excellent! You win!,Magnifique ! Vous gagnez.,"Toll!
Sie haben gewonnen!","Complimenti!
Hai vinto tu!","¡Has ganado!
¡Excelente partida!","Excellent!
You win!",Magnifique! Vous gagnez.,"¡Has ganado!
¡Excelente partida!",Mükemmel! Kazandın!
Nou_Jin_gameset_win3,7,Nou_Jin_gameset_win3,"Overdonderend, je hebt gewonnen!",Overwhelming! You win!,"Je suis défait !
Vous êtes vainqueur.","Ich bin geschlagen...
Sie haben gewonnen!","Mi arrendo.
La vittoria è tua.","¡Una victoria aplastante!
¡Has arrasado!","Amazing!
You win!","Je suis défait!
Vous êtes vainqueur.","¡Una victoria aplastante!
¡Has arrasado!",Ezici bir üstünlük! Kazandın!
Nou_Jin_gameset_win4,8,Nou_Jin_gameset_win4,"Je hebt gewonnen!
Geweldig gespeeld!",You win! A magnificent game!,"Vous gagnez la partie.
Joli match !","Sie haben gewonnen!
Gutes Spiel!","La vittoria è tua.
È stata una bella sfida.","¡Tú ganas!
¡Ha sido increíble!","You win!
A magnificent game!",Vous gagnez! Jolie partie!,"¡Tú ganas!
¡Ha sido increíble!",Kazandın! Muhteşem bir oyun!
Nou_Jin_gameset_win5,9,Nou_Jin_gameset_win5,"Goed gedaan, je hebt gewonnen!",Well done! You win!,Bien joué ! Vous gagnez.,"Sie haben es geschafft!
Sie haben gewonnen!","Mi hai proprio battuto!
Complimenti!","¡Enhorabuena!
¡Has ganado!","Well done!
You win!",Bien joué! Vous gagnez.,"¡Felicidades!
¡Has ganado!",Aferin! Kazandın!
Nou_Jin_gameset_lose1,10,Nou_Jin_gameset_lose1,Deze keer win ik!,I win this time!,C'est moi qui gagne.,Diesmal habe ich gewonnen.,"Questa volta
ho vinto io!",¡Hoy es mi día de suerte!,I win this time!,C'est moi qui gagne.,¡Hoy es mi día de suerte!,Bu sefer ben kazandım!
Nou_Jin_gameset_lose2,11,Nou_Jin_gameset_lose2,"Ik heb gewonnen, probeer het nog
eens. Volgende keer beter!","I win! Have another go. You can
do it!","Je l'emporte. Réessayez encore
une fois !","Ich habe gewonnen!
Aber geben Sie nicht auf!","Ho vinto io.
Metticela tutta
la prossima volta!","¡He ganado!
Vamos a probar de nuevo.
¡Tú puedes!","I win!
Have another go.
You can do it!","Je l'emporte. Réessayez encore
une fois!","¡He ganado!
Vamos a probar de nuevo.
¡Tú puedes!","Ben kazandım! Bir kez daha dene.
Yapabilirsin!"
Nou_Jin_gameset_lose3,12,Nou_Jin_gameset_lose3,Ik heb gewonnen!,I win!,Je remporte la victoire.,Ich habe gewonnen!,Ho vinto!,¡He ganado!,I win!,Je remporte la victoire.,¡He ganado!,Ben kazandım!
Nou_Jin_gameset_lose4,13,Nou_Jin_gameset_lose4,"Ik heb gewonnen!
Probeer de volgende keer eens
een andere tactiek.","I win! Next time you should try a
different approach.","Je gagne ce match. Essayez
d'autres mouvements !","Ich habe gewonnen!
Versuchen Sie doch eine
andere Vorgehensweise.","Ho vinto io.
La prossima volta prova a
muoverti diversamente!","¡Te he ganado!
Arriesga con nuevos
movimientos la próxima vez.","I win!
Next time you might
try a different approach.","Je gagne cette partie. Essayez
d'autres mouvements!","¡Te he ganado!
Arriesga con nuevos
movimientos la próxima vez.","Ben kazandım! Bir dahaki sefere
farklı bir yöntem denemelisin."
Nou_Jin_gameset_draw1,14,Nou_Jin_gameset_draw1,"Gelijkspel, je had bijna gewonnen!","It's a draw!
You were so close!",Match nul. Ça s'est joué de peu !,"Unentschieden, schade!","Parità.
C'è mancato poco, però!","¡Has acariciado la victoria, pero
la cosa ha acabado en empate!","It's a draw!
You were so close!","Partie nulle. Ça s'est joué de
peu!","¡Ha sido un empate!
¡Casi lo has conseguido!","Berabere!
Çok yakındın!"
Nou_Jin_gameset_draw2,15,Nou_Jin_gameset_draw2,"Gelijkspel, je had me bijna!","It's a draw!
You're almost there!",Match nul. Encore un petit effort !,"Unentschieden!
Das war ganz schön knapp!","Siamo pari.
Per un pelo non mi battevi!","¡Tablas!
¡Has estado cerca!","It's a draw!
You're almost there!","Partie nulle. Encore un petit
effort!","¡Tablas!
¡Has estado cerca!","Berabere!
Neredeyse oldu!"
Nou_Jin_gameset_draw3,16,Nou_Jin_gameset_draw3,Gelijkspel!,It's a draw!,Match nul !,Unentschieden!,Abbiamo pareggiato.,¡Tablas!,It's a draw!,Partie nulle!,¡Tablas!,Berabere!
Nou_Jin_gameset_draw4,17,Nou_Jin_gameset_draw4,Alweer gelijkspel!,Another draw!,Encore un match nul.,Wieder unentschieden!,Un'altra parità!,¡¿Otro empate?!,Another draw!,Encore une partie nulle.,¡¿Otro empate?!,Yine berabere!
Nou_Jin_all_yours,18,Nou_Jin_all_yours,De overige blokken zijn voor jou. ,Leftover blocks awarded to you,Les cases restantes sont à vous.,Übrige Felder gehen an Sie...,Ogni casella restante diventa tua,Los bloques restantes son para ti.,Leftover blocks awarded to you,Les cases restantes sont à vous.,Los bloques restantes son para ti.,Kalan bloklar sana verilir
Nou_Jin_all_enemies,19,Nou_Jin_all_enemies,De overige blokken zijn voor je tegenstander.,Leftover blocks awarded to opponent,Les cases restantes sont à votre adversaire.,Übrige Felder gehen an mich...,Ogni casella restante va all'avversario,Los bloques restantes son para tu rival.,Leftover blocks awarded to opponent,Les cases restantes sont à votre adversaire.,Los bloques restantes son para tu rival.,Kalan bloklar rakibe verilir
Nou_Jin_CanBack,20,Nou_Jin_CanBack,"Met [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] of [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]] maak je
een zet ongedaan.",Undo a move with [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] or [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].,"Revenez en arrière
avec [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] ou [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].","Drücken Sie [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] oder [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]], um
einen Zug zurückzunehmen.","Premi [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] oppure [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]] per
annullare la mossa.","Puedes deshacer un
movimiento con [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] o [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].",Undo a move with [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] or [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].,"Revenez en arrière
avec [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] ou [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].","Puedes deshacer un
movimiento con [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] o [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]].","Hamleyi [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E001]][[U+000F]][[U+0002]][[U+0003]] veya [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E07A]][[U+000F]][[U+0002]][[U+0003]] ile
geri alabilirsin."
