Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
Etc_CecMessageBox,0,Etc_CecMessageBox,,,,,,,,,,
Etc_CecMessageBox_title,1,Etc_CecMessageBox_title,Duivelse Brain Training,Devilish Brain Training,L'Infernal Programme d'entraîn...,Diabolisches Gehirn-Jogging,Brain Training infernale,Brain Training infernal,Brain Age Concentration Training,Brain Age Concentration Training,Brain Age Concentration Training,Şeytani Beyin Antrenmanı
Etc_CecMessageBox_msg,2,Etc_CecMessageBox_msg,"Aantal aanwezige
trainingspartners: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]",Training partners present: [[U+000E]][[U+0001]][[U+0000]][[U+0000]],"Des camarades ([[U+000E]][[U+0001]][[U+0000]][[U+0000]]) sont
venus vous rendre visite.","Anwesende
Trainingspartner: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]","Amici di allenamento
pronti alla sfida: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]","Compañeros de práctica
presentes: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]",Training Partners present: [[U+000E]][[U+0001]][[U+0000]][[U+0000]],"Des camarades ([[U+000E]][[U+0001]][[U+0000]][[U+0000]]) sont
venus vous rendre visite.","Compañeros de práctica
presentes: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]","Buradaki antrenman
ortakları: [[U+000E]][[U+0001]][[U+0000]][[U+0000]]"
Etc_WriteComment,3,Etc_WriteComment,,,,,,,,,,
Etc_WriteComment_title1,4,Etc_WriteComment_title1,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass
Etc_WriteComment_title2,5,Etc_WriteComment_title2,StreetPass-instellingen,StreetPass Settings,Options StreetPass,StreetPass-Optionen,StreetPass,StreetPass,StreetPass Settings,StreetPass,StreetPass,StreetPass Ayarları
Etc_WriteComment_msg_feel1,6,Etc_WriteComment_msg_feel1,"Wil je [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]trainingspartners [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]vinden
via [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]?","You can add [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]Training Partners [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]via
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]].[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]","N'aimeriez-vous pas trouver des
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]camarades d'entraînement[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] grâce
à la fonction [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]?","Möchten Sie nicht über
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] die Zahl Ihrer
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]Trainingspartner[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] erhöhen?","Ti va di cercare nuovi
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]Amici di allenamento
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]con la funzione [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]?","¿Quieres añadir [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]compañeros
de práctica[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] a [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]?","You can add [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]Training Partners
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]via [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]].[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]","N'aimeriez-vous pas trouver des
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]camarades d'entraînement[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] grâce
à la fonction [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]?","Puedes añadir [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]compañeros de
práctica[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] a través de [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]].","Antrenman [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]Ortakları 
StreetPass ile[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]ekleyebilirsin[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]].[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]"
Etc_WriteComment_msg_feel2,7,Etc_WriteComment_msg_feel2,"Neem het op tegen
je trainingspartners....",Competing with Training Partners,"Un peu de compétition ne fait
jamais de mal.","Sie können mit Ihren
Trainingspartnern wetteifern.","L'Allenamento infernale
sarà ancora più divertente...","Compite contra tus compañeros
de práctica...",Competing with Training Partners,"Un peu de compétition ne fait
jamais de mal.","Compite contra tus compañeros
de práctica...",Antrenman Ortaklarınla Yarışmak
Etc_WriteComment_msg_feel3,8,Etc_WriteComment_msg_feel3,"en haal nog meer uit
Duivelse Training!","lets you enjoy Devilish Training on
a whole new level!","Comparez vos résultats aux
exercices infernaux à ceux
d'autres joueurs !","So macht das Diabolische
Training noch mehr Spaß!","se ci aggiungi
il brivido della sfida!","¡y disfruta de Práctica infernal
como nunca antes!","lets you enjoy Devilish Training on
a whole new level!","Comparez vos résultats aux
exercices infernaux à ceux
d'autres joueurs!","¡y disfruta de Práctica infernal
como nunca!","Şeytani Antrenman'ı
tamamen yeni bir seviyede yaşatır!"
Etc_WriteComment_msg_feel3+,9,Etc_WriteComment_msg_feel3+,"Je kunt berichten met elkaar
uitwisselen over Duivelse Training.","You can write messages to each
other to share your thoughts
about Devilish Training.","Échangez également vos
impressions en envoyant des
messages personnalisés.","Verfassen Sie einen
handschriftlichen Kommentar.
So können Sie anderen mitteilen,
wie Sie das Diabolische Training
finden.","Puoi anche scrivere le tue
impressioni sull'Allenamento
infernale e scambiarle con
gli altri giocatori!","Podéis escribir mensajes
a mano y compartirlos
para expresar claramente
todo lo que penséis sobre
Práctica infernal.","You can write messages to each
other to share your thoughts
about Devilish Training.","Échangez également vos
impressions en envoyant des
messages personnalisés.","Pueden escribir mensajes
a mano y compartirlos
para expresar claramente
todo lo que piensan sobre
Práctica infernal.","Şeytani Antrenman hakkında
ne düşündüğünü paylaşmak için
birbirinize mesaj yazabilirsin."
Etc_WriteComment_msg_feel4,10,Etc_WriteComment_msg_feel4,Wil je StreetPass gebruiken?,Do you want to use StreetPass?,"Souhaitez-vous utiliser la fonction
StreetPass ?","Möchten Sie StreetPass
mit diesem Profil nutzen?","Vuoi utilizzare la
funzione StreetPass?","¿Quieres utilizar la función
de StreetPass?",Do you want to use StreetPass?,"Souhaitez-vous activer
StreetPass?","¿Quieres utilizar la función
de StreetPass?",StreetPass'i kullanmak ister misin?
Etc_WriteComment_btn_feel4a,11,Etc_WriteComment_btn_feel4a,Ja,Yes,Oui,Ja,Sì,Activar,Activate,Oui,Activar,Evet
Etc_WriteComment_btn_feel4b,12,Etc_WriteComment_btn_feel4b,Nee,Not Right Now,Non,Nein,Per adesso no,Todavía no,Not Right Now,Non,Todavía no,Şimdi Değil
Etc_WriteComment_msg_feel5a,13,Etc_WriteComment_msg_feel5a,Prima!,"I see!
Well, in that case...",Très bien !,In Ordnung!,"OK, ecco fatto.",¡Oído cocina! Veamos...,"I see!
Well, in that case...",Très bien!,¡Entiendo! Veamos...,"Anladım!
O zaman..."
Etc_WriteComment_msg_feel5b,14,Etc_WriteComment_msg_feel5b,"Als je later van gedachten
verandert, kun je de
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass-instellingen
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]aanpassen in de instellingen.","If you change your mind you can
always go to [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass Settings[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]],
which you'll find in Settings.","Si vous changez d'avis, allez dans
la section [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]« StreetPass » [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]du menu
« options ».","Sie können diese Einstellung
unter [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass-Optionen[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]] in
den Optionen später ändern.","Nel caso tu cambiassi idea
basta selezionare
[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]dal menu
Imposta.","Si más adelante cambias
de opinión, siempre puedes
rectificar en [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]],
dentro del menú Ajustes.","If you change your mind, you can
always go to [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass Settings[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]],
which you'll find in Settings.","Si vous changez d'avis, allez
dans la section [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]du menu Options.","Si más adelante cambias
de opinión, siempre puedes
rectificar en [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]],
dentro del menú Ajustes.","Fikrini değiştirirsen Ayarlar'da
bulunan [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]StreetPass Settings
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]menüsüne her zaman gidebilirsin."
Etc_WriteComment_msg_feel5,15,Etc_WriteComment_msg_feel5,"Via StreetPass kun je je mening
delen met je trainingspartners.","You can share your opinion with
your Training Partners via
StreetPass.","Partagez vos impressions avec
vos camarades !","Lassen Sie Ihren
Trainingspartnern eine
Nachricht zukommen...","Puoi condividere con i tuoi
Amici di allenamento
le tue opinioni.","¡Puedes intercambiar impresiones
con tus compañeros de práctica
a través de StreetPass!","You can share your opinion
with your Training Partners
via StreetPass.","Partagez vos impressions avec
vos camarades!","¡Puedes intercambiar impresiones
con tus compañeros de práctica
a través de StreetPass!","Görüşünü Antrenman Ortaklarınla
StreetPass üzerinden
paylaşabilirsin."
Etc_WriteComment_msg_feel6,16,Etc_WriteComment_msg_feel6,"Vertel mij [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]wat je van [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Duivelse
Training [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]vindt[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]].","Let me know [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]what you think about
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Devilish Training.","Donnez-moi [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]votre avis [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]sur
l'entraînement infernal.","Wie [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]gefällt [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Ihnen das
Diabolische Training?","Dimmi [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]cosa pensi
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]dell'Allenamento infernale!","Recuerda que puedes hacernos
llegar [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]tus impresiones [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]acerca de
Práctica infernal.","Let me know [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]what you think
about [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Devilish Training.","Donnez-moi [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]votre avis [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]sur
l'entraînement infernal.","Recuerda que puedes hacernos
llegar [[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]]tus impresiones [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]acerca de
Práctica infernal.","Şeytani Antrenman[[U+000E]][[U+0000]][[U+0003]][[U+0004]]ÿ[[U+FF00]] hakkında ne
[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]düşündüğünü  bana söyle."
Etc_WriteComment_btn_feel6a,17,Etc_WriteComment_btn_feel6a,Bericht kiezen,Select Message,Choisir un avis,Kommentar auswählen,Scegli un'opinione,Opinar,Select Message,Choisir un avis,Opinar,Mesaj Seç
Etc_WriteComment_btn_feel6b,18,Etc_WriteComment_btn_feel6b,Bericht schrijven,Write Message,"Avis
personnalisé",Selbst schreiben,Scrivi un'opinione,Redactar mensaje,Write Message,"Avis
personnalisé",Redactar mensaje,Mesaj Yaz
Etc_WriteComment_msg_feel7,19,Etc_WriteComment_msg_feel7,Wat vind je van Duivelse Training?,"What do you think about
Devilish Training?","Que pensez-vous de
l'entraînement infernal ?","Was sagen Sie zum
Diabolischen Training?","Cosa ne pensi
dell'Allenamento infernale?",¿Qué te parece Práctica infernal?,"What do you think about
Devilish Training?","Que pensez-vous de
l'entraînement infernal?",¿Qué te parece Práctica infernal?,"Şeytani Antrenman hakkında
ne düşünüyorsun?"
Etc_WriteComment_caution_feel7,20,Etc_WriteComment_caution_feel7,"Schrijf geen berichten die de rechten van
anderen schenden, beledigend zijn of
persoonlijke informatie bevatten.","[[U+000E]][[U+0000]][[U+0002]][[U+0002]]dPlease do not write messages that infringe on
others' rights, that could cause offence to the
recipient, or that include personal information.[[U+000E]][[U+0000]][[U+0002]][[U+0002]]d","N'écrivez rien qui enfreigne les droits d'autrui,
qui soit offensant ou qui contienne des
informations personnelles.","Bitte schreiben Sie nichts, was Rechte oder
Gefühle anderer verletzen könnte und geben
Sie keine persönlichen Informationen preis.","Assicurati di non includere informazioni
personali e di non usare un linguaggio
offensivo o che possa ledere i diritti altrui.","[[U+000E]][[U+0000]][[U+0002]][[U+0002]]dNo compartas información personal ni
envíes mensajes que puedan ofender al
destinatario o violar derechos de terceros.[[U+000E]][[U+0000]][[U+0002]][[U+0002]]d","Please do not write messages that infringe on
others' rights, that could cause offense to the
recipient, or that include personal information.","N'écrivez rien qui enfreigne les droits d'autrui,
qui soit offensant ou qui contienne
des informations personnelles.","[[U+000E]][[U+0000]][[U+0002]][[U+0002]]dNo compartas información personal ni
envíes mensajes que puedan ofender al
destinatario o violar derechos de terceros.[[U+000E]][[U+0000]][[U+0002]][[U+0002]]d","[[U+000E]][[U+0000]][[U+0002]][[U+0002]]dBaşka kişilerin haklarını ihlal eden,
alıcıyı rahatsız edebilecek ya da
kişisel bilgi içeren mesajlar yazma.[[U+000E]][[U+0000]][[U+0002]][[U+0002]]d"
Etc_WriteComment_msg_feel8,21,Etc_WriteComment_msg_feel8,Wil je dit versturen?,Is this OK?,Ceci vous convient-il ?,Diesen Kommentar wählen?,Va bene così?,¿Quieres continuar?,Is this OK?,Ceci vous convient-il?,¿Quieres continuar?,Bu uygun mu?
Etc_WriteComment_btn_feel8a,22,Etc_WriteComment_btn_feel8a,Oké,OK,Oui,Ja,Va bene,Sí,OK,Oui,Sí,Tamam
Etc_WriteComment_btn_feel8b,23,Etc_WriteComment_btn_feel8b,Veranderen,Change,Non,Ändern,Modifica,Cambiar,Change,Non,Cambiar,Değiştir
Etc_WriteComment_msg_feel9,24,Etc_WriteComment_msg_feel9,StreetPass is ingesteld!,StreetPass is active!,StreetPass a été mis à jour !,"Die Einstellungen für StreetPass
wurden angepasst.","Funzione StreetPass
attivata!",¡StreetPass está activado!,StreetPass has been activated!,StreetPass a été activé!,¡StreetPass está activado!,StreetPass etkin!
Etc_WriteComment_msg_feel10,25,Etc_WriteComment_msg_feel10,"Sluit het systeem zonder het uit
te zetten...","Leave the power on, keep the
console closed","Fermez votre console
Nintendo 3DS sans l'éteindre...","Schließen Sie Ihr
Nintendo 3DS-System,
ohne es auszuschalten.","Chiudi il tuo Nintendo 3DS
senza spegnerlo...","Procura dejar la consola
encendida y ciérrala.","Leave the power on,
keep the system closed...","Fermez votre console
Nintendo 3DS sans l'éteindre...","Procura dejar la consola
encendida y ciérrala.","Gücü açık bırak, konsolu
kapalı tut"
Etc_WriteComment_msg_feel11,26,Etc_WriteComment_msg_feel11,"en neem je Nintendo 3DS overal
mee naartoe!","and take your Nintendo 3DS with
you on your travels!",et emportez-la partout avec vous !,"Nehmen Sie dann Ihr
Nintendo 3DS-System mit,
wenn Sie nach draußen gehen.",e portalo sempre con te!,"Y recuerda: ¡ahora puedes
pasear la consola Nintendo 3DS
y no parar de jugar nunca!","and take your Nintendo 3DS
with you on your travels!",et emportez-la partout avec vous!,"Y recuerda: ¡ahora puedes pasear
con tu consola Nintendo 3DS
y no parar de jugar nunca!","ve yolculuklarında Nintendo
3DS'ini yanına al!"
Etc_WriteComment_btn_ok,27,Etc_WriteComment_btn_ok,Ja,Yes,Oui,Ja,OK,¡Sí!,Yes,Oui,¡Sí!,Evet
Etc_WriteComment_msg_refeel1,28,Etc_WriteComment_msg_refeel1,Vind je StreetPass leuk?,"Are you enjoying
StreetPass?","Alors, comment trouvez-vous
le mode StreetPass ?","Macht Ihnen StreetPass
Spaß?","Allora, ti stai divertendo
con la funzione StreetPass?",¿Te está gustando StreetPass?,"Are you enjoying
StreetPass?","Alors, comment trouvez-vous
la fonction StreetPass?",¿Te está gustando StreetPass?,"StreetPass'ten
memnun musun?"
Etc_WriteComment_msg_refeel2,29,Etc_WriteComment_msg_refeel2,Ik wil je nog iets vragen.,"Ah, there was something
else I wanted to ask you...","Il y a encore une chose que je
voulais vous demander.",Ich wollte Sie noch etwas fragen...,"Dunque, c'è un'altra
cosa che ti vorrei chiedere...","¡Ah! Hay otra cosa que te
quería preguntar también...","Ah, there was something
else I wanted to ask you.","Il y a encore une chose que je
voulais vous demander.","¡Ah! Hay otra cosa que te
quería preguntar también...","Ah, sana sormak istediğim
başka bir şey daha vardı..."
Etc_WriteComment_msg_effect1,30,Etc_WriteComment_msg_effect1,"Is er al iets veranderd sinds
je met Duivelse Training
bent begonnen?","Have you noticed any
changes as you progress
with Devilish Training?",Sentez-vous des changements ?,"Hat sich etwas verändert, weil
Sie Ihr Diabolisches Training
fortgesetzt haben?","Ti sembra che sia cambiato
qualcosa da quando
hai cominciato
l'Allenamento infernale? ","¿Has notado algún cambio
desde que entrenas con
Práctica infernal?","Have you noticed any
changes as you progress
with Devilish Training?",Sentez-vous des changements?,"¿Has notado algún cambio
desde que entrenas con
Práctica infernal?","Şeytani Antrenman'da
ilerledikçe herhangi bir
değişiklik fark ettin mi?"
Etc_WriteComment_msg_effect2,31,Etc_WriteComment_msg_effect2,"Heb je nieuwe
vaardigheden geleerd?","Have you gained any new
skills?","Comme par exemple :
« J'y arrive enfin ! »","Zum Beispiel: „Ich habe eine neue
Übung freigeschaltet!“","Ad esempio, adesso
ti risulta più facile svolgere
un certo compito...","¿Has descubierto si tienes
algún talento nuevo?",Have you gained any new skills?,"Par exemple :
« J'y arrive enfin! »","¿Has descubierto si tienes
algún talento nuevo?",Yeni beceriler kazandın mı?
Etc_WriteComment_msg_effect3,32,Etc_WriteComment_msg_effect3,"Of kun je bepaalde taken
beter uitvoeren?","Or improved at any particular
tasks?","Ou encore : « J'ai fait des progrès
ces derniers temps ! »","Oder: „Ich bin in dieser Übung
besser geworden!“","oppure hai acquisito
maggiore dimestichezza
in qualcosa che trovavi
molto difficile...","¿O quizá te has visto más hábil
haciendo algunas tareas?","Or improved at any
particular tasks?","Ou encore : « J'ai fait des progrès
ces derniers temps! »","¿O quizá te has visto más hábil
haciendo algunas tareas?","Ya da belirli bir işte
geliştin mi?"
Etc_WriteComment_msg_effect4,33,Etc_WriteComment_msg_effect4,"Houd je trainingspartners via
StreetPass op de hoogte!","Keep your StreetPass
Training Partners in
the loop!","Informez-en vos camarades via
le mode StreetPass.","Teilen wir das doch
über StreetPass Ihren
Trainingspartnern mit.","Che ne dici di farlo
sapere a tutti i tuoi
Amici di allenamento?","¡Mantén siempre informados
a tus compañeros de práctica
de StreetPass!","Keep your StreetPass Training
Partners in the loop!","Informez-en vos camarades via
la fonction StreetPass.","¡Mantén siempre informados
a tus compañeros de práctica
de StreetPass!","StreetPass üzerinden
Antrenman Ortaklarını
haberdar et!"
Etc_WriteComment_msg_effect5,34,Etc_WriteComment_msg_effect5,"Laat het je trainingspartners
weten als er iets verandert als
gevolg van Duivelse Training.","Let your Training Partners know
if you've noticed any change as a
result of your Devilish Training.","Donnez vos impressions sur ce
qui a changé depuis que vous
avez commencé l'entraînement
infernal.","Halten Sie Ihre Trainingspartner
über Ihre Fortschritte beim
Training auf dem Laufenden!","Dimmi che cosa è cambiato
da quando ti eserciti con
l'Allenamento infernale.","Cuéntales a tus compañeros
de práctica los progresos que
haces con Práctica infernal.","Let your Training Partners know
if you've noticed any change as a
result of your Devilish Training.","Donnez vos impressions sur ce
qui a changé depuis que vous
avez commencé l'entraînement
infernal.","Cuéntales a tus compañeros
de práctica los progresos que
haces con Práctica infernal.","Şeytani Antrenman'ın sonucu
olarak bir değişiklik fark
ettiysen, Antrenman Ortaklarına
haber ver."
