Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
MainMenu_Start,0,MainMenu_Start,,,,,,,,,,
MainMenu_Start_Mes_0,1,MainMenu_Start_Mes_0,We gaan je hersenen eens goed trainen.,Let's train that brain of yours.,"Bien, entraînons votre cerveau.","Lassen Sie uns nun Ihr
Gedächtnis trainieren!",E ora alleniamo il cervello!,"¡Venga, vamos a poner a ejercitar
ese cerebro tuyo!",Let's train your brain!,"Bien, entraînons votre cerveau.",¡Vamos a ejercitar tu cerebro!,Haydi beynini biraz çalıştıralım.
Data_Broken,2,Data_Broken,,,,,,,,,,
Data_Broken_Common,3,Data_Broken_Common,"De opgeslagen gegevens waren
beschadigd en zijn gewist.","The save data was corrupted and
has been reset.","Les données de sauvegarde
étaient corrompues. Elles ont
donc été réinitialisées.","Die Speicherdaten waren
fehlerhaft und mussten
zurückgesetzt werden.","I dati di salvataggio
erano danneggiati
e sono stati ripristinati.","Los datos guardados estaban
dañados y se han tenido que
borrar.","The save data was corrupted,
therefore it was restored to
its original state.","Les données de sauvegarde
étaient corrompues et ont
été réinitialisées.","Los datos guardados estaban
dañados y se han tenido que
borrar.","Kayıt verileri bozuldu ve
sıfırlandı."
Data_Broken_User,4,Data_Broken_User,"De profielgegevens waren
beschadigd en zijn gewist.","The profile data was corrupted
and has been erased.","Les données de profil étaient
corrompues et ont été effacées.","Das Profil war fehlerhaft
und wurde gelöscht.","I dati personali
erano danneggiati e
sono stati cancellati.","El perfil estaba dañado
y se ha tenido que borrar.","The profile was corrupted,
therefore it has been erased.","Les données de profil étaient
corrompues et ont été effacées.","El perfil estaba dañado
y se ha tenido que borrar.","Profil verileri bozuldu
ve silindi."
Data_Broken_Other,5,Data_Broken_Other,"Een deel van de opgeslagen
gegevens was beschadigd
en is daarom gewist.","Part of the save data was
corrupted and has been erased.","Une partie des données de
sauvegarde étaient corrompues
et ont été effacées.","Ein Teil der Speicherdaten war
fehlerhaft und wurde gelöscht.","Alcuni dati di salvataggio
erano danneggiati
e sono stati cancellati.","Una parte de los datos
guardados estaba dañada
y se ha tenido que borrar.","Part of the save data
was corrupted, therefore
it has been erased.","Une partie des données de
sauvegarde étaient corrompues
et ont été effacées.","Una parte de los datos
guardados estaba dañada
y se ha tenido que borrar.","Kayıt verilerinin bir kısmı
bozuldu ve silindi."
Boss_Setting,6,Boss_Setting,,,,,,,,,,
Boss_Setting_Save_Mes_0,7,Boss_Setting_Save_Mes_0,"Een ogenblik geduld...


","Please wait...


","Veuillez patienter...


","Bitte warten...


","Attendi...


","Espera...


","Please Wait...


","Veuillez patienter...


","Espera...


","Lütfen bekleyin...


"
Boss_Setting_Mes_0,8,Boss_Setting_Mes_0,"Wil je SpotPass-gegevens opslaan
op de SD-kaart?","Is it OK to register
SpotPass to the SD
Card?","Souhaitez-vous enregistrer les
paramètres SpotPass de ce
logiciel sur la carte SD ?","Sollen auf der SD Card
SpotPass-Daten gespeichert
werden können?","Vuoi registrare i dati
SpotPass sulla scheda SD?","¿Quieres registrar SpotPass
en la tarjeta SD?","Is it OK to register SpotPass
to the SD Card?","Souhaitez-vous enregistrer les
paramètres SpotPass de ce
logiciel sur la carte SD?","¿Quieres registrar SpotPass
en la tarjeta SD?","SpotPass'ı SD
Karta kaydetmek
için uygun mu?"
Boss_Setting_Mes_1,9,Boss_Setting_Mes_1,"De optie 'Mijn gegevens
versturen' is uitgeschakeld.","The Send Records feature has
been disabled.","L'envoi des résultats n'est pas
activé.","In den Optionen wurde
die Einstellung auf
„Nicht senden“ gesetzt.","L'invio dei risultati
è ora disattivato.","Has desactivado
el envío de datos.","Send Us Your Records settings
have been set to Don't Send.","L'envoi des résultats n'est pas
activé.","Has desactivado
el envío de datos.","Kayıtları Gönder özelliği
devre dışı bırakıldı."
