Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
Nou_Common,0,Nou_Common,,,,,,,,,,
Nou_Common_button_decide,1,Nou_Common_button_decide,Oké,Select,OK,Okay,OK,Confirmar,Select,OK,Confirmar,Seç
Nou_Common_button_return,2,Nou_Common_button_return,Terug,Back,Retour,Zurück,Indietro,Atrás,Back,Retour,Atrás,Geri
Nou_ExplainClassic,3,Nou_ExplainClassic,,,,,,,,,,
Nou_ExplainClassic_Btn_Back,4,Nou_ExplainClassic_Btn_Back,Vorige,Previous,Retour,Zurück,Precedente,Anterior,Previous,Retour,Anterior,Önceki
Nou_ExplainClassic_Btn_Exit,5,Nou_ExplainClassic_Btn_Exit,Terug,Back,Retour,Abbrechen,Indietro,Salir,Back,Retour,Salir,Geri
Nou_ExplainClassic_Btn_Next,6,Nou_ExplainClassic_Btn_Next,Volgende,Next,Suite,Weiter,Avanti,Seguir,Next,Suite,Seguir,Sonraki
Nou_ExplainClassic_Btn_TrnStart,7,Nou_ExplainClassic_Btn_TrnStart,Begin training,Begin Training,"Commencer
l'exercice",Training Start,"Allenamento
VIA!",Empezar ejercicio,Begin Training,"Commencer
l'exercice",Empezar ejercicio,Antrenmana Başla
Nou_ExplainClassic_Btn_TrnCancel,8,Nou_ExplainClassic_Btn_TrnCancel,,,,,,,,,,
Nou_ExplainClassic_Num_1,9,Nou_ExplainClassic_Num_1,,,,,,,,,,
Nou_ExplainClassic_Num_2,10,Nou_ExplainClassic_Num_2,,,,,,,,,,
Nou_ExplainClassic_StroopSerifu1,11,Nou_ExplainClassic_StroopSerifu1,,,,,,,,,,
Nou_ExplainClassic_StroopSerifu2,12,Nou_ExplainClassic_StroopSerifu2,,,,,,,,,,
Nou_ExplainClassic_StroopSerifu3,13,Nou_ExplainClassic_StroopSerifu3,,,,,,,,,,
Nou_ExplainClassic_StroopColor1,14,Nou_ExplainClassic_StroopColor1,,,,,,,,,,
Nou_ExplainClassic_StroopColor2,15,Nou_ExplainClassic_StroopColor2,,,,,,,,,,
Nou_ExplainClassic_StroopColor3,16,Nou_ExplainClassic_StroopColor3,,,,,,,,,,
Nou_ExplainClassic_StroopColor4,17,Nou_ExplainClassic_StroopColor4,,,,,,,,,,
Nou_ExplainClassic_Frame_CalcU1,18,Nou_ExplainClassic_Frame_CalcU1,,,,,,,,,,
Nou_ExplainClassic_Frame_CalcD1,19,Nou_ExplainClassic_Frame_CalcD1,,,,,,,,,,
Nou_ExplainClassic_Frame_MoneyU1,20,Nou_ExplainClassic_Frame_MoneyU1,,,,,,,,,,
