Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
cbf_std,0,cbf_std,,,,,,,,,,
geometrical_pattern,1,geometrical_pattern,,,,,,,,,,
SPARTA1,2,SPARTA1,"!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA2,3,SPARTA2,"!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA3,4,SPARTA3,"Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA4,5,SPARTA4,"!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA5,6,SPARTA5,,,,,,,,,,
SPARTA6,7,SPARTA6,"Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","Ÿÿ
!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA7,8,SPARTA7,"!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
SPARTA8,9,SPARTA8,"!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ","!/()'
ͤͬ[[U+E068]]
€<-™>¡£©«»®¿;_°ºªe “”„–,:.
?0123456789
AaBbCcDdEeFfGgHhIiJjKkLlMmNnOoPpQqRrSsTtUuVvWwXxYyZzÄäÖöÜüßÀàÂâÁáÉéÈèÊêËëÎîÏïÍíÌìÔôÓóÒòÙùÛûÚúŒœÇçÑñ"
