Key,ReferenceIndex,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,US_English,US_French,US_Spanish,TR_Patch
Title,0,Title,,,,,,,,,,
Title_Btn_Start,1,Title_Btn_Start,Beginnen,Start,Commencer,Start,Inizia,Inicio,Start,Commencer,Inicio,Başla
Title_Btn_Trial,2,Title_Btn_Trial,Demoversie,Demo Version,Version d'essai,Zahlenmerken (Demo),Demo,Demo,Demo Version,Version démo,Versión de prueba,Deneme Sürümü
Title_Btn_Connect,3,Title_Btn_Connect,Verbindingsinstellingen,Transmission settings,Options de connexion,Verbindungsoptionen,Imposta connessione,Ajustes de conexión,Communication Settings,Options de connexion,Ajustes de conexión,İletim ayarları
Title_Btn_Power,4,Title_Btn_Power,Stoppen,End,Terminer,Beenden,Esci,Fin,Quit,Terminer,Fin,Bitir
Title_Btn_Back,5,Title_Btn_Back,Terug,Back,Retour,Zurück,Indietro,Atrás,Back,Retour,Atrás,Geri
Title_Msg_Power,6,Title_Msg_Power,Druk op [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] om te stoppen.,Press [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] to end.,"[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Appuyez sur [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] pour éteindre
la console.[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]","Halten Sie zum
Beenden [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] gedrückt.[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]",Premi [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] [[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]per uscire.,Pulsa [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+E078]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+000F]][[U+0002]][[U+0003]] para apagar la consola.,Press [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] to quit.,"[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]Appuyez sur [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] pour éteindre
la console.[[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]]",Oprime [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+E078]][[U+000E]][[U+0000]][[U+0003]][[U+0004]][[U+0000]][[U+FF00]][[U+000F]][[U+0002]][[U+0003]] para apagar la consola.,Bitirmek için [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E078]][[U+000F]][[U+0002]][[U+0003]] tuşuna bas.
Title_Title_Power,7,Title_Title_Power,Stoppen,End,Terminer,Beenden,Esci,Fin,Quit,Terminer,Fin,Son
Title_Title_Home,8,Title_Title_Home,Druk op [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] om terug te gaan naar het HOME-menu.,Press [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] to return to the HOME Menu.,[[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] : retour au menu HOME,[[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] Zurück zum HOME-Menü,Premi [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] per tornare al menu HOME,Pulsa [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] para ir al menú HOME.,[[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]]: Return to HOME Menu,[[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] : retour au menu HOME,Oprime [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] para ir al menú HOME.,HOME Menüsüne dönmek için [[U+000E]][[U+0002]][[U+0003]][[U+0000]][[U+E073]][[U+000F]][[U+0002]][[U+0003]] tuşuna bas.
Title_Title_Copyright,9,Title_Title_Copyright,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo,©2012 Nintendo
TrnMenu_Flip,10,TrnMenu_Flip,,,,,,,,,,
TrnMenu_Flip_rlx_Btn_Analog,11,TrnMenu_Flip_rlx_Btn_Analog,[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]],[[U+E077]]
TrnMenu_Flip_rlx_Btn_Digital,12,TrnMenu_Flip_rlx_Btn_Digital,[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]],[[U+E041]]
TrnMenu_Flip_rlx_Btn_A,13,TrnMenu_Flip_rlx_Btn_A,[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]],[[U+E000]]
TrnMenu_Flip_rlx_Btn_B,14,TrnMenu_Flip_rlx_Btn_B,[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]],[[U+E001]]
TrnMenu_Flip_rlx_Btn_X,15,TrnMenu_Flip_rlx_Btn_X,[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]],[[U+E002]]
TrnMenu_Flip_rlx_Btn_Y,16,TrnMenu_Flip_rlx_Btn_Y,[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]],[[U+E003]]
MainMenu,17,MainMenu,,,,,,,,,,
MainMenu_Rival,18,MainMenu_Rival,Rivaal,Rival,Rival,Rivale,Rivale,Rival,Rival,Rival,Rival,Rakip
MainMenu_Rank_Grade,19,MainMenu_Rank_Grade,Rang,Grade,Rang,Rang,Grado,Nivel,Grade,Rang,Nivel,Rütbe
