index,label,English,French,German,Italian,Spanish,Turkish
4,SuccessM0-0,{TAG_1}Isn't the night view amazing from here?{TAG_2},"{TAG_1}La vue de nuit est magnifique, non ?{TAG_2}",{TAG_1}Ist die Aussicht von hier nicht toll?{TAG_2},"{TAG_1}Che vista magnifica, vero?{TAG_2}",{TAG_1}La vista desde aquí es maravillosa.{TAG_2},{TAG_1}Buradan gece manzarası harika görünmüyor mu?{TAG_2}
5,SuccessM0-1,"{TAG_1}Yes, it's fabulous.{TAG_2}","{TAG_1}Oui, c'est splendide.{TAG_2}","{TAG_1}Ja, sie ist wirklich fantastisch.{TAG_2}","{TAG_1}Sì, è meravigliosa.{TAG_2}","{TAG_1}Sí, es preciosa.{TAG_2}","{TAG_1}Evet, muhteşem.{TAG_2}"
6,SuccessM1-0,"{TAG_1}Well, you look absolutely fabulous to me.{TAG_2}","{TAG_1}Pour moi, tu es encore plus splendide.{TAG_2}","{TAG_1}Nun, du siehst aber auch ganz fantastisch aus.{TAG_2}","{TAG_1}Per me, tu sei ancora
più magnifica.{TAG_2}",{TAG_1}Esta noche estás preciosa.{TAG_2},{TAG_1}Bence asıl muhteşem görünen sensin.{TAG_2}
7,SuccessM1-1,{TAG_1}Heehee! Thanks!{TAG_2},"{TAG_1}Hi, hi, hi ! Merci !{TAG_2}",{TAG_1}Hihi! Danke für das Kompliment!{TAG_2},{TAG_1}Oh! Grazie!{TAG_2},"{TAG_1}¡Uy! Gracias, qué amable.{TAG_2}",{TAG_1}Hihi! Teşekkürler!{TAG_2}
8,SuccessM2-0,"{TAG_1}By the way, there's something important
I have to ask...{TAG_2}","{TAG_1}Au fait, je dois te demander quelque chose
d'important...{TAG_2}",{TAG_1}Ich müsste dich etwas sehr Wichtiges fragen...{TAG_2},"{TAG_1}A proposito, volevo chiederti una cosa...{TAG_2}","{TAG_1}Por cierto, tengo que preguntarte algo...{TAG_2}","{TAG_1}Bu arada, sana sormam gereken önemli bir şey var...{TAG_2}"
9,SuccessM2-1,{TAG_1}What?{TAG_2},{TAG_1}Quoi donc ?{TAG_2},{TAG_1}Was denn?{TAG_2},{TAG_1}Cosa?{TAG_2},{TAG_1}¿El qué?{TAG_2},{TAG_1}Ne?{TAG_2}
10,SuccessM3-0,{TAG_1}Will you marry me?{TAG_2},{TAG_1}Tu veux m'épouser ?{TAG_2},{TAG_1}Möchtest du mich heiraten?{TAG_2},{TAG_1}Vuoi sposarmi?{TAG_2},{TAG_1}¿Quieres casarte conmigo?{TAG_2},{TAG_1}Benimle evlenir misin?{TAG_2}
11,SuccessM3-1,"{TAG_1}Why, yes!{TAG_2}",{TAG_1}Oui ! Avec joie !{TAG_2},"{TAG_1}Ja, ich will!{TAG_2}",{TAG_1}Ne sarei felice!{TAG_2},{TAG_1}¡Por supuesto!{TAG_2},{TAG_1}Evet! Hem de çok isterim!{TAG_2}
12,SuccessF0-0,{TAG_1}Isn't the view stunning?{TAG_2},"{TAG_1}La vue est magnifique, tu ne trouves pas ?{TAG_2}",{TAG_1}Ist die Aussicht nicht beeindruckend?{TAG_2},"{TAG_1}Un panorama da togliere il fiato, vero?{TAG_2}","{TAG_1}Esta vista quita el aliento, ¿verdad?{TAG_2}",{TAG_1}Manzara nefes kesici değil mi?{TAG_2}
13,SuccessF0-1,{TAG_1}Sure...{TAG_2},"{TAG_1}Oui, c'est vrai.{TAG_2}",{TAG_1}Allerdings...{TAG_2},{TAG_1}Puoi dirlo forte...{TAG_2},{TAG_1}Sí...{TAG_2},{TAG_1}Evet...{TAG_2}
