original_path	edited_copy_path	reason
Mini_lessons/LESSON_02_M1_Mushrooms/L02_M1_INTRO_vince_mini_lesson-en.jpg	Mini_lessons/LESSON_02_M1_Mushrooms/L02_M1_INTRO_vince_mini_lesson-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
bitmaps/frontend/logos/aa_logo-en.png	bitmaps/frontend/logos/aa_logo-en.png	English-language image/screenshot; edit text and keep dimensions/format/path
bitmaps/frontend/new.png	bitmaps/frontend/new.png	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/Free_Paint_Tutorial/Canvas_Select-en.jpg	lessons/Free_Paint_Tutorial/Canvas_Select-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/Free_Paint_Tutorial/Ref_Image_Select-en.jpg	lessons/Free_Paint_Tutorial/Ref_Image_Select-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/GAME_INTRO/Courses-en.jpg	lessons/GAME_INTRO/Courses-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/GRADUATION_2/lessons_menu-en.jpg	lessons/GRADUATION_2/lessons_menu-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/Gallery_Tutorial/Frame_select-en.jpg	lessons/Gallery_Tutorial/Frame_select-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/LESSON_06_Koi_Carp/L06_S02_menu_screen-en.jpg	lessons/LESSON_06_Koi_Carp/L06_S02_menu_screen-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/LESSON_0_Apple/L00_OUTRO_menu_screen-en.jpg	lessons/LESSON_0_Apple/L00_OUTRO_menu_screen-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/LESSON_0_Apple/L00_OUTRO_save-en.jpg	lessons/LESSON_0_Apple/L00_OUTRO_save-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/LESSON_A_01_Peaches/LA01_S02_dry-en.jpg	lessons/LESSON_A_01_Peaches/LA01_S02_dry-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Annotation-en.jpg	lessons/UGC_TUTORIAL/Annotation-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Canvas_Select-en.jpg	lessons/UGC_TUTORIAL/Canvas_Select-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Lesson_Title-en.jpg	lessons/UGC_TUTORIAL/Lesson_Title-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Ref_Image_Select-en.jpg	lessons/UGC_TUTORIAL/Ref_Image_Select-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Review_Stages_Screen-en.jpg	lessons/UGC_TUTORIAL/Review_Stages_Screen-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
lessons/UGC_TUTORIAL/Vince_Menu-en.jpg	lessons/UGC_TUTORIAL/Vince_Menu-en.jpg	English-language image/screenshot; edit text and keep dimensions/format/path
