file	id	format	source_en	source_fr	source_de	source_es	source_it	source_nl	source_pt	source_ru	tr	source_sha1	notes
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	0	STB1.1	Mini Lesson: Mushrooms	Exercice : champignons	Mini-Lektion: Pilze	Clase extra: Champiñones	Mini lezione: Funghi	Korte les: champignons	Exercício: Cogumelos	Короткое занятие. Грибы	Mini Ders: Mantarlar	b3113b2791d4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	1	STB1.1	[b1][i1][f2]Sketch the shapes[] of the mushrooms with the point of a black pencil.[][b1][i1]Use the [f2]grid[] if it helps you feel more confident about placement.[]	[b1][i1][f2]Dessiner le contour[] des \nchampignons avec la pointe du\ncrayon noir.[][b1][i1]Utiliser la [f2]grille[] pour vous aider à\nplacer les sujets avec précision.[]	[b1][i1][f2]Skizziere die Konturen[] der Pilze mit\nder Spitze des Bleistifts.[][b1][i1]Verwende ruhig das [f2]Gitternetz[], um\netwas mehr Sicherheit in puncto\nAnordnung zu erlangen.[]	[b1][i1][f2]Bosqueja las formas[] de los champiñones con la punta de un lápiz negro.[][b1][i1]Utiliza la [f2]cuadrícula[] si crees que la necesitas para colocarlos en el lugar adecuado.[]	[b1][i1][f2]Traccia la sagoma[] dei funghi con\nla punta di una matita nera.[][b1][i1]Usa la [f2]griglia[] se pensi possa esserti\nd'aiuto nel posizionare gli oggetti.[]	[b1][i1][f2]Schets de vormen[] van de champignons met de punt van een zwart potlood.[][b1][i1]Je kunt het [f2]raster[] gebruiken voor wat hulp bij de plaatsing.[]	[b1][i1][f2]Faça um esboço das formas[] dos\ncogumelos com a ponta de um\nlápis preto.[][b1][i1]Utilize a [f2]grelha[] se quiser\ncertificar-se do posicionamento.[]	[b1][i1][f2]Нанеси на бумагу контур[]\nгрибов острием черного\nкарандаша.\n[][b1][i1]Используй [f2]сетку[], чтобы\nточнее расположить контур.[]	[b1][i1]Mantarların [f2]ana hatlarını[] siyah kalemin ucuyla hafifçe çiz.[][b1][i1]Yerleşimi ayarlarken işini kolaylaştırıyorsa [f2]ızgaradan[] yararlan.[]	5aa5ea1aeabf	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	2	STB1.1	Mini Lesson: Mushrooms	Exercice : champignons	Mini-Lektion: Pilze	Clase extra: Champiñones	Mini lezione: Funghi	Korte les: champignons	Exercício: Cogumelos	Короткое занятие. Грибы	Mini Ders: Mantarlar	b3113b2791d4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	3	STB1.1	[b1][i1]Block in some [f2]shadows[] beneath the mushrooms with the flat of the pencil.[]	[b1][i1]Ajouter quelques [f2]ombres[] sous les\nchampignons en utilisant le plat\ndu crayon.[]	[b1][i1]Lege einige [f2]Schatten[] unterhalb der\nPilze mithilfe der flachen Seite des\nBleistifts an.[]	[b1][i1]Mancha algunas [f2]sombras[] que hay debajo de los champiñones con un lápiz tumbado.[]	[b1][i1]Traccia delle [f2]ombre[] sotto i funghi\nusando il dorso della matita.[]	[b1][i1]Vul de [f2]schaduwen[] onder de champignons in met de vlakke kant van het potlood.[]	[b1][i1]Adicione algumas [f2]sombras[] sob\nos cogumelos com o lápis na\nhorizontal.[]	[b1][i1]Нанеси падающие от грибов\n[f2]тени[] боковой частью грифеля.[]	[b1][i1]Kalemin yassı yüzünü kullanarak mantarların altındaki [f2]gölgeleri[] kabaca yerleştir.[]	e166256a4bda	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	4	STB1.1	Mini Lesson: Mushrooms	Exercice : champignons	Mini-Lektion: Pilze	Clase extra: Champiñones	Mini lezione: Funghi	Korte les: champignons	Exercício: Cogumelos	Короткое занятие. Грибы	Mini Ders: Mantarlar	b3113b2791d4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	5	STB1.1	[b1][i1]Use the [f2]point[] of your [f2]red-brown pencil[] to add some [f2]hatching[] on the mushrooms.[][b1][i1]Try to leave [f2]gaps[] to let the paper colour act as a mid tone.[]	[b1][i1]Utiliser la [f2]pointe[] du [f2]crayon\nsanguine[] pour ajouter des\n[f2]hachures[] aux champignons.[][b1][i1]Essayer de laisser des [f2]espaces\nvides[] pour utiliser la couleur\ndu papier comme un ton moyen.[]	[b1][i1]Verwende die [f2]Spitze[] des\n[f2]rotbraunen Farbstifts[], um auf den\nPilzen einen [f2]Schraffur-Effekt[]\nherzustellen.[][b1][i1]Lass aber auch [f2]Stellen aus[], damit\ndie Farbe des Papiers die Rolle des\nmittleren Farbtons übernehmen\nkann.[]	[b1][i1]Utiliza la [f2]punta[] del [f2]lápiz marrón rojizo[] para añadir un [f2]tramado[] a los champiñones.[][b1][i1]Procura dejar [f2]espacios[] para que el color del papel actúe de tono medio.[]	[b1][i1][f2]Tratteggia[] i funghi con la [f2]punta[] \ndella tua [f2]matita rosso marrone.[]\n[][b1][i1]Cerca di lasciare degli [f2]spazi vuoti[]\naffinché lo sfondo della carta\nfunga da colore intermedio.[]	[b1][i1]Gebruik de [f2]punt[] van je [f2]roodbruine potlood[] om [f2]arcering[] aan te brengen op de champignons.[][b1][i1]Probeer wat [f2]ruimte open te laten[] in de arcering, om de papierkleur als middentoon te laten doorschijnen.[]	[b1][i1]Utilize a [f2]ponta[] do [f2]lápis vermelho-\n-acastanhado[] para aplicar [f2]hachura[],\ndando volume aos cogumelos.[][b1][i1]Tente deixar alguns [f2]intervalos[] para\nque a cor do papel atue como\ntom médio.[]	[b1][i1]Добавь [f2]штриховку[] на грибы\n[f2]острием[] [f2]красно-коричневого\nкарандаша[].\n[][b1][i1]Оставь немного [f2]пробелов[].\nТак можно использовать\nцвет бумаги в качестве\nсреднего тона.[]	[b1][i1][f2]Kızıl kahverengi kaleminin[] [f2]ucuyla[] mantarların üzerine biraz [f2]tarama[] ekle.[][b1][i1]Kâğıdın renginin orta ton olarak görünmesi için aralarda [f2]boşluklar[] bırakmaya çalış.[]	d0bbd6d38eb4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	6	STB1.1	Mini Lesson: Mushrooms	Exercice : champignons	Mini-Lektion: Pilze	Clase extra: Champiñones	Mini lezione: Funghi	Korte les: champignons	Exercício: Cogumelos	Короткое занятие. Грибы	Mini Ders: Mantarlar	b3113b2791d4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	7	STB1.1	[b1][i1]Add in the [f2]lighter tones[] with the point of a [f2]light brown pencil[].[][b1][i1]Keep using [f2]hatching[] here and try to [f2]follow the form[] of the mushrooms.[]	[b1][i1]Ajouter les [f2]nuances les plus\nclaires[] avec la pointe du [f2]crayon\nmarron clair[].[][b1][i1]Continuer de [f2]hachurer[] et\ntenter de [f2]suivre les courbes[]\ndes champignons.[]	[b1][i1]Zeichne die [f2]hellsten Töne[] mit der\nSpitze des [f2]hellbraunen Stiftes[] ein.\n[][b1][i1][f2]Schraffiere[] dabei weiterhin und\nversuche, [f2]der Form[] der Pilze\n[f2]zu folgen[].[]	[b1][i1]Añade los [f2]tonos más claros[] con la punta del [f2]lápiz marrón claro[].[][b1][i1]Sigue utilizando el [f2]tramado[] e intenta [f2]seguir la forma[] de los champiñones.[]	[b1][i1]Aggiungi i [f2]toni più chiari[] con la\npunta di una [f2]matita marrone chiaro[].[][b1][i1]Continua con il [f2]tratteggio[] e cerca\ndi [f2]seguire la forma[] dei funghi.[]	[b1][i1]Voeg de [f2]lichtere tonen[] toe met de punt van een [f2]lichtbruin potlood[].[][b1][i1]Blijf [f2]arceren[] en [f2]volg[] hierbij [f2]de vorm[] van de champignons.[]	[b1][i1]Adicione os [f2]tons mais claros[] com\na ponta de um [f2]lápis castanho-claro[].[][b1][i1]Continue a aplicar a [f2]hachura[] e\na [f2]seguir a forma[] dos cogumelos.[]	[b1][i1]Обозначь [f2]светлые тона[] \nострием [f2]светло-коричневого\nкарандаша[].\n[][b1][i1]Используй [f2]штриховку[]\nи попробуй [f2]следовать\nформе[] грибов.[]	[b1][i1][f2]Açık kahverengi kalemin[] ucuyla [f2]daha açık tonları[] ekle.[][b1][i1]Burada da [f2]tarama[] kullan ve çizgilerin mantarların [f2]biçimini takip etmesine[] çalış.[]	bfe8f42aa7ad	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	8	STB1.1	Mini Lesson: Mushrooms	Exercice : champignons	Mini-Lektion: Pilze	Clase extra: Champiñones	Mini lezione: Funghi	Korte les: champignons	Exercício: Cogumelos	Короткое занятие. Грибы	Mini Ders: Mantarlar	b3113b2791d4	
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	9	STB1.1	[b1][i1]Go back to your [f2]black pencil[] to [f2]refine the details[] on the mushrooms where needed.[]	[b1][i1]Reprendre le [f2]crayon noir[]\npour [f2]affiner les détails[]\ndes champignons là où\ncela semble nécessaire.[]	[b1][i1]Nimm nun wieder den [f2]Bleistift[],\num, falls nötig, die [f2]Details[]\nder Pilze [f2]zu verfeinern[].[]	[b1][i1]Toma de nuevo el [f2]lápiz negro[] para [f2]refinar los detalles[] de los champiñones donde lo necesites.[]	[b1][i1]Seleziona di nuovo la [f2]matita nera[] e\n[f2]rifinisci i dettagli[] sui funghi qualora\nsia necessario.[]	[b1][i1]Gebruik je [f2]zwarte potlood[] om waar nodig [f2]de details op de champignons te verfijnen[].[]	[b1][i1]Pegue novamente no [f2]lápis preto[]\ne [f2]aperfeiçoe os pormenores[] dos\ncogumelos onde for necessário.[]	[b1][i1]Воспользуйся снова [f2]черным\nкарандашом[], чтобы [f2]уточнить\nдетали[] рисунка, если нужно.[]	[b1][i1]Gereken yerlerde mantarların [f2]ayrıntılarını belirginleştirmek[] için yeniden [f2]siyah kaleme[] geç.[]	7ff037a960b2	
