file,index,label,English,German,Spanish,French,Italian,Turkish,official_max_lines,official_max_px,turkish_lines,turkish_max_px,fit_ratio,fit_status,control_status,translation_status,translator_note
cec.msbt,0,CecAppTitle,Fullblox,Fullblox,Fullblox,Fullblox,Fullblox,Fullblox,1,107,1,107,1.000,OK,OK,MANUAL,
cec.msbt,1,CecInfoText,"⟦TAG:0001:0001:0000⟧'s
Favourite","Favorit von
⟦TAG:0001:0001:0000⟧","El favorito
de ⟦TAG:0001:0001:0000⟧","Le favori de :
⟦TAG:0001:0001:0000⟧","Il preferito di
⟦TAG:0001:0001:0000⟧","⟦TAG:0001:0001:0000⟧ kişisinin
favorisi",2,185,2,118,0.638,OK,OK,MANUAL,
cec.msbt,2,CecInfoText_Ng,"Someone's
Favourite","Favorit von
irgendjemandem","El favorito
de otro usuario","Le favori de
quelqu'un","Il preferito
di qualcuno","Birinin
favorisi",2,227,2,105,0.463,OK,OK,MANUAL,
common.msbt,0,B_Back,Back,Zurück,Atrás,Retour,⟦TAG:0002:0000:5ACD⟧Indietro⟦END:0002:0000⟧,Geri,1,112,1,58,0.518,OK,OK,REUSED_PREVIOUS,
common.msbt,1,B_Play,Play,Dieses Fullblox spielen,Jugar,Jouer,Gioca,Oyna,1,300,1,72,0.240,OK,OK,REUSED_PREVIOUS,
common.msbt,2,B_BuyFreePass,How to Purchase,Infos zum Pass-Erwerben,Cómo comprar,Procédure d'achat,Come acquistare,Nasıl Satın Alınır,1,337,1,236,0.700,OK,OK,MANUAL,
common.msbt,3,B_EditPlay,Play,Spielen,Jugar,Jouer,Gioca,Oyna,1,99,1,72,0.727,OK,OK,REUSED_PREVIOUS,
common.msbt,4,B_Edit,Edit,Ändern,Editar,Éditer,⟦TAG:0002:0000:5ACD⟧Modifica⟦END:0002:0000⟧,Düzenle,1,120,1,108,0.900,OK,OK,REUSED_PREVIOUS,
common.msbt,5,B_Del,Delete,⟦TAG:0002:0000:5ACD⟧Löschen⟦END:0002:0000⟧,Borrar,Effacer,⟦TAG:0002:0000:5ACD⟧Cancella⟦END:0002:0000⟧,Sil,1,116,1,34,0.293,OK,OK,REUSED_PREVIOUS,
common.msbt,6,B_New,Create,Erstellen,Crear,Créer,Crea,Oluştur,1,123,1,101,0.821,OK,OK,MANUAL,
common.msbt,7,B_QrRead,⟦TAG:0002:0000:51CD⟧Read QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:51CD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:53CD⟧Leer QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:51CD⟧Lire QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:4BCD⟧Leggi QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:51CD⟧QR Kodu Oku⟦END:0002:0000⟧,1,192,1,176,0.917,OK,OK,MANUAL,
common.msbt,8,B_QrCreate,⟦TAG:0002:0000:46CD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:46CD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:4CCD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:4CCD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:46CD⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:46CD⟧QR Kodu⟦END:0002:0000⟧,1,111,1,115,1.036,REVIEW,OK,MANUAL,
common.msbt,9,B_Call,Copy This Fullblox,Dieses Fullblox kopieren,Copiar este Fullblox,Copier ce Fullblox,Copia questo Fullblox,Bu Fullblox'u Kopyala,1,325,1,289,0.889,OK,OK,MANUAL,
common.msbt,10,B_Gift,Copy This Fullblox,Fullblox übernehmen!,Recibir este Fullblox,Copier ce Fullblox,Copia questo Fullblox,Bu Fullblox'u Kopyala,1,290,1,289,0.997,OK,OK,MANUAL,
common.msbt,11,B_EditTry,Test,Test,Probar,Tester,Prova,Dene,1,94,1,68,0.723,OK,OK,REUSED_PREVIOUS,
common.msbt,12,B_EditCall,Copy,⟦TAG:0002:0000:50CD⟧Kopieren⟦END:0002:0000⟧,Copiar,Copier,Copia,Kopyala,1,122,1,112,0.918,OK,OK,REUSED_PREVIOUS,
common.msbt,13,B_EditSave,Done,Fertig,Salir,Fini,Fine,Bitti,1,85,1,63,0.741,OK,OK,REUSED_PREVIOUS,
common.msbt,14,B_EditCol_00,Confirm,OK,Confirmar,OK,OK,Onayla,1,136,1,99,0.728,OK,OK,REUSED_PREVIOUS,
common.msbt,15,B_EditCol_01,Cancel,⟦TAG:0002:0000:62CD⟧Abbrechen⟦END:0002:0000⟧,Cancelar,Annuler,Annulla,İptal,1,147,1,64,0.435,OK,OK,REUSED_PREVIOUS,
common.msbt,16,B_QRE_00,No thanks,Nein danke.,No,Non merci,"No, grazie.","Hayır, sağ ol",1,163,1,171,1.049,REVIEW,OK,MANUAL,
common.msbt,17,B_QRE_01,Sure,Gerne!,¡Sí!,Bien sûr !,Certo!,Olur,1,124,1,59,0.476,OK,OK,MANUAL,
common.msbt,18,B_QRE_02,Save to SD Card,Auf SD Card speichern,Guardar en la tarjeta SD,⟦TAG:0002:0000:5CCD⟧Sauvegarder sur la carte SD⟦END:0002:0000⟧,Salva nella scheda SD,SD Karta Kaydet,1,380,1,231,0.608,OK,OK,REUSED_PREVIOUS,
common.msbt,19,B_QRE_03,Understood,In Ordnung,De acuerdo,Compris !,D'accordo!,Anladım,1,157,1,114,0.726,OK,OK,MANUAL,
common.msbt,20,B_QRD_00,"Read with
Camera","Mit der Kamera
einlesen","Leer con
la cámara",Lire avec l'APN,"Leggi con
la fotocamera","Kamerayla
Oku",2,213,2,149,0.700,OK,OK,REUSED_PREVIOUS,
common.msbt,21,B_QRD_01,"Read from
Fullblox Card","Von Fullblox-
Karte einlesen","Leer de
tarjeta Fullblox","Charger une
carte Fullblox","Leggi dalla
Scheda Fullblox","Fullblox
Kartından Oku",2,218,2,203,0.931,OK,OK,MANUAL,
common.msbt,22,DB_00,Yes,Ja,Sí,Oui,Sì,Evet,1,46,1,62,1.348,REVIEW,OK,REUSED_PREVIOUS,
common.msbt,23,DB_01,No,Nein,No,Non,No,Hayır,1,63,1,78,1.238,REVIEW,OK,REUSED_PREVIOUS,
common.msbt,24,DB_02,Close,Schließen,Cerrar,Fermer,Chiudi,Kapat,1,130,1,85,0.654,OK,OK,REUSED_PREVIOUS,
common.msbt,25,DB_03,OK,OK,Aceptar,OK,OK,OK,1,113,1,40,0.354,OK,OK,REUSED_PREVIOUS,
common.msbt,26,DB_Cancel,Cancel,Abbrechen,Cancelar,Annuler,Annulla,İptal,1,147,1,64,0.435,OK,OK,REUSED_PREVIOUS,
