file	id	en	fr	de	it	es	old_tr	new_tr	reason_codes	reason
characterparts.csv	0x0A426E38	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x0A426E39	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x0A426E3A	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x0A426E3B	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x0A426E3C	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x0A426E3D	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D761	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D762	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D763	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D764	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D765	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x23A0D766	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E120B	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E120C	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E120D	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E120E	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E120F	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x262E1210	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55EE	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55EF	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55F0	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55F1	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55F2	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x331E55F3	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C462158	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C462159	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C46215A	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C46215B	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C46215C	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x4C46215D	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x7522090E	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x7522090F	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x75220910	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x75220911	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x75220912	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0x75220913	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6333	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6334	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6335	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6336	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6337	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xBADD6338	Cascade	Frange	Stufen	Cadenti	Cascada	Şelale	Katlı	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF208944E	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF208944F	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF2089450	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF2089451	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF2089452	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xF2089453	Dreadlocks	Dreadlocks	Dreadlocks	Rasta	Rastas	Dreadler	Rasta	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFAB	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFAC	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFAD	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFAE	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFAF	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
characterparts.csv	0xFAC4EFB0	Mohawk	Iroquoise	Irokese	Cresta	Cresta	Mohawk	Mohikan	hairstyle	FR/DE/IT/ES saç stili anlamını doğruluyor; literal/ham İngilizce karşılık doğal Türkçeye çevrildi.
