apply,archive,member,section,entry,source_text,translation,flags,notes
1,0/0/0,node_0000_slot_00.bin,all,0,...Hmm?,...Hı?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,1,Hi.,Selam.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,2,"Oh, hi, Angel!\nIt's been a while.","Aa, selam, Melek!\nGörüşmeyeli epey oldu.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,3,Congratulations.,Tebrikler.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,4,"Oh, yeah!\nI won the \u0010\u0002\uBE0C\u0007\u0010\u0002\uFF00\u0001Derby\u0010\u0002\uFF00\0!\nThanks to you.","Aa, evet!\n\u0010\u0002\uBE0C\u0007\u0010\u0002\uFF00\u0001Derbi\u0010\u0002\uFF00\0yi kazandım!\nHem de senin sayende.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,5,Is that right?\nOkay. Bye.,Öyle mi?\nPeki. Hoşça kal.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,6,"Hey, hey, hey!\nWait up, why are you being so\ncool about it?\u0010\u0001\uBE01\nAren't you going to give me a moving\nspeech or something?\nI tried hard for it!","Hop, hop, hop!\nBir dakika, neden bu kadar\numursamaz davranıyorsun?\u0010\u0001\uBE01\nİnsan bari duygulu bir konuşma\nfalan yapar!\nO kadar uğraştım!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,7,"You want something moving? So did I.\nSo I did a bit of \u0010\u0002\uBE0C\u0002\u0010\u0002\uFF00\u0001Place betting\u0010\u0002\uFF00\0.\u0010\u0001\uBE01\nBut I didn't think you'd win the race,\nso I lost it all.","Duygulanmak mı istiyorsun? Ben de istedim.\nBu yüzden biraz \u0010\u0002\uBE0C\u0002\u0010\u0002\uFF00\u0001plase bahsi\u0010\u0002\uFF00\0 oynadım.\u0010\u0001\uBE01\nAma yarışı kazanacağına ihtimal\nvermedim, bütün param gitti.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,8,\u0010\u0002\uBE0A\u0004Oh...\u0010\u0001\uBE01\nIs that why you're giving me the\ncold shoulder right now?,\u0010\u0002\uBE0A\u0004Ah...\u0010\u0001\uBE01\nŞimdi bana soğuk davranmanın\nsebebi bu mu?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,9,No?\u0010\u0001\uBE01\nOf course not.\nThis is just how I am.,Hayır?\u0010\u0001\uBE01\nElbette değil.\nBen hep böyleyim.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,10,"Or rather, why didn't you put a wager\non me too?\nI thought we were friends...\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\0Ooh, oh yeah!\nSince I won the \u0010\u0002\uFF00\u0001Derby\u0010\u0002\uFF00\0,\nyou won't cause me misfortune, right?","Asıl sen neden bana da bahis\noynamadın?\nDostuz sanıyordum...\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\0Aa, doğru ya!\n\u0010\u0002\uFF00\u0001Derbi\u0010\u0002\uFF00\0yi kazandığıma göre\nartık başıma bela açmayacaksın, değil mi?",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,11,Huh?\nDid I say I would?,Ha?\nÖyle bir şey mi demiştim?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,12,\u0010\u0002\uBE0A\u0002\u0010\u0002\uBE0A\u0002YES YOU DID!\nYou said if I didn't win it\nyou'd cause me misfortune!,\u0010\u0002\uBE0A\u0002\u0010\u0002\uBE0A\u0002HEM DE BAL GİBİ DEDİN!\nKazanamazsam başıma bela\naçacağını söyledin!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,13,"I was just joking, \ncalm down.\nAll right, you're off the hook.\u0010\u0001\uBE01\n...But I'll have you know,\nthat doesn't guarantee I'll never\ncome out to punish you ever.","Şaka yapmıştım,\nsakin ol.\nTamam, bu kezlik kurtuldun.\u0010\u0001\uBE01\n...Ama şunu bil:\nBu, bir daha asla gelip seni\ncezalandırmayacağım demek değil.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,14,\u0010\u0002\uBE0A\0Huh!?\nWhy?,\u0010\u0002\uBE0A\0Ne!?\nNeden ama?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,15,"Well, I mean, if something bad happens,\nit happens.\nThat's life.\u0010\u0001\uBE01\nBut I won't personally\ncause you any misfortune.\nUnless you do something bad.","Yani, kötü bir şey olacaksa olur.\nHayat böyle.\u0010\u0001\uBE01\nAma ben bizzat başına\nbir felaket getirmem.\nKötü bir şey yapmadığın sürece.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,16,"Oh! Phew. \nI understand.\u0010\u0001\uBE01\n...By the way, \nwhat bad do you mean by bad?\nGive me an example.","Oh! Çok şükür.\nAnladım.\u0010\u0001\uBE01\n...Bu arada,\n""kötü bir şey"" derken neyi kastediyorsun?\nBir örnek versene.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,17,"Uh...I dunno.\u0010\u0001\uBE01\nLike, not offering your seat to the elderly\nwhen you're on a bus?",Şey... Ne bileyim.\u0010\u0001\uBE01\nMesela otobüste yaşlı birine\nyer vermemek?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,18,"That's it!?\nIsn't that a bit harsh!?\u0010\u0001\uBE01\nAnd, why do you sound so unsure?\nYou're the angel in charge, aren't you!?\nYou should know! Tell me!","Hepsi bu mu!?\nBu ceza biraz ağır değil mi!?\u0010\u0001\uBE01\nHem neden bu kadar kararsız konuşuyorsun?\nSorumlu melek sensin, değil mi!?\nBilmen gerek! Söylesene!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,19,"\u0010\u0002\uBE0A\u0002Ugh!!\nShut up, shut up!!\nStop ranting at me!\u0010\u0001\uBE01\nThe system is really complicated, okay!?\nThere is no simple answer!\u0010\u0001\uBE01\nI have to consider each individual's\ncircumstance and reason for their action.\nIt's not easy to say how bad is bad in a snap!\nIt ain't an easy job!","\u0010\u0002\uBE0A\u0002Of yeter!!\nKes sesini, kes!!\nÜstüme gelip durma!\u0010\u0001\uBE01\nSistem çok karmaşık, tamam mı!?\nÖyle tek cümlelik bir cevabı yok!\u0010\u0001\uBE01\nHerkesin koşullarını ve o davranışı neden\nyaptığını ayrı ayrı değerlendirmeliyim.\nNeyin ne kadar kötü olduğuna şıp diye\nkarar veremem! Kolay iş değil bu!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,20,"I, I see...",A-Anlıyorum...,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,21,"\u0010\u0002\uBE0A\0Anyway, I think you'll be fine.\nYou don't look like the sort that would\ngo out and do something extreme.","\u0010\u0002\uBE0A\0Neyse, bence sana bir şey olmaz.\nÖyle gidip de aşırı bir şey yapacak\nbirine benzemiyorsun.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,22,Really?\nThat's reassuring.,Gerçekten mi?\nİçim rahatladı.,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,0,23,"I've got to get going now.\nGood luck with the races, son.\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Next time, I'll put my money on you.","Artık gitmem gerek.\nYarışlarda bol şans, oğlum.\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Bir dahaki sefere paramı sana yatıracağım.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,1,23,"I've got to get going now.\nGood luck with the races, kid.\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Next time, I'll put my money on you.","Artık gitmem gerek.\nYarışlarda bol şans, kızım.\u0010\u0001\uBE01\n\u0010\u0002\uBE0A\u0001Bir dahaki sefere paramı sana yatıracağım.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,24,"Heh, cool!","Heh, süper!",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,25,Bye-bye!,Güle güle!,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,26,...Hmm?,...Hı?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,0,27,"Bonjour, Monsieur.","Bonjour, Mösyö.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,1,27,"Bonjour, Mademoiselle.","Bonjour, Matmazel.",0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,28,"Oh, hi, Santa Claus.","Aa, selam Noel Baba.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,29,Who are you calling Santa Claus!?,Kime Noel Baba diyorsun sen!?,0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,30,"Just kidding.\nIt's been a while, Angel.","Şaka yaptım.\nGörüşmeyeli epey oldu, Melek.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,31,"Yup, it has.","Evet, oldu.",0/0,TR batch 01
1,0/0/0,node_0000_slot_00.bin,all,32,What brings you here today?,Bugün buraya nasıl düştün?,0/0,TR batch 01
