"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Boss_Bowling","Atış yap!","Bowl!","Bowl!","Lance !","Lance!","Bowlen!","Lancia!","¡Lanza!","¡Lanza!","ぜんぶ たおせ！"
"Boss_Boxing","Nakavt et!","Knock out!","Knock out!","Assomme !","Assomme!","Schlagen!","KO!","¡Noquéalo!","¡Noquéalo!","たおせ！"
"Boss_Cook","Malzemeleri ekle!","Add toppings!","Add toppings!","Ajoute la garniture !","Ajoute la garniture!","Garnieren!","Guarnisci!","¡Decora!","¡Decora!","トッピング！"
"Boss_CookNext","Sık!","Squirt!","Squirt!","Ajoute le ketchup !","Ajoute le ketchup!","Ketchup drauf!","Aggiungi il ketchup!","¡Échale ketchup!","¡Échale cátsup!","ケチャップを かけて！"
"Boss_CookNext2nd","Puanlanıyor...","Scoring...","Scoring...","Résultat...","Résultat...","Auswertung...","Calcolo punteggio...","Puntuando...","Puntuando...","さいてん！"
"Boss_Dancing","Sesi aç!","Raise the volume!","Raise the volume!","Monte le son !","Monte le son!","Lautstärke hoch!","Alza il volume!","¡Sube el volumen!","¡Sube el volumen!","ボリュームを あげろ！"
"Boss_Dancing_2nd","Hatırla!","Remember!","Remember!","Observe et retiens !","Mémorise!","Merken!","Memorizza!","¡Memoriza!","¡Memoriza!","おぼえて！"
"Boss_Dancing_3rd","Tekrar et!","Repeat!","Repeat!","Répète !","Répète!","Wiederholen!","Ripeti!","¡Repite!","¡Vamos!","おどれ！"
"Boss_Dancing_4th","Hızlan!","Speed up!","Speed up!","Plus vite !","Plus vite!","Schneller!","Più veloce!","¡Más rápido!","¡Más rápido!","スピードアップ！"
"Boss_Dancing_count1","Bir","1","1","1","1","1","1","1","1","1"
"Boss_Dancing_count2","İki","2","2","2","2","2","2","2","2","2"
"Boss_Dancing_count3","Üç","3","3","3","3","3","3","3","3","3"
"Boss_Dancing_count4","Dört","4","4","4","4","4","4","4","4","4"
"Boss_Drive","Finişe var!","Reach finish line!","Reach finish line!","Atteins l'arrivée !","Atteins l'arrivée!","Erreiche das Ziel!","Taglia il traguardo!","¡Llega a la meta!","¡Llega a la meta!","ゴールしろ！"
"Boss_Find","Hırsız!","Thief!","Thief!","Au voleur !","Au voleur!","Dieb!","Al ladro!","¡Al ladrón!","¡Al ladrón!","あっ ドロボー！"
"Boss_Find2nd","Kim yaptı?","Whodunit?","Whodunit?","Qui est le voleur ?","Qui est le voleur?","Wer war's?","Chi è stato?","¿Quién es culpable?","¿Quién es culpable?","はんにんは？"
"Boss_HanaShu","Topla!","Pick!","Pick!","Dans le nez !","Dans le nez!","Pieksen!","Infila!","¡Hurga!","¡Hurga!","いれまくれ！"
"Boss_Homer","<MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF> topa vur!","Hit <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>balls!","Hit <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>balls!","Frappe <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>balles !","Frappe <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>balles!","Schlage <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>Bälle!","Colpisci <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>palle!","¡Batea <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>pelotas!","¡Batea <MSBT:0000:0003:0100FFBFBFFF>3 <MSBT:0000:0003:FF00000000FF>pelotas!","<MSBT:0000:0003:0100FFBFBFFF>3かい <MSBT:0000:0003:FF00000000FF>うちかえせ！"
"Boss_Landing","Güvenle in!","Land safely!","Land safely!","Fais atterrir !","Atterris!","Landen!","Salvali!","¡Aterriza!","¡Aterriza!","ちゃくち させろ！"
"Boss_Nail","Çak!","Pound!","Pound!","Enfonce !","Enfonce!","Einschlagen!","Colpisci!","¡Clávalo!","¡Clávalo!","くぎを うちつけろ！"
"Boss_Pulley","Karşıya geçir!","Cross!","Cross!","Fais passer !","Traverse!","Überbrücken!","Attraversa!","¡Ayúdalos!","¡Ayúdalos!","わたらせろ！"
"Boss_Pulley2nd","Bırak!","Drop!","Drop!","Fais tomber !","Fais tomber!","Fallen lassen!","Lascia cadere!","¡Déjalo caer!","¡Déjalo caer!","おとせ～！"
"Boss_SMB","Kaleye git!","To the castle!","To the castle!","Au château !","Au château!","Zum Schloss!","Al castello!","¡Rápido!","¡Rápido!","ゴールしろ！"
"Boss_Toilet","Yön ver!","Guide!","Guide!","Dirige !","Dirige!","Leiten!","Dirigi!","¡Dirige!","¡Dirige!","あんないして！"
"Boss_Trocco","Harekete geç!","Get moving!","Get moving!","Pompe !","Pompe!","Los!","Muoviti!","¡No pares!","¡No pares!","よけながら すすめ！"
"Boss_UltraHand","Balığı kap!","Grab fish!","Grab fish!","Attrape le poisson !","Attrape le poisson!","Fisch fangen!","Prendi il pesce!","¡Agarra el pez!","¡Agarra el pez!","サカナを とれ！"
