"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Boss_Bowling","Profesyonel Bowling","Pro Bowling","Pro Bowling","Bowling","Pro Bowl","Pro Bowling","Pro Bowling","Bolos","Bolos","ボウリング"
"Boss_Boxing","Nakavt","Punch-Out","Punch-Out","Baston","Baston","Boxkampf","Boxe","Puños fuera","Punch-Out","ボクシング"
"Boss_Cook","Birinci Sınıf","Top Notch","Top Notch","Déco pâtissière","Déco pâtissière","Erste Sahne","Guarnizioni","La guinda del pastel","Alta repostería","トッピング"
"Boss_Dancing","Wario Dans Topluluğu","Wario Dance Company","Wario Dance Company","École de danse Wario","École de danse Wario","Wario Tanzwerkstatt","Compagnia di balletto Wario","Coreografía","Coreografía","ワリオダンサーズ"
"Boss_Drive","Yol Wario'su","Road Wario","Road Wario","Wario, as du volant","Wario, as du volant","Warios wilde Hast","Wario al volante","Wario al volante","Wario al volante","ワリオドライブ"
"Boss_Find","Sinsi Kapkaççı","Sneaky Snatcher","Sneaky Snatcher","Vol en douce","Vol en douce","Listiger Hascher","Ladruncolo","Ladrón ladino","Ladroncito","ちっちゃいドロボー"
"Boss_HanaShu","Burun Üstü","Nose Dive","Nose Dive","Bourre pif","Entrée dans la narine","Bis zum Anschlag!","Invasione nasale","Asunto de narices","Asunto de narices","ハナシュー"
"Boss_Homer","Tek Vuruş Harikası","One Hit Wonder","One Hit Wonder","Coup de balle","Coup de balle","Schlagkraft","Colpo vincente","¡Batea!","¡Batea!","ウルトラマシン"
"Boss_Landing","Balon Tugayı","Balloon Brigade","Balloon Brigade","Atterrissage","Atterrissage","Ballonbrigade","Brigata palloncini","Aterrizaje","Aterrizaje","ちゃくち"
"Boss_Nail","Çivi Çağrısı","Nail Call","Nail Call","Le coin du bricoleur","Le coin du bricoleur","Nagel auf den Kopf","Jack chiodo","Martillazos","Martillazos","クギうち"
"Boss_Pulley","Geçit Görevlisi","Crossing Guard","Crossing Guard","Gardien du pont","Gardien du pont","Die Verkehrskontrolle","Ponte meccanico","Pasos levadizos","Pasos levadizos","かっしゃばし"
"Boss_SMB","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","Super Mario Bros.","スーパーマリオブラザーズ"
"Boss_Toilet","Tuvalet Eğitimi","Toilet Training","Toilet Training","Ça presse !","Ça presse!","Toilettentraining","Bisogno urgente","Retrete guarrete","Aseo ansiado","トイレあんないにん"
"Boss_Trocco","Temel Eğitim","Basic Training","Basic Training","Draisine de course","Draisine de course","Draisinentraining","Binario morto","Entrenamiento básico","Entrenamiento básico","トロッコレース"
"Boss_UltraHand","Daha Fazlasına Pençe","Clawing for More","Clawing for More","Main à rallonge","Main à rallonge","Ultra-Hand","Ultra Hand","Pinzas multiusos","Pinzas multiusos","ウルトラハンド"
"Boss_Wall","Yağma Kaçışı","Loot Scoot","Loot Scoot","Chasse au trésor","Chasse au trésor","Beutezug","Refurtiva bollente","Ataque Wario","Ataque Wario","だいだっしゅつ"
"Adventure","Wario'nun Macerası","Wario's Adventure","Wario's Adventure","Wario's Adventure","Wario's Adventure","Warios Abenteuer","L'avventura di Wario","Aventura Wario","Aventura Wario","ワリオのぼうけん"
"AirPlane","Motor Arızası","Engine Trouble","Engine Trouble","Hélice magique","Hélice magique","Starthilfe","Motore a molla","Dale cuerda","Dale cuerda","プロペラひこうき"
"Allow","Meyveyi Vur","Shoot the Fruit","Shoot the Fruit","Vise le fruit","Vise le fruit","Fruchtschütze","Mira alla frutta","Robinfrú","Perforafrutas","きゅうどう"
"Ami3","Evde Tıraş","Home Haircut","Home Haircut","Coupe maison","Coupe maison","Zottelzöpfe","Tagli casalinghi","Pelado casero","Cortes caseros","みつあみ"
