index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	rvlBadminton_tutorial_a_00	You know what I like when\nI'm flying? Badminton.	Je ferais bien un peu\nde badminton...	Sag mal... Ist dir auch\nso nach Badminton?	Ti va una partita\na badminton?	Me apetece jugar\nal bádminton.	Uçarken neyi sevdiğimi biliyor\nmusun? Badminton.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	rvlBadminton_tutorial_a_01	Let me show you! Hit the\nbirdie back to me with [[PUA:E000]].\nLet me show you! Hit the\nbirdie back to me with a tap.	[[TAG:0004:0000:00CD]]On s'entraîne ? Appuyez sur\n[[PUA:E000]] pour renvoyer le volant.[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]On s'entraîne ? [[TAG:0000:0003:00B200FF]]Touchez[[TAG:0000:0003:000000FF]] l'écran\ntacile pour renvoyer le volant.[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Prima! Aber erst üben.\nSchlag den Ball mit [[PUA:E000]]![[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Prima! Aber erst üben. Schlag\nden Ball durch [[TAG:0000:0003:00B200FF]]Tippen[[TAG:0000:0003:000000FF]].[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Vedrai, è facile! Premi [[PUA:E000]] per\ncolpire il volano.[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Vedrai, è facile! [[TAG:0000:0003:00B200FF]]Tocca [[TAG:0000:0003:000000FF]]il touch\nscreen per colpire il volano.[[END:0004:0000]]	[[TAG:0004:0000:00CD]]¡A practicar! Pulsa [[PUA:E000]]\npara devolver la pluma.[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]¡A practicar! [[TAG:0000:0003:00B200FF]]Toca[[TAG:0000:0003:000000FF]] la pantalla\ntáctil para devolver la pluma. [[END:0004:0000]]	[[TAG:0004:0000:00CD]]Bak, göstereyim! [[PUA:E000]] ile\ntüy topunu bana geri vur.[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Bak, göstereyim! Tüy topunu bana\nbir [[TAG:0000:0003:00B200FF]]dokunuş[[TAG:0000:0003:000000FF]]la geri vur.[[END:0004:0000]]	CONTROL_DIFF_EN_TR,LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	rvlBadminton_tutorial_b_00	Nice!	Joli !	Schön!	Ottimo!	¡Estupendo!	Güzel!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	rvlBadminton_tutorial_b_01	I'm going to change up\nthe rhythm now.	Je vais changer de rythme.	Jetzt ändere ich den\nRhythmus ein wenig.	Ora cambierò il ritmo.	Ahora voy a cambiar\nel ritmo.	Şimdi ritmi\ndeğiştireceğim.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	rvlBadminton_tutorial_b_02	Listen for my signal.	Il suffit de bien\nécouter ma voix !	Achte auf mein Signal!	Ascolta bene\nla mia voce!	Atención a mi voz.	İşaretimi dinle.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	rvlBadminton_tutorial_c_00	Now for the real thing!	Attachez vos ceintures,\nl'épreuve commence !	Und jetzt wird's ernst.	Adesso facciamo sul serio!	¡Llega la hora de la verdad!	Şimdi asıl maça geçelim!		V4_MANUAL_FIXED	TUTORIAL/NATURALNESS: Replaces the broken “Şimdi gerçeği” calque with the natural transition from practice to the real badminton match.
6	rvlBadminton_last_00	Good job!	Joli coup de raquette !	So weit, so gut!	È stata una partita fantastica!	¡Bien!	Aferin!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	rvlBadminton_last_01	Come on! You can't miss\nthe last one! How lame is\nthat?! Anyway, good game.	Aaaaargh ! Le dernier était\npourtant inratable ! C'est pas\npossible, nom d'un chien !	Hey! Gerade am Schluss:\nKonzentrier dich! Echt! Aber\nsonst: Echt reife Leistung!	Maramiaooo! Come hai fatto\na mancare l'ultimo colpo?\nPerò è stato divertente!	¡Marramiáu! ¿Cómo has\npodido fallar esa última?	Hadi ama! Sonuncuyu nasıl\nkaçırırsın? Ne kadar kötü!\nNeyse, güzel oyundu.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	rvlBadminton_short_game_00	We'll play again soon!	Il faudra remettre ça !	Lass uns mal wieder\nzusammen spielen!	Alla prossima partita!	¡Volveremos a vernos!	Yakında yine oynarız!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	rvlRotation_tutorial_a_00	Let's get this meeting\nunder way.	Assurons-nous que cette\nréunion tourne rond !	Sind wir komplett? Dann\nbeginnt die Konferenz.	Oggi è in programma\nuna riunione importante.	Comencemos la reunión.	Toplantıyı\nbaşlatalım.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
