index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	no_msg	No Message found	No Message found	Kein Text vorhanden	Nessun messaggio	No hay mensaje.	Mesaj bulunamadı		DUPLICATE_TR_DIFFERENT_SOURCE	Same Turkish wording appears under a different English source elsewhere; can be legitimate, but useful copy/paste check.
1	rvl_assemble_L_Hi	Nothing like a job well done!	On va battre des records\nde productivité !	Wir sind die Könige der Produktion!	Oggi abbiamo svolto\nun lavoro fantastico!	¡Qué hartón de trabajar!	İyi yapılmış bir iş gibisi yok!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	rvl_assemble_L_Ok	I've earned a little break.	Il est temps de prendre une\npause bien méritée.	Zeit für eine Pause, oder?	Ho abbastanza tempo\nper fare una pausa.	Esto merece un descansito...	Küçük bir molayı hak ettim.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	rvl_assemble_L_Ng	Not my best work...	Si on continue comme ça,\nils vont fermer l'usine !	Ob die Firma wohl Pleite macht?	Se andiamo avanti così,\nla fabbrica chiuderà!	¿¡Estamos al borde del cierre!?	En iyi işim değildi...		FIXED_HIGH_CONFIDENCE	EN/FR/DE/IT/ES comparison; definite control, copy, grammar, or semantic error corrected.
4	rvl_badminton_S_Hi	The only way to play badminton!	Le badminton, c'est sensationnel !	Badminton ist suuuper!	Il badminton d'alta quota\nè divertentissimo!	¡El tiempo se pasa volando\ncuando juegas al bádminton!	Badminton böyle oynanır!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	rvl_badminton_S_Ok	Let's concentrate on flying for now.	Cette partie nous a bien détendus.	Lassen wir's langsam angehen...	Volteggiamo per un\npo' senza fretta...	Es mejor tomarse las cosas\ncon calma...	Şimdilik uçmaya odaklanalım.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	rvl_badminton_S_Ng	This won't end well...	S.O.S. !	Oh, nein! Wir stürzen ab!	Stiamo precipitandooo!	¡Ah, rayos!	Bu iyi bitmeyecek...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	rvl_badminton_L_Hi	Outta my way, duck! I've got\na rally to maintain!	Dégage, le canard !\nOn doit finir notre échange !	Aus dem Weg! Hier wird\nBadminton gespielt!	Sparisci, oca! Abbiamo\nuna partita da disputare!	¡Fuera de mi camino, patos!\n¡Tengo un partido que disputar!	Çekil, ördek! Şu ralliyi\nsürdürmem lazım!		V4_MANUAL_FIXED	VOICE/NATURALNESS: More energetic result-line delivery.
8	rvl_badminton_L_Ok	ANOTHER tied game?	Encore un match nul...\npas si nul !	SCHON WIEDER unentschieden?	Un altro pareggio???	¡¿Otro partido que acaba\nen empate?!	YİNE mi berabere?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	rvl_badminton_L_Ng	I blame you entirely for this.	C'est le problème quand\non joue sans filet...	Oh nein! Wir stürzen ab...	Che disastro...	Qué desastre...	Bunun sorumlusu tamamen sensin.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
10	rvl_batting_L_Hi	We won't see THAT one again!	Cette balle va finir\ndans la stratosphère !	Guter Schlag!	Che fuoricampo incredibile!	¡Ha sido un buen espectáculo!	Onu bir daha göremeyiz!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
11	rvl_batting_L_Ok	Let's call it a tie. Good match.	Match nul !	Unentschieden, oder?	La sfida è finita alla pari.	Empate.	Berabere sayalım. İyi maçtı.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
12	rvl_batting_L_Ng	I...lost?	Cette défaite est sans appel...	Verloren...	Che sconfitta bruciante...	Has perdido...	Ben... kaybettim?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
