index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	treasure_entrance_challenge	Challenges\nEntrance	Entrée\ndes défis	Meisterzug\nEingang	Ingresso	Taquilla	Meydan Okumalar\nGirişi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	treasure_entrance_campaign	Perfect Campaign	Visez le parfait !	„Perfekt“-Aktion	Punta al Perfetto!	¡A por el perfecto!	Mükemmel Kampanyası		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	treasure_entrance_campaign_no	Coming Soon!	En préparation	Demnächst hier!	Prossimamente...	¡Pronto disponible!	Yakında!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	treasure_entrance_campaign_clear	Closed	Fermé	Geschlossen	Chiuso	Cerrado	Kapalı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	treasure_talk_red_first_a_00	̃Welcome to Challenge Land!	[[TAG:0003:0001:03031000]]Bienvenue au [[TAG:0000:0003:E40000FF]]pays défis[[TAG:0000:0003:000000FF]] !	[[TAG:0003:0001:03031000]]Willkommen auf dem\nGelände der [[TAG:0000:0003:E40000FF]]Meisterbahn[[TAG:0000:0003:000000FF]]!	[[TAG:0003:0001:03031000]]Ti do il benvenuto\na [[TAG:0000:0003:E40000FF]]Sfidalandia[[TAG:0000:0003:000000FF]]!	[[TAG:0003:0001:03031000]]¡Te doy la bienvenida a nuestro\nparque de atracciones!	[[TAG:0003:0001:03031000]][[TAG:0000:0003:E40000FF]]Meydan Okuma Diyarı'na[[TAG:0000:0003:000000FF]] hoş geldin!	LONG_TR_LINE	OK_AUTO;V15_MANUAL_FIXED	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit. | V15: Türkçe söz dizimi düzeltildi; renk/animasyon tag sırası korunuyor.
5	treasure_talk_red_first_a_01	Hmmm... Didn't I see you\nat the gate before?	Mmmh... On ne se serait pas\ndéjà vus devant une porte ?	Hm? Dich hab ich\ndoch erst vor Kurzem\nam Tor gesehen?	Mmmh... Non ci siamo già\nvisti al portale, noi due?	Oye, ¿no te he visto\nantes en la puerta?	Hmmm... Seni daha önce\nkapıda görmedim mi?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	treasure_talk_red_first_a_02	Eh, never mind.	Hum... Peu importe.	Ähm... Na gut, egal.	Bah, non importa.	Es igual, no me hagas caso.\nSerá que tienes una cara\nmuy común...	Eh, boş ver.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	treasure_talk_red_first_a_03	This is where you board\nthe Challenge Train.	D'ici, tu embarques\ndans le [[TAG:0000:0003:0E49B3FF]]train défis[[TAG:0000:0003:000000FF]].	Von hier aus kannst du\nden [[TAG:0000:0003:0E49B3FF]]Meisterzug[[TAG:0000:0003:000000FF]] besteigen.	Qui puoi salire a bordo\ndel [[TAG:0000:0003:0E49B3FF]]treno delle sfide[[TAG:0000:0003:000000FF]]...	Bueno, lo que quería decirte\nes que desde aquí parte\nel [[TAG:0000:0003:0E49B3FF]]Tren de los Desafíos[[TAG:0000:0003:000000FF]].	Buradan\n[[TAG:0000:0003:0E49B3FF]]Meydan Okuma Treni[[TAG:0000:0003:000000FF]]'ne biniyorsun.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	treasure_talk_red_first_a_04	You ride through courses\non your way to the goal...	Tu peux suivre différents\nparcours jusqu'à l'arrivée.	Mit ihm fährst du auf diversen\nStrecken bis zum Ziel.	... e affrontare vari percorsi\nfino a raggiungere la tua\ndestinazione...	Puedes elegir entre\ndiferentes trayectos.	Hedefe giderken yol üzerindeki\nparkurlardan geçersin...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	treasure_talk_red_first_a_05	and receive rewards for\nyour skill!	Réussir ces parcours te\nrapporte des [[TAG:0000:0003:8C0092FF]]récompenses[[TAG:0000:0003:000000FF]] !	Erreichst du es tatsächlich,\ngibt es auch eine [[TAG:0000:0003:8C0092FF]]Belohnung[[TAG:0000:0003:000000FF]].	... dove riceverai fantastiche\n[[TAG:0000:0003:8C0092FF]]ricompense[[TAG:0000:0003:000000FF]] come premio per\nle tue abilità.	¡Y en ellos te esperan\n[[TAG:0000:0003:8C0092FF]]recompensas[[TAG:0000:0003:000000FF]] estupendas!	ve yeteneğinin karşılığında\n[[TAG:0000:0003:8C0092FF]]ödüller[[TAG:0000:0003:000000FF]] de kazanırsın!	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
