index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	no_msg	No Message found	Aucun message	Kein Text gefunden	Nessun messaggio	No hay mensaje.	Mesaj bulunamadı		DUPLICATE_TR_DIFFERENT_SOURCE	Same Turkish wording appears under a different English source elsewhere; can be legitimate, but useful copy/paste check.
1	ctr_bear_L_Hi	Bliss.	Le bonheur...	Ich bin so glücklich!	Che felicità...	¡Soy el oso más dichoso!	Huzur.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	ctr_bear_L_Ok	It was just a dream!	Ce n'était qu'un vilain rêve...	Es war nur ein Traum!	Era solo un sogno!	¡Solo ha sido un sueño!	Meğer sadece rüyaymış!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	ctr_bear_L_Ng	Beary? Beary, wake up...	Mon nounours... Réveille-toi...	Bärle? Bärle, wach schon auf...	Teodorso? Teodorso, svegliati...	Oselito, ¡despierta!	Ayıcık? Ayıcık, uyan...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	ctr_blanco_L_Hi	Let's start that circus we've\nalways dreamed of!	Nous sommes prêts à\ndevenir les dieux du cirque !	Ein fulminanter Erfolg!	È il circo dei nostri sogni!	¡Vamos a montar ese circo\ndel que siempre hemos hablado!	Hayalini kurduğumuz sirki\nkuralım artık!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	ctr_blanco_L_Ok	Flying high!	À nous les grands espaces !	Was für ein Gefühl!	Volo in alto!	¡Ha sido un espectáculo de altura!	Tavan yaptın!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	ctr_blanco_L_Ng	Wait! I can do better! Come back!	Non... Mais revenez !\nJe peux faire mieux !	Wartet! Ich kann das besser!	Aspettate! Posso fare di meglio!	¡Esperad! ¡Puedo hacerlo mejor!	Dur! Daha iyisini yaparım! Geri dön!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	ctr_blanco_A_Hi	Circus life is the best life!	C'est pour ça que nous\nformons un duo exceptionnel !	Zirkusleben ist das beste Leben!	Non c'è niente di meglio\ndella vita del circo!	¡No hay nada como\nla vida en el circo!	Sirk hayatı gibisi yok!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	ctr_blanco_A_Ok	This worked better in rehearsal!	La vie sauvage n'est\npas sans imprévus...	Im Training lief das\nirgendwie besser...	Era andata meglio durante\nla prova...	¡En los ensayos me salía mejor!	Provada daha iyi gitmişti!	MANUAL_FIX_V13	MANUAL_FIX_V13	Performance/rehearsal meaning fixed.
9	ctr_blanco_A_Ng	I won't give up on my dream!	J'ai déçu tous mes\namis de la jungle...	Aber aufgeben werd ich niemals!	Non rinuncerò al mio sogno!	¡No renunciaré a mi sueño!	Hayalimden vazgeçmeyeceğim!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
10	ctr_chameleon_L_Hi	With a chameleon,\nwho needs TV?	Ce caméléon nous en fait\nvoir de toutes les couleurs !	Wer so ein Vieh hat, braucht\nkeinen Fernseher mehr!	Quando hai un camaleonte, a\nche serve guardare la TV?	Teniendo un camaleón,\n¿quién necesita televisión?	Bukalemun varken\nTV'ye kim ihtiyaç duyar?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
11	ctr_chameleon_L_Ok	Uh, I think it spotted a bug...	Y a des zarkos là-dedans ?	Dieses Vieh ist echt nicht schlecht.	Uh, credo che abbia visto\nun insetto...	Uy, creo que he visto un bicho...	Şey... galiba bir böcek gördü...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
12	ctr_chameleon_L_Ng	Is this thing defective?	Ce caméléon tire un peu la langue...	Ist dieses Vieh irgendwie kaputt?	Che questo camaleonte\nsia difettoso?	Me parece que estoy defectuoso.	Bu şey bozuk mu ne?	MANUAL_FIX_V13	MANUAL_FIX_V13	Avoids calling the chameleon a device.
13	ctr_dotSamurai_L_Hi	I heard he's actually\n17-bit... *sigh*	En plus, il paraît qu'il est 16 bits !!!	Dieser Samurai ist echt unschlagbar.	Oh, mio eroe a 16 bit!	¡Mi héroe!	Duyduğuma göre aslında 17-bitmiş... *iç çeker*	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
14	ctr_dotSamurai_L_Ok	Mr. Samurai...I'm over here...	M. le samouraï... Par ici !	Herr Samurai! Hier bin ich!	Signor samurai... Io sarei qui...	Señor samurái, estoy aquí.	Bay Samuray... buradayım...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
15	ctr_dotSamurai_L_Ng	Er...Mr. Samurai? You might\nwant to get up...	Le démon du sommeil l'a vaincu !	Äääh... Herr Samurai? Alles klar?	Signor samurai, vuole che\nl'aiuti a rialzarsi?	Señor samurái, ¿le ayudo\na levantarse?	Şey... Bay Samuray?\nKalksanız iyi olacak...	LONG_TR_LINE	V4_MANUAL_FIXED	VOICE/LAYOUT: Preserves the hesitant comic delivery with safer line lengths.
16	ctr_dotSamurai_A_Hi	Our low-res hero! ♡	Notre héros en pixels !	Unser pixeliger Held!	Oh, nostro eroe pixellato!	¡Nuestro héroe pixelado! ♡	Bizim piksel kahramanımız! ♡		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
17	ctr_dotSamurai_A_Ok	Samurai are the coolest...	Les samouraïs sont tellement cool...	Samurai sind echt die Coolsten!	I samurai sono troppo forti!	Los samuráis son imbatibles.	Samuray gibisi yok...	MANUAL_FIX_V13	MANUAL_FIX_V13	Grammar and coolness tone fixed.
18	ctr_dotSamurai_A_Ng	Um, are you OK, mister?	Euh... M. le samouraï ?\nVous êtes sûr que ça va ?	Alles in Ordnung, Herr Samurai?	Tutto bene, signor samurai?	¿Está usted bien, señor samurái?	Şey... iyi misiniz efendim?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
19	ctr_fruitbasket_S_Hi	Nothing but net!	Dans le panier... à tous les coups !	Genau in den Korb!	Dritto a canestro!	¡Ya tenemos pívot!	Tam file!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
20	ctr_fruitbasket_S_Ok	You gotta sweat for it!	Le basket fruitier, ça donne chaud !	Das hat echt Spaß gemacht!	Ho sudato, ma ne è valsa la pena!	¡El esfuerzo ha merecido la pena!	Terlemeden olmaz!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
21	ctr_fruitbasket_S_Ng	I hope the rain stops soon...	Vivement que le beau temps revienne...	Hört der Regen nicht bald auf...?	Spero che smetta di\npiovere presto...	Espero que deje de llover pronto...	Umarım yağmur yakında durur...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
22	ctr_fruitbasket_L_Hi	Three-pointer!	Panier à trois points !	Voll krass gepunktet!	Un canestro da tre punti!	¡Triple!	Üçlük!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
23	ctr_fruitbasket_L_Ok	Let's go again!	Laissez-moi reprendre des forces !	Los, noch eine Runde!	Sono pronto per un'altra partita!	¿Otro partido?	Bir daha!		LENGTH_OUTLIER	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
24	ctr_fruitbasket_L_Ng	I'm lonely...	Je me sens seul...	Ich fühl mich so einsam...	Mi sento tanto solo...	Qué soledad...	Yalnızım...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
25	ctr_interpreter_S_Hi	Welcome to Earth!	Il fait encore plus\nvert qu'à la télé !	Willkommen auf der Erde!	Benvenuto sulla Terra!	¡Bienvenido a la Tierra!	Dünya'ya hoş geldin!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
26	ctr_interpreter_S_Ok	Fun is the universal language.	Le rythme est un langage universel.	Spaß versteht man überall.	Il divertimento è un\nlinguaggio universale.	La diversión es un idioma universal.	Eğlence evrensel bir dildir.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
27	ctr_interpreter_S_Ng	Was it something you said?	Il suffisait d'ouvrir la bouche.\nC'est pourtant pas compliqué !	Hab ich was Falsches gesagt?	Ho forse detto qualcosa di male?	¡¿Se puede saber qué has dicho?!	Yanlış bir şey mi söyledin?	MANUAL_FIX_V13	MANUAL_FIX_V13	Natural “Was it something you said?” rendering.
28	ctr_interpreter_L_Hi	Welcome to Mars!	Mesdames... Le voici !	Willkommen auf dem Mars!	Benvenuto su Marte!	¡Bienvenido a Marte!	Mars'a hoş geldin!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
29	ctr_interpreter_L_Ok	Friendship.	L'amitié ne connaît\nvraiment pas de frontières.	Freundschaft!	Viva l'amicizia interplanetaria!	¡Viva la amistad interplanetaria!	Gezegenler arası dostluk!		LENGTH_OUTLIER,V10_CONTEXT_FIXED	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning. V10: EN/FR/DE/IT/ES comparative context/style/alignment pass; First Contact slash rhythm is preserved where applicable.
30	ctr_interpreter_L_Ng	"Tell me again what a ""verb"" is...?"	OK... mais qu'est-ce que\ntu appelles « verbe », au juste ?	Also, was ist jetzt ein „Verb“...?	"Aspetta un attimo... cos'è\nun ""verbo""?"	Explícame qué es un verbo.	"Şu ""fiil"" neydi bir daha söyler misin...?"		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
31	ctr_pillow_L_Hi	Rise and shine!	Le pyjama est plus fait\npour danser que pour dormir !	Total ausgeschlafen!	Che bella dormita!	¡Qué bien he dormido!	Kalk bakalım, gün doğdu!	MANUAL_FIX_V13	MANUAL_FIX_V13	Replaces literal “rise and shine” calque.
32	ctr_pillow_L_Ok	Mmrmphrmph...	Zzz...	Nur noch fünf Minuten, Mutti...	Ancora cinque minuti, per favore...	Solo un poquito más...	Zzz...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
33	ctr_pillow_L_Ng	Wait for me, bus!	Oh... Non ! J'ai eu\nune panne d'oreiller !	Aaah! Das war mein Bus...!	Aaah! Quello era il mio autobus!	¡Se me escapa el autobús!	Bekle beni, otobüs!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
34	ctr_step_S_Hi	Fresh squeezed all the way, baby!	Et en plus, ils arrivent déjà pressés !	Hurra! Frisch gepresster Obstsaft!	Succo fresco per tutti!	¡Zumo recién exprimido\npara todos!	Mis gibi taze sıkım, işte bu!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
35	ctr_step_S_Ok	More, more!	Toujours plus de fruits !	Immer her mit dem Obst!	Ancora, di più!	¡Más, más!	Daha, daha!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
36	ctr_step_S_Ng	Little help?	Oh non ! Nos fruits fuient !	Braucht ihr Hilfe, Jungs?	Serve aiuto?	¿Necesitas ayuda?	Bir el?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
37	ctr_step_L_Hi	Is there any more?	On va faire un délicieux smoothie !	Ist noch frischer Obstsaft da?	Ce n'è ancora?	¡Queremos un poco más!	Daha yok mu?		LENGTH_OUTLIER	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
38	ctr_step_L_Ok	Keep it coming!	On est chauds !\nEnvoyez les pastèques !	War das etwa schon alles?	Siamo pieni di energia!	¡Estamos llenos de energía!	Devamı gelsin!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
39	ctr_step_L_Ng	NOT THE PINEAPPLES!	Au secours ! Pas les ananas !	NEIIIN! NICHT DIE ANANAS!!!	NOOO! GLI ANANAS NOOO!	¡Que nos quedamos sin piñas!...	ANANASLAR DEĞİL!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
40	ctr_sumou_L_Hi	WE ARE THE SUMO BROS!	Nous sommes... LES FRÈRES SUMOS !	WIR SIND DIE SUMO BROS.!!!	SIAMO I GEMELLI DEL SUMO!!!	¡Sumos los mejores!	BİZ SUMO KARDEŞLERİZ!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
41	ctr_sumou_L_Ok	We are the Sumo Bros.	Nous sommes les frères sumos !	Wir sind die Sumo Bros.	Dobbiamo recuperare le energie.	Toca recuperar fuerzas.	Biz Sumo Kardeşleriz.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
42	ctr_sumou_L_Ng	We...are the Sumo Bros...	Nous sommes... les frères sumos...	Wir... äh... sind die Sumo Bros...	Che figura barbina...	Castigados contra la pared.	Biz... Sumo Kardeşleriz...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
43	ctr_tango_L_Hi	Such passion algorithms!\nSuch grace protocols!	Tant de passion dans ces boulons !	Was für ein wundervoller Partner!	Che algoritmi appassionati!\nChe protocolli pieni di grazia!	¡Qué protocolos más gráciles!\n¡Qué algoritmos más apasionados!	Ne tutkulu algoritmalar!\nNe zarif protokoller!	LONG_TR_LINE	V4_MANUAL_FIXED	HUMOR/LAYOUT: Restores the source’s two-line parallel robot joke.
44	ctr_tango_L_Ok	Wrong settings...?	Essayons la fonction breakdance !	Besser noch mal kalibrieren?	Devo regolare le impostazioni...	Hay que afinar esos ajustes.	Ayarlar şaştı galiba...?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
45	ctr_tango_L_Ng	PLEASE TAKE ME BACK\nDARLING I CAN DO BETTER 01110	Ma01100100ame... J01100101\nsu01101001s dé01010011olé...	VERLASS MICH NICHT!!11010010	Son0110 des00110lato, m1001a\ncar1001...	No soy más que chatarra.	LÜTFEN BENİ GERİ AL\nSEVGİLİM DAHA İYİSİNİ YAPARIM 01110	V5_STYLE_FIXED	OK_AUTO,V5_STYLE_FIXED	EN means “I can do better”; “daha iyi olurum” changes the promise. Binary-romance melodrama remains intact.
46	ctr_teppan_L_Hi	I've found my life's work!	J'ai trouvé ma voie ! Miaaah !	Klatschen ist mein Leben!	Ho trovato il lavoro della mia vita!	¡Es el mejor trabajo que he tenido!	Hayatımın işini buldum!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
47	ctr_teppan_L_Ok	Clap, clap!	Clac, clac, clac... Clac clac !	Klatsch, klatsch, klatsch!	Clap, clap, clap!	¡Bravo!	Alkış alkış!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
48	ctr_teppan_L_Ng	Eh, not for me.	Je suis plus fait pour\njouer du grattoir...	Das ist nichts für mich!	Ah, non fa per me...	Esto no es lo mío.	Eh, bana göre değil.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
49	ctr_woodCat_S_Hi	Fire!	M. l'ours fait feu de tout bois !	Feuer!	Che bel fuoco!	¡Toca celebrar!	Ateş!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
50	ctr_woodCat_S_Ok	Yeah, he's doing it. Come out\nand join us!	Si, je t'assure, M. l'ours a bien\nvoulu s'en occuper. Hi hi...	Alles klar, er macht's!\nKommst du auch?	Fai presto, che tra poco\nci sarà da scaldarsi!	¡Vente, que pronto tendremos\nhoguera!	Evet, yapıyor. Çık da\nbize katıl!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
51	ctr_woodCat_S_Ng	I, uh, brought you a cold compress...	Essayez ça... pour votre lumbago...	War das zu viel für dich...?	Ecco, per il tuo mal di schiena...	Te traigo una venda.	Şey... sana bir soğuk kompres getirdim...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
52	ctr_woodCat_L_Hi	Burning!	Un grand feu de joie !	Wie das brennt!	Guarda come ha preso bene!	¡Yuju! ¡Ya ha prendido!	Ortalık alev aldı!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
53	ctr_woodCat_L_Ok	No, it's not cold, I swear!\nJust get out here!	Allô ? M. le producteur ? J'ai\ntrouvé le prochain super-héros !	Nein, es ist nicht kalt!\nKomm einfach her!	No, non è freddo, credimi!\nDai, ti aspettiamo!	De verdad que no hace frío, ¡vente!	Hayır, soğuk değil yeminle!\nHadi çık artık!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
54	ctr_woodCat_L_Ng	I, uh, brought you a warm compress...	Tenez, ça ira mieux avec ça...	Hier, das wird dir helfen...	Tieni, questo dovrebbe aiutarti...	Igual esta venda te calma el dolor.	Şey... sıcak kompres getirdim...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
55	ctr_bear_L_caption	Baker's Thank-You Note	Facture du pâtissier :	Der Bäcker meint dazu:	Il pasticcere dice:	El pastelero dice:	Fırıncıdan Teşekkür Notu		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
56	ctr_bear_L_cp_DEF_Hi	You had a hearty appetite.	Votre appétit fait plaisir à voir.	Was für ein gesunder Appetit!	È una gioia vederti mangiare così.	¿No te dan de comer en casa?	İştahın yerindeydi.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
57	ctr_bear_L_cp_DEF_Ng	You wasted some food.	Vous faites n'importe quoi avec la nourriture.	Du hast Essen vergeudet...	Hai sprecato del cibo.	Está mal desperdiciar comida.	Biraz yemek heba ettin.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
58	ctr_bear_L_cp_CAKE_Hi	Impressive cake technique!	C'est du gâteau pour vous !	Fantastische Tortentechnik!	Che fantastica tecnica pasticcera!	¡Qué técnica pastelera!	Pasta tekniğin etkileyici!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
