index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	stage_gr00	Honeybee Land	Pays bzzz	Bienchenland	Mielelandia	Abejalandia	Bal Arısı Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	stage_gr01	Machine Land	Pays vroum	Maschinchenland	Autolandia	Autolandia	Makine Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	stage_gr02	Citrus Land	Pays orange	Zitrusland	Agrumilandia	Citrolandia	Narenciye Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	stage_gr03	Donut Land	Pays donut	Donutland	Ciambellandia	Rosquilandia	Donut Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	stage_gr04	Barbershop Land	Pays coup'tif	Barbierland	Barbierlandia	Peluquilandia	Berber Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	stage_gr05	Songbird Land	Pays cui-cui	Tirilierland	Usignolandia	Piolandia	Ötücü Kuş Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	stage_sk00	Star Land	Pays étoile	Sternenland	Astrolandia	Astrolandia	Yıldız Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	stage_sk01	Comet Land	Pays comète	Kometenland	Cometalandia	Cometalandia	Kuyruklu Yıldız Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	stage_sk02	Planet Land	Pays planète	Planetenland	Pianetalandia	Planetolandia	Gezegen Diyarı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	stage_grLED	Lush Woods	Bois de l'abondance	Saftgrünwald	Bosco rigoglioso	Fronda Frondosa	Gür Ormanlar		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
10	stage_skTED	Mamarin Palace	Palais Mamatibby	Mamarin-Palast	Mammagione	Mamilacio	Mamarin Sarayı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
11	stage_gate_00	The First Gate	Première porte	Das erste Tor	Primo portale	Primera puerta	Birinci Kapı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
12	stage_gate_01	The Second Gate	Deuxième porte	Das zweite Tor	Secondo portale	Segunda puerta	İkinci Kapı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
13	stage_gate_02	The Third Gate	Troisième porte	Das dritte Tor	Terzo portale	Tercera puerta	Üçüncü Kapı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
14	stage_gate_03	The Fourth Gate	Quatrième porte	Das vierte Tor	Quarto portale	Cuarta puerta	Dördüncü Kapı		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
15	room_00	Honeybee Tower	Tour bzzz	Bienchenturm	Torre miele	Torre de la Abeja	Bal Arısı Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
16	room_01	Machine Tower	Tour vroum	Maschinchenturm	Torre auto	Torre del Automóvil	Makine Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
17	room_02	Citrus Tower	Tour orange	Zitrusturm	Torre agrumi	Torre Cítrica	Narenciye Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
18	room_03	Donut Tower	Tour donut	Donutturm	Torre ciambella	Torre de la Rosquilla	Donut Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
19	room_04	Barbershop Tower	Tour coup'tif	Barbierturm	Torre barbiere	Torre del Peluquero	Berber Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
20	room_05	Songbird Tower	Tour cui-cui	Tirilierturm	Torre usignolo	Torre Pío Pío	Ötücü Kuş Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
21	room_06	Left-Hand Tower	Tour gauche	Linker-Hand-Turm	Torre sinistra	Torre Izquierda	Sol El Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
22	room_07	Right-Hand Tower	Tour droite	Rechter-Hand-Turm	Torre destra	Torre Derecha	Sağ El Kulesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
23	room_LED	Lush Tower	Tour de l'abondance	Saftgrünturm	Torre rigogliosa	Torre Frondosa	Gür Kule		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
24	room_TED	Tibby's Mom	Mamatibby	Fipsis Mama	Mamma di Tibby	Madre de Tibby	Tibby'nin Annesi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
25	bonus_AGB	Shop No. 1	Boutique 1	Laden Nr. 1	Negozio 1	Tienda n.º 1	Dükkan No. 1		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
26	bonus_NTR	Shop No. 2	Boutique 2	Laden Nr. 2	Negozio 2	Tienda n.º 2	Dükkan No. 2		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
27	bonus_RVL0	Shop No. 3	Boutique 3	Laden Nr. 3	Negozio 3	Tienda n.º 3	Dükkan No. 3		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
28	bonus_RVL1	Shop No. 4	Boutique 4	Laden Nr. 4	Negozio 4	Tienda n.º 4	Dükkan No. 4		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
29	bonus_RVL2	Shop No. 5	Boutique 5	Laden Nr. 5	Negozio 5	Tienda n.º 5	Dükkan No. 5		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
30	bonus_RVL3	Shop No. 6	Boutique 6	Laden Nr. 6	Negozio 6	Tienda n.º 6	Dükkan No. 6		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
31	agb_batter_L_title	Spaceball	Baseball de l'espace	Baseball im Weltall	Spaceball	Béisbol espacial	Uzay Topu		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
32	agb_clap_S_title	The Clappy Trio	Trio clap clap	Die drei Claqueure	Trio Applausi	El trío saleroso	Alkışçı Üçlü		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
33	agb_clap_L_title	The Clappy Trio 2	Trio superclap	Die drei Claqueure 2	Trio Applausi 2	El trío saleroso 2	Alkışçı Üçlü 2		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
34	agb_clap_A_title	The Snappy Trio	Trio western clap	Die drei Claqueure XL	Trio Applausi 3	El trío garboso	Çitçit Üçlüsü		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
35	agb_ghost_S_title	Sneaky Spirits	Esprits espiègles	Geisterstunde	Fantasmi dispettosi	Fantasmas burlones	Sinsi Ruhlar		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
36	agb_ghost_L_title	Sneaky Spirits 2	Le retour des\nesprits espiègles	Geisterstunde 2	Fantasmi\ndispettosi 2	Fantasmas burlones 2	Sinsi Ruhlar 2		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
37	agb_hair_S_title	Rhythm Tweezers	Pince poilante	Rhythmus-Rupfung	A ritmo di pinzette	Un asunto peliagudo	Ritim Cımbızı		V4_MANUAL_FIXED	SPELLING/TERM: Fixes the Turkish title typo.
38	agb_hair_L_title	Rhythm Tweezers 2	Pince\nsuper poilante	Rhythmus-Rupfung 2	A ritmo di\npinzette 2	Un asunto peliagudo 2	Ritim Cımbızı 2		V4_MANUAL_FIXED	SPELLING/TERM: Fixes the same title typo in the sequel.
39	agb_hopping_L_title	Bouncy Road	Tempo mécano	Klackerkugeln	Strada salterina	Bolas saltarinas	Zıplayan Yol		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
40	agb_marcher_L_title	Marching Orders	En avant, marche !	Marschbefehle	Marcia ritmata	Marcha marchosa	Yürüyüş Emirleri		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
41	agb_nightWalk_L_title	Night Walk	Balade nocturne	Nachtwanderung	Passeggiata\nnotturna	Paseo nocturno	Gece Yürüyüşü		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
42	agb_quiz_L_title	Quiz Show	Questions pour\ndes boutons	Quizshow	Quiz Show	Concurso de imitadores	Bilgi Yarışması		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
43	agb_rabbit_L_title	Bunny Hop	Lago salto	Bunny 'n' Blues	Saltoniglio	Conejo saltimbanqui	Tavşan Zıplaması		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
44	agb_rat_L_title	Rat Race	Rats cache-cache	Rennratten	La corsa dei topi	Ratas a la carrera	Sıçan Yarışı		FIXED_V20	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.; V20: Bonus tema adındaki yerelleştirmeyle tutarlılık.
45	agb_shuji_L_title	Power Calligraphy	Calligraphie	Kalligraph	Prova di\ncalligrafia	Caligrafía	Güç Kaligrafisi		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
