index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	no_msg	No message	Aucun message	Kein Text	Nessun messaggio	No hay mensaje.	Mesaj bulunamadı		DUPLICATE_TR_DIFFERENT_SOURCE	Same Turkish wording appears under a different English source elsewhere; can be legitimate, but useful copy/paste check.
1	remix_LED_Hi	Look what grows from a tiny seed...	Quel vaillant petit arbre !	Schau, was da gewachsen ist...	E pensare che era solo un semino...	Y empezó siendo una pequeña semilla...	Minicik bir tohumdan neler çıkıyor...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	remix_LED_Ok	Mom, look! It's sprouting!	Maman, regarde !\nIl commence à pousser !	Mama! Da ist eine Knospe!	Mamma, guarda! Sta sbocciando!	Mira, mamá, ¡está brotando!	Anne, bak! Filizleniyor!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	remix_LED_Ng	Is it growing yet?	Il est peut-être un peu timide...	Wächst da schon etwas?	Ma quando sboccia?	¿Cuándo va a brotar esto?	Daha büyüdü mü?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	remix_TED_Hi	We're so proud of everything\nyou've accomplished!	C'est notre fiston !\nNous sommes si fier de lui !	Ich bin so stolz darauf,\nwas du geschafft hast.	Siamo fieri del tuo successo!	¡Estamos muy orgullosos\nde lo que has conseguido!	Başardığın her şeyle\ngurur duyuyoruz!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	remix_TED_Ok	You made some friends!	Vous vous êtes fait plein d'amis !	Du hast ein paar neue Freunde!	Ti sei fatto degli amici!	¡Has hecho amigos!	Arkadaş bile edindin!	MANUAL_FIX_V13	MANUAL_FIX_V13	Natural Turkish result line.
6	remix_TED_Ng	Come on out, son.\nNo one blames you.	Allez... Sors de là...\nTes parents ne sont pas fâchés.	Komm schon raus, Junge.\nKeiner gibt dir die Schuld!	Esci, figliolo... Non è colpa tua.	No te preocupes, no es culpa tuya.	Hadi çık ortaya, evlat.\nKimse seni suçlamıyor.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	remix_00_Hi	The sweet life.	Une vie douce et sans nuage !	Ich liiiebe Honig!	Una vita dolce come il miele.	No hay nada mejor que la miel.	Tatlı hayat.		LENGTH_OUTLIER	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
8	remix_00_Ok	Where to start?	Voyons... Par quoi commencer ?	Mit welchem fang' ich an?	Da dove inizio?	¿Por cuál empiezo?	Nereden başlasak?		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	remix_00_Ng	I just wanted a snack...	J'en voulais juste un petit peu...	Ich wollte doch nur was naschen...	Volevo solo fare uno spuntino...	Solo quería probar un poco...	Sadece atıştırmak istemiştim...		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
