index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	no_msg	No Message found	No Message found	Kein Text gefunden	Nessun messaggio	No hay mensaje.	Mesaj bulunamadı		DUPLICATE_TR_DIFFERENT_SOURCE	Same Turkish wording appears under a different English source elsewhere; can be legitimate, but useful copy/paste check.
1	agb_batter_L_Hi	"I won first ""space""!"	Vous êtes le roi du « space run » !	Hurra! Ich bin Erster!	Qui c'è spazio solo per\ni vincitori!	¡Aquí no hay espacio\npara el fracaso!	Uzayda birincilik benim!		OK_AUTO,V12_STYLE_FIXED	"No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit. | V12: ""first space"" sözcük oyununun birebir çevrilince bozulan anlamını kısa uzay/birincilik punchline’ına çevirir."
2	agb_batter_L_Ok	Must...train...harder...	Je dois... encore... m'entraîner !	Muss... härter... trainieren...	Devo... darci... dentro...	Tengo que entrenar más...	Demek ki... daha çok... çalışmalıyım...	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	agb_batter_L_Ng	C-can I have my ball back?\nI'll give you my last dumpling...	Mes hommages, cher voisin... Euh...\nVous voulez un onigiri ?	Gibst du mir den Ball wieder?\nHier, den geb ich dir dafür...	P-Posso riavere la palla?\nTi do questa in cambio...	Si me devuelves la pelota,\nte doy mi último bollo...	T-topumu geri alabilir miyim?\nSon pirinç topumu veririm...	MANUAL_FIX_V13	MANUAL_FIX_V13	Food/object context aligned with Spaceball scene.
4	agb_clap_S_Hi	Ready to work without a net!	Ces trois-là sont\nparfaitement en phase !	Wir drei sind absolut\nfantastische Claqueure!	Questo trio è formidabile!	¡Este trío tiene arte y salero!	Artık işaret olmadan da\nişi götürürsün!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	agb_clap_S_Ok	We're, uh, done now.	C'est encore un peu tôt\npour clapper de joie !	Ist wohl noch zu früh, zufrieden\nmit sich selbst zu sein...	È ancora presto per\nritenersi soddisfatti...	Este trío aún puede mejorar\nun poco.	Şey...\nşimdi bitti.		LENGTH_OUTLIER	Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
6	agb_clap_S_Ng	You just became a clappy soloist.	Oh ! Les deux autres\nsont déjà partis !	Deine Partner sind wohl\nschon heimgegangen...	Il trio è diventato un... assolo!	Los otros integrantes abandonan\nel grupo...	Alkışçılar gitti;\nsolo kariyerin başladı.		OK_AUTO,V12_STYLE_FIXED	"No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit. | V12: ""clappy soloist"" şakasını başarısız senkron yüzünden tek kalma fikriyle doğal Türkçeye taşır."
7	agb_clap_L_Hi	Free! Our ears are free at last!	Hip ! Hip ! Hip ! Perruque !	Frei! Unsere Ohren sind endlich frei!	Finalmente le nostre orecchie\nsono libere!	¡Libres! ¡Por fin nuestros oídos\nson libreees!	Özgürüz! Kulaklarımız sonunda özgür!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	agb_clap_L_Ok	Your cue was eight minutes ago.	Ce n'est pas encore parfait...	Du warst vor acht Minuten dran.	Toccava a te otto minuti fa.	Se suponía que te tocaba\nhace como ocho minutos.	İşaretin sekiz dakika önceydi.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	agb_clap_L_Ng	Wait, guys! I can be clappier!	C'est le clap de fin...	Wartet, Jungs! Ich kann das besser!	Fermi! Posso applaudire meglio!	¡Esperad, chicos! ¡Puedo dar\npalmadas con más gracia!	Durun! Daha iyi\nalkışlayabilirim!		V4_MANUAL_FIXED,V12_STYLE_FIXED	"VOICE/LAYOUT: Keeps the speaker’s enthusiasm while fitting the result box. | V12: ""clappier"" yapay karşılaştırmasını doğal ama panik tonlu çağrıya çevirir."
