index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	Clap_ver_short_T_board_00	Trio Timing!	Tous en rythme !	Timing ist alles!	Trio Applausi!	¡Dale salero!	Üçlü Uyum!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	Clap_ver_long_T_board_00	Trio Timing!	Tous en rythme !	Timing ist alles!	Trio Applausi!	¡Dale salero!	Üçlü Uyum!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
2	Clap_ver_arrange_T_board_00	Trio Timing	Tous en rythme !	Timing ist alles!	Trio Applausi!	¡Dale salero!	Üçlü Uyum		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
3	Clap_ver_remix_T_board_00	Trio Timing	100 % pur clap !	Timing ist alles!	Trio Applausi!	¡Dale salero!	Üçlü Uyum		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	ntrBlueBirds_T_fin	Fin.	Fin	Ende	Fine	Fin	Bitti.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	ntrRobot_short_T_factory	Factory No. 1	Usine n°1	Fabrik Nr. 1	Fabbrica n.º 1	Fábrica n.º 1	Fabrika No. 1		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	ntrRobot_short_T_start	Get working!	Au boulot !	Beginne Produktion!	Al lavoro!	¡A trabajar!	İşe koyul!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	ntrRobot_short_one_00	1	1	1	1	1	1		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	ntrRobot_long_T_factory	Factory No. 2	Usine n°2	Fabrik Nr. 2	Fabbrica n.º 2	Fábrica n.º 2	Fabrika No. 2		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	ntrRobot_long_T_start	Get working!	Au boulot !	Beginne Produktion!	Al lavoro!	¡A trabajar!	İşe koyul!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
