index	label	English	French	German	Italian	Spanish	Turkish	status	qa_status	qa_note
0	ntrCameraMan_tutorial_a_00	We need some photos of\ntoday's big race.	Il faudrait que vous preniez quelques\nphotos de l'événement du jour.	Wir brauchen gute Fotos von\ndem großen Rennen heute!	Ci servono foto\ndella gara di oggi.	El periódico quiere publicar unas\nfotos de la carrera de hoy.	Bugünkü büyük yarışın\nbirkaç fotoğrafına ihtiyacımız var.	LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
1	ntrCameraMan_tutorial_a_01	Wait for the moment when the\ncar is right in front of you.	Attendez le moment où la voiture\npasse pile en face de vous.	Warte, bis der Wagen\ndirekt vor dir ist.	Attendi fino a quando l'auto\nsi trova davanti a te...	Espera a tener el coche\njusto delante...	Araba tam önüne\ngelene kadar bekle.	MANUAL_FIX_V13	MANUAL_FIX_V13	Instruction clarified.
2	ntrCameraMan_tutorial_b0_00	Here's the perfect shot!	[[TAG:0004:0000:00CD]]Appuyez sur [[PUA:E000]] pour\nprendre un cliché.[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]][[TAG:0000:0003:00B200FF]]Touchez[[TAG:0000:0003:000000FF]] l'écran tactile\npour prendre un cliché.[[END:0004:0000]]	Hier ist die Position für\ndas perfekte Foto!	[[TAG:0004:0000:00CD]]... e premi [[PUA:E000]] per scattare\nl'istantanea perfetta![[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]... e [[TAG:0000:0003:00B200FF]]tocca [[TAG:0000:0003:000000FF]]il touch screen per\nscattare l'istantanea perfetta![[END:0004:0000]]	[[TAG:0004:0000:00CD]]¡y pulsa [[PUA:E000]] para sacar\nla instantánea perfecta![[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]¡y [[TAG:0000:0003:00B200FF]]toca[[TAG:0000:0003:000000FF]] para sacar\nla instantánea perfecta![[END:0004:0000]]	İşte mükemmel kare!		CONTROL_STYLE_OUTLIER,LENGTH_OUTLIER	Turkish control/tag pattern differs from at least 3 of 4 official EU localizations; may be intentional formatting. Turkish visible length is far outside the other localized versions; check for omitted/duplicated meaning.
3	ntrCameraMan_tutorial_b1_00	Right here!	Maintenant !	Genau hier!	Proprio adesso!	¡Este sería el momento!	Tam burada!		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
4	ntrCameraMan_tutorial_b2_00	Try it out.	Essayez pour voir.	Versuch du's mal.	Dai, prova!	Ahora hazlo tú.	Dene bakalım.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
5	ntrCameraMan_tutorial_c_00	OK, that was good.	Bien joué.	Okay, nicht übel.	OK, ben fatto.	No está mal.	Tamam, güzeldi.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
6	ntrCameraMan_tutorial_c_01	Next, try two cars.\n(Press [[PUA:E000]] twice.)\nNext, try two cars.\n(Tap twice.)	[[TAG:0004:0000:00CD]]Maintenant... Avec deux voitures.\n(Appuyez deux fois sur [[PUA:E000]].)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Maintenant, avec deux voitures.\n([[TAG:0000:0003:00B200FF]]Touchez[[TAG:0000:0003:000000FF]] deux fois l'écran tactile.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Und jetzt zwei hintereinander.\n(Zweimal [[PUA:E000]] drücken)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Und jetzt zwei hintereinander.\n(Zweimal [[TAG:0000:0003:00B200FF]]tippen[[TAG:0000:0003:000000FF]])[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Ora prova con due auto.\n(Premi [[PUA:E000]] due volte.)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Ora prova con due auto.\n([[TAG:0000:0003:00B200FF]]Tocca [[TAG:0000:0003:000000FF]]il touch screen due volte.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Ahora prueba con dos\ncoches. (Pulsa dos veces [[PUA:E000]].)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Ahora prueba con dos\ncoches. ([[TAG:0000:0003:00B200FF]]Toca[[TAG:0000:0003:000000FF]] dos veces.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Şimdi iki arabayla dene.\n([[PUA:E000]]'a iki kez bas.)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Şimdi iki arabayla dene.\n([[TAG:0000:0003:00B200FF]]Dokun[[TAG:0000:0003:000000FF]] iki kez.)[[END:0004:0000]]	CONTROL_DIFF_EN_TR,LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
7	ntrCameraMan_tutorial_d_00	OK. That wasn't bad.	Pas mal !	Okay, sieht gut aus.	OK. Niente male.	¡Bien enfocadas!	Tamam. Fena değildi.		OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
8	ntrCameraMan_tutorial_d_01	Now how about this one?\n(Press [[PUA:E000]] three times.)\nNow how about this one?\n(Tap three times.)	[[TAG:0004:0000:00CD]]Attention ! Voici venir trois voitures !\n(Appuyez trois fois sur [[PUA:E000]].)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Attention ! Voici venir trois voitures !\n([[TAG:0000:0003:00B200FF]]Touchez[[TAG:0000:0003:000000FF]] trois fois l'écran tactile.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Schaffst du das hier auch?\n(Dreimal [[PUA:E000]] drücken)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Schaffst du das hier auch?\n(Dreimal [[TAG:0000:0003:00B200FF]]tippen[[TAG:0000:0003:000000FF]])[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Attenzione, ora ne arrivano tre!\n(Premi [[PUA:E000]] tre volte.)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Attenzione, ora ne arrivano tre!\n([[TAG:0000:0003:00B200FF]]Tocca[[TAG:0000:0003:000000FF]] il touch screen tre volte.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Ahora intenta sacar tres fotos.\n(Pulsa tres veces [[PUA:E000]].)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Ahora intenta sacar tres fotos.\n([[TAG:0000:0003:00B200FF]]Toca[[TAG:0000:0003:000000FF]] tres veces.)[[END:0004:0000]]	[[TAG:0004:0000:00CD]]Peki buna ne dersin?\n([[PUA:E000]]'a üç kez bas.)[[END:0004:0000]][[TAG:0004:0001:]]\n[[TAG:0004:0000:01CD]]Peki buna ne dersin?\n([[TAG:0000:0003:00B200FF]]Dokun[[TAG:0000:0003:000000FF]] üç kez.)[[END:0004:0000]]	CONTROL_DIFF_EN_TR,LONG_TR_LINE	OK_AUTO	No structural or high-risk comparative warning from automated EN/FR/DE/IT/ES audit.
9	ntrCameraMan_tutorial_e_00	Looking good out there.\nHere comes the last one.	Vous vous débrouillez très bien !\nVoici la dernière voiture.	Gute Aufnahmen!\nUnd nun die letzte Übung.	Te la stai cavando bene.\nEcco l'ultima vettura.	Muy bien. Oye, ¿te gusta\nla velocidad?	İyi gidiyorsun.\nİşte sonuncusu geliyor.	MANUAL_FIX_V13	MANUAL_FIX_V13	“Looking good” means performance, not appearance.
