Index,Label,English,French,German,Italian,Spanish,JPN,jp_hira,Simp_Chinese,Trad_Chinese,Turkish_Current,Turkish_Manual_v6,Turkish_Manual_v7,Manual_Review_Status,Manual_Decision,Manual_Reason_TR,Manual_CrossLanguage_TR,Turkish_Manual_v8,Manual_Review_Status_v8,Manual_v8_Decision,Manual_v8_Reason_TR,Manual_v8_CrossLanguage_TR,Turkish_Manual_v9,Manual_Review_Status_v9,Manual_v9_Decision,Manual_v9_Reason_TR,Manual_v9_CrossLanguage_TR,Turkish_Manual_v10,Manual_Review_Status_v10,Manual_v10_Decision,Manual_v10_Reason_TR,Manual_v10_CrossLanguage_TR,Turkish_Manual_v11,Manual_Review_Status_v11,Manual_v11_Decision,Manual_v11_Reason_TR,Manual_v11_CrossLanguage_TR,Turkish_Manual_v12,Manual_Review_Status_v12,Manual_v12_Decision,Manual_v12_Reason_TR,Manual_v12_CrossLanguage_TR,Turkish_Manual_v13,Manual_Review_Status_v13,Manual_v13_Decision,Manual_v13_Reason_TR,Manual_v13_CrossLanguage_TR,Turkish_Manual_v14,Manual_Review_Status_v14,Manual_v14_Decision,Manual_v14_Reason_TR,Manual_v14_CrossLanguage_TR,Turkish_Manual_v15,Manual_Review_Status_v15,Manual_v15_Decision,Manual_v15_Reason_TR,Manual_v15_CrossLanguage_TR,Turkish_Manual_v16,Manual_Review_Status_v16,Manual_v16_Decision,Manual_v16_Reason_TR,Manual_v16_CrossLanguage_TR,Turkish_Manual_v17,Manual_Review_Status_v17,Manual_v17_Decision,Manual_v17_Reason_TR,Manual_v17_CrossLanguage_TR,Turkish_Manual_v18,Manual_Review_Status_v18,Manual_v18_Decision,Manual_v18_Reason_TR,Manual_v18_CrossLanguage_TR
0,SRO_AFTER_ESCAPE_PIKACHU_110,"Keith is running away!
We have to go after him, Tim!",Keith a filé ! Faut le rattraper !,"Keith will sich aus dem Staub machen!
Los, Tim! Nichts wie hinterher!","Keith sta scappando!
Inseguiamolo, Tim!","¡Keith se escapa! ¡Hemos de atraparlo, Tim!","キースのやつ 逃げやがった！
ティム！　追うぞ","キースのやつ にげやがった！
ティム！　おうぞ","基思那家伙逃走了！
蒂姆，快追！","基斯那傢伙逃走了！
提姆！快追！","Keith kaçıyor!
Peşinden gitmeliyiz, Tim!","Keith kaçıyor!
Peşinden gitmeliyiz, Tim!","Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ MANUEL İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Keith kaçıyor!
Peşinden gitmeliyiz, Tim!",HENÜZ_MANUEL_İNCELENMEDİ,,,
1,SRO_AFTER_GAME_PIKACHU_110,"A Detective's Cape, huh...?
All right! Tim, this way!","« La cape du grand détective »...

Tim ! Par ici !","Das „Cape des Meisterdetektivs“...
Alles klar, hier rüber, Tim!","""Mantellina da detective""...
Tim, vieni qui!","La ""capa del gran detective"", ¿eh?
¡Vamos, Tim! ¡Por aquí!","「名探偵のケープ」か……

よし！
ティム こっちに来い！","「めいたんていのケープ」か……

よし！
ティム こっちに こい！","“名侦探的斗篷”啊……

好！
蒂姆，来这里！","「名偵探的披肩」是吧……

好！
提姆，你過來這裡！","Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!","Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!","Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ MANUEL İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Dedektif Pelerini ha...?
Pekâlâ! Tim, bu taraftan!",HENÜZ_MANUEL_İNCELENMEDİ,,,
2,AUC_AI_VOICE_HALLSTAFF01_110,"Now, let the bidding begin!",Que l'enchère commence !,Hiermit erkläre ich die Auktion für eröffnet!,Diamo inizio all'asta!,Demos comienzo a la subasta.,それでは 開始いたします　,それでは かいし いたします　,那么，这就开始了。,那麼 開始競標,"Şimdi, açık artırma başlasın!","Şimdi, açık artırma başlasın!","Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ MANUEL İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şimdi, açık artırma başlasın!",HENÜZ_MANUEL_İNCELENMEDİ,,,
3,AUC_AI_VOICE_HALLSTAFF01_120,There is still time to bid.,"Rien ne presse, Mesdames et Messieurs.",Es bleibt noch Zeit für Gebote.,C'è ancora tempo per altre offerte.,"Todavía están a tiempo, damas y caballeros.",まだ　お時間はございます,まだ　おじかんは ございます,还有时间。,各位還有時間可以下標,Teklif vermek için hâlâ vaktiniz var.,Teklif vermek için hâlâ vaktiniz var.,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ MANUEL İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Teklif vermek için hâlâ vaktiniz var.,HENÜZ_MANUEL_İNCELENMEDİ,,,
4,AUC_AI_VOICE_HALLSTAFF01_130,Any more bidders?,Quelqu'un d'autre ?,Höre ich noch weitere Gebote?,Nessun'altra offerta?,¿Alguien da más?,他に いらっしゃいませんか？,ほかに いらっしゃいませんか？,没有其他人了吗？,還有哪一位要下標嗎？,Başka teklif veren var mı?,Başka teklif veren var mı?,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ MANUEL İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Başka teklif veren var mı?,HENÜZ_MANUEL_İNCELENMEDİ,,,
5,AUC_AI_VOICE_HALLSTAFF01_140,"There's not much
time left!","Il ne reste plus
beaucoup de temps !","Es bleibt
nicht mehr viel Zeit!","Non è rimasto
molto tempo!","¡Última oportunidad,
damas y caballeros!","さあ　お時間も
残り少なくなってまいりました","さあ　おじかんも
のこり すくなくなって まいりました","好，剩下的时间
越来越少了。","各位 所剩的時間
越來越少了","Pek fazla
zaman kalmadı!","Pek fazla
zaman kalmadı!","Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ MANUEL İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Pek fazla
zaman kalmadı!",HENÜZ_MANUEL_İNCELENMEDİ,,,
6,AUC_AI_VOICE_HALLSTAFF01_150,Item is now sold.,"Adjugé, vendu !","Zum Ersten, zum Zweiten... Verkauft!",E uno... E due... Venduto!,A la una... A las dos... ¡Adjudicado!,はい 落札です！,はい らくさつです！,好的，成交！,好 成交！,Eşya satıldı.,Eşya satıldı.,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ MANUEL İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Eşya satıldı.,HENÜZ_MANUEL_İNCELENMEDİ,,,
7,AUC_AI_VOICE_HALLSTAFF01_160,"Thank you all for your participation!
The auction is over.","Merci pour votre participation !
Cette enchère est terminée.","Vielen Dank für Ihre Teilnahme!
Damit wäre diese Auktion beendet.","Grazie a tutti per aver partecipato!
L'asta è chiusa.","La subasta de este lote ha concluido.
Muchas gracias.","ありがとうございます！
こちらで終了となります","ありがとうございます！
こちらで しゅうりょうとなります","非常感谢！
拍卖到此结束。","感謝您！
此拍賣品已賣出","Katıldığınız için teşekkürler!
Müzayede sona erdi.","Katıldığınız için teşekkürler!
Müzayede sona erdi.","Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ MANUEL İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Katıldığınız için teşekkürler!
Müzayede sona erdi.",HENÜZ_MANUEL_İNCELENMEDİ,,,
8,AUC_AI_VOICE_HALLSTAFF01_170,Here.,Voici.,Bitte schön.,Questo è suo.,Tome.,どうぞ,どうぞ,给你。,給您,Buyurun.,Buyurun.,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ MANUEL İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Buyurun.,HENÜZ_MANUEL_İNCELENMEDİ,,,
9,AUC_AI_VOICE_TIM_1300,Thirteen million.,13 millions.,13 Millionen.,13 milioni,¡13 millones!,1300,1300,1300万,1300萬,On üç milyon.,On üç milyon.,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ MANUEL İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,,On üç milyon.,HENÜZ_MANUEL_İNCELENMEDİ,,,
