Index,Label,English,French,German,Italian,Spanish,JPN,jp_hira,Simp_Chinese,Trad_Chinese,Turkish_Current,Turkish_Manual_v6,Turkish_Manual_v7,Manual_Review_Status,Manual_Decision,Manual_Reason_TR,Manual_CrossLanguage_TR,Turkish_Manual_v8,Manual_Review_Status_v8,Manual_v8_Decision,Manual_v8_Reason_TR,Manual_v8_CrossLanguage_TR,Turkish_Manual_v9,Manual_Review_Status_v9,Manual_v9_Decision,Manual_v9_Reason_TR,Manual_v9_CrossLanguage_TR,Turkish_Manual_v10,Manual_Review_Status_v10,Manual_v10_Decision,Manual_v10_Reason_TR,Manual_v10_CrossLanguage_TR,Turkish_Manual_v11,Manual_Review_Status_v11,Manual_v11_Decision,Manual_v11_Reason_TR,Manual_v11_CrossLanguage_TR,Turkish_Manual_v12,Manual_Review_Status_v12,Manual_v12_Decision,Manual_v12_Reason_TR,Manual_v12_CrossLanguage_TR,Turkish_Manual_v13,Manual_Review_Status_v13,Manual_v13_Decision,Manual_v13_Reason_TR,Manual_v13_CrossLanguage_TR,Turkish_Manual_v14,Manual_Review_Status_v14,Manual_v14_Decision,Manual_v14_Reason_TR,Manual_v14_CrossLanguage_TR,Turkish_Manual_v15,Manual_Review_Status_v15,Manual_v15_Decision,Manual_v15_Reason_TR,Manual_v15_CrossLanguage_TR,Turkish_Manual_v16,Manual_Review_Status_v16,Manual_v16_Decision,Manual_v16_Reason_TR,Manual_v16_CrossLanguage_TR,Turkish_Manual_v17,Manual_Review_Status_v17,Manual_v17_Decision,Manual_v17_Reason_TR,Manual_v17_CrossLanguage_TR,Turkish_Manual_v18,Manual_Review_Status_v18,Manual_v18_Decision,Manual_v18_Reason_TR,Manual_v18_CrossLanguage_TR
0,CAF_CHECK_DRINK_TIM_110,He even has several different types of water.,"Même pour l'eau, il y a plusieurs variétés
disponibles.","Selbst für Wasser werden mehrere
verschiedene Sorten angeboten.","Ci sono bottiglie d'acqua di ogni marca
qui dentro...",Hasta la oferta de agua es variada.,水だけでも数種類あるよ,みずだけでも すうしゅるいあるよ,就连水也有好几种哦。,就連水也有好幾種。,Hatta birkaç farklı türde suyu bile var.,Hatta birkaç farklı türde suyu bile var.,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ MANUEL İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,,Hatta birkaç farklı türde suyu bile var.,HENÜZ_MANUEL_İNCELENMEDİ,,,
1,CAF_CHECK_DRINK_PIKACHU_110,"Yeah, Pablo doesn't cut corners.","Ouais, Pablo peut être tatillon sur ce genre
de trucs.","Pablo ist eben in jeder Hinsicht ein
Feinschmecker.","Eh già, l'acqua è importantissima per Pablo!",Pablo cuida mucho el menú de bebidas.,ああ パブロの こだわりだな,ああ パブロの こだわりだな,是啊，帕布罗很讲究啊。,是啊，帕布羅很講究。,"Evet, Pablo işini savsaklamaz.","Evet, Pablo işini savsaklamaz.","Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ MANUEL İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Evet, Pablo işini savsaklamaz.",HENÜZ_MANUEL_İNCELENMEDİ,,,
2,CAF_CHECK_MIKE_MEIKO_110,"Oh, Tim! Are you going to sing for us?","Oh ! Tu vas nous chanter quelque chose,
Tim ?!","Oh, hältst du uns ein Ständchen, Tim?","Oh! Ci canti qualcosa, Tim?",¡Tim! ¡Cántanos algo!,"お！　ティム！
歌ってくれるの？","お！　ティム！
うたって くれるの？","噢！蒂姆！
能给我们唱首歌吗？","噢！提姆！
你要為我們高歌一曲嗎？","Aa, Tim! Bizim için şarkı mı söyleyeceksin?","Aa, Tim! Bizim için şarkı mı söyleyeceksin?","Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ MANUEL İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Aa, Tim! Bizim için şarkı mı söyleyeceksin?",HENÜZ_MANUEL_İNCELENMEDİ,,,
3,CAF_CHECK_MIKE_TIM_110,What?! No!,Hein ?! Mais non !,Ich? Nicht doch!,"Eh? No, no, figuriamoci!",¿Yo? ¡Ni pensarlo!,や！　まさか！,や！　まさか！,啊！这怎么行！,不！怎麼可能！,Ne?! Hayır!,Ne?! Hayır!,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ MANUEL İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,,Ne?! Hayır!,HENÜZ_MANUEL_İNCELENMEDİ,,,
4,CAF_CHECK_MIKE_MEIKO_120,"Oh, too bad... In that case, maybe I can—","Oh, quel dommage... Du coup, peut-être que
moi, je vais...","Och, wie schade! Hmm... Vielleicht sollte ich
stattdessen ein Lied anstimmen...","Peccato!
Allora canto qualcosa io...",Pues vaya... A mí no me importaría cantar.,"なーんだ 残念
じゃあ わたしが……","なーんだ ざんねん
じゃあ わたしが……","什么嘛，真遗憾。
那就我来吧……","什麼嘛，真可惜。
那就由我……","Ah, yazık... Bu durumda belki ben—","Ah, yazık... Bu durumda belki ben—","Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ MANUEL İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Ah, yazık... Bu durumda belki ben—",HENÜZ_MANUEL_İNCELENMEDİ,,,
5,CAF_CHECK_MIKE_EMILIA_110,"This isn't the time for a performance, Meiko.","Meiko, c'est pas le moment de chanter !","Meiko... Ich glaube nicht, dass das der richtige
Zeitpunkt zum Singen ist.","Meiko, che dici...?!","Meiko, no hemos venido aquí a cantar.","メイコさん
歌ってる場合じゃないですよ","メイコさん
うたってるばあいじゃ ないですよ","明子，
现在不是唱歌的时候啊。",明子，現在不是唱歌的時候啊。,"Şov yapmanın zamanı değil, Meiko.","Şov yapmanın zamanı değil, Meiko.","Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ MANUEL İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Şov yapmanın zamanı değil, Meiko.",HENÜZ_MANUEL_İNCELENMEDİ,,,
6,CAF_CHECK_PIANO_TIM_110,"It's old, but it's not beat up or anything.
It's well taken care of.","Il semble vieux, mais pas délabré pour autant.
Clairement, on en prend grand soin.","Das Klavier sieht zwar alt, aber dafür tadellos
gepflegt aus.","È vecchio, ma si vede che è tenuto con
grande cura.
Pablo deve tenerci molto a questo
pianoforte!","Este piano parece tener ya sus años, pero
se nota que lo cuida con mucho esmero.","古そうだけど くたびれた感じはないね
丁寧に手入れされてるみたい","ふるそうだけど くたびれたかんじは ないね
ていねいに ていれされてるみたい","虽然看上去很古老，但没觉得破旧。
好像保存得很小心啊。","雖然很舊，但沒有要壞掉的樣子。
看來被人小心保存著。","Eski ama hırpalanmış falan değil.
İyi bakılmış.","Eski ama hırpalanmış falan değil.
İyi bakılmış.","Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ MANUEL İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Eski ama hırpalanmış falan değil.
İyi bakılmış.",HENÜZ_MANUEL_İNCELENMEDİ,,,
7,CAF_CHECK_RECORD_TIM_110,"This must be Pablo's collection. Him and my
dad have similar tastes.","La collection de Pablo. Il a l'air d'avoir un peu
le même genre de goûts que mon père.","Das sind also Pablos Lieblingsplatten...
Sein Musikgeschmack ähnelt dem von Dad.","La collezione di dischi di Pablo.
Mio padre ha dei gusti molto simili!","Ahora que me fijo en los discos, los gustos de
Pablo son parecidos a los de mi padre.","パブロさんのコレクションだね
父さんの好みと似てる気がするよ","パブロさんの コレクションだね
とうさんの このみと にてるきがするよ","是帕布罗的收藏品吧。
感觉和父亲的爱好很像啊。","是帕布羅的收藏品吧。
感覺和父親的興趣很像啊。","Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.","Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.","Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ MANUEL İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,,"Bu Pablo'nun koleksiyonu olmalı. Onunla
babamın zevkleri benziyor.",HENÜZ_MANUEL_İNCELENMEDİ,,,
8,CAF_DOOR_PIKACHU_110,Do you want to head out now?,On y va ?,Brechen wir langsam auf?,"Vuoi andare, Tim?",¿Nos vamos?,そろそろ行くか？,そろそろ いくか？,差不多走吧？,差不多要走了嗎？,Şimdi dışarı çıkmak ister misin?,Şimdi dışarı çıkmak ister misin?,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ MANUEL İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,,Şimdi dışarı çıkmak ister misin?,HENÜZ_MANUEL_İNCELENMEDİ,,,
9,CAF_DOOR_SEL_010,Yes,Oui,Ja,Sì,Sí,はい,はい,是,對,Evet,Evet,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ MANUEL İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,,Evet,HENÜZ_MANUEL_İNCELENMEDİ,,,
