"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"tutorial_piko_op_telop01","Ezme Ligi Arenası","Mash League Arena","Mash League Arena","Ligue Pouce-pouce !","Ligue Pouce-pouce!","Knöpfe-Liga!","Lega Pigiatutto","Liga botones","Liga botones","ピコピコリーグ かいじょう"
"tutorial_piko_op_voice01_Wario","Bir şeyleri ezmeye\nhazır mısınız, ezikler? Hazır olsanız iyi olur!","You chumps ready to mash\nsome stuff? You'd better be!","You chumps ready to mash\nsome stuff? You'd better be!","Dans les jeux de cette\nligue, tout se joue avec\nles boutons !","Dans les jeux de cette\nligue, tout se joue avec\nles boutons!","Bei der Knöpfe-Liga dreht sich\nalles um die Knopfsteuerung!","Nella Lega Pigiatutto si gioca\npremendo i pulsanti!","¡En esta liga tendrás\nque utilizar los botones!","¡Escúchame bien, porque\nvamos a aplastar botones!","ピコピコリーグの ゲームは\nボタンそうさだ！"
"tutorial_piko_op_voice02_Wario","+Yön Tuşu'nu bul...\nbir de A Düğmesini.","Find the +Control Pad...\nand the A Button.","Find the +Control Pad...\nand the A Button.","C'est-à-dire la manette +\net le bouton A.","C'est-à-dire la croix\ndirectionnelle et le bouton A.","Damit meine ich Steuerkreuz\nund A-Knopf, klar?","E per pulsanti intendo la\npulsantiera + e il pulsante A!","Es decir: la cruz de control\ny el botón A.","Primero, encuentra la cruz de\ncontrol y el botón A.","つかうのは <MSBT:0000:0000:040008005830853046305830>十字ボタンと、\nそれから Ａボタンのみ！"
"tutorial_piko_op_voice03_Wario","Zaferi söküp almak için\nbunlara ihtiyacın olacak.","You'll need those to squeeze\nout a win.","You'll need those to squeeze\nout a win.","C'est tout ce qu'il y a\nà savoir pour gagner !","C'est tout ce qu'il y a\nà savoir pour gagner!","Das sind sie, die Knöpfe zum\nSieg.","Bastano quelli per far venire\nlo stimolo di vincere!","¡Más fácil no te lo puedo\nponer!","En algunos juegos, tendrás\nque usar ambos.","シンプルイズ\nブリブリベストってやつだ！"
"tutorial_piko_op_voice04_Wario","Sana yeterince zor gelmedi mi?","Not hard enough for you?","Not hard enough for you?","Et tous les jeux n'utilisent\npas les deux.","Et tous les jeux n'utilisent\npas les deux.","Man braucht aber nicht\nalle in jedem Spiel.","E non sempre si usano\nentrambi.","Y ni siquiera hay que usar\nsiempre las dos cosas...","Pero no siempre, porque hay\nunos que usan solo la cruz\nde control o solo el botón A.","ボタンは いつも りょうほう\nつかうわけじゃ ねえぞ。"
"tutorial_piko_op_voice05_Wario","Bazı oyunlar sadece bunu kullanır.\nBazılarıysa sadece şunu.\nBu kadarına da mı zorlanıyorsun?","Some games use just this.\nSome, just this.\nIs that too much to handle?","Some games use just this.\nSome, just this.\nIs that too much to handle?","Certains n'utilisent que la\nmanette + ou le bouton A...\nAlors, fais gaffe, OK ?","Certains n'utilisent que la\ncroix directionnelle ou le\nbouton A... Alors, fais gaffe, OK?","Nur Steuerkreuz oder nur\nA-Knopf sind manchmal\nschon genug. Pass also\ngenau auf!","A volte solo la pulsantiera +\ne altre solo il pulsante A.\nBasta prestare un po' di\nattenzione!","En unos juegos solo hace falta\nla cruz de control y, en otros,\nel botón A. ¡No te despistes!","Y así es como se juega.","<MSBT:0000:0000:040008005830853046305830>十字ボタンだけ、\nＡボタンだけの ゲームもあるから\nまあ、うまく つかいこなすんだな！"
"tutorial_piko_op_voice06_Wario","Hadi bakalım, patates olun...\nve EZİN!","Now then, make like a potato...\nand MASH!","Now then, make like a potato...\nand MASH!","Pigé ? Alors on peut\ncommencer à jouer !","Pigé? Alors on peut\ncommencer à jouer!","Kapiert? Dann kann's also\njetzt losgehen!","Capito? Bene, allora via ai\ngiochi!","¿Lo has pillado?\n¡Pues allá que vamos!","¿Entiendes? ¿No? ¡Da igual,\nempecemooos!","わかったか？\nほんじゃ、さっそくはじめるぜ！"
"tutorial_piko_ed01_voice01_Wario","Heh. Görünüşe göre\nEzme Ligi'nin ısınma turunu geçtiniz.\nDemek ki dozu artırabilirim!","Hey. Looks like you beat the\nMash League warm-up. Guess now\nI can crank up the heat!","Hey. Looks like you beat the\nMash League warm-up. Guess now\nI can crank up the heat!","OK, t'as terminé l'intro de\ncette ligue, les choses\nsérieuses vont pouvoir\ncommencer...","OK, t'as terminé l'intro de\ncette ligue, les choses\nsérieuses vont pouvoir\ncommencer...","Das war die Knöpfe-Liga-\nAufwärmrunde... Lust auf\neine echte Herausforderung?","Hai superato l'introduzione\nalla Lega Pigiatutto...\nma come te la caverai con\nla vera sfida?","Has completado la ronda\npreliminar de la liga botones.\n¡Pero lo difícil empieza ahora!","¡Superaste la ronda\npreliminar! Ahora es\ncuando se pone difícil.","ピコピコリーグ、\nテハジメクリアだ！\nいいか、ホンバンは これからだぞ。"
"tutorial_piko_ed01_voice02_Wario","Diamond City'deki avanelerimin\nyaptığı oyunları ortaya çıkarma vakti.","Time to bring out the games made\nby my flunkies in Diamond City.","Time to bring out the games made\nby my flunkies in Diamond City.","Mes amis de Diamantville ont\nconçu des jeux qui vont\nmettre tes talents à l'épreuve.","Mes amis de Diamantville ont\nconçu des jeux qui vont\nmettre tes talents à l'épreuve.","Meine Kumpels in Diamant City\nhaben Spiele entwickelt, die\nzeigen, was du drauf hast.","I miei amici di Città Diamante\nhanno creato giochi capaci\ndi dare del filo da torcere\na tutti!","Mis colegas de Ciudad Diamante\nhan preparado juegos\nendiablados.","Vamos a ver los juegos que\nhizo la chusma de Ciudad\nDiamante.","ダイヤモンドシティにいる\nなかまたちの ゲームを\nみーんな クリアしてこい！"
"tutorial_piko_ed01_voice03_Wario","İlk sırada Jimmy T var!","Jimmy T is up first!","Jimmy T is up first!","Passons aux jeux de Jimmy !","Passons aux jeux de Jimmy!","Jetzt sind Jimmys Spiele dran!","Vediamo cos'ha preparato\nJimmy!","¡Es el turno de Jimmy!","¡Ahora le toca a Jimmy T!","つぎは ジミーだぜ！"
