"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"CricketMantis_op_voice01_Mantis","Cricket!","Cricket!","Cricket!","Cricket...","Cricket...","Cricket, Junge.","Cricket!","Escucha, Cricket.","¡Cricket!","クリケットよ。"
"CricketMantis_op_voice02_Cricket","Evet, Usta!","Yes, Master!","Yes, Master!","Oui, maître ?","Oui, maître?","Ja, Meister.","Sì, maestro.","Sí, maestro.","¡Sí, maestro!","はい、ししょう。"
"CricketMantis_op_voice03_Mantis","Her zamankinden daha sıkı çalışmalıyız...\nkendimizi sınırın eşiğine kadar zorlayarak.","We must train...harder than ever, \npushing ourselves to the edge.","We must train...harder than ever, \npushing ourselves to the edge.","Pour améliorer nos\ntechniques de kung-fu,\nnous suivons un\nentraînement constant.","Pour améliorer nos\ntechniques de kung-fu,\nnous suivons un\nentraînement constant.","Es muss stets unser Bestreben\nsein, unsere Kampfkunst zu\nverbessern.","Noi... ci alleniamo\ncostantemente per affinare\nle nostre tecniche kenpo.","Viajamos sin descanso para\nmejorar nuestras técnicas\nde kenpo.","Este día, nuestro\nentrenamiento será\nmás difícil de lo normal.","わしらは けんぽうの\nウデを みがくために\nいつも <MSBT:0000:0000:04000A00573085304E3087304630>修行をしておる。"
"CricketMantis_op_voice04_Cricket","Tamam!","Right!","Right!","Oui !","Oui!","Jawohl.","Sì!","¡Sí!","¡Sí!","はい！"
"CricketMantis_op_voice05_Mantis","Beden VE zihin. Çünkü\nzekâyı asla ihmal etmemeliyiz.","Body AND mind. For we must\nnever neglect the intellect.","Body AND mind. For we must\nnever neglect the intellect.","Mais l'entraînement de notre\nesprit doit aller de paire\navec celui du corps.","Mais l'entraînement de notre\nesprit doit aller de pair\navec celui du corps.","Doch es reicht nicht, nur den\nKörper zu formen. Auch der\nGeist braucht Ertüchtigung.","Ma mai trascurare\nl'allenamento della mente\noltre a quello del corpo.","Pero también debemos buscar\nel equilibrio y despejar\nla mente.","La verdadera fortaleza surge\nal entrenar cuerpo y mente.","<MSBT:0000:0000:04000A00573085304E3087304630>修行とは\nカラダのみ ならず\nココロも きたえることを いう。"
"CricketMantis_op_voice06_Cricket","Asla, Usta!","Never, Master!","Never, Master!","En effet, maître.","En effet, maître.","So ist es, Meister.","Mai, maestro.","Sin duda, maestro.","Cierto, maestro.","おっしゃるとおりです。"
"CricketMantis_op_voice07_Mantis","İşte bütün bunlar yüzünden\nkendimizi en büyük tehlikenin içine attım.","All this is why I have put us\nin the gravest of danger.","All this is why I have put us\nin the gravest of danger.","Et c'est pourquoi nous\nallons nous entraîner\nici aujourd'hui !","Et c'est pourquoi nous\nallons nous entraîner\nici aujourd'hui!","Und deshalb werden wir\nheute unser Training hier\nabhalten!","Ed è proprio per questo\nmotivo che noi siamo venuti\nqui oggi.","Y por eso...\n¡hoy entrenaremos aquí!","Por eso he seleccionado\neste peligroso lugar.","そこでだ…。\nきょうは このばしょにて\n<MSBT:0000:0000:04000A00573085304E3087304630>修行を おこなう！"
"CricketMantis_op_telop01","Diamond City Lunaparkı","Diamond City Amusement Park","Diamond City Amusement Park","Parc de loisirs\nde Diamantville","Parc de loisirs\nde Diamantville","Vergnügungspark","Diamantilandia","Parque de atracciones Diamante","Diversiones Diamante","ダイヤモンドゆうえんち"
"CricketMantis_op_voice08_Cricket","Ama, Usta...","But, Master...","But, Master...","Comment ça, ici ?!","Comment ça, ici?!","Was, hier...?!","Qui, maestro...?!","¿¡Aquí!?","¿Aquí?","ここで…！？"
"CricketMantis_op_voice09_Cricket","Burası... eğlence parkı değil mi?\nHer yanda oyuncaklar, her yerde balonlar!\nYanılıyor muyum, Usta?","Isn't this a park for...amusement?\nAll these rides, so many balloons!\nAm I wrong, Master?","Isn't this a park for...amusement?\nAll these rides, so many balloons!\nAm I wrong, Master?","Mais, maître... Cet endroit\nest un lieu de loisirs...\nEst-ce bien approprié\npour s'entraîner ?","Mais, maître... Cet endroit\nest un lieu de loisirs...\nEst-ce bien approprié\npour s'entraîner?","Aber Meister, ich hörte, dass\ndieser Ort hier der Vergnügung\ndient. Wie soll man hier denn\nbitte schön trainieren...?","Ma, maestro, questo luogo è\nadibito ai divertimenti. Non\nsembra adatto all'addestramento\nnelle arti marziali.","Pero, maestro, esto es lo\nque llaman un ""lugar\nde diversión"".\nNo es para entrenar...","Pero, maestro... ¿No es esto\nun parque de diversiones?\nNo parece nada peligroso.","ですが ししょう、\nここは あそぶための\nばしょだと きいています。\n<MSBT:0000:0000:04000A00573085304E3087304630>修行に ふさわしいとは とても…。"
"CricketMantis_op_voice10_Mantis","İç gözünü aç, Cricket!","Open your inner eye, Cricket!","Open your inner eye, Cricket!","Observe en détail ce plan.","Observe en détail ce plan.","Sieh dir die Karte genau an.","Osserva con il tuo occhio\ninteriore.","¡Observa! El mapa del parque.","Despeja tu mente, y lo verás.","みなさい。\nえんないマップだ。"
"CricketMantis_op_voice11_Cricket","Aa! O-o mu!","Oh! Th-that!","Oh! Th-that!","Oh, mais ! Là...","Oh, mais! Là...","Das... Das ist...","Ma quella è... è...","¡I-increíble!","¡Ya lo veo!","こ、これは…！"
"CricketMantis_op_telop02","Kromakonda","Chromaconda","Chromaconda","Le Chromaconda","Le Chromaconda","Chromaconda","Diamaconda","La Cromoconda","La Cromaconda","ダイヤモンドスネーク"
"CricketMantis_op_voice12_Cricket","Kromakonda hız treni!","The Chromaconda roller coaster!","The Chromaconda roller coaster!","Les montagnes russes\ndu Chromaconda !","Les montagnes russes\ndu Chromaconda!","...die Chromaconda-\nAchterbahn!","La terribile Diamaconda!","¡La montaña rusa\n""La Cromoconda""!","¡Montaña rusa\n""La Cromaconda""!","ジェットコースター\n『ダイヤモンドスネーク』"
"CricketMantis_op_voice13_Cricket","Dev bir yılana mı bineceğiz?\nGökyüzünde mi?\nSaatte yüz mil hızla mı?","Riding a giant snake?\nThrough the sky? \nAt a hundred miles an hour?","Riding a giant snake?\nThrough the sky? \nAt a hundred miles an hour?","Foncez à toute vitesse\nà travers le ciel sur un\nserpent géant !","Foncez à toute vitesse\nà travers le ciel sur un\nserpent géant!","Ich soll mit 150 Stundenkilometer\nauf einer Riesenschlange\ndurch die Luft sausen?!","Un serpente gigante che\nsfreccia a 150 chilometri\norari!","¡Vuela a lomos de una\nserpiente a 150 kilómetros\npor hora!","¡Una serpiente gigante que\nva a toda velocidad!","さいだい じそく 150キロの\nだいじゃに のり\nそらを かけぬける…！？"
"CricketMantis_op_telop03","Boyunkıran Şelalesi","Breakneck Falls","Breakneck Falls","Les Rapides","Les Rapides","Fall des Schreckens","Cascate Scavezzacollo","Cataratas Vertiginosas","Los Rápidos","ダイヤモンドフォール"
"CricketMantis_op_voice14_Cricket","Boyunkıran Şelalesi... Usta, o düşüş!","Breakneck Falls... Master, the plunge!","Breakneck Falls... Master, the plunge!","Et là, la descente\ndes Rapides !","Et là, la descente\ndes Rapides!","Da geht's den Fall des\nSchreckens runter.","E lì ci sono le\nCascate Scavezzacollo!","¡Las espeluznantes\n""Cataratas Vertiginosas""!","¡Y ""Los rápidos""!\n¡Una caída libre","こちらは <MSBT:0000:0000:04000C004D30853046308A3085304630>急流すべり\n『ダイヤモンドフォール』"
"CricketMantis_op_voice15_Cricket","O yükseklikten, o akıntıların\niçinde mi? Bu sadece bir kütük,\nUsta! SADECE BİR KÜTÜK!","From that height, in those rapids? \nIt's just a log, Master!\nJUST A LOG!","From that height, in those rapids? \nIt's just a log, Master!\nJUST A LOG!","Dévalez une cascade\ntumultueuse à cheval\nsur un simple rondin !","Dévalez une cascade\ntumultueuse à cheval\nsur un simple rondin!","Ich soll einen tobenden\nWasserfall nur auf einem\nStamm runter in den See?!","Bisogna tuffarsi di sotto\na cavallo di un tronco\nd'albero!","¡Salta en un tronco desde\nlo alto de una catarata atroz!","en tronco desde lo alto\nde una catarata!","あれくるう たきつぼに\nまるた ひとつで とびこむ…\nだって！？"
