"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"ed_op_telop01","Diamond City Stadyumu","Diamond City Stadium","Diamond City Stadium","Stade de Diamantville","Stade de Diamantville","Diamantstadion","Stadio Diamante","Estadio Diamante","Estadio Diamante","ゲームたいかい かいじょう"
"ed_op_voice01_WarioDeluxe","HA? Ne? Kaybettim mi?!\nSen de kimsin?","HUH? What? I lost?!\nWho are you?","HUH? What? I lost?!\nWho are you?","Hnnng ! J'ai perdu !\nMais t'es qui, toi ?!","Hnnng! J'ai perdu!\nMais t'es qui, toi?!","Waaah, ich hab verloren!\nWer bist du überhaupt?!?","Sgrunt... uffa, ho perso!\nMa tu chi sei?","Grrr... ¡He perdido!\n¿¡Pero quién rayos eres!?","¡Cómo! ¡¿Ya perdí?!\n¿Quién rayos eres?\n","あれーっ！　まけてしまった。\nオマエは だれだ？"
"ed_op_voice02_Lulu","Lüksville'in en büyük kahramanı...\nLulu!","Luxeville's greatest hero...\nLulu!","Luxeville's greatest hero...\nLulu!","Je suis l'héroïne de\nLuxeville : Lulu !","Je suis l'héroïne de\nLuxeville : Lulu!","Ich bin die Heldin von\nLuxeville, Lulu!","Sono l'eroina di Luxeville:\nLulu!","¡Soy la heroína\nde Luxeville: Lulú!","¡Soy la heroína de Luxeville!\n¡Lulú!","あたいは\nラックスむらの ゆうしゃ\nルールー！"
"ed_op_voice03_WarioDeluxe","Kahraman mı? Ben göremiyorum.","Hero? I don't see it.","Hero? I don't see it.","L'héroïne ?\nUne gamine comme toi ?","L'héroïne?\nUne gamine comme toi?","Heldin? Du kleine Göre?","Eroina? Sei una mocciosa!","¿Una heroína?\n¿Una cría como tú?","Eres... ¡una niñita!","ゆうしゃ？\nこんなに ちっこいのに？"
"ed_op_voice04_Lulu","YETER!\nBaşına taktığın o lazımlığı\ngeri ver, yoksa...","ENOUGH!\nGimme back that pot you're\nwearing, or else!","ENOUGH!\nGimme back that pot you're\nwearing, or else!","TAIS-TOI !\nEt maintenant tu vas rendre\nce que tu as volé !","TAIS-TOI!\nEt maintenant tu vas rendre\nce que tu as volé!","Sei still!\nUnd jetzt rück gefälligst den\nSchatz auf deiner Rübe raus!","Chiudi la bocca!\nRidammi il vaso prezioso\nche hai sulla testa!","¡A callaaar!\n¡Devuélveme el tesoro\nque has robado!","¡Cállateee!\n¡Y dame la cosa que traes\nen la cabezota!","うるさーい！\nさあ、そのアタマのうえの\nたからを かえしなさい！"
"ed_op_voice05_WarioDeluxe","Tacımı bırakayım mı? Asla!","Give up my crown? No way!","Give up my crown? No way!","Hors de question !\nC'est à moi !","Hors de question!\nC'est à moi!","Der gehört aber mir!","Ma questa è roba mia!","Vas lista.\n¡Es mío!","¡Ni loco te doy mi corona!","これは オレさまのモノだ！"
"ed_op_voice06_Lulu","Sana son bir şans veriyorum.\nOnu HEMEN teslim et!","I'm giving you one last chance.\nHand it over NOW!","I'm giving you one last chance.\nHand it over NOW!","Ça ne t'appartient pas alors\nrends-le TOUT DE SUIIIITE !","Ça ne t'appartient pas alors\nrends-le TOUT DE SUIIIITE!","Der gehört dir nämlich\nüberhaupt nicht. Gib ihn\nzurück! LOS! LOOOS!","Non è assolutamente vero!\nRIDAMMELO SUBITOOOOOO!","¡Y un jamón con melón!\n¡Dámelo ya! ¡YAAA!","Es tu última oportunidad.\n¡Dame esa cosa yaaa!","かってに ジブンのモノに するな！\nかえせったら、かえせーーーーっ！"
"ed_op_telop02","Hidrotop LX","The Hydrocannon LX","The Hydrocannon LX","Aquacanon de Lulu","Aquacanon de Lulu","Lulus Hydroknarre","Sciacquonator","Hidrocañón LX","Hidrocañón LX","ルールー ハイドロガン"
"ed_op_voice07_Lulu","Bana başka seçenek bırakmadın.","You've left me with no choice.","You've left me with no choice.","Passons aux choses\nsérieuses.","Passons aux choses\nsérieuses.","Zeit für die großen Geschütze!","E adesso... ti sciacquonooo!","¡Hora de la artillería pesada!","¡Que conste que te lo\nadvertí!","ひっさつ！\nルールー ハイドロガン！"
"ed_op_voice08_WarioDeluxe","","  ","  "," "," "," ","Blubblubblub!","¿Qué naric...?","Pero qué...","なにそれ、\nわぶぶぶぶ……"
