"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"Penny_op_telop01","Penny'nin Laboratuvarı","Penny's Lab","Penny's Lab","Laboratoire de Penny","Laboratoire de Penny","Pennys Labor","Laboratorio di Penny","Laboratorio de Penny","Laboratorio de Penny","ペニーの けんきゅうしつ"
"Penny_op_voice01_Penny","Sonunda başardım!","I've finally cracked it!","I've finally cracked it!","J'ai enfin réussi !","J'ai enfin réussi!","Ich hab's endlich geschafft!","Ci sono riuscita!","¡Lo conseguí!","¡Por fin lo conseguí!","ついに できましたーっ！"
"Penny_op_voice02_Crygor","Oo! Yepyeni bir karışım mı?","Oh! A brand-new concoction?","Oh! A brand-new concoction?","Alors... qu'as-tu inventé,\nPenny ?","Alors... qu'as-tu inventé,\nPenny?","Ach ja? Eine neue Erfindung,\nPenny?","Oh! Una nuova invenzione,\nPenny?","¡Penny!\n¿Has creado algo?","¡Vaya! ¿Es un invento nuevo?","ペニー。\nあたらしい はつめいひんか。"
"Penny_op_voice03_Penny","Şimdiye kadarki en iyisi!\nBüyükbaba, sana sunuyorum...","Best one yet!\nGrandpa, I present to you...","Best one yet!\nGrandpa, I present to you...","Oh, grand-père ! Regarde,\nma nouvelle invention...","Oh, grand-père! Regarde,\nma nouvelle invention...","Die beste von allen!\nOpa, jetzt halt dich gut fest...","Il mio capolavoro, nonno!\nSono riuscita a creare...","¡Sí, abuelo! Un invento\nrevolucionario:","¡Así es! Abuelo...\nPermíteme mostrarte...","おじいちゃん！　はいっ。\nわたしの さいこうけっさく、"
"Penny_op_voice04_Penny","Ton Dönüştüren İksir!","Tonally Transformative Elixir!","Tonally Transformative Elixir!","L'élixir de variation vocale !","L'élixir de variation vocale!","Das... STIMMWANDLER-\nSERUM!","l'elisir Ugola d'oro!","¡el fabuloso tónico tonal!","¡El tónico tonal!","『キラキラボイス アルティメット』\nです！"
"Penny_op_telop02","Ton Dönüştüren İksir","Tonally Transformative Elixir","Tonally Transformative Elixir","Élixir de variation vocale","Élixir de variation vocale","Stimmwandlerserum","Elisir Ugola d'oro!","Tónico tonal","Tónico tonal","キラキラボイス アルティメット"
"Penny_op_voice05_Crygor","Aa, kokusu... h-harika.","Oh, it smells...g-great.","Oh, it smells...g-great.","Il a une drôle de couleur...","Il a une drôle de couleur...","Interessante Farbe.","Ma che colore ha?!","Tiene un color peculiar...","Interesante color...","すごい いろだな…。"
"Penny_op_voice06_Penny","Bir yudum, herhangi bir\nsesi altın gibi bir tona dönüştürmeli!","One sip should transform any\nvoice into audible gold!","One sip should transform any\nvoice into audible gold!","Tu le bois, et ça te donne\nune voix d'ange !","Tu le bois, et ça te donne\nune voix d'ange!","Ein Schluck und jede Stimme\ngleicht einem Silberklang!","Ne basta un sorso per avere\nuna voce incantevole!","¡Proporciona una voz preciosa\na quien lo bebe!","Convierte la voz más\nfea en angelical.","これを のむと、\nだれでも キレイな こえになるの。"
"Penny_op_voice07_Crygor","Aa!","Oh!","Oh!","Ça ?!","Ça?!","Ach was.","Si beve?!","Caray...","Vaya...","のむ！？"
"Penny_op_voice08_Crygor","Iyy...","Ugh...","Ugh...","Snif... Oh.","Snif... Oh.","Ha!","Snif... bleah!","¡Puaj!","Ay...","…クサッ！"
