"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"AshleyRed_op_telop01","Ashley'nin Konağı","Ashley's Mansion","Ashley's Mansion","Manoir d'Ashley","Manoir d'Ashley","Ashleys Haus","Magione di Ashley","Casa de Ashley","Casa de Ashley","ホラーハウス"
"AshleyRed_op_voice01_Goblin","Graaar!","Grraaar!","Grraaar!","Graaah !","Graaah!"," ","[ruggito mostruoso]","¡Uaaauh!","¡Uaaauh!","グォォォーーー！！"
"AshleyRed_op_voice02_Red","Başardın, Ashley! Bu çağırma\nişinde tam bir doğalsın!","You did it, Ashley! You're a natural\nat this summoning thing!","You did it, Ashley! You're a natural\nat this summoning thing!","Tu as réussi Ashley !\nRegarde un peu cet affreux\ndémon que tu as invoqué !","Tu as réussi Ashley!\nRegarde un peu cet affreux\ndémon que tu as invoqué!","Du hast's geschafft, Ashley!\nDu hast voll den durch-\ngeknallten Dämon\nbeschworen!","Grande Ashley, ci sei riuscita!\nHai finalmente evocato\nun demone terribile!","¡Lo has conseguido, Ashley!\n¡Has invocado a un\ndemonio espantoso!","¡Lo conseguiste, Ashley!\n¡Invocaste a un demonio \nhorripilante!","アシュリー！　せいこうや！\nものごっつスゴい まものが\nしょうかん できたでー！"
"AshleyRed_op_voice03_Goblin","Oooaaaooo!","Oooaaao!","Oooaaao!","Uuurrhh !","Uuurrhh!"," ","[ruggito mostruoso]","¡Uuuh!","¡Uuuh!","グオオオ！"
"AshleyRed_op_voice04_Ashley","Ha?","Hm?","Hm?","Hmm ?","Hmm?","Hm...?","Mh?","¿Mm?","¿Eh?","…？"
"AshleyRed_op_voice05_Red","Heh. Senin için tercüme edeyim mi?","Heh. Why don't I translate for you?","Heh. Why don't I translate for you?","Ne t'en fais pas, je parle\ndémon couramment.","Ne t'en fais pas, je parle\ndémon couramment.","Lass mich mal. Ich\nhatte Dämonisch-LK.","Va bene, ci penso io a fare\nda interprete.","¡Tranquila, yo te traduzco\nlo que diga!","No te preocupes, yo te lo\ntraduzco.","まかしとき！\nオレが つうやくしたる。"
"AshleyRed_op_voice06_Goblin","Uoh iiih!","Uoh eeeh!","Uoh eeeh!","Grraaaoooh.","Grraaaoooh."," ","[ruggito mostruoso]","¡Uauh, uuh!","¡Uauh, uuh!","グオ、グオ。"
"AshleyRed_op_voice07_Red","Açlıkla ilgili bir şeyler...","Something about being hungry...","Something about being hungry...","Il nous dit qu'il est affamé.","Il nous dit qu'il est affamé.","Er sagt: Ich hab Bärenhunger.","Sta dicendo che ha\nmolta fame.","Que tiene mucha hambre.","Dice que tiene hambre...","ハラへった、いうてるわ。"
"AshleyRed_op_voice08_Ashley","Eyvah.","Uh-oh.","Uh-oh.","Il a faim ?","Il a faim?","Interessant.","Come, fame?","Ah, vale.","¿Hambre?","…ハラが。"
"AshleyRed_op_voice09_Goblin","Uuuoh eh!","Uoooh eh!","Uoooh eh!","Rraaah.","Rraaah."," ","[ruggito mostruoso]","Auuuh...","Auuuh...","グオオ。"
