gfa,member,differs,width,height,format,swizzle
frame/layout/boss_challenge.gfa,timg/boss_challenge_banner.bflim,True,320,128,11,8
frame/layout/goldrush_announce.gfa,timg/SP_flower.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/base_01.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/base_02.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/base_03.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/gold_beads.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/pochi_body.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/pochi_face.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/pochi_hand.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/pochi_mouth.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/red_patch.bflim,False,,,,
frame/layout/goldrush_announce.gfa,timg/text.bflim,True,240,80,11,8
frame/layout/new_icon.gfa,timg/new_icon.bflim,True,64,32,11,8
frame/layout/notify_free.gfa,timg/sale_icon.bflim,True,192,96,11,8
frame/layout/pause.gfa,timg/pause_tex.bflim,True,160,64,11,8
frame/layout/pause.gfa,timg/white_box.bflim,False,,,,
frame/layout/room_text.gfa,timg/base_s01.bflim,False,,,,
frame/layout/room_text.gfa,timg/base_s02.bflim,False,,,,
frame/layout/room_text.gfa,timg/base_s03.bflim,False,,,,
frame/layout/room_text.gfa,timg/base_s04.bflim,False,,,,
frame/layout/room_text.gfa,timg/effect_flush.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_beads.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_eff.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_eff_gold.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_flower.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_jugem.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_pochi.bflim,False,,,,
frame/layout/room_text.gfa,timg/goldrush_win_text.bflim,True,256,128,11,8
frame/layout/room_text.gfa,timg/kopochi_icon_01.bflim,False,,,,
frame/layout/room_text.gfa,timg/kopochi_icon_02.bflim,False,,,,
frame/layout/room_text.gfa,timg/kopochi_icon_03.bflim,False,,,,
frame/layout/room_text.gfa,timg/mission_text.bflim,True,256,32,11,8
frame/layout/room_text.gfa,timg/p_basered_01.bflim,False,,,,
frame/layout/room_text.gfa,timg/p_basered_02.bflim,False,,,,
frame/layout/room_text.gfa,timg/p_basered_03.bflim,False,,,,
frame/layout/room_text.gfa,timg/p_basered_04.bflim,False,,,,
frame/layout/room_text.gfa,timg/p_basered_05.bflim,False,,,,
frame/layout/room_text.gfa,timg/p_basered_06.bflim,False,,,,
frame/layout/room_text.gfa,timg/pocket_01.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_a.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_b.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_c.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_beads01.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_beads02.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_beads03.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_pochi01.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_pochi02.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_g_pochi03.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s_pochi01.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s_pochi02.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s_pochi03.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s_pochi04.bflim,False,,,,
frame/layout/room_text.gfa,timg/rank_s_pochi05.bflim,False,,,,
