asset_key,gfa,member,Turkish,status,note,edit_prompt
frame/layout/boss_challenge.gfa::timg/boss_challenge_banner.bflim,frame/layout/boss_challenge.gfa,timg/boss_challenge_banner.bflim,BOSS MÜCADELESİ,TEXT_APPROVED_PIXEL_PENDING,Boss Challenge / Battez le boss / Boss-Kampf / Sfida con il boss / Desafío / Eindbaas karşılaştırması.,Replace the visible localized title with exactly: BOSS MÜCADELESİ
frame/layout/goldrush_announce.gfa::timg/text.bflim,frame/layout/goldrush_announce.gfa,timg/text.bflim,"Poochy Koşusu
ALTIN HÜCUMU!",TEXT_APPROVED_PIXEL_PENDING,Poochy Dash ve Gold Rush iki satırlı mod duyurusu.,"Replace the two visible lines with exactly: first line 'Poochy Koşusu', second line 'ALTIN HÜCUMU!'"
frame/layout/new_icon.gfa::timg/new_icon.bflim,frame/layout/new_icon.gfa,timg/new_icon.bflim,YENİ!,TEXT_APPROVED_PIXEL_PENDING,NEW! rozeti.,Replace the visible word with exactly: YENİ!
frame/layout/notify_free.gfa::timg/sale_icon.bflim,frame/layout/notify_free.gfa,timg/sale_icon.bflim,BİR KEZ ÜCRETSİZ DENE!,TEXT_APPROVED_PIXEL_PENDING,Try One For Free / Essai gratuit / Gratis / Prova... aynı ücretsiz deneme çağrısı.,Replace the visible promotional wording with exactly: BİR KEZ ÜCRETSİZ DENE! Keep it compact and readable inside the same badge.
frame/layout/pause.gfa::timg/pause_tex.bflim,frame/layout/pause.gfa,timg/pause_tex.bflim,DURAKLAT,TEXT_APPROVED_PIXEL_PENDING,Pause/Pausa/Pauze durum başlığı.,Replace the visible word with exactly: DURAKLAT
frame/layout/room_text.gfa::timg/goldrush_win_text.bflim,frame/layout/room_text.gfa,timg/goldrush_win_text.bflim,ALTIN HÜCUMU!,TEXT_APPROVED_PIXEL_PENDING,Gold Rush / Ruée vers l'or / Gold-Regen / Corsa all'oro / Fiebre del oro / Goudkoorts.,Replace the visible localized title with exactly: ALTIN HÜCUMU!
frame/layout/room_text.gfa::timg/mission_text.bflim,frame/layout/room_text.gfa,timg/mission_text.bflim,GÖREVLER,TEXT_APPROVED_PIXEL_PENDING,Missions / Missionen / Obiettivi / Logros / Missies.,Replace the visible word with exactly: GÖREVLER
frame/layout/room_text.gfa::timg/text_clear.bflim,frame/layout/room_text.gfa,timg/text_clear.bflim,TAMAMLANDI!,TEXT_APPROVED_PIXEL_PENDING,CLEAR / TERMINÉ / GESCHAFFT / COMPLETATO / SUPERADO / KLAAR anlamı tamamlanma durumu.,Replace the visible completion word with exactly: TAMAMLANDI!
frame/layout/world_patch_textures/world_0.gfa::timg/world_patch00_n_09.bflim,frame/layout/world_patch_textures/world_0.gfa,timg/world_patch00_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,"S/İspanyolca E, Special/Especial baş harfi; Türkçe 'Özel' için Ö.",Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_1.gfa::timg/world_patch01_n_09.bflim,frame/layout/world_patch_textures/world_1.gfa,timg/world_patch01_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_2.gfa::timg/world_patch02_n_09.bflim,frame/layout/world_patch_textures/world_2.gfa,timg/world_patch02_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_3.gfa::timg/world_patch03_n_09.bflim,frame/layout/world_patch_textures/world_3.gfa,timg/world_patch03_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_4.gfa::timg/world_patch04_n_09.bflim,frame/layout/world_patch_textures/world_4.gfa,timg/world_patch04_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_5.gfa::timg/world_patch05_n_09.bflim,frame/layout/world_patch_textures/world_5.gfa,timg/world_patch05_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_6.gfa::timg/world_patch06_n_09.bflim,frame/layout/world_patch_textures/world_6.gfa,timg/world_patch06_n_09.bflim,Ö,TEXT_APPROVED_PIXEL_PENDING,Special/Especial baş harfi; Türkçe Özel.,Replace the single visible locale-dependent letter with exactly: Ö
frame/layout/world_patch_textures/world_1.gfa::timg/world_patch_base_01.bflim,frame/layout/world_patch_textures/world_1.gfa,timg/world_patch_base_01.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD / MONDE / WELT / MONDO / MUNDO / WERELD.,Replace the embroidered word with exactly: DÜNYA
frame/layout/world_patch_textures/world_2.gfa::timg/world_patch_base_02.bflim,frame/layout/world_patch_textures/world_2.gfa,timg/world_patch_base_02.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD yerelleştirmesi.,Replace the embroidered word with exactly: DÜNYA
frame/layout/world_patch_textures/world_3.gfa::timg/world_patch_base_03.bflim,frame/layout/world_patch_textures/world_3.gfa,timg/world_patch_base_03.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD yerelleştirmesi.,Replace the embroidered word with exactly: DÜNYA
frame/layout/world_patch_textures/world_4.gfa::timg/world_patch_base_04.bflim,frame/layout/world_patch_textures/world_4.gfa,timg/world_patch_base_04.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD yerelleştirmesi.,Replace the embroidered word with exactly: DÜNYA
frame/layout/world_patch_textures/world_5.gfa::timg/world_patch_base_05.bflim,frame/layout/world_patch_textures/world_5.gfa,timg/world_patch_base_05.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD yerelleştirmesi.,Replace the embroidered word with exactly: DÜNYA
frame/layout/world_patch_textures/world_6.gfa::timg/world_patch_base_06.bflim,frame/layout/world_patch_textures/world_6.gfa,timg/world_patch_base_06.bflim,DÜNYA,TEXT_APPROVED_PIXEL_PENDING,WORLD yerelleştirmesi.,Replace the embroidered word with exactly: DÜNYA
