ARC,LMD,Mesaj ID,English,Türkçe,Français,Deutsch,Italiano,Español,Parça sayısı,English IDler,EntryIndex,EntryName
eng/data/core_arena.arc,Lobby,8428A9B0,?,,?,?,?,?,1,0,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,5C25A3E8, ,, , , , ,1,1,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3C83F6F1,z,z,z,z,z,z,1,2,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,8F25FF42,∞,∞,∞,∞,∞,∞,1,3,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,6CC49082,x,x,x,x,×,×,1,4,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,77A00EFD, ,, , , , ,1,5,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,B3385AC3,ID,ID,ID,ID,ID,ID,1,6,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,B314F15A,Name: ,Ad: ,Nom : ,Name: ,Nome: ,Nombre: ,1,7,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,F90BF1B3,:,:,:,:,:,:,1,8,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,383783F4,player(s),oyuncu, joueur(s), Spieler,giocatore/i, jugador(es),1,9,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,0B1033BB,min.,dk.,min,Min.,min.,min,1,10,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A0918D25,(None),, (Rien),(–),(Nessuno),(Nada),1,11,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,10CBC3D1,Yes,Evet,Oui,Ja,Sì,Sí,1,12,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7CCE761E,Players,Oyuncular,Joueurs,Sp.,Giocatori,Jugadores,1,13,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,17068708,Owned,Sahip,Possédé,Eigene,Poss.,Tienes,1,14,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,AA3C08D8,Info,Bilgi,Info,Info,Info,Info,1,15,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,E9189F60,Next,Sonraki,Suiv,Wetr,Avanti,Siguiente,1,16,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,23A44844,Back,Geri,Retour,Zrck,Indietro,Atrás,1,17,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4E61956B,Materials,Malzemeler,Matériaux,Materialien,Materiali,Materiales,1,18,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,6C21B9A0,Standing By,Haz˘r Bekliyor,En attente,Warte,In attesa,En espera,1,19,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D22CB239,Exit Standby,Haz˘r Beklemeyi Bitir,Quitter attente,"""Auf Abruf"" beenden",Esci stato d'attesa,Dejar espera,1,20,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,9032B5CF,Menu,Menü,Menu,Menü,Menu,Menú,1,21,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,472B71F6,Status,Durum,Statut,Status,Riepilogo,Estado,1,22,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,702DB69B,Unable to take.,Al˘nam˘yor.,Impossible de prendre ceci.,Nicht aufnehmbar.,Non puoi prenderlo.,Imposible coger.,1,23,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,795676AA,Move/Rotate,Ta¿˘/Döndür,Dépl./Pivoter,Beweg./Dreh.,Muovi/Ruota,Mover/rotar,1,24,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,B95C3B44,Zoom In,Yak˘nla¿t˘r,Zoom +,Zoom +,Zoom +,Zoom +,1,25,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,B0B5FB77,Zoom Out,Uzakla¿t˘r,Zoom -,Zoom -,Zoom -,Zoom -,1,26,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7461B27E,Go to Box,Kutuya Git,Coffre,Zur Box,Alla cassa,A caja,1,27,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,7AC5E95F,? ? ? ? ? ?,? ? ? ? ? ?,? ? ? ? ? ?,? ? ? ? ? ?,? ? ? ? ? ?,? ? ? ? ? ?,1,28,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3B7055B5,z,z,z,z,z,z,1,29,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4C776523,/,/,/,/,/,/,1,30,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D57E3499,+,+,+,+,+,+,1,31,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A279040F,-,-,-,-,-,-,1,32,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,3C1D91AC,%,%,%,%,%,%,1,33,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,4B1AA13A,~,,~,~,~,~,1,34,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,D213F080,☆,,☆,☆,☆,☆,1,35,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,A514C016,On,Aç˘k,Oui,Ein,Sì,Sí,1,36,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,35ABDD87,Off,Kapal˘,Non,Aus,No,No,1,37,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,42ACED11,Hunt,Av,Tués,Erlegt,Uccidi,Caza,1,38,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,226B64F4,Capture,Yakalama,Capt,Gefangen,Cattura,Captura,1,39,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,556C5462,Lv,Sv.,NV,St,Lv,Nv,1,40,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,CC6505D8,Urgent Quests,Acil Görevler,Quêtes urgentes,Dringende Quests,Missione urgente,Misiones urgentes,1,41,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,BB62354E,Event Quest,Etkinlik Görevi,Quête spéciale,Event-Quest,Missione evento,Evento,1,42,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,2506A0ED,Arena Quest,Arena Görevi,Quête Arène,Arena-Quest,Missione Arena,Misión de Arena,1,43,5,eng\msg\lobby\Lobby_eng
eng/data/core_arena.arc,Lobby,5201907B,Required HR: ,Gerekli AR: ,RC requis : ,Erf.JR: ,GC minimo: ,RC necesario: ,1,44,5,eng\msg\lobby\Lobby_eng
