file,index,original,translation_tr
Announce.ttb,2,NIGHTMARE MODE has been unlocked!,KÂBUS MODU açıldı!
Announce.ttb,3,ULTIMATE MODE has been unlocked!,NİHAİ MOD açıldı!
Announce.ttb,5,BOSS RUSH MODE has been unlocked!,PATRON SERİSİ MODU açıldı!
BootReady.ttb,1,"This save data has been 
corrupted. 
The corrupted save data will 
be deleted and the initial
setup will run once again.

※Any progress saved up to 
this point will be lost.","Bu kayıt verisi bozulmuş.
Bozuk kayıt verisi silinecek ve
ilk kurulum yeniden yapılacak.

※Bu noktaya kadar kaydedilen
tüm ilerleme kaybolacak."
BootReady.ttb,2,"Now performing the initial setup.
Please wait a moment.

※Please do not turn off the 
power!","İlk kurulum yapılıyor.
Lütfen biraz bekleyin.

※Lütfen sistemi kapatmayın!"
BootReady.ttb,4,"This game cannot run due to
region locking.","Bölge kilidi nedeniyle bu oyun
çalıştırılamıyor."
BootReady.ttb,7,"A new update is available.

Please download the latest
update and restart the game.","Yeni bir güncelleme mevcut.

Lütfen en son güncellemeyi indirin
ve oyunu yeniden başlatın."
BootReady.ttb,9,"Would you like to start the game
without creating save data?","Kayıt verisi oluşturmadan oyuna
başlamak istiyor musunuz?"
BootReady.ttb,10,"Initial setup has failed. 

Please make sure there is enough
space for the data to be saved,
then try again.","İlk kurulum başarısız oldu.

Kayıt için yeterli boş alan olduğundan
emin olup tekrar deneyin."
BootReady.ttb,11,"This game will automatically save
your data at various points.

Please do not end the game or
turn the system's power off while
the auto save logo is visible
on the bottom-right corner of
the screen.","Bu oyun çeşitli noktalarda verilerinizi
otomatik olarak kaydeder.

Sağ alttaki otomatik kayıt simgesi
görünürken oyundan çıkmayın veya
sistemin gücünü kapatmayın."
BootReady.ttb,13,"While not signed in,
progress will not be saved.","Oturum açılmadığında ilerleme
kaydedilmez."
BootReady.ttb,15,"The game will now perform
its initial setup.","Oyun şimdi ilk kurulumunu
gerçekleştirecek."
BossRush.ttb,0,Do you wish to return to the title screen?,Başlık ekranına dönmek istiyor musunuz?
BossRush.ttb,1,<emoji/Decide> Return to Title Screen,<emoji/Decide> Başlık Ekranına Dön
BossRush.ttb,3,<emoji/Decide> Return to Title Screen,<emoji/Decide> Başlık Ekranına Dön
BossRush.ttb,5,<emoji/Decide> Confirm <emoji/Cancel> / <emoji/Start> Return to Game,<emoji/Decide> Onayla <emoji/Cancel> / <emoji/Start> Oyuna Dön
CommonText.ttb,0,No,Hayır
CommonText.ttb,2,Yes,Evet
GameOver.ttb,1,<emoji/Decide> Confirm,<emoji/Decide> Onayla
GameOver.ttb,3,<emoji/Decide> Save and return to the title screen.,<emoji/Decide> Kaydet ve başlık ekranına dön.
GameOver.ttb,4,<emoji/Decide> Change to CASUAL and return to the game.,<emoji/Decide> RAHAT stile geç ve oyuna dön.
GameOver.ttb,6,<emoji/Decide> Restart from the beginning of the stage.,<emoji/Decide> Bölümün başından yeniden başla.
GameOver.ttb,8,"Do you wish to change 
to CASUAL style?

*Style can be changed 
when loading a game file","RAHAT stile geçmek istiyor musunuz?

*Stil, bir oyun dosyası yüklenirken
değiştirilebilir."
Option.ttb,2,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
Option.ttb,3,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
Option.ttb,7,Press the button you wish to assign.,Atamak istediğiniz düğmeye basın.
Option.ttb,18,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
Option.ttb,19,<emoji/Decide> Change <emoji/Cancel> Confirm and return <emoji/Start> Reset to default,<emoji/Decide> Değiştir <emoji/Cancel> Onayla ve dön <emoji/Start> Varsayılana dön
