file,index,hash,language_hint,original,translation_tr
Announce.ttb,0,B81ECA48,ja/mixed,ULTIMATEモードが 解放されました!,
Announce.ttb,1,663C19E2,ja/mixed,NIGHTMAREモードが 解放されました!,
Announce.ttb,2,663A9CBE,latin,NIGHTMARE MODE has been unlocked!,
Announce.ttb,3,B81D4D24,latin,ULTIMATE MODE has been unlocked!,
Announce.ttb,4,E04EAFEB,ja/mixed,BOSS RUSHモードが 解放されました!,
Announce.ttb,5,E04D32C7,latin,BOSS RUSH MODE has been unlocked!,
BootReady.ttb,0,B27F349C,ja/mixed,"セーブデータの保存、ロードをせずに
ゲームをはじめますか？",
BootReady.ttb,1,9FF43817,latin,"This save data has been 
corrupted. 
The corrupted save data will 
be deleted and the initial
setup will run once again.

※Any progress saved up to 
this point will be lost.",
BootReady.ttb,2,91C66B93,latin,"Now performing the initial setup.
Please wait a moment.

※Please do not turn off the 
power!",
BootReady.ttb,3,449BF9E0,ja/mixed,"本ソフトはリージョン規制のため
起動出来ません。",
BootReady.ttb,4,449A7CBC,latin,"This game cannot run due to
region locking.",
BootReady.ttb,5,91C7E8B7,ja/mixed,"初回起動の準備中です。
このままの状態で しばらく
お待ちください……

※電源を切らないでください！",
BootReady.ttb,6,AE3A2D1A,ja/mixed,"バージョンが正しくありません。

更新データをダウンロードして
ゲームを起動し直してください。",
BootReady.ttb,7,AE38AFF6,latin,"A new update is available.

Please download the latest
update and restart the game.",
BootReady.ttb,8,9FF5B53B,ja/mixed,"セーブデータの破損が見つかりました。
セーブデータを消去して
新たに初回起動の準備を行います。

※これまでに保存された記録は
失われます。",
BootReady.ttb,9,B27DB778,latin,"Would you like to start the game
without creating save data?",
BootReady.ttb,10,E9A0A1D4,latin,"Initial setup has failed. 

Please make sure there is enough
space for the data to be saved,
then try again.",
BootReady.ttb,11,BA8FAC0F,latin,"This game will automatically save
your data at various points.

Please do not end the game or
turn the system's power off while
the auto save logo is visible
on the bottom-right corner of
the screen.",
BootReady.ttb,12,B8296509,ja/mixed,"サインインを取り消した場合、
進行状況を保存せずに続行します。",
BootReady.ttb,13,B827E7E5,latin,"While not signed in,
progress will not be saved.",
BootReady.ttb,14,BA912933,ja/mixed,"本作は特定のタイミングで
途中経過を自動的に上書き保存します。

オートセーブ中は右下の表示が
消えるまでゲームの終了操作や
電源をOFFにしないで下さい。",
BootReady.ttb,15,EB9A5118,latin,"The game will now perform
its initial setup.",
BootReady.ttb,16,E9A21EF8,ja/mixed,"初回起動の準備に失敗しました。

セーブデータの保存に必要な
空き容量を確保してから
再度お試しください。",
BootReady.ttb,17,EB9BCE3C,ja/mixed,初回起動の準備を行います。,
BossRush.ttb,0,AAC8D90F,latin,Do you wish to return to the title screen?,
BossRush.ttb,1,610EAA1E,latin,<emoji/Decide> Return to Title Screen,
BossRush.ttb,2,22E8ACCD,ja/mixed,<emoji/Decide> タイトルに戻る,
BossRush.ttb,3,22E72FA9,latin,<emoji/Decide> Return to Title Screen,
BossRush.ttb,4,61102742,ja/mixed,<emoji/Decide> タイトルに戻る,
BossRush.ttb,5,D0C8492E,latin,<emoji/Decide> Confirm <emoji/Cancel> / <emoji/Start> Return to Game,
BossRush.ttb,6,AACA5633,ja/mixed,"タイトル画面に戻ります。
よろしいですか？",
BossRush.ttb,7,D0C9C652,ja/mixed,<emoji/Decide> 決定 <emoji/Cancel> / <emoji/Start> ゲームに戻る,
CommonText.ttb,0,BEAA2C96,latin,No,
