file	id	category	source_en	source_fr	source_de	source_es	source_it	source_nl	source_pt	source_ru	previous_tr	reviewed_tr	reason
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	29	form-volume	...and learned about [f2]blocking in[] and creating [f2]form[] in the tulip lesson.	... et avons vu comment [f2]utiliser les aplats[] et\ncréer du [f2]volume[] dans la leçon de la tulipe.	Dazu kamen die Erkenntnisse über\ndas [f2]Anlegen[] von Flächen und die\nDarstellung von [f2]dreidimensionaler\nForm[] in der Tulpen-Lektion.	Además, aprendimos a [f2]manchar[] y a crear [f2]forma[] en la lección del tulipán.	... mentre in quella del tulipano, abbiamo\nimparato a creare e a [f2]definire[] le [f2]forme[].	... en in de les met de tulp hebben we geleerd over het [f2]invullen van vlakken[] en het creëren van [f2]vorm[].	...e aprendemos como [f2]empastar[] e criar uma\n[f2]forma[] na aula da tulipa.	а также освоили [f2]заполнение[] и [f2]передачу\nформы[] на занятии «Тюльпан».	...lale dersinde ise [f2]kütleleri yerleştirmeyi[] ve [f2]hacim oluşturmayı[] öğrendik.	...lale dersinde ise [f2]kütleleri yerleştirmeyi[] ve [f2]form oluşturmayı[] öğrendik.	Form/hacim ayrımı ve formu izleyen tarama dili teknik bağlama göre düzeltildi.
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	32	form-volume	...and [f2]following the form[] with our hatching helps to give an object [f2]volume[].	... et que [f2]suivre les courbes[] avec vos hachures\nvous permet de donner du [f2]volume[] au dessin.	Und wenn du beim Schraffieren [f2]der\nForm folgst[], hilft das dabei, dem Objekt\n[f2]Volumen[] zu verleihen.	Si haces un tramado [f2]siguiendo la forma del objeto[], harás que este adquiera [f2]volumen[].	... e che [f2]seguire la forma[] di un oggetto con il\ntratteggio è un ottimo modo per dargli [f2]volume[].	Door [f2]de vorm te volgen[] bij het arceren, kun je een object [f2]volume[] geven.	...e que [f2]seguir a forma[] com hachura ajuda\na dar [f2]volume[] ao objeto.	А [f2]штриховка по форме[] придает\nобъектам [f2]объем[].	...ve taramayı [f2]biçimin yönünde[] yapmak nesneye [f2]hacim[] kazandırır.	...ve taramayı [f2]formu izleyerek[] yapmak nesneye [f2]hacim[] kazandırır.	Form/hacim ayrımı ve formu izleyen tarama dili teknik bağlama göre düzeltildi.
Mini_lessons/LESSON_04_M1_Watermill/watermill-en.stb	43	form-volume	It can be a challenge to give your drawing enough [f2]depth[] and [f2]form[] in this stage.	Il peut vous paraître difficile de donner de la\n[f2]profondeur[] et du [f2]volume[] durant cette phase.	Die Herausforderung besteht in dieser Stufe\ndarin, deiner Zeichnung genug [f2]Tiefe[] und\n[f2]Räumlichkeit[] zu geben.	Proveer a tu dibujo de suficiente [f2]profundidad[] y [f2]forma[] en esta fase puede llegar a ser un verdadero desafío.	In questa fase può essere molto difficile riuscire\na dare abbastanza [f2]profondità[] e [f2]forma[] al disegno.	Het kan een hele uitdaging zijn om te zorgen dat je tekening in deze fase genoeg [f2]diepte[] en [f2]vorm[] heeft.	Nesta fase, pode ser um desafio conseguir dar ao\nseu desenho [f2]profundidade[] e [f2]forma[]\nsuficientes.	Придать рисунку [f2]глубину[] и [f2]объем[]\nна этом этапе — непростая задача.	Bu aşamada çizime yeterli [f2]derinlik[] ve [f2]hacim[] kazandırmak biraz zor olabilir.	Bu aşamada çizime yeterli [f2]derinlik[] ve [f2]form[] kazandırmak biraz zor olabilir.	Form/hacim ayrımı ve formu izleyen tarama dili teknik bağlama göre düzeltildi.
Mini_lessons/LESSON_05_M1_Cloudscape/cloudscape_mini-en.stb	11	form-volume	[b1][i1]Add in the larger, fluffy cloud shapes.[][b1][i1]Let the [f2]paper colour[] show through for the [f2]shadows[].[][b1][i1]Use [f2]short, rounded marks[] to give the clouds form.[]	[b1][i1]Ajouter les formes moutonneuses\ndes gros nuages.[][b1][i1]Laisser la [f2]couleur du papier[]\ntransparaître pour les [f2]ombres[].[][b1][i1]Utiliser des traits [f2]brefs et arrondis[]\ndonnera du volume aux nuages.[]	[b1][i1]Füge die größeren, flauschigen\nWolkenformen hinzu. [][b1][i1]Lass die [f2]Farbe des Papiers[] an\nden [f2]Schattenflächen[]\ndurchscheinen.\n[][b1][i1]Zeichne in [f2]kurzen, gebogenen\nStrichen[], um die Form der\nWolken darzustellen.[]	[b1][i1]Añade las suaves formas de las nubes más grandes.[][b1][i1]Deja que el [f2]color del papel[] asome para las [f2]sombras[].[][b1][i1]Usa [f2]trazos redondeados cortos[] para dar forma a las nubes.[]	[b1][i1]Aggiungi le nuvole più grosse e\nvaporose.[][b1][i1]Lascia emergere il [f2]colore della carta[],\nin modo da formare le [f2]ombre[].[][b1][i1]Usa [f2]tratti brevi e arrotondati[]\nper dare forma alle nuvole.[]	[b1][i1]Voeg de grotere, donzige wolkenvormen toe.[][b1][i1]Laat voor de [f2]schaduwen[] de [f2]papierkleur[] doorschemeren.[][b1][i1]Gebruik [f2]korte, ronde streken[] om de wolken vorm te geven.[]	[b1][i1]Adicione as formas das nuvens\nmaiores e mais fofas.[][b1][i1]Deixe a [f2]cor do papel[] transparecer\npara formar [f2]sombras[].[][b1][i1]Utilize [f2]marcas curtas e\narredondadas[] para dar forma às\nnuvens.[]	[b1][i1]Обозначь крупные, мягкие\nформы облаков.\n[][b1][i1]Для [f2]теней[] используй\nпроступающий [f2]цвет бумаги[].\n[][b1][i1]Придай форму облакам\n[f2]короткими, закругленными\nштрихами[].[]	[b1][i1]Büyük, kabarık bulut şekillerini ekle.[][b1][i1][f2]Gölgeler[] için [f2]kâğıdın renginin[] görünmesine izin ver.[][b1][i1]Bulutlara hacim vermek için [f2]kısa, yuvarlak izler[] kullan.[]	[b1][i1]Büyük, kabarık bulut şekillerini ekle.[][b1][i1][f2]Gölgeler[] için [f2]kâğıdın renginin[] görünmesine izin ver.[][b1][i1]Bulutlara form kazandırmak için [f2]kısa, yuvarlak izler[] kullan.[]	Form/hacim ayrımı ve formu izleyen tarama dili teknik bağlama göre düzeltildi.
Mini_lessons/LESSON_05_M1_Cloudscape/cloudscape_mini-en.stb	37	perspective	I drew the [f2]ground line[] first, then the rough shapes of other prominent features.	J'ai dessiné tout d'abord la [f2]ligne fondamentale[],\npuis les formes approximatives des autres\néléments marquants du paysage.	Dazu habe ich zunächst die [f2]Grundlinie[]\ngezeichnet, dann die groben Umrisse\nanderer auffälliger Formen.	Primero, dibujé la [f2]línea base[] y después esbocé las formas de otros elementos importantes.	Ho disegnato la [f2]linea di terra[] per prima, poi ho\ninserito le figure grezze degli elementi\npiù appariscenti.	Ik ben begonnen met de [f2]grondlijn[] en heb daarna de ruwe omtrekken van andere opvallende vormen getekend.	Comecei por desenhar a [f2]linha do campo[]\ne, em seguida, as formas gerais de outras\ncaraterísticas proeminentes.	Сначала я провел [f2]центральную линию[],\nпотом очертил оставшиеся крупные\nформы.	Önce [f2]zemin çizgisini[], ardından diğer belirgin öğelerin kaba şekillerini çizdim.	Önce [f2]yer çizgisini[], ardından diğer belirgin öğelerin kaba şekillerini çizdim.	Perspektif terimi Türkçe akademik kullanımla standardize edildi.
Mini_lessons/LESSON_06_M2_Horse/horse-en.stb	7	form-volume	[b1][i1]Spend some time [f2]blending the edges[] of the tones you've put down.[][b1][i1]Try to blend in directions that will enhance the [f2]rounded forms[].[]	[b1][i1]Prendre le temps nécessaire afin\nd'[f2]harmoniser[] les nuances peintes.[][b1][i1]Procéder en suivant les directions\ndu volume, pour accentuer les\n[f2]courbes[] du sujet.[]	[b1][i1][f2]Verblende die Übergänge[] deiner\nFarbflächen.[][b1][i1]Versuche, so zu verblenden, dass\ndie [f2]runden Formen[] betont werden.[]	[b1][i1]Tómate tu tiempo para [f2]esfumar los bordes[] de los tonos que has aplicado.[][b1][i1]Intenta difuminar en círculo para enfatizar las [f2]formas redondeadas[].[]	[b1][i1]Prenditi un po' di tempo per\n[f2]uniformare i bordi[] delle tonalità\nche hai usato.[][b1][i1]Prova a sfumare nelle direzioni che\nti permettono di valorizzare\nle [f2]forme arrotondate[].[]	[b1][i1]Neem je tijd voor het [f2]mengen[] van de verschillende kleurtonen op het doek.[][b1][i1]Probeer in de juiste richting te mengen, zodat [f2]de ronde vormen[] naar voren komen.[]	[b1][i1]Passe algum tempo a [f2]harmonizar\nos limites[] dos tons pintados.[][b1][i1]Harmonize com movimentos que\nacentuem as [f2]formas arredondadas[].[]	[b1][i1]Удели внимание [f2]смягчению\nграниц[] между тонами.\n[][b1][i1]Попробуй смешивать цвета\nтак, чтобы подчеркнуть\n[f2]округлые формы[].[]	[b1][i1]Yerleştirdiğin tonların [f2]kenarlarını yumuşatmaya[] biraz zaman ayır.[][b1][i1]Yuvarlak [f2]hacimleri[] güçlendirecek yönlerde yedirmeye çalış.[]	[b1][i1]Yerleştirdiğin tonların [f2]kenarlarını yumuşatmaya[] biraz zaman ayır.[][b1][i1]Yuvarlak [f2]formları[] güçlendirecek yönlerde yedirmeye çalış.[]	Form/hacim ayrımı ve formu izleyen tarama dili teknik bağlama göre düzeltildi.
Mini_lessons/LESSON_06_M2_Horse/horse-en.stb	11	glase	[b1][i1]Make sure you're happy with your work so far, then [f2]dry the painting[] before starting your glazes.[][b1][i1]Glaze in a [f2]grey reflective sheen[] and a soft [f2]brown highlight[].[]	[b1][i1]Vérifier que le résultat convient\net faire [f2]sécher[] la toile avant d'y\nappliquer des glacis.[][b1][i1]Ajouter un [f2]lustre gris brillant[] et\ndes [f2]effets de lumière bruns[] plus\ndoux sur la robe du cheval.[]	[b1][i1]Wenn du mit deinem Bild bisher\nzufrieden bist, [f2]trockne das\nBild[] vor dem Lasieren.\n[][b1][i1]Zeichne [f2]einen grauen Schimmer[]\nund setze weiche [f2]braune\nGlanzlichter[].[]	[b1][i1]Asegúrate de que has pintado todo lo que querías pintar antes de [f2]secar tu obra[] y aplicar las veladuras.[][b1][i1]Pinta una veladura que [f2]aporte un brillo gris reflectante[] y un [f2]realce marrón[] suave.[]	[b1][i1]Assicurati che il lavoro svolto finora\nti soddisfi, poi [f2]asciuga il dipinto[]\nprima di cominciare con le patine.[][b1][i1]Applica una velatura [f2]scintillante di\ngrigio riflettente[] e una tenue\n[f2]lumeggiatura marrone[].[]	[b1][i1]Als je tevreden bent met wat je tot nu toe hebt geschilderd, [f2]droog dan het schilderij[] voordat je begint met glaceren.[][i1]Voeg een [f2]reflecterende, grijze glans[] en een zachte [f2]bruine highlight[] toe.[]	[b1][i1]Se estiver satisfeito com o seu\ntrabalho, [f2]seque a tela[] antes de\nacetinar.[][b1][i1]Para acetinar, utilize um [f2]cinzento\nrefletivo[] e um leve [f2]realce castanho[].[]	[b1][i1]Ошибок нет? Тогда [f2]просуши\nработу[], а затем можешь\nначинать лессировку.\n[][b1][i1]Нанеси [f2]слой глянцевой серой\nкраски[] и мягкий [f2]коричневый[]\nдля высветления.[]	[b1][i1]Şimdiye kadarki çalışmandan memnun olduğundan emin ol, ardından saydam boya katmanlarına geçmeden önce [f2]resmi kurut[].[][b1][i1][f2]Gri yansıma parlaklığını[] ve yumuşak bir [f2]kahverengi ışıklı bölgeyi[] ince saydam katmanlarla uygula.[]	[b1][i1]Şimdiye kadarki çalışmandan memnun olduğundan emin ol, ardından glase uygulamasına geçmeden önce [f2]resmi kurut[].[][b1][i1][f2]Gri yansıma parlaklığını[] ve yumuşak bir [f2]kahverengi ışıklı bölgeyi[] ince glase katmanlarıyla uygula.[]	Glase terminolojisi saydam katman tekniği olarak standardize edildi.
Mini_lessons/LESSON_06_M2_Horse/horse-en.stb	22	technical-style	[f3]Cerulean Blue[] - A cobalt-derived pigment, prized for painting skies due to its purity.	[f3]Bleu céruléen[] : ou bleu « céleste », pigment\nà base de cobalt très apprécié pour peindre\nles cieux en raison de sa pureté.	[f3]Coelinblau[] - Aus Kobalt gewonnenes Pigment,\ndas wegen seiner Reinheit für das Malen des\nHimmels geschätzt wird.	[f3]Azul cerúleo[]: pigmento derivado del cobalto. Muy preciado para pintar los colores del cielo debido a su pureza.	[f3]Blu ceruleo[]: un pigmento derivato dal cobalto.\nData la sua purezza, è spesso utilizzato per\ndipingere il cielo.	[f3]Ceruleumblauw[]: pigment dat is afgeleid van kobalt. Is vanwege zijn puurheid populair voor het schilderen van luchten.	[f3]Azul Cerúleo[]: Um pigmento derivado do cobalto, valorizado na pintura de céus devido à sua elevada pureza.	[f3]Церулеум синий[] — кобальтовый пигмент,\nкоторый идеально подходит для\nизображения неба благодаря чистоте цвета.	[f3]Serulean Mavisi[] - Kobalttan elde edilen, saflığı sayesinde gökyüzü resimlerinde çok değer verilen bir pigment.	[f3]Cerulean Mavisi[] - Kobalttan elde edilen, saflığı sayesinde gökyüzü resimlerinde çok değer verilen bir pigment.	Teknik sanat dili ve bağlam tutarlılığı gözden geçirildi.
Mini_lessons/LESSON_06_M2_Horse/horse-en.stb	24	technical-style	[f3]Sap Green[] - Originally made from buckthorn berries. Modern versions are a blend of other paints.	[f3]Vert de nerprun[] : produit à l'origine à partir\nde baies de nerprun, les versions modernes\nsont des mélanges de divers pigments.	[f3]Saftgrün[] - Wurde ursprünglich aus dem Saft\nder Kreuzdornbeere hergestellt, heute aber \ndurch das Mischen anderer Farben. 	[f3]Verde savia[]: originariamente se obtenía a partir de las bayas del espino cerval. Hoy en día se consigue mezclando otras pinturas.	[f3]Verde vescica[]: in origine veniva prodotto dalle\nbacche di spincervino. Le versioni moderne\nsono una mescolanza di altri colori.	[f3]Sapgroen[]: werd oorspronkelijk gemaakt van wegedoornbessen. Wordt tegenwoordig gemaakt van verschillende andere pigmenten.	[f3]Verde Seiva[]: Originalmente obtido a partir\ndas bagas do espinheiro marítimo, as versões\natuais são uma combinação de outras tintas.	[f3]Травяная зеленая[] — краска, изначально\nполучаемая из ягод крушины. Сейчас ее\nпроизводят, смешивая другие краски.	[f3]Özsu Yeşili[] - Başlangıçta cehri meyvelerinden yapılırdı. Günümüzdeki çeşitleri başka boyaların karışımıdır.	[f3]Sap Green[] - Başlangıçta cehri meyvelerinden yapılırdı. Günümüzdeki çeşitleri başka boyaların karışımıdır.	Teknik sanat dili ve bağlam tutarlılığı gözden geçirildi.
Mini_lessons/LESSON_06_M2_Horse/horse-en.stb	26	technical-style	[f3]Burnt Umber[] - An 'earth colour' made from heating iron-rich clay, originally from Umbria in Italy.	[f3]Terre d'ombre brûlée[] : terre colorante produite\npar calcination d'une argile riche en fer qui\nprovenait à l'origine d'Ombrie, en Italie.	[f3]Gebrannte Umbra[] - Eine „Erdfarbe“,\ndie durch das Erhitzen von eisenhaltigem\nLehm gewonnen wird. 	"[f3]Sombra tostada[]: ""color de tierra"" obtenido tras cocer arcilla rica en hierro, originaria de la región de Umbría, en Italia."	"[f3]Terra d'ombra bruciata[]: un ""colore di terra""\nottenuto riscaldando argilla ricca di ferro.\nOriginario dell'Umbria."	[f3]Gebrande omber[]: een 'aardekleur' die wordt gemaakt van verhitte, ijzerrijke klei. Komt oorspronkelijk uit het Italiaanse Umbrië.	[f3]Umbro Queimado[]: Uma cor térrea conseguida\natravés do aquecimento de argila rica em ferro\nproveniente da região de Úmbria, na Itália.	[f3]Умбра жженая[] — природная краска,\nназванная в честь итальянской Умбрии.\nЕе получают из железистой глины.	[f3]Yanık Umber[] - Demir bakımından zengin kilin ısıtılmasıyla elde edilen bir 'toprak rengi'; adını İtalya'daki Umbria bölgesinden alır.	[f3]Yanık Ombra[] - Demir bakımından zengin kilin ısıtılmasıyla elde edilen bir 'toprak rengi'; adını İtalya'daki Umbria bölgesinden alır.	Teknik sanat dili ve bağlam tutarlılığı gözden geçirildi.
