file	id	format	source_en	source_fr	source_de	source_es	source_it	source_nl	source_pt	source_ru	tr_before	tr_after	reason
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	1	STB1.1	[b1][i1][f2]Sketch the shapes[] of the mushrooms with the point of a black pencil.[][b1][i1]Use the [f2]grid[] if it helps you feel more confident about placement.[]	[b1][i1][f2]Dessiner le contour[] des \nchampignons avec la pointe du\ncrayon noir.[][b1][i1]Utiliser la [f2]grille[] pour vous aider à\nplacer les sujets avec précision.[]	[b1][i1][f2]Skizziere die Konturen[] der Pilze mit\nder Spitze des Bleistifts.[][b1][i1]Verwende ruhig das [f2]Gitternetz[], um\netwas mehr Sicherheit in puncto\nAnordnung zu erlangen.[]	[b1][i1][f2]Bosqueja las formas[] de los champiñones con la punta de un lápiz negro.[][b1][i1]Utiliza la [f2]cuadrícula[] si crees que la necesitas para colocarlos en el lugar adecuado.[]	[b1][i1][f2]Traccia la sagoma[] dei funghi con\nla punta di una matita nera.[][b1][i1]Usa la [f2]griglia[] se pensi possa esserti\nd'aiuto nel posizionare gli oggetti.[]	[b1][i1][f2]Schets de vormen[] van de champignons met de punt van een zwart potlood.[][b1][i1]Je kunt het [f2]raster[] gebruiken voor wat hulp bij de plaatsing.[]	[b1][i1][f2]Faça um esboço das formas[] dos\ncogumelos com a ponta de um\nlápis preto.[][b1][i1]Utilize a [f2]grelha[] se quiser\ncertificar-se do posicionamento.[]	[b1][i1][f2]Нанеси на бумагу контур[]\nгрибов острием черного\nкарандаша.\n[][b1][i1]Используй [f2]сетку[], чтобы\nточнее расположить контур.[]	[b1][i1]Mantarların [f2]ana hatlarını[] siyah kalemin ucuyla hafifçe çizin.[][b1][i1]Yerleşimi ayarlarken işinizi kolaylaştırıyorsa [f2]ızgaradan[] yararlanın.[]	[b1][i1]Mantarların [f2]ana hatlarını[] siyah kalemin ucuyla hafifçe çiz.[][b1][i1]Yerleşimi ayarlarken işini kolaylaştırıyorsa [f2]ızgaradan[] yararlan.[]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	3	STB1.1	[b1][i1]Block in some [f2]shadows[] beneath the mushrooms with the flat of the pencil.[]	[b1][i1]Ajouter quelques [f2]ombres[] sous les\nchampignons en utilisant le plat\ndu crayon.[]	[b1][i1]Lege einige [f2]Schatten[] unterhalb der\nPilze mithilfe der flachen Seite des\nBleistifts an.[]	[b1][i1]Mancha algunas [f2]sombras[] que hay debajo de los champiñones con un lápiz tumbado.[]	[b1][i1]Traccia delle [f2]ombre[] sotto i funghi\nusando il dorso della matita.[]	[b1][i1]Vul de [f2]schaduwen[] onder de champignons in met de vlakke kant van het potlood.[]	[b1][i1]Adicione algumas [f2]sombras[] sob\nos cogumelos com o lápis na\nhorizontal.[]	[b1][i1]Нанеси падающие от грибов\n[f2]тени[] боковой частью грифеля.[]	[b1][i1]Kalemin yassı yüzünü kullanarak mantarların altındaki [f2]gölgeleri[] kabaca yerleştirin.[]	[b1][i1]Kalemin yassı yüzünü kullanarak mantarların altındaki [f2]gölgeleri[] kabaca yerleştir.[]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	5	STB1.1	[b1][i1]Use the [f2]point[] of your [f2]red-brown pencil[] to add some [f2]hatching[] on the mushrooms.[][b1][i1]Try to leave [f2]gaps[] to let the paper colour act as a mid tone.[]	[b1][i1]Utiliser la [f2]pointe[] du [f2]crayon\nsanguine[] pour ajouter des\n[f2]hachures[] aux champignons.[][b1][i1]Essayer de laisser des [f2]espaces\nvides[] pour utiliser la couleur\ndu papier comme un ton moyen.[]	[b1][i1]Verwende die [f2]Spitze[] des\n[f2]rotbraunen Farbstifts[], um auf den\nPilzen einen [f2]Schraffur-Effekt[]\nherzustellen.[][b1][i1]Lass aber auch [f2]Stellen aus[], damit\ndie Farbe des Papiers die Rolle des\nmittleren Farbtons übernehmen\nkann.[]	[b1][i1]Utiliza la [f2]punta[] del [f2]lápiz marrón rojizo[] para añadir un [f2]tramado[] a los champiñones.[][b1][i1]Procura dejar [f2]espacios[] para que el color del papel actúe de tono medio.[]	[b1][i1][f2]Tratteggia[] i funghi con la [f2]punta[] \ndella tua [f2]matita rosso marrone.[]\n[][b1][i1]Cerca di lasciare degli [f2]spazi vuoti[]\naffinché lo sfondo della carta\nfunga da colore intermedio.[]	[b1][i1]Gebruik de [f2]punt[] van je [f2]roodbruine potlood[] om [f2]arcering[] aan te brengen op de champignons.[][b1][i1]Probeer wat [f2]ruimte open te laten[] in de arcering, om de papierkleur als middentoon te laten doorschijnen.[]	[b1][i1]Utilize a [f2]ponta[] do [f2]lápis vermelho-\n-acastanhado[] para aplicar [f2]hachura[],\ndando volume aos cogumelos.[][b1][i1]Tente deixar alguns [f2]intervalos[] para\nque a cor do papel atue como\ntom médio.[]	[b1][i1]Добавь [f2]штриховку[] на грибы\n[f2]острием[] [f2]красно-коричневого\nкарандаша[].\n[][b1][i1]Оставь немного [f2]пробелов[].\nТак можно использовать\nцвет бумаги в качестве\nсреднего тона.[]	[b1][i1][f2]Kızıl kahverengi kaleminizin[] [f2]ucuyla[] mantarların üzerine biraz [f2]tarama[] ekleyin.[][b1][i1]Kâğıdın renginin orta ton olarak görünmesi için aralarda [f2]boşluklar[] bırakmaya çalışın.[]	[b1][i1][f2]Kızıl kahverengi kaleminin[] [f2]ucuyla[] mantarların üzerine biraz [f2]tarama[] ekle.[][b1][i1]Kâğıdın renginin orta ton olarak görünmesi için aralarda [f2]boşluklar[] bırakmaya çalış.[]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	7	STB1.1	[b1][i1]Add in the [f2]lighter tones[] with the point of a [f2]light brown pencil[].[][b1][i1]Keep using [f2]hatching[] here and try to [f2]follow the form[] of the mushrooms.[]	[b1][i1]Ajouter les [f2]nuances les plus\nclaires[] avec la pointe du [f2]crayon\nmarron clair[].[][b1][i1]Continuer de [f2]hachurer[] et\ntenter de [f2]suivre les courbes[]\ndes champignons.[]	[b1][i1]Zeichne die [f2]hellsten Töne[] mit der\nSpitze des [f2]hellbraunen Stiftes[] ein.\n[][b1][i1][f2]Schraffiere[] dabei weiterhin und\nversuche, [f2]der Form[] der Pilze\n[f2]zu folgen[].[]	[b1][i1]Añade los [f2]tonos más claros[] con la punta del [f2]lápiz marrón claro[].[][b1][i1]Sigue utilizando el [f2]tramado[] e intenta [f2]seguir la forma[] de los champiñones.[]	[b1][i1]Aggiungi i [f2]toni più chiari[] con la\npunta di una [f2]matita marrone chiaro[].[][b1][i1]Continua con il [f2]tratteggio[] e cerca\ndi [f2]seguire la forma[] dei funghi.[]	[b1][i1]Voeg de [f2]lichtere tonen[] toe met de punt van een [f2]lichtbruin potlood[].[][b1][i1]Blijf [f2]arceren[] en [f2]volg[] hierbij [f2]de vorm[] van de champignons.[]	[b1][i1]Adicione os [f2]tons mais claros[] com\na ponta de um [f2]lápis castanho-claro[].[][b1][i1]Continue a aplicar a [f2]hachura[] e\na [f2]seguir a forma[] dos cogumelos.[]	[b1][i1]Обозначь [f2]светлые тона[] \nострием [f2]светло-коричневого\nкарандаша[].\n[][b1][i1]Используй [f2]штриховку[]\nи попробуй [f2]следовать\nформе[] грибов.[]	[b1][i1][f2]Açık kahverengi kalemin[] ucuyla [f2]daha açık tonları[] ekleyin.[][b1][i1]Burada da [f2]tarama[] kullanın ve çizgilerin mantarların [f2]biçimini takip etmesine[] çalışın.[]	[b1][i1][f2]Açık kahverengi kalemin[] ucuyla [f2]daha açık tonları[] ekle.[][b1][i1]Burada da [f2]tarama[] kullan ve çizgilerin mantarların [f2]biçimini takip etmesine[] çalış.[]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	9	STB1.1	[b1][i1]Go back to your [f2]black pencil[] to [f2]refine the details[] on the mushrooms where needed.[]	[b1][i1]Reprendre le [f2]crayon noir[]\npour [f2]affiner les détails[]\ndes champignons là où\ncela semble nécessaire.[]	[b1][i1]Nimm nun wieder den [f2]Bleistift[],\num, falls nötig, die [f2]Details[]\nder Pilze [f2]zu verfeinern[].[]	[b1][i1]Toma de nuevo el [f2]lápiz negro[] para [f2]refinar los detalles[] de los champiñones donde lo necesites.[]	[b1][i1]Seleziona di nuovo la [f2]matita nera[] e\n[f2]rifinisci i dettagli[] sui funghi qualora\nsia necessario.[]	[b1][i1]Gebruik je [f2]zwarte potlood[] om waar nodig [f2]de details op de champignons te verfijnen[].[]	[b1][i1]Pegue novamente no [f2]lápis preto[]\ne [f2]aperfeiçoe os pormenores[] dos\ncogumelos onde for necessário.[]	[b1][i1]Воспользуйся снова [f2]черным\nкарандашом[], чтобы [f2]уточнить\nдетали[] рисунка, если нужно.[]	[b1][i1]Gereken yerlerde mantarların [f2]ayrıntılarını belirginleştirmek[] için yeniden [f2]siyah kaleme[] geçin.[]	[b1][i1]Gereken yerlerde mantarların [f2]ayrıntılarını belirginleştirmek[] için yeniden [f2]siyah kaleme[] geç.[]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	11	STB1.1	[b1][i1]Add in some last marks with the [f2]white pencil[] for the brightest [f2]highlights[].[][b1][i1]This is the last step, so do any other finishing off you want as well![]	[b1][i1]Ajouter les dernières marques\navec le [f2]crayon blanc[] pour les\n[f2]effets de lumière[].[][b1][i1]C'est la dernière étape, le meilleur\nmoment pour toutes les autres\nfinitions ![]	[b1][i1]Füge mit dem [f2]weißen Stift[] noch\nein paar letzte Striche für die\nhellsten [f2]Glanzlichter[] hinzu.[][b1][i1]Dies ist der letzte Schritt und\ndamit auch der richtige\nZeitpunkt für den letzten\nFeinschliff![]	[b1][i1]Añade los últimos trazos con el [f2]lápiz blanco[] para pintar las zonas [f2]iluminadas[] más brillantes.[][b1][i1]¡Este es el último paso, así que puedes aprovechar para hacer retoques![]	[b1][i1]Aggiungi gli ultimi dettagli con la\n[f2]matita bianca[] per realizzare delle\n[f2]lumeggiature[] intense.[][b1][i1]Questo è l'ultimo passo, quindi\npuoi rifinire la tua opera come\nmeglio credi![]	[b1][i1]Voeg de laatste details toe met het [f2]witte potlood[] om de helderste [f2]highlights[] weer te geven.[][b1][i1]Nu is het moment om ook al je overige aanpassingen te maken, want dit is de laatste stap![]	[b1][i1]Adicione algumas marcas com o\n[f2]lápis branco[] para terminar os\n[f2]brilhos[] mais claros.[][b1][i1]Sendo este o último passo, dê todos\nos retoques que achar necessários![]	[b1][i1]Добавь последние штрихи\n[f2]белым карандашом[] на [f2]самых\nсветлых участках[].\n[][b1][i1]Это последний этап, так что\nиспользуй любые инструменты\nдля доработки рисунка![]	[b1][i1]En parlak [f2]ışıklı bölgeler[] için [f2]beyaz kalemle[] son birkaç dokunuşu ekleyin.[][b1][i1]Bu son adım; isterseniz başka rötuşlarınızı da şimdi yapın![]	[b1][i1]En parlak [f2]ışıklı bölgeler[] için [f2]beyaz kalemle[] son birkaç dokunuşu ekle.[][b1][i1]Bu son adım; istersen başka rötuşlarını da şimdi yap![]	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	13	STB1.1	Hello there! Welcome to the first [f2]Mini Lesson[] of the Introductory Course!	Bonjour ! Bienvenue dans notre premier\n[f2]exercice[] du cours d'initiation !	Hallo und willkommen zur ersten\n[f2]Mini-Lektion[] des Einführungskurses!	¡Hola! ¡Te doy la bienvenida a la primera [f2]clase extra[] del curso introductorio!	Ciao! Ti do il benvenuto alla prima [f2]mini lezione[]\ndel Corso introduttivo!	Hallo! Welkom bij de eerste [f2]korte les[] van de beginnerscursus!	Olá! Chegou ao primeiro [f2]exercício[] deste\nCurso Introdutório!	Здравствуй! Добро пожаловать на\nпервое [f2]короткое занятие[] вводного\nкурса!	Merhaba! Başlangıç Kursu'nun ilk [f2]Mini Dersine[] hoş geldiniz!	Merhaba! Başlangıç Kursu'nun ilk [f2]Mini Dersine[] hoş geldin!	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	14	STB1.1	The mini lessons [f2]expand on the techniques[] from the main lessons using [f2]new subjects[].	Les exercices [f2]développent les techniques[]\napprises dans les leçons, en les appliquant\nà de [f2]nouveaux sujets[].	Die Mini-Lektionen [f2]erweitern die Techniken[]\naus den Hauptlektionen unter Verwendung\n[f2]neuer Motive[].	Las clases extras [f2]profundizan en las técnicas[] aprendidas en las lecciones principales utilizando [f2]nuevos motivos[].	Le mini lezioni hanno lo scopo di [f2]approfondire\nle tecniche[] apprese nelle lezioni principali[f2]\nusando nuovi soggetti[].	In de korte lessen [f2]gaan we verder in op de technieken[] uit de hoofdlessen. Natuurlijk krijg je ook [f2]nieuwe onderwerpen[] om in je kunstwerken af te beelden.	Os exercícios [f2]desenvolvem as técnicas[]\ndadas nas aulas utilizando [f2]novos motivos[].	Короткие занятия помогут [f2]глубже\nизучить приемы[], освоенные\nна основных занятиях, при\nизображении [f2]новых объектов[].	Mini derslerde, ana derslerde öğrendiğiniz [f2]teknikleri yeni konular[] üzerinde [f2]geliştireceğiz[].	Mini derslerde, ana derslerde öğrendiğin [f2]teknikleri yeni konular[] üzerinde [f2]geliştireceğiz[].	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	16	STB1.1	Now you'll get to practise those skills again with a little more [f2]colour[]!	Maintenant, vous allez réutiliser ce savoir-faire\navec un peu plus de [f2]couleurs[] !	Jetzt erhältst du die Gelegenheit, diese\nTechniken mit ein wenig mehr [f2]Farbe[]\nzu üben!	¡Podrás ponerlas de nuevo en práctica, con un toque de [f2]color[]!	Ora potrai affinare le tue capacità aggiungendo\nuna nota di [f2]colore[]!	Deze vaardigheden gaan we nog meer oefenen, en deze keer met iets meer [f2]kleur[]!	Agora pode voltar a praticar essas aptidões,\nde forma um pouco mais [f2]colorida[]!	Эти навыки пригодятся тебе на\nнынешнем занятии, но на этот раз\nмы добавим [f2]цвет[]!	Şimdi bu becerileri biraz daha [f2]renk[] katarak yeniden uygulayacaksınız!	Şimdi bu becerileri biraz daha [f2]renk[] katarak yeniden uygulayacaksın!	voice/style
Mini_lessons/LESSON_02_M1_Mushrooms/mushrooms-en.stb	19	STB1.1	I only had a few pencils and a paper bag with me, but you don't need much to create a good drawing!	Je n'avais sur moi que quelques crayons et un\nsac en papier, mais vous n'avez pas besoin de\nbeaucoup d'outils pour faire un bon dessin !	Ich hatte nur ein paar Bleistifte, Farbstifte\nund eine Papiertüte bei mir, aber man\nbenötigt gar nicht viel, um ein gelungenes\nBild zu erschaffen!	¡Solo tenía a mano unos cuantos lápices y una bolsa de papel, pero para crear una obra de arte no se necesita mucho más!	Avevo solo alcune matite e una busta di carta,\nma non serve molto per creare un bel disegno!	Ik had maar een paar potloden en een papieren zak bij me, maar om een goede tekening te maken heb je ook niet meer nodig!	Tinha apenas alguns lápis e um saco de papel,\nmas não é preciso muito para criar um bom\ndesenho!	У меня с собой был лишь бумажный\nпакет и немного карандашей, но для\nхорошего рисунка этого достаточно!	Yanımda yalnızca birkaç kalem ve bir kâğıt torba vardı; ama iyi bir çizim yapmak için çok şeye ihtiyacınız yok!	Yanımda yalnızca birkaç kalem ve bir kâğıt torba vardı; ama iyi bir çizim yapmak için çok şeye ihtiyacın yok!	voice/style
