index,key,F,G,I,S,U,TR
0,MID_CARD_紹介_通常_男,Bonjour.,Hallo.,Ciao.,Hola.,Hello.,Merhaba.
1,MID_CARD_紹介_通常_女,Bien le bonjour.,Hallöchen.,"Ehi, ciao!","Hola, buenas.",Hello there.,Selam.
2,MID_CARD_紹介_キメ_男,... Bonjour.,...He.,Ehi...,¡Eh!,...Hey.,...Selam.
3,MID_CARD_紹介_キメ_女,Eh ! Bonjour !,Hallihallo.,Ehilà!,¡Eh! ¡Hola!,Hey there.,Selam.
4,MID_CARD_紹介_怒_男,Bonjour !,He!,Ciao!,¡Buenas!,Hey!,Hey!
5,MID_CARD_紹介_怒_女,"Hé, bonjour !",Hallo!,Ciao!,¡Hola!,Hello!,Merhaba!
6,MID_CARD_紹介_笑_男,Oh ! Bonjour.,Oh! Hallöchen.,"Oh! Ehi, ciao.","Hola, buenas.","Oh! Well, hello.",Aa! Merhaba.
7,MID_CARD_紹介_笑_女,Hé hé. Bonjour.,Hehe. Hallo.,"Eh eh, ciao.","¡Je, je! Hola.",Heh heh. Hello.,Heh heh. Merhaba.
8,MID_CARD_紹介_苦_男,Bon... Bonjour.,H-hallo...,C-Ciao...,Ho-hola...,H-hello...,M-merhaba...
9,MID_CARD_紹介_苦_女,Hmm... Bonjour.,Ähm... hallo.,Ehm... Ciao.,Eeeh... Hola.,Um...hey.,Şey...selam.
10,MID_CARD_挨拶_通常_男,Il fait beau ?,"Schöner Tag, hm?","Bel tempo, eh?",¡Qué sol hace!,"Nice out, huh?","Hava güzel, değil mi?"
11,MID_CARD_挨拶_通常_女,Bonne journée.,Guten Tag.,Buona giornata.,Buenas.,Good day.,İyi günler.
12,MID_CARD_挨拶_キメ_男,Aucune chance !,Gib alles!,Fatti sotto.,"Vamos, adelante.",Bring it on.,"Hadi, gel!"
13,MID_CARD_挨拶_キメ_女,Mieux vaut fuir.,Flieh am besten.,"Fuggi, è meglio.","¡Huye, cobarde!",You better run.,Kaçsan iyi olur.
14,MID_CARD_挨拶_怒_男,Un combat ?,Kämpfen?,Vuoi sfidarmi?,¿Buscas pelea?,Want to fight?,Dövüşmek ister misin?
15,MID_CARD_挨拶_怒_女,À l'attaque !,Bist du böse?,Che aria ostile!,¡Q-qué borde!...,You look mean...,Sert görünüyorsun...
16,MID_CARD_挨拶_笑_男,Un pot-de-vin ?,Treue ist gut.,Vuoi arruolarmi?,¿Es un soborno?,Buy my loyalty?,Sadakatimi satın al?
17,MID_CARD_挨拶_笑_女,Faire affaire ?,Verkaufe Waren.,Vendo.,Lo vendo todo.,I'm selling.,Satıyorum.
18,MID_CARD_挨拶_苦_男,Quoi ?!,Was willst du?,Che vuoi?,¿Q-qué quieres?,What d'you want?,Ne istiyorsun?
19,MID_CARD_挨拶_苦_女,On se calme...,Ganz ruhig...,Stiamo calmi.,Sé razonable...,Easy now...,Sakin ol...
20,MID_CARD_戦闘_通常_男,C'est parti !,Los geht's!,Tocca a te!,¡Vas a ver!,You're on!,Hadi başlayalım!
21,MID_CARD_戦闘_通常_女,Ah oui ?!,Willst du das?,L'hai voluta tu!,¡Ya te avisé!,You asked for it!,Bunu sen istedin!
22,MID_CARD_戦闘_キメ_男,Tu vas payer.,Keine Gnade.,La pagherai!,Me las pagarás.,Now you'll pay.,Şimdi bedelini öde.
23,MID_CARD_戦闘_キメ_女,Tu n'es rien !,Du bist schwach!,Non vali niente.,Eres escoria.,You're nothing.,Sen bir hiçsin.
24,MID_CARD_戦闘_怒_男,Vraiment... ?,Ach ja?,"Ah, sì?","Ah, ¿sí?...","Oh, yeah?",Öyle mi?
25,MID_CARD_戦闘_怒_女,Espèce de...,Du kleines--,Razza di...,¡Pedazo de...!,You little―,Seni küçük―
26,MID_CARD_戦闘_笑_男,Pas mal !,Einverstanden.,Complimenti!,¡Qué nobleza!,How sporting!,Ne centilmence!
27,MID_CARD_戦闘_笑_女,Soyez gentils !,"Sachte, bitte.",Vacci piano.,No te pases...,Go easy on me.,Fazla yüklenme.
28,MID_CARD_戦闘_苦_男,Ma fin approche.,Das war's wohl.,Sarà dura...,¡Estoy perdido!,I'm doomed...,İşim bitti...
29,MID_CARD_戦闘_苦_女,Ça promet...,Oh. Nicht gut.,Si mette male.,Esto pinta mal.,This isn't good.,Bu hiç iyi değil.
30,MID_CARD_仲間_通常_男,Très bien.,Ich gebe alles.,Darò il massimo.,Me esforzaré.,I'll do my best.,Elimden geleni yaparım.
31,MID_CARD_仲間_通常_女,J'aime ça.,Gern geschehen!,Amo aiutare.,¡Me gusta ayudar!,Glad I can help!,Yardım edebildiğime sevindim!
32,MID_CARD_仲間_キメ_男,Montrez-les-moi.,Führe mich an!,Indicameli!,¿Quién ha sido?,Point me at 'em!,"Göster, halledeyim!"
33,MID_CARD_仲間_キメ_女,Ne me tuez pas !,Verschone mich!,Non uccidermi.,¡No me mates!,Don't kill me.,Beni öldürme.
34,MID_CARD_仲間_怒_男,"Et moi, alors ?!",Steh mir bei!,Proteggimi!,¡Cuida de mí!,Take care of me!,Bana göz kulak ol!
35,MID_CARD_仲間_怒_女,S'il vous plaît.,Sei gut zu mir!,Trattami bene!,¡Trátame bien!,Treat me right!,Bana iyi davran!
36,MID_CARD_仲間_笑_男,Amis intimes ?!,Beste Freunde!,Amici a vita!,¡Amigos íntimos!,Friends forever!,Sonsuza dek dostuz!
37,MID_CARD_仲間_笑_女,En sécurité...,Alles ist gut.,Sono al sicuro.,Me siento segura.,I feel so safe.,Kendimi çok güvende hissediyorum.
38,MID_CARD_仲間_苦_男,Merci...,"Oh, danke schön.","Beh, grazie...",Vaya... Gracias.,"Well, thank you.",Teşekkür ederim.
39,MID_CARD_仲間_苦_女,Waouh...,Mir ist duselig.,"Oh, la testa...",¡Qué mareo!...,I feel woozy...,Başım dönüyor...
