index,key,F,G,I,S,U,TR
0,MID_SYS_EN_レベル,Niv,Lv.,Liv,Niv,LV,LV
1,MID_SYS_EN_レベル２,Niv,Lv.,Liv,Niv,LV,LV
2,MID_SYS_EN_経験値,Exp,Erf.,Esp,Exp,EXP,EXP
3,MID_SYS_EN_経験値２,Exp,Erf.,Esp,Exp,EXP,EXP
4,MID_SYS_ＨＰ,PV,KP,PS,PV,HP,HP
5,MID_SYS_EN_ＨＰ,PV,KP,PS,PV,HP,HP
6,MID_SYS_EN_ＭＨＰ,Max,Max,Max,Máx,Max,Maks.
7,MID_SYS_クラス,Classe,Klasse,Classe,Clase,Class,Sınıf
8,MID_SYS_力,Frc,Stä.,Forz,Fue,Str,Güç
9,MID_SYS_魔力,Mag,Mag.,Mag,Mag,Mag,Büy
10,MID_SYS_技,Tec,Fäh.,Abil,Hab,Skill,Yetenek
11,MID_SYS_速さ,Vit,Ges.,Vel,Vel,Spd,Hız
12,MID_SYS_幸運,Cha,Glk.,Fort,Sue,Lck,Şans
13,MID_SYS_守備,Déf,Ver.,Dif,Def,Def,Sav
14,MID_SYS_魔防,Rés,Res.,Res,Res,Res,Dir
15,MID_SYS_移動,Mvt,Bew.,Mov,Mov,Mov,Hrk
16,MID_SYS_射程,Por,Rw.,Rgg,Alc,Rng,Mzl
17,MID_SYS_特効,Eff,Eff.,Eff,Efe,Eff,Etk
18,MID_SYS_スキル,Techniques,Fäh.,Abilità,Habilidad,Skills,Yetenek
19,MID_SYS_EN_射程_魔力／２,Mag/2,Mag./2,Mag/2,Mag/2,MAG/2,MAG/2
20,MID_SYS_EN_射程_∞,∞,∞,∞,∞,∞,∞
21,MID_SYS_攻撃,Atq,Agr.,Att,Atc,Atk,Sld
22,MID_SYS_命中,Prc,Trf.,Clp,Gol,Hit,İsb
23,MID_SYS_必殺,Crit,Krt.,Trpl,Crí,Crit,Krit
24,MID_SYS_回避,Esq,Aw.,Scv,Esq,Avo,Kaç
25,MID_SYS_威力,Dmg,Kft.,Pot,Daño,Mt,Güç
26,MID_SYS_武器,Arme,Waffe,Arma,Arma,Weapon,Silah
27,MID_SYS_名前,Nom,Name,Nome,Nomb,Name,Ad
28,MID_SYS_剣,Épée,Schw.,Spada,Espada,Sword,Kılıç
29,MID_SYS_槍,Lance,Lnz.,Lancia,Lanza,Lance,Mızrak
30,MID_SYS_斧,Hache,Axt,Ascia,Hacha,Axe,Balta
31,MID_SYS_弓,Arc,Bgn.,Arco,Arco,Bow,Yay
32,MID_SYS_魔道書,Tome,Bu.,Tomo,Grimorio,Tome,Büyü Kitabı
33,MID_SYS_杖,Bâton,Stab,Bastone,Bastón,Staff,Asa
34,MID_SYS_竜石,Dracopierre,Drachenstein,Pietra drago,P. dragón,Dragonstone,Ejdertaşı
35,MID_SYS_獣石,Bestipierre,Bestienstein,Pietra bestia,P. bestia,Beaststone,Canavartaşı
36,MID_SYS_魔物,Griffes,Klauen,Artigli,Garras,Claws,Pençe
37,MID_SYS_ボス,Souffle,Atem,Soffio,Aliento,Breath,Nefes
38,MID_SYS_道具,Objet,Item,Oggetto,Objeto,Item,Eşya
39,MID_SYS_支援,Soutien,Unterst.,Sostegno,Apoyo,Support,Destek
40,MID_SYS_レベルＳ,S,S,S,S,S,S
41,MID_SYS_レベルＡ,A,A,A,A,A,A
42,MID_SYS_レベルＢ,B,B,B,B,B,B
43,MID_SYS_レベルＣ,C,C,C,C,C,C
44,MID_SYS_レベルＤ,D,D,D,D,D,D
45,MID_SYS_レベルＥ,E,E,E,E,E,E
46,MID_SYS_レベルＮ,-,-,-,-,-,-
47,MID_SYS_EN_レベルＳ,S,S,S,S,S,S
48,MID_SYS_EN_レベルＡ,A,A,A,A,A,A
49,MID_SYS_EN_レベルＢ,B,B,B,B,B,B
50,MID_SYS_EN_レベルＣ,C,C,C,C,C,C
51,MID_SYS_EN_レベルＤ,D,D,D,D,D,D
52,MID_SYS_EN_レベルＥ,E,E,E,E,E,E
53,MID_SYS_EN_レベルＮ,-,-,-,-,-,-
54,MID_SYS_スキップ中,En cours...,Überspringen,Salta...,Saltando...,Skipping...,Atlanıyor...
55,MID_SYS_お任せ中,Combat auto activé,Autokampf EIN,Btg autom. SÌ,Batalla auto.,Auto-battle ON,Otomatik savaş AÇIK
56,MID_SYS_お任せ実行中,(Annuler : XXX),(Abbr. mit  XXX),(Annulla: XXX),(Anular: XXX),(Cancel with  XXX),(XXX ile iptal)
57,MID_SYS_お任せ解除中,Annuler,(Abbr....),(Annulla...),Anulando,Cancelling,İptal ediliyor
58,MID_SYS_ターン数,Tour n°,Zug #,Turno #,Turno #,Turn #,Tur #
59,MID_SYS_軍資金,Fonds,Guth.,Fondi,Bolsa,Funds,Para
60,MID_SYS_EN_軍資金単位,Éc.,G,M,M,G,G
61,MID_SYS_勝利条件,Victoire,Sieg,Vinci se,Victoria,Victory,Zafer
62,MID_SYS_ミス,RATÉ !,VORBEI,MANCATO,FALLO,MISS,ISKA
63,MID_SYS_ノーダメージ,SANS EFFET !,KEIN SCHADEN,DANNO NULLO,SIN DAÑO,NO DAMAGE,HASAR YOK
64,MID_SYS_ガード,INTERVENTION !,PARIERT,PROTEZIONE,QUITE,GUARD,KORUMA
65,MID_SYS_なし,Aucune,Keine,Nessuna,Nada,None,Yok
66,MID_MSG_アイテム入手,$aObtenu : $a0 !,$a$a0 erhalten.,$aHai ottenuto: $a0.,$aConsigues: $a0.,$aYou got $a0.,$a$a0 alındı.
67,MID_MSG_ゴールド入手,$aObtenu : $a0 écus.,$a$a0 Gold erhalten.,$aHai ottenuto: $a0M.,$aConsigues: $a0 M.,$aYou got $a0G.,$a$a0G alındı.
68,MID_MSG_アイテム略奪,$aL'ennemi a volé $a0 !,$aGegner stahl $a0.,$aIl nemico ottiene: $a0.,$aHan robado: $a0.,$aThe enemy swiped $a0.,$aDüşman $a0 eşyasını çaldı.
69,MID_MSG_ゴールド略奪,$aL'ennemi a volé $a0 écus.,$aGegner stahl $a0 Gold.,$aIl nemico ottiene: $a0M.,$aHan hurtado: $a0 M.,$aThe enemy swiped $a0G.,$aDüşman $a0G çaldı.
70,MID_MSG_アイテム破損,$a$a0 vient de se briser !,$a$a0 ist zerbrochen!,$a$a0 è inutilizzabile.,$aAdiós a: $a0.,$a$a0 broke.,$a$a0 kırıldı.
71,MID_MSG_アイテム破損２,$a$a0 de $a1 vient de se briser !,$a$a0 von $a1 ist zerbrochen!,$a$a0 di $a1 è inutilizzabile.,$aAdiós a: $a0 de $a1.,$a$a1's $a0 broke.,$a$a1'in $a0 eşyası kırıldı.
72,MID_MSG_パラメータアップ,$a$a0 : + $a1 !,$a$a0 um $a1 erhöht.,$a$a0 più $a1!,$a$a0 aumenta en $a1,$a$a0 increased by $a1.,"$a$a0, $a1 arttı."
73,MID_MSG_パラメータダウン,$a$a0 : - $a1 !,$a$a0 um $a1 gesunken.,$a$a0 meno $a1!,$a$a0 disminuye en $a1,$a$a0 decreased by $a1.,"$a$a0, $a1 azaldı."
74,MID_MSG_パラメータ結果１,"Les caractéristiques ont
beaucoup augmenté.","Werte enorm
erhöht.","Parametri migliorati
sensibilmente.","Gran mejora de
sus atributos.","Stats increased
dramatically.","Özellikler
çok arttı."
75,MID_MSG_パラメータ結果２,"Les caractéristiques
ont augmenté.",Werte erhöht.,"Parametri
migliorati.","Mejora de
sus atributos.",Stats increased.,Özellikler arttı.
76,MID_MSG_パラメータ結果３,"Les caractéristiques ont
légèrement augmenté.",Werte etwas erhöht.,"Parametri migliorati
leggermente.","Ligera mejora de
sus atributos.","Stats increased
slightly.","Özellikler
biraz arttı."
77,MID_MSG_パラメータ結果４,"Les caractéristiques
ont à peine augmenté.",Werte kaum erhöht.,"Parametri migliorati
pochissimo.","Escasa mejora de
sus atributos.","Stats hardly
increased at all.","Özellikler
neredeyse hiç artmadı."
78,MID_MSG_武器レベルアップ,$aNiveau d'arme $a2 atteint : $a0.,$a$a0 Waffen-Level $a2 erreicht.,$aLivello arma $a0 ottenuto: $a2,$aLlega al nivel $a2 de destreza en $a0.,$a$a0 Weapon level $a2 attained.,$a$a0 silah seviyesi $a2 oldu.
