index,key,F,G,I,S,U,TR
0,MID_様子_ティアモ_前,"Eh bien, quelle gaieté !
On a rencontré l'amour de sa vie ?","Ah, ein glückliches Gesicht! Hat da jemand
die Liebe seines Lebens gefunden?","Hai appena incontrato l'amore della
tua vita? Hai un'aria così felice!","Qué hermoso día, ¿no? A lo mejor hoy
conozco al amor de mi vida.","Did you just meet the love of your life?
You look so happy!","Hayatının aşkıyla mı tanıştın?
Çok mutlu görünüyorsun!"
1,MID_様子_ティアモ_前_敬さん,"Eh bien, quelle gaieté !
On a rencontré l'amour de sa vie ?","Ah, ein glückliches Gesicht! Hat da jemand
die Liebe seines Lebens gefunden?","Che espressione raggiante.
È stato per caso un colpo di fulmine?","Qué hermoso día, ¿no? A lo mejor hoy
conozco al amor de mi vida.","Did you just meet the love of your life?
You look so happy!","Hayatınızın aşkıyla mı tanıştınız?
Çok mutlu görünüyorsunuz!"
2,MID_様子_ティアモ_前_敬様,"Eh bien, quelle gaieté !
On a rencontré l'amour de sa vie ?","Ah, ein glückliches Gesicht! Hat da jemand
die Liebe seines Lebens gefunden?","Che espressione raggiante.
È stato per caso un colpo di fulmine?","Qué hermoso día, ¿no? A lo mejor hoy
conozco al amor de mi vida.","Did you just meet the love of your life?
You look so happy!","Hayatınızın aşkıyla mı tanıştınız?
Çok mutlu görünüyorsunuz!"
3,MID_様子_ティアモ_前_特殊,"Vous avez l'air satisfait, Chrom. Vous avez
encore fait perdre la tête à une fille ?","Ihr seht glücklich aus, Chrom. Habt Ihr
gerade wieder eine Frau betören können?","Sembri così felice, Chrom.
Hai fatto un'altra conquista?","Se os ve feliz, Chrom. ¿Habéis conquistado
a otra jovencita o es por el buen tiempo?","You look so happy, Chrom. Did you
just sweep another woman off her feet?","Çok mutlu görünüyorsun, Chrom. Az önce
başka bir kadının ayağını mi yerden
kestin?"
4,MID_様子_ティアモ_後,"Ha ha ! Mais non, quelle idée saugrenue.
Je suis juste contente d'être bien entourée.","Haha! So ein Unsinn. Ich bin einfach gerne
in guter Gesellschaft. Das ist alles.","Ah ah! Che idee. Mi piace semplicemente
stare in buona compagnia.","¡Ja, ja! Sí. Nada mejor que un día como
este para disfrutar de buena compañía.","Ha ha! Where did you get that idea?
I just like being in good company, that's all.","Ha ha! Bu fikre nereden kapildin? Sadece
iyi bir arkadaşlık içinde olmayı
seviyorum, hepsi bu."
5,MID_様子_ティアモ_後_敬さん,"Ha ha ! Mais non, quelle idée saugrenue.
Je suis juste contente d'être bien entourée.","Haha! So ein Unsinn. Ich bin einfach gerne
in guter Gesellschaft. Das ist alles.","Ah ah! Che idee. Mi piace semplicemente
stare in buona compagnia.","¡Ja, ja! Sí. Nada mejor que un día como
este para disfrutar de buena compañía.","Ha ha. Where did you get that idea?
I just like being in good company, that's all.","Ha ha. Bu fikre nereden kapildin? Sadece
iyi bir arkadaşlık içinde olmayı
seviyorum, hepsi bu."
6,MID_様子_ティアモ_後_敬様,"Ha ha ! Mais non, quelle idée saugrenue.
Je suis juste contente d'être bien entourée.","Haha! So ein Unsinn. Ich bin einfach gerne
in guter Gesellschaft. Das ist alles.","Ah ah! Che idee. Mi piace semplicemente
stare in buona compagnia.","¡Ja, ja! Sí. Nada mejor que un día como
este para disfrutar de buena compañía.","Ha ha. Where did you get that idea?
I just like being in good company, that's all.","Ha ha. Bu fikre nereden kapildin? Sadece
iyi bir arkadaşlık içinde olmayı
seviyorum, hepsi bu."
7,MID_様子_ティアモ_後_特殊,"Non, Chrom... Ce que je désire est un peu
plus difficile à obtenir...","Nein, Chrom... Was ich will ist etwas,
das ich leider nicht erreichen kann.","No, Chrom... Quello che desidero
è un po' più fuori dalla mia portata.","Sí, Chrom... Aunque lo que a mí me daría
""gusto"" sería... En fin... Qué más da...","No, Chrom... The thing I like is
just a little bit further out of reach.","Hayır, Chrom...
Sevdiğim şey ulasamayacağım bir yer."
8,MID_様子_ティアモ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
9,MID_様子_ティアモ_前_親子_子,"$Np, as-tu besoin de quelque
chose ? N'hésite pas à venir me demander.","Brauchst du etwas, $Np? Ich bin
deine Mutter. Du kannst mich alles fragen.","Se ti serve qualcosa, $Np,
non esitare a chiedere a tua madre.","¿Necesitas algo, $Np? Pide lo
que quieras, que para eso soy tu madre.","Is there anything you need, $Np?
Don't be afraid to ask your mother.","İhtiyacınız olan bir şey var
mı? $Np? Annene sormaktan korkma."
10,MID_様子_ティアモ_後_親子_子,"Vraiment ? C'est gentil. Et si tu nous
trouvais des parures de cheveux assorties ?","Wirklich? Danke. Lass uns passende
Haarspangen kaufen gehen. Ich bezahle!","Davvero? Grazie. Allora prendiamo degli
accessori per capelli uguali. Pago io!","Vaya, gracias. ¿Por qué no compras un par
de adornos que vayan a juego? ¡Yo pago!","Really? Thank you. Why don't we get
matching hair ornaments? I'll pay!","Gerçekten mi? Teşekkür ederim. Neden
birbiriyle eşleşen saç süsleri alamıyoruz?
Ben ödeyeceğim!"
11,MID_様子_ティアモ_前_恋人,"Oh, $Np, ceci est tombé de ...
Mais... qu'est-ce que c'est ?","Hoppla! $Np, dir ist da was
runtergefallen... Was ist das denn?","Ops! $Np, che cos'è
quell'oggetto che è caduto?","¡Eh! $Np, se te ha caído esto...
Mmm... ¿Qué es?","Oops! $Np, you dropped this.
...Wait, what is it?","Hata! $Np, bunu düşürdün.
...durun, nedir bu?"
12,MID_様子_ティアモ_後_恋人,"Oh, c'est un remède qui soigne toute
blessure. Mon époux aime trop le danger.","Das ist eine Medizin, die jede Wunde heilen
kann. Du lebst immer so gefährlich.","È una medicina che guarisce ogni ferita.
Ti metti sempre in pericolo...","Es un ungüento que alivia cualquier dolor.
Para ti. Te esfuerzas mucho en combate.","It's medicine to heal any wound.
You're always putting yourself in danger.","Herhangi bir yarayı iyileştirecek ilaçtir.
Her zaman kendini tehlikeye atıyorsun."
