index,key,F,G,I,S,U,TR
0,MID_様子_カラム_前,"Même l'ennemi m'ignore, c'est déprimant.
On pourrait faire équipe la prochaine fois ?","Nicht einmal der Feind bemerkt mich. Kann
ich nächstes Mal mit dir kämpfen?","Credo che i nemici non riescano a vedermi.
Posso combattere con te la prossima volta?","Ni el enemigo advierte mi presencia.
¿Y si luchamos juntos la próxima vez?","I don't think the enemy even sees me.
Can I fight with you next time?","Düşman beni fark etmiyor bile.
Bir dahaki sefere birlikte savaşalım mı?"
1,MID_様子_カラム_前_敬さん,"Même l'ennemi m'ignore, c'est déprimant.
On pourrait faire équipe la prochaine fois ?","Nicht einmal der Feind bemerkt mich. Kann
ich nächstes Mal mit Euch kämpfen?","I nemici non riescono a vedermi. Possiamo
combattere insieme la prossima volta?","Ni el enemigo advierte mi presencia.
¿Y si luchamos juntos la próxima vez?","I don't think the enemy even sees me.
Can I fight with you next time?","Düşman beni fark etmiyor bile.
Bir dahaki sefere birlikte savaşalım mı?"
2,MID_様子_カラム_前_敬様,"Même l'ennemi m'ignore, c'est déprimant.
On pourrait faire équipe la prochaine fois ?","Nicht einmal der Feind bemerkt mich. Kann
ich nächstes Mal mit Euch kämpfen?","I nemici non riescono a vedermi. Posso
combattere con voi la prossima volta?","Ni el enemigo advierte mi presencia.
¿Y si luchamos juntos la próxima vez?","I don't think the enemy even sees me.
Can I fight with you next time?","Düşman beni fark etmiyor bile.
Bir dahaki sefere birlikte savaşalım mı?"
3,MID_様子_カラム_後,"Pourquoi pas ? Je pourrais faire office de
bouclier invisible...",Natürlich. Ich bin dein unsichtbarer Schild.,Certo! Sarò il tuo scudo invisibile.,"¡Eso es! ¡Lucharemos juntos!
Y yo haré de escudo invisible.",Of course! I'll be your invisible shield.,Elbette! Görünmez kalkanın olurum.
4,MID_様子_カラム_後_敬さん,"Pourquoi pas ? Je pourrais faire office de
bouclier invisible...",Natürlich. Ich bin Euer unsichtbarer Schild.,Certo! Sarò il vostro scudo invisibile.,"¡Eso es! ¡Lucharemos juntos!
Y yo seré tu escudo invisible.",Of course! I'll be your invisible shield.,Elbette! Görünmez kalkanınız olurum.
5,MID_様子_カラム_後_敬様,"Pourquoi pas ? Je pourrais faire office de
bouclier invisible...",Natürlich. Ich bin Euer unsichtbarer Schild.,Certo! Sarò il vostro scudo invisibile.,"¡Eso es! ¡Lucharemos juntos!
Y yo seré vuestro escudo invisible.",Of course! I'll be your invisible shield.,Elbette! Görünmez kalkanınız olurum.
6,MID_様子_カラム_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
7,MID_様子_カラム_前_親子_子,"Euh... $Np ?
Que faisais-tu de ton temps, dans le futur ?","$Np, wie verbrachtest du deine
Zeit in der Zukunft?","$Np, come passavi
il tempo nel futuro?","$Np, cuéntame cosas
sobre el futuro.","$Np, how did you pass
your time in the future?","$Np, gelecekte
zamaninizi nasıl geçirdiniz?"
8,MID_様子_カラム_後_親子_子,"Euh... Avant que tu arrives, j'étais, malgré
moi, champion de cache-cache.$k$pC'est même étonnant qu'on te remarque
tant. Tu dois tenir de ta mère...$k$pBon sang... Je ne laisserai même pas de
traces avec ma descendance...","Bis du auftauchtest, machte ich eine Kunst
daraus, übersehen zu werden.$k$pWie fällst du nur so auf?
Du musst es von deiner Mutter haben.$k$p...Bei den Göttern, anscheinend sind selbst
meine Gene völlig unsichtbar.","Prima del tuo arrivo, avevo migliorato
l'arte del passare inosservato.$k$pÈ un miracolo che ti si noti così tanto.
Avrai preso da tua madre.$k$pPer gli dei, non lascio il segno
neanche con la mia progenie.","Bueno, pues... hasta que llegaste tú, casi
todo el mundo ignoraba mi presencia.$k$pMe sorprende que tú no tengas problemas
para hacerte ver. Has salido a tu madre.$k$p¡Dioses! Ni siquiera puedo contar con mi
vástago para dejar huella en este mundo.","Well, until you showed up, I made an art
form of being ignored.$k$pIt's a wonder you stand out so much.
You must take after your mother.$k$p...Gods, can't I even count on heredity
to leave a mark on the world?","Sen ortaya çıkana kadar görmezden
gelinmeyi bir sanat haline getirmistim.$k$pBu kadar öne çıkman şaşırtıcı.
Annene çekmiş olmalısın.$k$p...Tanrılar, kalitimin dünyada bir iz
bırakacağına bile güvenemez miyim?"
9,MID_様子_カラム_前_恋人,"J'ai bien cru t'avoir perdue, $Np.
Jure-moi de rester toujours à mes côtés.","Ich dachte schon, ich hätte dich verloren.
Verlass mich nie wieder, $Np.","Per un attimo ho temuto di averti persa.
Promettimi di non lasciarmi, $Np.","Pensé que te perdía en la última batalla.
Júrame que no me dejarás, $Np.","For a moment there, I thought I'd lost you.
Promise you'll never leave, $Np.","Bir an seni kaybettigimi sandım. Asla
ayrilmayacağına söz ver, $Np."
10,MID_様子_カラム_後_恋人,"Ne t'inquiète pas. Même si tu ne me vois
pas, je suis toujours près de toi.","Keine Sorge. Ich bin schwer zu finden, aber
noch schwerer umzubringen.","Non preoccuparti. Sono difficile da notare,
ma ancora più difficile da far fuori.","No te preocupes por mí. Es difícil
localizarme, pero más difícil es liquidarme.","Don't worry. I may be hard to spot,
but I'm even harder to kill.","Merak etme. Tespit edilmesi zor
olabilir ama öldürmesi daha da zor."
