index,key,F,G,I,S,U,TR
0,MID_様子_ノワール_前,"J'ai besoin d'inspiration...
Quelques rêves à partager avec moi ?","Willst du deine Träume mit mir teilen?
Ich brauche Inspiration.","Hai qualche sogno da condividere?
Potrebbe ispirarmi un po'.","Me gustaría conocer los sueños de la gente.
A lo mejor me sirven de inspiración.","Do you have any dreams you could share?
I could use some inspiration.","Paylasabileceğiniz hayalleriniz var
mı? Biraz ilham alabilirim."
1,MID_様子_ノワール_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ノワール_前_敬さん,"J'ai besoin d'inspiration...
Quelques rêves à partager avec moi ?","Wollt Ihr Eure Träume mit mir teilen?
Ich brauche Inspiration.","Avrei bisogno di ispirazione.
Qualche sogno da condividere?","Me gustaría conocer los sueños de la gente.
A lo mejor me sirven de inspiración.","Do you have any dreams you could share?
I could use some inspiration.","Paylasabileceğiniz hayalleriniz var
mı? Biraz ilham alabilirim."
3,MID_様子_ノワール_後,"Je rêve d'avoir le courage de tenir tête à...
Oh, ciel, j'en ai trop dit !","Mein Traum ist es, mich behaupten zu
können... Ach, ich habe zu viel gesagt!","Vorrei riuscire a sentirmi più a mio agio tra
le persone. Oh, numi. Ho parlato troppo.","Pues yo querría no amilanarme delante de
nadie... ¡Dioses! Estoy hablando de más.","I dream of having the guts to stand up to
people... Oh gods! I've said too much!","İnsanlara karşı duracak cesarete sahip
olmayı hayal ediyorum... Aman Tanrım! Çok
fazla şey söyledim!"
4,MID_様子_ノワール_後_敬さん,"Je rêve d'avoir le courage de tenir tête à...
Oh, ciel, j'en ai trop dit !","Mein Traum ist es, mich behaupten zu
können... Ach, ich habe zu viel gesagt!","Vorrei riuscire a sentirmi più a mio agio tra
le persone. Oh, numi. Ho parlato troppo.","Pues yo querría no amilanarme delante de
nadie... ¡Dioses! Estoy hablando de más.","I dream of having the guts to stand up to
people... Oh gods! I've said too much!","İnsanlara karşı duracak cesarete sahip
olmayı hayal ediyorum... Aman Tanrım! Çok
fazla şey söyledim!"
5,MID_様子_ノワール_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ノワール_前_親子_子,"Linfan, tu es une championne pour attaquer
à distance... On fait un concours ?","Linfan, du bist gut darin, aus der Ferne
anzugreifen. Wollen wir uns messen?","Linfan, sei forte ad attaccare da lontano.
Facciamo una sfida?","Linfan, se te da muy bien atacar a distancia.
¿Por qué no medimos nuestras fuerzas?","Morgan, you're great at attacking from a
safe distance. Care to have a little contest?","Morgan, güvenli mesafeden saldırmada
harikasın. Küçük bir yarisma yapmak ister
misin?"
7,MID_様子_ノワール_後_親子_子,"D'accord. Mais attention, si tu me touches,
le sort de ma mère s'activera pour riposter.","Gut. Aber wenn du mich triffst, sucht
dich der Fluch meiner Mutter heim!","Sì. Ma se vengo colpita, si attiva la magia
di mia madre e il colpo ti torna indietro.","Vale. Si me das, el conjuro de mi madre se
activará y recibirás el mismo daño que yo.","Okay. But if you hit me, my mother's curse
will activate and you'll get the same injury.","Tamam. Ama eğer bana vurursan
annemin laneti devreye girecek ve sen de
aynı yarayı alacaksın."
8,MID_様子_ノワール_前_親子_母,"J'ai moi-même appris quelques sortilèges,
mère. Vous voulez m'affronter ?","Ich habe selbst ein paar Flüche gelernt,
Mutter. Willst du es mit mir aufnehmen?","Mamma, ho imparato alcuni incantesimi
da sola. Vuoi sfidarmi?","Madre, he aprendido algunos hechizos.
¿Quieres medirte conmigo?","I've learned a few hexes of my own, Mother.
Want to take me on?","Ben de kendime ait birkaç büyü öğrendim
anne. Beni yanına almak ister misin?"
9,MID_様子_ノワール_後_親子_母,"Comme si j'avais le choix... Épargnez-moi
juste la goutte au nez, c'était horrible !","Als ob ein Nein dich aufhält! Erspar mir nur
den Triefnasenfluch. Der war schrecklich...","Dirti di no non ti fermerebbe.
Ma risparmiami la fattura del naso che cola.","¡Como si un ""no"" te fuera a detener! Pero
no seas demasiado cruel esta vez, ¿vale?","As if saying no would stop you! Just spare
me the runny-nose curse. It was horrible...","Sanki hayır demek seni durduracakmis gibi!
Beni burun akıntısı lanetinden kurtar.
Korkunçtu..."
