index,key,F,G,I,S,U,TR
0,MTUTID_システムメニュー,1. Menu de carte,1. Karten-Menü,1 Menu della mappa,1. Menú del mapa,1. System Menu,1. Sistem Menüsü
1,MTUTID_H_システムメニュー,Consulter les pages sur le sujet sélectionné.,Tutorial zum ausgewählten Thema.,Visualizza informazioni sull'argomento.,Ver el apartado sobre este tema.,View slides about the selected topic.,"Seçilen konuya ilişkin yardım
sayfalarını görüntüle."
2,MTUTID_H_システムメニュー_00,"Pour ouvrir le menu de carte,
sélectionnez une case vide et
appuyez sur le bouton A.","Drücke den A-Knopf über
einem freien Feld, um
das Karten-Menü aufzurufen.","Apri il menu della mappa
premendo il pulsante A
su uno spazio vuoto.","Para abrir el menú del mapa,
lleva el cursor a una casilla
vacía y pulsa el botón A.","To open the System Menu,
move the cursor to an empty
space and press the A Button.","Sistem Menüsünü açmak
için imleci boş bir alana
getirin ve A Düğmesine basın."
3,MTUTID_H_システムメニュー_01,"Sélectionnez Signet pour
faire une pause ou Guide
pour consulter ces pages.","Wähle ""Lesezeichen"" zum
Pausieren oder ""Manual"", um
die Tutorials anzusehen.","Seleziona ""Segnalibro"" per
fare una pausa o ""Guida""
per visualizzare il tutorial.","Selecciona ""Suspender"" para
descansar y ""Guía"" para ver
estos apartados.","Choose ""Bookmark"" to take
a break from the game or
""Guide"" to view these slides.","Oyuna ara vermek için ""Yer İşareti""ni,
yardım sayfalarını görmek için
""Rehber""i seçin."
4,MTUTID_システムメニュー_かんたん,1. Menu de carte,1. Karten-Menü,1 Menu della mappa,1. Menú del mapa,1. System Menu,1. Sistem Menüsü
5,MTUTID_H_システムメニュー_かんたん,Consulter les pages sur le sujet sélectionné.,Tutorial zum ausgewählten Thema.,Visualizza informazioni sull'argomento.,Ver el apartado sobre este tema.,View slides about the selected topic.,"Seçilen konuya ilişkin yardım
sayfalarını görüntüle."
6,MTUTID_H_システムメニュー_かんたん_00,"Pour ouvrir le menu de carte,
sélectionnez une case vide et
appuyez sur le bouton A.","Drücke den A-Knopf auf
einem freien Feld, um
das Karten-Menü aufzurufen.","Apri il menu della mappa
premendo il pulsante A
su uno spazio vuoto.","Para abrir el menú del mapa,
lleva el cursor a una casilla
vacía y pulsa el botón A.","To open the System Menu,
move the cursor to an empty
space and press the A Button.","Sistem Menüsünü açmak
için imleci boş bir alana
getirin ve A Düğmesine basın."
7,MTUTID_H_システムメニュー_かんたん_01,"Choisissez Sauvegarder pour
enregistrer votre progression
ou Guide pour voir ces pages.","Wähle ""Speichern"", um zu
speichern, oder ""Manual"",
um die Tutorials anzusehen.","Seleziona ""Salva"" per salvare
i tuoi progressi o ""Guida""
per visualizzare il tutorial.","Elige ""Guardar"" para registrar
tu progreso o ""Guía"" para ver
estos apartados.","Choose ""Save"" to record
your progress or ""Guide"" to
view these slides.","İlerlemeni kaydetmek için ""Kaydet""i,
yardım sayfalarını görmek için
""Rehber""i seç."
8,MTUTID_移動,2. Déplacement,2. Bewegung,2 Muovere unità,2. Mover unidades,2. Moving Units,2. Hareketli Birimler
9,MTUTID_H_移動,Consulter les pages sur le sujet sélectionné.,Tutorial zum ausgewählten Thema.,Visualizza informazioni sull'argomento.,Ver el apartado sobre este tema.,View slides about the selected topic.,"Seçilen konuya ilişkin yardım
sayfalarını görüntüle."
