index,key,F,G,I,S,U,TR
0,MID_LINK_NSD_CONFIRM,"Les données SpotPass sont corrompues
et vont être supprimées.","Bonusinhalte sind beschädigt
und werden gelöscht.","I dati bonus sono danneggiati
e saranno cancellati.","Los datos de SpotPass están
dañados y se borrarán.","Bonus data is corrupted
and will be deleted.","Bonus verileri
bozuk ve silinecek."
1,MID_LINK_EXT_CONFIRM,"Les données additionnelles pour ce
logiciel sont corrompues et vont
être formatées.","Die Zusatzdaten dieser Software
sind beschädigt und werden
formatiert.","I dati aggiuntivi di questo software sono
danneggiati e saranno formattati.","Los datos adicionales de este programa
están dañados y deben restablecerse.","This software's extra data is
corrupted and will be formatted.","Bu yazilimin ekstra
verileri bozuk ve formatlanacak."
2,MID_LINK_DLC_CONFIRM,"Le contenu téléchargeable est corrompu
et va être réparé.","Herunterladbare Inhalte sind beschädigt
und werden repariert.","I contenuti aggiuntivi sono danneggiati
e saranno riparati.","El contenido adicional está
dañado y se reparará.","Downloadable content is corrupted
and will be repaired.","İndirilebilir içerik
bozuk ve onarilacak."
3,MID_LINK_NSD_RESULT,"Données SpotPass supprimées.
Réactivez SpotPass pour ce logiciel.","Bonusinhalte gelöscht.
Bitte aktiviere SpotPass für
diese Software erneut.","Dati bonus cancellati.
Riattiva SpotPass per
questo software.","Datos de SpotPass borrados.
Reactiva SpotPass en
este programa.","Bonus data deleted.
Please reactivate SpotPass
for this software.","Bonus verileri silindi.
Lütfen bu yazılım için SpotPass'i
yeniden etkinleştirin."
4,MID_LINK_EXT_RESULT,"Les données additionnelles ont été
formatées. Réactivez SpotPass
pour ce logiciel et téléchargez
à nouveau le contenu additionnel.","Zusatzdaten formatiert.
Bitte aktiviere SpotPass für diese
Software erneut und lade deine herunter-
ladbaren Inhalte noch mal herunter.","I dati aggiuntivi sono stati formattati.
Riattiva SpotPass per questo software e
scarica di nuovo i contenuti aggiuntivi.","Los datos adicionales se han restablecido.
Reactiva SpotPass en este programa
y vuelve a descargar tu contenido
adicional.","The extra data has been formatted.
Please reactivate SpotPass for
this software and download your
downloadable content again.","Ekstra veriler biçimlendirildi.
Bu yazılım için SpotPass'i yeniden açın
ve indirilebilir içeriği tekrar indirin."
5,MID_LINK_DLC_RESULT,Le contenu additionnel a été réparé.,Herunterladbare Inhalte repariert.,Contenuti aggiuntivi riparati.,Se ha recuperado el contenido adicional.,Downloadable content repaired.,İndirilebilir içerik onarildi.
6,MID_EXT_NOT_FOUND,Aucune carte SD n'a été détectée.,Keine SD Card gefunden.,Impossibile individuare la scheda SD.,No se ha detectado ninguna tarjeta SD.,Could not detect an SD Card.,Bir SD Kart algilanamadi.
7,MID_EXT_NOT_MEDIA,Aucune carte SD n'a été détectée.,Keine SD Card gefunden.,Impossibile individuare la scheda SD.,No se ha detectado ninguna tarjeta SD.,Could not detect an SD Card.,Bir SD Kart algilanamadi.
8,MID_EXT_NOT_SPACE,"Il n'y a pas assez de blocs
libres sur la carte SD.
Effacez des données inutiles
de la carte SD via la Gestion
des données dans les
Paramètres de la console.","Nicht genug freie Blöcke auf der SD
Card. Rufe die Option ""Datenverwaltung""
in den Systemeinstellungen auf und lösche
nicht verwendete Daten von der SD Card.","Non ci sono abbastanza blocchi liberi
nella scheda SD.
Vai alla Gestione dati nelle Impostazioni
della console e cancella i dati non
necessari presenti nella scheda SD.","No quedan suficientes bloques libres
en la tarjeta SD.
Usa ""Gestión de datos""
en la configuración de la consola
para borrar datos innecesarios de
la tarjeta SD.","There are not enough open blocks on
the SD Card.
Please delete any unnecessary data on
the SD Card using Data Management
in the System Settings.","SD Kartta yeterli sayıda açık
blok yok.
Lütfen Sistem Ayarlarindaki Veri
Yönetimi'ni kullanarak SD
Karttaki gereksiz verileri silin."
9,MID_EXT_NOT_WRITE,"La carte SD est protégée
en écriture.
Éteignez la console, retirez
la protection de la carte SD,
puis réessayez.","Die SD Card ist schreibgeschützt.
Bitte schalte das System aus,
hebe den Schreibschutz der
SD Card auf und versuche es
noch einmal.","La scheda SD è protetta da scrittura.
Spegni la console, disattiva
la protezione e riprova.","La tarjeta SD está protegida
contra escritura.
Apaga la consola, retira
la protección contra escritura
de la tarjeta SD y vuelve
a intentarlo.","The SD Card is write-protected.
Please turn off the power, move
the write-protection switch to
the off position and try again.","SD Kart yazmaya karşı korumalı.
Gücü kapatın, yazma korumasını kapatın
ve yeniden deneyin."
