index,key,F,G,I,S,U,TR
0,MID_様子_リベラ_前_敬さん,"Et si nous combattions côte-à-côte
au prochain combat ?","Eure Gegenwart ist mir ein Born der Kraft.
Kämpfen wir nun Seite an Seite?","La vostra presenza mi rafforza. Volete
unirvi a me nella prossima battaglia?","Mi fe en los dioses me da el coraje que
necesito. ¿Luchamos juntos la próxima vez?","Your presence truly strengthens me.
Might we join forces in the coming fight?","Varlığınız bana güç veriyor.
Sonraki savaşta birlikte savaşalım mı?"
1,MID_様子_リベラ_前,"Et si nous combattions côte-à-côte
au prochain combat ?","Eure Gegenwart gibt mir wahrlich Kraft.
Kämpfen wir nun Seite an Seite?","La vostra presenza mi rafforza. Volete
unirvi a me nella prossima battaglia?","Con la ayuda de los dioses soy invencible.
¿Luchamos juntos la próxima vez?","Your presence truly strengthens me.
Might we join forces in the coming fight?","Varlığın bana güç veriyor.
Sonraki savaşta birlikte savaşalım mı?"
2,MID_様子_リベラ_前_敬様,"Et si nous combattions côte-à-côte au
prochain combat ?","Eure Gegenwart ist mir ein Born der Kraft.
Wollen wir nun Seite an Seite kämpfen?","La vostra presenza mi rafforza. Volete
unirvi a me nella prossima battaglia?","Mi fe en los dioses me da el coraje que
necesito. ¿Luchamos juntos la próxima vez?","Your presence truly strengthens me.
Might we join forces in the coming fight?","Varlığınız bana güç veriyor.
Sonraki savaşta birlikte savaşalım mı?"
3,MID_様子_リベラ_後_敬さん,"Ce serait un honneur. Je prierai pour que
les dieux nous protègent.","Es wäre mir eine Ehre. Mögen die Götter
mit uns beiden sein.","Sarebbe un onore.
Che gli dei ci proteggano.","¡Será un honor! ¡Que la gracia de
los dioses sea con nosotros!","It would be an honour.
May the gods be with us both.","Bu bir onur olurdu.
Tanrılar ikimizin de yanında olsun."
4,MID_様子_リベラ_後_敬様,"Ce serait un honneur. Je prierai pour que
les dieux nous protègent.","Es wäre mir eine Ehre. Auf dass die Götter
uns beiden hold sein mögen.","Sarebbe un onore.
Che gli dei ci proteggano.","¡Será un honor! ¡Que la gracia de
los dioses sea con nosotros!","It would be an honour.
May the gods be with us both.","Bu bir onur olurdu.
Tanrılar ikimizin de yanında olsun."
5,MID_様子_リベラ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_リベラ_前_親子_子,"$Np, parle-moi de ton passé,
s'il te plaît...","$Np, darf ich dich über die
Vergangenheit befragen? Wie war es?","$Np, mi piacerebbe chiederti
com'era il tuo passato.","$Np, ¿podrías contarme cosas
del futuro? ¿Cómo es... o será?","$Np, might I ask you
about the past? What was it like?","$Npsana
geçmişi sorabilir miyim? Nasıldı?"
7,MID_様子_リベラ_後_親子_子,"Ô, Naga, merci d'avoir doté d'une telle
curiosité ma tendre progéniture...$k$pPardon, je me perds souvent en prières...
Cela répond d'ailleurs à ta question !$k$pJe prierai aussi pour toi... Que les dieux te
gardent des dangers qui nous guettent...","Ihr Götter, ich danke euch, mich mit einem
so neugierigen Kind gesegnet zu haben...$k$pÄh, verzeih. Ich schweife mitunter ins Gebet
ab. Deine Frage ist dann wohl beantwortet!$k$pIch werde auch für dich beten, auf dass du
vor dem kommenden Bösen geschützt seist.","Dei del cielo, vi ringrazio per avermi donato
una progenie così inquisitiva, e per tutto...$k$pEhm, scusa. Mi lascio andare alle preghiere
ogni tanto! Questo ti fa capire com'era!$k$pPregherò anche per te.
Che tu sia al sicuro da tutti i mali.","¡Dioses omnipotentes! ¡Gracias por
bendecirme con un vástago tan curioso y...!$k$pOh, perdona. Es que rezo a todas horas...
¡Fíjate! Ya te he respondido.$k$pRezaré también por ti, para que no te
ocurra ninguna desgracia.","Gods above, I thank you for blessing me
with so inquisitive a child, and for all the...$k$pEr, sorry. I drift into prayer sometimes.
But I suppose that answers your question!$k$pI will pray for you as well, that you may be
delivered from all the coming evils.","Yüce Tanrılar, beni bu kadar meraklı bir
çocukla kutsadigin için sana teşekkür
ederim ve...$k$pÜzgünüm. Bazen duaya dalıyorum.
Ama sanırım bu sorunuzu yanıtlıyor!$k$pGelecek kötülüklerden kurtulman için
ben de senin için dua edeceğim."
8,MID_様子_リベラ_前_恋人,"Fais attention à toi, $Np.
Ton heure n'est pas encore venue...","Gib acht, $Np. Ich will nicht,
dass die Götter dich schon zu sich rufen.","Mi raccomando, $Np. Non siete
ancora pronta per raggiungere gli dei.","Ten cuidado, $Np. Aún no quiero
que los dioses te acojan en su seno.","Take care out there, $Np. I do
not wish for the gods to have you just yet.","Kendine dikkat et, $Np.
Tanrılar seni daha almasın."
9,MID_様子_リベラ_後_恋人,"Ne t'inquiète pas... Je serai là pour toi,
tant que les dieux me le permettront.","Sei beruhigt. Ich beabsichtige, so lange bei
dir zu sein, wie die Götter es gestatten.","Non allarmatevi. Ho intenzione di stare
con voi finché gli dei lo vorranno.","Tranquila. Permaneceré a tu lado hasta
que los dioses quieran.","Be at peace. I intend to stay with you
as long as the gods allow.","Huzur içinde olun. Tanrılar izin verdiği
sürece seninle kalmayı planlıyorum."
