index,label,English,French,German,Italian,Spanish,Turkish
100,sp_100,exotic cuisine,plats exotiques,Ethno-Gerichte,pietanze esotiche,platos exóticos,egzotik yemek
102,sp_102,bouillabaisse,bouillabaisse,Bouillabaisse,bouillabaisse,bullabesa,bouillabaisse
103,sp_103,crumpets,crumpets,Crumpets,crumpet,crumpets,crumpet
104,sp_104,petit fours,petits fours,Petit Fours,petit four,petits fours,petifür
105,sp_105,duck a l'orange,canard à l'orange,Enten Orange,anatre all'arancia,pato a la naranja,portakallı ördek
106,sp_106,frogs' legs,cuisses de grenouilles,Froschschenkel,cosce di rana,ancas de rana,kurbağa bacağı
107,sp_107,floating islands,îles flottantes,Schneeeier,île flottante,islas flotantes,yüzen ada tatlısı
108,sp_108,duck confit,confits de canard,Entenconfits,confit de canard,confit de pato,ördek konfi
109,sp_109,red-bean rolls,pains aux haricots rouges,Rote-Bohnen-Wecke,brioche con fagioli rossi,bollos de judías dulces,kırmızı fasulyeli rulo
110,sp_110,sashimi,sashimi,Sashimi,sashimi,sashimi,sashimi
111,sp_111,sweet & sour pork,porc sauce aigre-douce,Schweinefl. süß-sauer,maiale in agrodolce,cerdo agridulce,tatlı-ekşi domuz eti
112,sp_112,sushi,sushis,Sushi,sushi,sushi,suşi
113,sp_113,cassata cakes,cassatas siciliennes,Cassatas,cassate,cassata,cassata pastası
114,sp_114,meat pies,tourtes à la viande,Fleischküchlein,tortine di carne,tartaletas de carne,etli turta
115,sp_115,grilled prawns,gambas grillées,Frittiergarnelen,gamberi grigliati,langostinos a la parrilla,ızgara karides
116,sp_116,canele cakes,canelés bordelais,Canelés Bordelais,canelé,canelés,canelé
117,sp_117,clafoutis,clafoutis,Clafoutis,clafouti,clafoutis,clafoutis
118,sp_118,mussels and chips,moules-frites,Muscheln und Fritten,moules-frites,moules frites,midye ve patates kızartması
119,sp_119,peach desserts,pêches melbas,Pfirsich Melba,dessert di pesca,melocotones con helado,şeftalili tatlı
120,sp_120,Russian dumplings,pelmenis sibériens,Pelmeni,pelmeni,pelmeni,pelmeni
121,sp_121,fermented herring,harengs marinés suédois,Surströmming,aringhe fermentate,surströmming,surströmming
122,sp_122,Turkish delights,loukoums,Lokum,lokum,delicias turcas,lokum
123,sp_123,bitterballen,bitterballen hollandaises,Bitterballen,bitterballen,bitterballen,bitterballen
124,sp_124,salty liquorice,salmiakkis finlandais,Salmiakpastillen,liquirizie salate,regalices salados,tuzlu meyan şekeri
125,sp_125,sweet noodles,aletria portugaise,Aletrias,aletria,aletria,aletria
126,sp_126,bangers and mash,purée-saucisses,Würste und Püree,salsicce con purè,salchichas con puré de patatas,sosis ve patates püresi
127,sp_127,farmer's pan,poêlées paysannes,Bauernpfannen,padellate del contadino,sartenada a la campesina,çiftçi tavası
128,sp_128,blinis,blinis,Blini,bliny,blinis,blini
129,sp_129,Spanish stew,cocidos espagnols,Cocidos,stufati spagnoli,cocido,İspanyol yahni
130,sp_130,shuba salads,salades russes choubas,Heringssalate „Russland“,insalate di aringhe,ensalada shuba,şuba salatası
131,sp_131,Portuguese stew,cozidos portugais,Cocidos „Portugal“,stufati alla portoghese,cocido a la portuguesa,Portekiz yahnisi
132,sp_132,Alentejana pork,porc à l'alentejane,Schweine „Alentejana“,maiale alla Alentejana,cerdo a la alentejana,Alentejana usulü domuz
133,sp_133,white sausages,boudins blancs bavarois,Weißwürste,salsicce bianche,weisswurst,Weisswurst
134,sp_134,curry sausages,currywursts,Currywürste,currywurst,currywurst,currywurst
135,sp_135,Eccles cakes,gâteaux d'Eccles,Rosinenstückchen,torte Eccles,pastelitos de Eccles,Eccles keki
136,sp_136,sausage meat,fleischkäse bavarois,Leberkäse,Fleischkäse,fleischkäse,Leberkäse
137,sp_137,francesinha sandwiches,francesinhas portugaises,Francesinhas,francesinha,francesinhas,francesinha sandviçi
138,sp_138,green sauce,sauce verte de Francfort,Portionen Grüne Soße,salse verdi,salsa verde,yeşil sos
139,sp_139,pork shoulders,jarrets de porc,Schweinshaxen,maiale con crauti,codillo con chucrut,domuz incik
140,sp_140,hot cross buns,hot cross buns,Osterbrötchen,panini dolci,panecillos de Pascua,Paskalya çöreği
141,sp_141,jam roly-poly,roulés à la confiture,Konfitürenrollen,rollò con marmellata,rollo de mermelada,reçelli rulo
142,sp_142,Hawaiian toast,toasts Hawaï,Toasts „Hawaii“,toast Hawaii,tostas hawái,Hawaii tostu
143,sp_143,jellied eels,anguilles en gelée,Aale in Aspik,anguille in gelatina,anguilas en gelatina,jöleli yılan balığı
144,sp_144,Königsberger meatballs,boulettes de Königsberg,Königsberger Klopse,polpette Königsberger,albóndigas Königsberger,Königsberg köftesi
145,sp_145,mustard soup,soupes à la moutarde,Senfsuppen,zuppe di senape,sopa de mostaza,hardal çorbası
146,sp_146,octopus salads,salades de poulpe,Oktopussalate,insalate di polpo,ensalada de pulpo,ahtapot salatası
147,sp_147,aniseed biscuits,petits biscuits à l'anis,Anisplätzchen,dolci all'anice,pastas de anís,anasonlu kurabiye
148,sp_148,ploughman's lunches,ploughman's lunches,Jausenplatten,pranzi del contadino,almuerzo del labrador,çiftçi öğünü
