index,label,English,French,German,Italian,Spanish,Turkish
0,fd_icecream,ice cream cones,cornets de glace,Eiswaffeln,gelati artigianali,conos de helado,külah dondurma
1,fd_aoziru,green juice,jus de légumes,Spinat-Miso-Säfte,succhi di verdure,zumo de verduras,yeşil sebze suyu
2,fd_apple_pie,apple pie,tarte aux pommes,Apfelkuchen,torte di mele,pasteles de manzana,elmalı turta
5,fd_strawberry,strawberries,fraises,Erdbeeren,fragole,fresas,çilek
9,fd_eiyou_drink,,,Energy-Drinks,,bebidas isotónicas,enerji içeceği
10,fd_ebi_pirafu,prawn pilaf,riz aux crevettes,Garnelen-Pilaws,risotti ai gamberetti,arroz con langostinos,karidesli pilav
11,fd_ebifurai,deep-fried prawns,crevettes frites,Garnelensticks,gamberetti fritti,langostinos fritos,kızarmış karides
14,fd_sashimi,,,Sashimi,,sashimi,sashimi
16,fd_japanese_tea,green tea,thé vert,Grüntee,tè verdi,té verde,yeşil çay
20,fd_omelet,omelettes,omelette,Omeletts,omelette,tortillas francesas,omlet
23,fd_orange_juice,orange juice,jus d'orange,Orangensäfte,succhi d'arancia,zumo de naranja,portakal suyu
26,fd_kasutera,castella cake,gâteau castella,Biskuitkuchen,pan di Spagna,bizcochos castella,Castella keki
27,fd_gato_syokora,chocolate gateau,gâteau au chocolat,Schokoladenkuchen,torte al cioccolato,pasteles de chocolate,çikolatalı pasta
28,fd_crab,,,Krabben,,,yengeç
29,fd_kabi_pan,mouldy bread,pain moisi,Schimmelbrote,pane ammuffito,rebanadas de pan mohoso,küflü ekmek
30,fd_gum,chewing gum,chewing-gum,Kaugummis,gomme da masticare,chicles,sakız
31,fd_karaage,fried chicken,poulet frit,Hähnchenteile,polli fritti,pollo frito,kızarmış tavuk
32,fd_karubonara,spaghetti carbonara,pâtes à la carbonara,Spaghetti Carbonara,carbonara,pasta carbonara,spagetti carbonara
34,fd_kissyu,quiche,quiche,Quiches,quiche,quiches,kiş
36,fd_mushroom,mushrooms,champignons,Pilze,funghi,setas,mantar
37,fd_kimuchi,,,Kimchi,,,kimchi
38,fd_kyabia,caviar,caviar,Kaviar,caviale,cuencos de caviar,havyar
40,fd_milk,milk,lait,Milch,latte,botellas de leche,süt
41,fd_gyoza,,,Teigtaschen,,,gyoza
42,fd_old_milk,spoilt milk,lait moisi,Gammelmilch,latte scaduto,botellas de leche agria,bozulmuş süt
43,fd_cookie,,,Kekse,,,kurabiye
