index,label,English,French,German,Italian,Spanish,Turkish
16,fd_japanese_tea,,,,,té everde,yeşil çay
32,fd_karubonara,,,Spah getti Cahbonahra,,,spagetti carbonara
37,fd_kimuchi,,kime tchi,,,,kimchi
65,fd_syumai,,,Dimm Ssamm,,,buharda mantı
88,fd_tenpura,,beignets temmpoula,,,,tempura
95,fd_nikuman,,,Hackfleisch-Dimm Ssamm,,,domuz etli buharda çörek
104,fd_fried_potato,,,Pomm Fritt,,,patates kızartması
121,fd_yakisoba,,,,yaki sòba,,yakisoba
153,fd_millefeuille,,mil feuilles,,,,kremalı milföy
162,fd_roast_beef,,,,ròsbif,,rozbif
165,fd_peperoncino,,,Spah getti Peppäh rontschino,,,acı biberli spagetti
178,fd_cup_nudle,,nouilleh instantanées,,,,hazır noodle
189,fd_hot_dog,,,,hoddòg,,sosisli sandviç
194,fd_ebi_chili,,,,gamberetti al cili,,acı soslu karides
261,fd_corn_dog,,,Corn Doggs,,,corn dog
274,fd_bubble_tea,,,Babbel Ties,,,baloncuklu çay
305,fd_chocolate_bread,pan oh shocola,,,,,çikolatalı çörek
310,fd_pandoro,,,,pandòri,,pandoro
320,fd_magret_de_canard,,,,pètti d'ànatra,,fırında ördek
329,fd_chili_con_carne,,tchili conne carné,,cili con carne,,chili con carne
330,fd_chicken_tikka_masala,,,Hühn chenn Tik ka Mah sa la,,,tavuk tikka masala
332,fd_creme_brulee,crem bru lays,,Crèm brühleh,crem brulè,,krem brüle
333,fd_fish_chips,,fish ènd tchipss,Fischn Tschipps,fish encìps,,balık ve patates kızartması
347,fd_mince_pie,,Minnss paille,,,,kuru meyveli mini turta
363,fd_ratatouille,ratatoo e,,,,,ratatouille
