ID,English,French,German,Italian,Spanish,Original Turkish,Revised Turkish,Status,Reason
0x0000,<br>,<br>,<br>,<br>,<br>,<br>,<br>,KORUNDU,
0x0001,Press [0008:00000001],Appuyez sur [0008:00000001],[0008:00000001] drücken,Premi [0008:00000001],Pulsa [0008:00000001].,[0008:00000001] Bas,[0008:00000001] tuşuna bas,DÜZELTİLDİ,UI komutu Türkçede doğal söz dizimine alındı.
0x0002,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo Co-développé par GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo / GREZZO ortak<br>geliştirmesiyle,© 2001 - 2018 Nintendo<br>GREZZO ile ortak geliştirilmiştir,DÜZELTİLDİ,Ortak geliştirme kredisi daha doğal ve anlamca tam çevrildi.
0x0003,Press [0008:0000000E] to return to the HOME Menu.,[0008:0000000E] : Retourner au menu HOME.,[0008:0000000E]: Zurück zum HOME-Menü,Premi [0008:0000000E] per tornare al menu HOME.,Pulsa [0008:0000000E] para volver al menú HOME.,[0008:0000000E] tuşuna basarak HOME Menüsü'ne dön.,[0008:0000000E] tuşuna basarak HOME Menüsüne dön.,DÜZELTİLDİ,Türkçe özel ad/ek yazımı düzeltildi.
0x0004,[0008:00000002] Back,[0008:00000002] Retour,[0008:00000002] Zurück,[0008:00000002] Indietro,[0008:00000002] Volver,[0008:00000002] Geri,[0008:00000002] Geri,KORUNDU,
0x0005,[0008:00000001] Confirm,[0008:00000001] Confirmer,[0008:00000001] Bestätigen,[0008:00000001] Conferma,[0008:00000001] Confirmar,[0008:00000001] Onayla,[0008:00000001] Onayla,KORUNDU,
0x0006,File 1,Fichier 1,Datei 1,File 1,Archivo 1,Dosya 1,Dosya 1,KORUNDU,
0x0007,File 2,Fichier 2,Datei 2,File 2,Archivo 2,Dosya 2,Dosya 2,KORUNDU,
0x0008,File 3,Fichier 3,Datei 3,File 3,Archivo 3,Dosya 3,Dosya 3,KORUNDU,
0x0009,[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006],KORUNDU,
