ID,CriticalControlsMatch,ExactSameAsEnglish,TurkishSpecialChars,English,Turkish,EnglishCriticalControls,TurkishCriticalControls
0x0000,YES,YES,,<br>,<br>,[],[]
0x0001,YES,NO,ş,Press [0008:00000001],[0008:00000001] tuşuna bas,"[(8, 1)]","[(8, 1)]"
0x0002,YES,NO,ş,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo<br>GREZZO ile ortak geliştirilmiştir,[],[]
0x0003,YES,NO,öüş,Press [0008:0000000E] to return to the HOME Menu.,[0008:0000000E] tuşuna basarak HOME Menüsüne dön.,"[(8, 14)]","[(8, 14)]"
0x0004,YES,NO,,[0008:00000002] Back,[0008:00000002] Geri,"[(8, 2)]","[(8, 2)]"
0x0005,YES,NO,,[0008:00000001] Confirm,[0008:00000001] Onayla,"[(8, 1)]","[(8, 1)]"
0x0006,YES,NO,,File 1,Dosya 1,[],[]
0x0007,YES,NO,,File 2,Dosya 2,[],[]
0x0008,YES,NO,,File 3,Dosya 3,[],[]
0x0009,YES,YES,,[0011:0006],[0011:0006],"[(17, 6)]","[(17, 6)]"
0x000A,YES,YES,,[0011:0007],[0011:0007],"[(17, 7)]","[(17, 7)]"
0x000B,YES,YES,,[0011:0008],[0011:0008],"[(17, 8)]","[(17, 8)]"
0x000C,YES,NO,ç,Options,Seçenekler,[],[]
0x000D,YES,NO,ö,Up to Area 1,1. Bölgeye kadar,[],[]
0x000E,YES,NO,ö,Up to Area 2,2. Bölgeye kadar,[],[]
0x000F,YES,NO,ö,Up to Area 3,3. Bölgeye kadar,[],[]
0x0010,YES,NO,ö,Up to Area 4,4. Bölgeye kadar,[],[]
0x0011,YES,NO,,Yes,Evet,[],[]
0x0012,YES,NO,ı,No,Hayır,[],[]
0x0013,YES,NO,üı,Which file would you like to load?,Hangi dosyayı yüklemek istersin?,[],[]
0x0014,YES,NO,ğış,Welcome to your mansion...,Konağına hoş geldin...,[],[]
0x0015,YES,NO,ğış,Welcome to  our mansion...,Konağımıza hoş geldin...,[],[]
0x0016,YES,NO,,New Game,Yeni Oyun,[],[]
0x0017,YES,NO,,No Data,Veri Yok,[],[]
0x0019,YES,NO,ş,Start Game,Oyuna Başla,[],[]
0x001A,YES,NO,ı,Delete File,Dosyayı Sil,[],[]
0x001B,YES,NO,ğ,Are you sure you want to delete?,Silmek istediğine emin misin?,[],[]
0x001C,YES,NO,ğış,Change settings with left/right.,Ayarları sol/sağ ile değiştir.,[],[]
0x001D,YES,YES,,0,0,[],[]
0x001E,YES,YES,,1,1,[],[]
0x001F,YES,YES,,2,2,[],[]
0x0020,YES,YES,,3,3,[],[]
0x0021,YES,NO,ç,Move Mode,Hareket Biçimi,[],[]
0x0022,YES,NO,,Standard,Standart,[],[]
0x0023,YES,NO,ı,Sidestep,Yan Adım,[],[]
0x0024,YES,YES,,C Stick,C Stick,[],[]
0x0025,YES,NO,,Standard,Standart,[],[]
0x0026,YES,NO,,Inverted,Ters,[],[]
0x0028,YES,YES,,Circle Pad Pro,Circle Pad Pro,[],[]
0x0029,YES,NO,çı,Enabled,Açık,[],[]
0x002A,YES,NO,ı,Disabled,Kapalı,[],[]
0x002B,YES,NO,ı,Circle Pad Pro Adjustment,Circle Pad Pro Ayarı,[],[]
0x002C,YES,NO,,OK!,Tamam!,[],[]
0x002E,YES,NO,öğış,Turns in the direction you tilt the<br>C Stick toward.<br>Tilt it up and Luigi will look up.<br>Tilt it down and Luigi will look down.,C Stick'i hangi yöne itersen Luigi o<br>yöne döner.<br>Yukarı itersen yukarı bakar.<br>Aşağı itersen aşağı bakar.,[],[]
0x002F,YES,NO,çöğış,"Turns in the direction you tilt the<br>C Stick, but inverts up/down.<br>Tilt it up and Luigi will look down.<br>Tilt it down and Luigi will look up.","C Stick'i hangi yöne itersen Luigi o<br>yöne döner, ama yukarı/aşağı ters<br>çalışır.<br>Yukarı itersen aşağı bakar.<br>Aşağı itersen yukarı bakar.",[],[]
0x0031,YES,NO,öüı,"You can adjust motion control<br>sensitivity. There are four levels--<br>3 is the maximum, and 0 disables<br>motion controls.","Hareket kontrolü hassasiyetini<br>ayarlayabilirsin. Dört seviye vardır:<br>3 en yüksek düzeydir, 0 ise<br>hareket kontrolünü kapatır.",[],[]
0x0032,YES,NO,öüğş,You can use the Circle Pad (R) on the<br>Nintendo 3DS Circle Pad Pro to<br>change the direction of the<br>Poltergust 3000.,Nintendo 3DS Circle Pad Pro üzerindeki<br>Circle Pad (R) ile Poltergust 3000'in<br>yönünü değiştirebilirsin.,[],[]
0x0033,YES,NO,,You can adjust the sensitivity of<br>the Nintendo 3DS Circle Pad Pro.,Nintendo 3DS Circle Pad Pro'nun<br>hassasiyetini ayarlayabilirsin.,[],[]
0x0034,YES,NO,öı,Confirm settings and return<br>to the previous screen.,Ayarları onayla ve önceki ekrana dön.,[],[]
0x0035,YES,NO,üğış,"This software supports the<br>Nintendo 3DS Circle Pad Pro.<br>If you are using one, please press the<br>ZR Button on your Circle Pad Pro now.",Bu yazılım Nintendo 3DS Circle Pad<br>Pro'yu destekler.<br>Kullanıyorsan lütfen şimdi Circle Pad<br>Pro'ndaki ZR düğmesine bas.,[],[]
0x0036,YES,NO,üğış,Connection failed.<br>Please check and make sure that the<br>Nintendo 3DS Circle Pad Pro is<br>connected and sufficiently charged.,Bağlantı kurulamadı.<br>Lütfen Nintendo 3DS Circle Pad Pro'nun<br>bağlı olduğundan ve şarjının yeterli<br>olduğundan emin ol.,[],[]
0x0037,YES,NO,üğış,The battery is running low for<br>the Nintendo 3DS Circle Pad Pro.<br>Please replace the battery.,Nintendo 3DS Circle Pad Pro'nun<br>pili azaldı.<br>Lütfen pili değiştir.,[],[]
0x0038,YES,NO,çüğış,The Nintendo 3DS Circle Pad Pro<br>has been deactivated.<br>This setting can be changed in<br>Options or from the pause menu.,Nintendo 3DS Circle Pad Pro<br>devre dışı bırakıldı.<br>Bu ayar Seçeneklerden ya da<br>duraklatma menüsünden<br>değiştirilebilir.,[],[]
0x0039,YES,NO,ü,Spray Element,Elementi Püskürt,[],[]
0x003A,YES,NO,ş,Shoot Element,Elementi Ateşle,[],[]
0x003B,YES,NO,,Motion Controls,Hareket Kontrolleri,[],[]
0x003C,YES,NO,,Sensitivity,Hassasiyet,[],[]
0x003F,YES,NO,ç,Options,Seçenekler,[],[]
0x0040,YES,NO,ğış,Change Settings,Ayarları Değiştir,[],[]
0x0041,YES,NO,öğş,Cancel changes and return<br>to the previous screen?,Değişiklikleri iptal edip<br>önceki ekrana dönmek istiyor musun?,[],[]
0x0042,YES,NO,ı,Flashlight Setting,El Feneri Ayarı,[],[]
0x0043,YES,NO,,Original,Orijinal,[],[]
0x0044,YES,NO,ş,Strobulb,Flaşampul,[],[]
0x0045,YES,NO,üğış,A regular flashlight. Shining its<br>light on ghosts will surprise them.<br>Use the A Button to turn it off.,Sıradan bir el feneri. Işığını<br>hayaletlere tutunca afallarlar.<br>A Düğmesi ile kapatabilirsin.,[],[]
0x0046,YES,NO,çüğıŞş,"Use the A Button to emit a powerful,<br>ghost-scaring light. Charge it up<br>to increase the area it affects.",A Düğmesi ile hayaletleri ürküten<br>güçlü bir ışık yay.<br>Şarj ederek etki alanını<br>büyütebilirsin.,[],[]
0x0047,YES,NO,ğış,Up/Down Sensitivity,Yukarı/Aşağı Hassasiyeti,[],[]
