English,French,German,Italian,Spanish,Turkish,Category,Note
Strobulb,Spectroflash,Stroboblitz,Strobobulbo,Estrobombilla,Flaşampul,Oyun terimi,Flaş + ampul birleşimi; kısa ve işlevi açık.
Gooigi,Gluigi,Fluigi,Gommiluigi,Gomiluigi,Jöluigi,Karakter adı,Diğer Avrupa dilleri gibi goo/jel kelime oyunu yerelleştirildi.
Portrait Battle,Combat de portrait,Gemäldekampf,Vendetta ectoplasmica,Revancha fantasma,Portre Rövanşı,Mod adı,İtalyanca/İspanyolca rövanş fikri Türkçede doğal oyun adı verdi.
Conservatory,,,,,Müzik Odası,Oda adı,Odada müzik/piyano işlevi baskın; oyuncu için daha açıklayıcı.
Safari Room,,,,,Av Trofeleri Odası,Oda adı,Safari sözcüğünden daha doğrudan mekân içeriğini anlatıyor.
Clockwork Room,,,,,Saat Odası,Oda adı,Kısa ve harita üzerinde okunaklı.
Wardrobe Room,,,,,Giyinme Odası,Oda adı,Giysi Odası yerine doğal Türkçe mekân adı.
Uncle Grimmly,,Onkel Bitterlich,Zio Fosco,Tío Tristán,Amca Kasvet,Portre hayaleti,Adın anlam/ton şakası korundu.
Shivers,Nestor,Herr Tatterich,Ambrogio Brividi,Sebastián,Bay Tir Tir,Portre hayaleti,Üşüme/titreme çağrışımı yeniden kuruldu.
Mr. Luggs,M. Miam,Herr Scheunendrescher,Sig. Golosi,D. Ramón,Bay Tıkınır,Portre hayaleti,Oburluk karakter özelliğine dayalı ad.
Slim Bankshot,Joe l'Arnaque,Volker Volltreffer,Steccasecca,Muni,Sıska Karambol,Portre hayaleti,Bilardo terimi + fiziksel özellik birlikte korundu.
Sir Weston,,Herr Alpenträumer,Sig. Cimone,Héctor,Sir Ayaz,Portre hayaleti,Buz/soğuk teması Türkçe adda öne çıkarıldı.
