ID,English,Dutch,French,German,Italian,Spanish,Turkish
0x0000,<br>,,<br>,<br>,<br>,<br>,<br>
0x0001,Press [0008:00000001],,Appuyez sur [0008:00000001],[0008:00000001] drücken,Premi [0008:00000001],Pulsa [0008:00000001].,[0008:00000001] tuşuna bas
0x0002,© 2001 - 2018 Nintendo Codeveloped by GREZZO,,© 2001 - 2018 Nintendo Co-développé par GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo Codeveloped by GREZZO,© 2001 - 2018 Nintendo<br>GREZZO ile ortak geliştirilmiştir
0x0003,Press [0008:0000000E] to return to the HOME Menu.,,[0008:0000000E] : Retourner au menu HOME.,[0008:0000000E]: Zurück zum HOME-Menü,Premi [0008:0000000E] per tornare al menu HOME.,Pulsa [0008:0000000E] para volver al menú HOME.,[0008:0000000E] tuşuna basarak HOME Menüsüne dön.
0x0004,[0008:00000002] Back,,[0008:00000002] Retour,[0008:00000002] Zurück,[0008:00000002] Indietro,[0008:00000002] Volver,[0008:00000002] Geri
0x0005,[0008:00000001] Confirm,,[0008:00000001] Confirmer,[0008:00000001] Bestätigen,[0008:00000001] Conferma,[0008:00000001] Confirmar,[0008:00000001] Onayla
0x0006,File 1,,Fichier 1,Datei 1,File 1,Archivo 1,Dosya 1
0x0007,File 2,,Fichier 2,Datei 2,File 2,Archivo 2,Dosya 2
0x0008,File 3,,Fichier 3,Datei 3,File 3,Archivo 3,Dosya 3
0x0009,[0011:0006],,[0011:0006],[0011:0006],[0011:0006],[0011:0006],[0011:0006]
0x000A,[0011:0007],,[0011:0007],[0011:0007],[0011:0007],[0011:0007],[0011:0007]
0x000B,[0011:0008],,[0011:0008],[0011:0008],[0011:0008],[0011:0008],[0011:0008]
0x000C,Options,,Options,Optionen,Opzioni,Opciones,Seçenekler
0x000D,Up to Area 1,,Vers la zone 1,Im Bereich 1,Fino ad area 1,Hacia la zona 1,1. Bölgeye kadar
0x000E,Up to Area 2,,Vers la zone 2,Im Bereich 2,Fino ad area 2,Hacia la zona 2,2. Bölgeye kadar
0x000F,Up to Area 3,,Vers la zone 3,Im Bereich 3,Fino ad area 3,Hacia la zona 3,3. Bölgeye kadar
0x0010,Up to Area 4,,Vers la zone 4,Im Bereich 4,Fino ad area 4,Hacia la zona 4,4. Bölgeye kadar
0x0011,Yes,,Oui,Ja,Sì,Sí,Evet
0x0012,No,,Non,Nein,No,No,Hayır
0x0013,Which file would you like to load?,,Quel fichier voulez-vous charger ?,Welche Speicherdatei möchtest du laden?,Quale file vuoi caricare?,¿Qué archivo quieres?,Hangi dosyayı yüklemek istersin?
0x0014,Welcome to your mansion...,,Bienvenue dans votre manoir...,Willkommen in deiner Villa...,Benvenuto nel tuo palazzo...,"Pasa, la mansión es tuya...",Konağına hoş geldin...
0x0015,Welcome to  our mansion...,,Bienvenue dans notre manoir...,Willkommen in unserer Villa...,Benvenuto nel nostro palazzo...,"Pasa, la mansión es nuestra...",Konağımıza hoş geldin...
0x0016,New Game,,Nouvelle partie,Neues Spiel,Nuovo gioco,Partida nueva,Yeni Oyun
0x0017,No Data,,Pas de données,Keine Daten,Dati non presenti,No hay datos.,Veri Yok
0x0019,Start Game,,Démarrer la partie,Spiel beginnen,Avvia il gioco,Comenzar,Oyuna Başla
0x001A,Delete File,,Effacer le fichier,Datei löschen,Cancella il file,Borrar archivo,Dosyayı Sil
0x001B,Are you sure you want to delete?,,Voulez-vous vraiment effacer ce fichier ?,Wirklich löschen?,Vuoi davvero cancellare questo file?,¿Seguro que quieres borrarlo?,Silmek istediğine emin misin?
0x001C,Change settings with left/right.,,Changer les paramètres : gauche / droite ,Einstellungen ändern: links/rechts,Usa sin./destra per cambiare le impostazioni.,Cambiar ajustes: izquierda/derecha,Ayarları sol/sağ ile değiştir.
0x001D,0,,0,0,0,0,0
0x001E,1,,1,1,1,1,1
0x001F,2,,2,2,2,2,2
