index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,HeaderLv1,Fine Fields,Féérie Fantastique,Blumige Breiten,Foreste Fiorite,Floresta Frondosa,파인 필드,Güzel Tarlalar
1,HeaderLv2,Lollipop Land,Lieux Ludiques,Lolliland,Idillio Infarcito,Lona Lúdica,롤리팝 랜드,Lolipop Diyarı
2,HeaderLv3,Old Odyssey,Empire Enchanté,"Über Land, über Berg",Odissea Oscura,Osada Odisea,올드 오디세이,Eski Destan
3,HeaderLv4,Wild World,Univers Ubuesque,Hüter des Hochlands,Rovine Rocciose,Ruta Recóndita,와일드 월드,Vahşi Dünya
4,HeaderLv5,Endless Explosions,⟦MSBT:0E000000020002005500⟧Rochers Rocambolesques⟦MSBT:0E000000020002006400⟧,Endlose Explosionen,Eremo Esplosivo,Abrasadora Aventura,에버 익스플로즌,Sonsuz Patlamalar
5,HeaderLv6,Royal Road,Intrigue Impériale,Nächtliche Noblesse,Nuvola Nobile,Largo Linaje,로열 로드,Kraliyet Yolu
6,HeaderLv7,Eternal Dreamland,Effrayant Sanctuaire,Dream Land auf ewig,⟦MSBT:0E000000020002005600⟧Dream Land all'Orizzonte⟦MSBT:0E000000020002006400⟧,Edén Soñado,이터널 드림랜드,Ebedi Rüya Diyarı
7,HeaderDeGoLv1,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004400⟧Aventures de DaDiDou - Niv. 1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 1⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 1⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv1,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 1⟦MSBT:0E000000020002006400⟧
8,HeaderDeGoLv2,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧Aventures de DaDiDou - Niv. 2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 2⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 2⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv2,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 2⟦MSBT:0E000000020002006400⟧
9,HeaderDeGoLv3,⟦MSBT:0E000000020002006400⟧Dededetour! - Lv3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004300⟧Aventures de DaDiDou - Niv. 3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Dededes Abenteuer - Lv 3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004800⟧Dedede all'avventura - Liv. 3⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004900⟧Aventura de Dedede - Niv. 3⟦MSBT:0E000000020002006400⟧,GO! 디디디 Lv3,⟦MSBT:0E000000020002006400⟧Dedede Turu! - Sv. 3⟦MSBT:0E000000020002006400⟧
